rank	FP	TP	n_ctrl	n_sig	method
0.002	0	0.007662835249042145	17	522	Enrich2
0.004	0	0.009578544061302681	17	522	Enrich2
0.006	0	0.009578544061302681	17	522	Enrich2
0.008	0	0.017241379310344827	17	522	Enrich2
0.01	0	0.019157088122605363	17	522	Enrich2
0.012	0	0.0210727969348659	17	522	Enrich2
0.014	0	0.028735632183908046	17	522	Enrich2
0.016	0	0.03639846743295019	17	522	Enrich2
0.018	0	0.040229885057471264	17	522	Enrich2
0.02	0	0.044061302681992334	17	522	Enrich2
0.022	0	0.04980842911877394	17	522	Enrich2
0.024	0	0.05555555555555555	17	522	Enrich2
0.026	0	0.05938697318007663	17	522	Enrich2
0.028	0	0.06513409961685823	17	522	Enrich2
0.03	0	0.06896551724137931	17	522	Enrich2
0.032	0	0.07279693486590039	17	522	Enrich2
0.034	0	0.07662835249042145	17	522	Enrich2
0.036	0	0.08237547892720307	17	522	Enrich2
0.038	0	0.08812260536398467	17	522	Enrich2
0.04	0	0.08812260536398467	17	522	Enrich2
0.042	0	0.09003831417624521	17	522	Enrich2
0.044	0	0.09578544061302682	17	522	Enrich2
0.046	0	0.10153256704980843	17	522	Enrich2
0.048	0	0.10919540229885058	17	522	Enrich2
0.05	0	0.11685823754789272	17	522	Enrich2
0.052	0	0.11685823754789272	17	522	Enrich2
0.054	0	0.1206896551724138	17	522	Enrich2
0.056	0	0.12260536398467432	17	522	Enrich2
0.058	0	0.12835249042145594	17	522	Enrich2
0.06	0	0.13218390804597702	17	522	Enrich2
0.062	0	0.1360153256704981	17	522	Enrich2
0.064	0	0.13984674329501914	17	522	Enrich2
0.066	0	0.14559386973180077	17	522	Enrich2
0.068	0	0.14942528735632185	17	522	Enrich2
0.07	0	0.15708812260536398	17	522	Enrich2
0.072	0	0.15900383141762453	17	522	Enrich2
0.074	0	0.17049808429118773	17	522	Enrich2
0.076	0	0.17049808429118773	17	522	Enrich2
0.078	0	0.17049808429118773	17	522	Enrich2
0.08	0	0.1743295019157088	17	522	Enrich2
0.082	0	0.17624521072796934	17	522	Enrich2
0.084	0	0.18007662835249041	17	522	Enrich2
0.086	0	0.1839080459770115	17	522	Enrich2
0.088	0	0.18773946360153257	17	522	Enrich2
0.09	0	0.19157088122605365	17	522	Enrich2
0.092	0	0.19540229885057472	17	522	Enrich2
0.094	0	0.19923371647509577	17	522	Enrich2
0.096	0	0.20114942528735633	17	522	Enrich2
0.098	0	0.20881226053639848	17	522	Enrich2
0.1	0	0.21264367816091953	17	522	Enrich2
0.102	0	0.22030651340996169	17	522	Enrich2
0.104	0	0.2222222222222222	17	522	Enrich2
0.106	0	0.22796934865900384	17	522	Enrich2
0.108	0	0.23180076628352492	17	522	Enrich2
0.11	0	0.23563218390804597	17	522	Enrich2
0.112	0	0.23563218390804597	17	522	Enrich2
0.114	0	0.23754789272030652	17	522	Enrich2
0.116	0	0.23946360153256704	17	522	Enrich2
0.118	0.058823529411764705	0.2471264367816092	17	522	Enrich2
0.12	0.058823529411764705	0.24904214559386972	17	522	Enrich2
0.122	0.058823529411764705	0.25287356321839083	17	522	Enrich2
0.124	0.058823529411764705	0.25862068965517243	17	522	Enrich2
