rank	FP	TP	n_ctrl	n_sig	method
0.002	0	0	86	2	Enrich2
0.004	0	0	86	2	Enrich2
0.006	0	0	86	2	Enrich2
0.008	0	0	86	2	Enrich2
0.01	0	0	86	2	Enrich2
0.012	0	0	86	2	Enrich2
0.014	0	0	86	2	Enrich2
0.016	0	0	86	2	Enrich2
0.018	0	0	86	2	Enrich2
0.02	0	0	86	2	Enrich2
0.022	0	0	86	2	Enrich2
0.024	0	0	86	2	Enrich2
0.026	0	0	86	2	Enrich2
0.028	0	0	86	2	Enrich2
0.03	0	0	86	2	Enrich2
0.032	0	0	86	2	Enrich2
0.034	0	0	86	2	Enrich2
0.036	0	0	86	2	Enrich2
0.038	0	0	86	2	Enrich2
0.04	0	0	86	2	Enrich2
0.042	0	0	86	2	Enrich2
0.044	0	0	86	2	Enrich2
0.046	0	0	86	2	Enrich2
0.048	0	0	86	2	Enrich2
0.05	0	0	86	2	Enrich2
0.052	0	0	86	2	Enrich2
0.054	0	0	86	2	Enrich2
0.056	0	0	86	2	Enrich2
0.058	0	0	86	2	Enrich2
0.06	0	0.5	86	2	Enrich2
0.062	0	0.5	86	2	Enrich2
0.064	0	0.5	86	2	Enrich2
0.066	0	0.5	86	2	Enrich2
0.068	0	0.5	86	2	Enrich2
0.07	0	0.5	86	2	Enrich2
0.072	0	0.5	86	2	Enrich2
0.074	0	0.5	86	2	Enrich2
0.076	0.011627906976744186	0.5	86	2	Enrich2
0.078	0.011627906976744186	0.5	86	2	Enrich2
0.08	0.011627906976744186	0.5	86	2	Enrich2
0.082	0.011627906976744186	0.5	86	2	Enrich2
0.084	0.023255813953488372	0.5	86	2	Enrich2
0.086	0.023255813953488372	0.5	86	2	Enrich2
0.088	0.023255813953488372	0.5	86	2	Enrich2
0.09	0.023255813953488372	0.5	86	2	Enrich2
0.092	0.023255813953488372	0.5	86	2	Enrich2
0.094	0.023255813953488372	0.5	86	2	Enrich2
0.096	0.023255813953488372	0.5	86	2	Enrich2
0.098	0.023255813953488372	0.5	86	2	Enrich2
0.1	0.023255813953488372	0.5	86	2	Enrich2
0.102	0.023255813953488372	0.5	86	2	Enrich2
0.104	0.023255813953488372	0.5	86	2	Enrich2
0.106	0.023255813953488372	0.5	86	2	Enrich2
0.108	0.023255813953488372	0.5	86	2	Enrich2
0.11	0.023255813953488372	0.5	86	2	Enrich2
0.112	0.023255813953488372	1	86	2	Enrich2
0.114	0.023255813953488372	1	86	2	Enrich2
0.116	0.023255813953488372	1	86	2	Enrich2
0.118	0.023255813953488372	1	86	2	Enrich2
0.12	0.023255813953488372	1	86	2	Enrich2
0.122	0.023255813953488372	1	86	2	Enrich2
0.124	0.023255813953488372	1	86	2	Enrich2
0.126	0.023255813953488372	1	86	2	Enrich2
0.128	0.023255813953488372	1	86	2	Enrich2
0.13	0.023255813953488372	1	86	2	Enrich2
0.132	0.023255813953488372	1	86	2	Enrich2
0.134	0.023255813953488372	1	86	2	Enrich2
0.136	0.023255813953488372	1	86	2	Enrich2
0.138	0.023255813953488372	1	86	2	Enrich2
0.14	0.023255813953488372	1	86	2	Enrich2
0.142	0.023255813953488372	1	86	2	Enrich2
0.144	0.023255813953488372	1	86	2	Enrich2
0.146	0.023255813953488372	1	86	2	Enrich2
0.148	0.023255813953488372	1	86	2	Enrich2
0.15	0.023255813953488372	1	86	2	Enrich2
0.152	0.023255813953488372	1	86	2	Enrich2
0.154	0.023255813953488372	1	86	2	Enrich2
0.156	0.023255813953488372	1	86	2	Enrich2
0.158	0.023255813953488372	1	86	2	Enrich2
0.16	0.023255813953488372	1	86	2	Enrich2
0.162	0.023255813953488372	1	86	2	Enrich2
0.164	0.023255813953488372	1	86	2	Enrich2
0.166	0.023255813953488372	1	86	2	Enrich2
0.168	0.023255813953488372	1	86	2	Enrich2
0.17	0.023255813953488372	1	86	2	Enrich2
0.172	0.023255813953488372	1	86	2	Enrich2
0.174	0.023255813953488372	1	86	2	Enrich2
0.176	0.023255813953488372	1	86	2	Enrich2
0.178	0.023255813953488372	1	86	2	Enrich2
0.18	0.023255813953488372	1	86	2	Enrich2
0.182	0.023255813953488372	1	86	2	Enrich2
0.184	0.023255813953488372	1	86	2	Enrich2
0.186	0.023255813953488372	1	86	2	Enrich2
0.188	0.023255813953488372	1	86	2	Enrich2
0.19	0.023255813953488372	1	86	2	Enrich2
0.192	0.023255813953488372	1	86	2	Enrich2
0.194	0.023255813953488372	1	86	2	Enrich2
0.196	0.023255813953488372	1	86	2	Enrich2
0.198	0.023255813953488372	1	86	2	Enrich2
0.2	0.023255813953488372	1	86	2	Enrich2
0.202	0.023255813953488372	1	86	2	Enrich2
0.204	0.023255813953488372	1	86	2	Enrich2
0.206	0.023255813953488372	1	86	2	Enrich2
0.208	0.023255813953488372	1	86	2	Enrich2
0.21	0.023255813953488372	1	86	2	Enrich2
0.212	0.023255813953488372	1	86	2	Enrich2
0.214	0.023255813953488372	1	86	2	Enrich2
0.216	0.023255813953488372	1	86	2	Enrich2
0.218	0.023255813953488372	1	86	2	Enrich2
0.22	0.023255813953488372	1	86	2	Enrich2
0.222	0.023255813953488372	1	86	2	Enrich2
0.224	0.023255813953488372	1	86	2	Enrich2
0.226	0.023255813953488372	1	86	2	Enrich2
0.228	0.023255813953488372	1	86	2	Enrich2
0.23	0.023255813953488372	1	86	2	Enrich2
0.232	0.023255813953488372	1	86	2	Enrich2
0.234	0.023255813953488372	1	86	2	Enrich2
0.236	0.023255813953488372	1	86	2	Enrich2
0.238	0.023255813953488372	1	86	2	Enrich2
0.24	0.023255813953488372	1	86	2	Enrich2
0.242	0.023255813953488372	1	86	2	Enrich2
0.244	0.023255813953488372	1	86	2	Enrich2
0.246	0.023255813953488372	1	86	2	Enrich2
0.248	0.023255813953488372	1	86	2	Enrich2
0.25	0.023255813953488372	1	86	2	Enrich2
0.252	0.023255813953488372	1	86	2	Enrich2
0.254	0.023255813953488372	1	86	2	Enrich2
0.256	0.023255813953488372	1	86	2	Enrich2
0.258	0.023255813953488372	1	86	2	Enrich2
0.26	0.023255813953488372	1	86	2	Enrich2
0.262	0.023255813953488372	1	86	2	Enrich2
0.264	0.023255813953488372	1	86	2	Enrich2
0.266	0.023255813953488372	1	86	2	Enrich2
0.268	0.023255813953488372	1	86	2	Enrich2
0.27	0.023255813953488372	1	86	2	Enrich2
0.272	0.023255813953488372	1	86	2	Enrich2
0.274	0.023255813953488372	1	86	2	Enrich2
0.276	0.023255813953488372	1	86	2	Enrich2
0.278	0.023255813953488372	1	86	2	Enrich2
0.28	0.023255813953488372	1	86	2	Enrich2
0.282	0.023255813953488372	1	86	2	Enrich2
0.284	0.023255813953488372	1	86	2	Enrich2
0.286	0.023255813953488372	1	86	2	Enrich2
0.288	0.023255813953488372	1	86	2	Enrich2
0.29	0.023255813953488372	1	86	2	Enrich2
0.292	0.023255813953488372	1	86	2	Enrich2
0.294	0.023255813953488372	1	86	2	Enrich2
0.296	0.023255813953488372	1	86	2	Enrich2
0.298	0.023255813953488372	1	86	2	Enrich2
0.3	0.023255813953488372	1	86	2	Enrich2
0.302	0.023255813953488372	1	86	2	Enrich2
0.304	0.023255813953488372	1	86	2	Enrich2
0.306	0.023255813953488372	1	86	2	Enrich2
0.308	0.023255813953488372	1	86	2	Enrich2
0.31	0.023255813953488372	1	86	2	Enrich2
0.312	0.023255813953488372	1	86	2	Enrich2
0.314	0.023255813953488372	1	86	2	Enrich2
0.316	0.023255813953488372	1	86	2	Enrich2
0.318	0.023255813953488372	1	86	2	Enrich2
0.32	0.023255813953488372	1	86	2	Enrich2
0.322	0.023255813953488372	1	86	2	Enrich2
0.324	0.023255813953488372	1	86	2	Enrich2
0.326	0.023255813953488372	1	86	2	Enrich2
0.328	0.023255813953488372	1	86	2	Enrich2
0.33	0.023255813953488372	1	86	2	Enrich2
0.332	0.023255813953488372	1	86	2	Enrich2
0.334	0.023255813953488372	1	86	2	Enrich2
0.336	0.023255813953488372	1	86	2	Enrich2
0.338	0.03488372093023256	1	86	2	Enrich2
0.34	0.03488372093023256	1	86	2	Enrich2
0.342	0.03488372093023256	1	86	2	Enrich2
0.344	0.03488372093023256	1	86	2	Enrich2
0.346	0.03488372093023256	1	86	2	Enrich2
0.348	0.03488372093023256	1	86	2	Enrich2
0.35	0.03488372093023256	1	86	2	Enrich2
0.352	0.03488372093023256	1	86	2	Enrich2
0.354	0.03488372093023256	1	86	2	Enrich2
0.356	0.03488372093023256	1	86	2	Enrich2
0.358	0.03488372093023256	1	86	2	Enrich2
0.36	0.03488372093023256	1	86	2	Enrich2
0.362	0.03488372093023256	1	86	2	Enrich2
0.364	0.03488372093023256	1	86	2	Enrich2
0.366	0.03488372093023256	1	86	2	Enrich2
0.368	0.03488372093023256	1	86	2	Enrich2
0.37	0.03488372093023256	1	86	2	Enrich2
0.372	0.03488372093023256	1	86	2	Enrich2
0.374	0.03488372093023256	1	86	2	Enrich2
0.376	0.03488372093023256	1	86	2	Enrich2
0.378	0.03488372093023256	1	86	2	Enrich2
0.38	0.046511627906976744	1	86	2	Enrich2
0.382	0.046511627906976744	1	86	2	Enrich2
0.384	0.046511627906976744	1	86	2	Enrich2
0.386	0.046511627906976744	1	86	2	Enrich2
0.388	0.046511627906976744	1	86	2	Enrich2
0.39	0.046511627906976744	1	86	2	Enrich2
0.392	0.05813953488372093	1	86	2	Enrich2
0.394	0.05813953488372093	1	86	2	Enrich2
0.396	0.05813953488372093	1	86	2	Enrich2
0.398	0.05813953488372093	1	86	2	Enrich2
0.4	0.05813953488372093	1	86	2	Enrich2
0.402	0.05813953488372093	1	86	2	Enrich2
0.404	0.05813953488372093	1	86	2	Enrich2
0.406	0.05813953488372093	1	86	2	Enrich2
0.408	0.05813953488372093	1	86	2	Enrich2
0.41	0.05813953488372093	1	86	2	Enrich2
0.412	0.05813953488372093	1	86	2	Enrich2
0.414	0.05813953488372093	1	86	2	Enrich2
0.416	0.05813953488372093	1	86	2	Enrich2
0.418	0.05813953488372093	1	86	2	Enrich2
0.42	0.05813953488372093	1	86	2	Enrich2
0.422	0.08139534883720931	1	86	2	Enrich2
