test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0	0	416	1048	Enrich2
0.01	0.057692307692307696	0.2776717557251908	416	1048	Enrich2
0.02	0.0673076923076923	0.30343511450381677	416	1048	Enrich2
0.03	0.08173076923076923	0.3330152671755725	416	1048	Enrich2
0.04	0.08173076923076923	0.3482824427480916	416	1048	Enrich2
0.05	0.09615384615384616	0.36354961832061067	416	1048	Enrich2
0.06	0.0985576923076923	0.37595419847328243	416	1048	Enrich2
0.07	0.10576923076923077	0.39122137404580154	416	1048	Enrich2
0.08	0.10576923076923077	0.3988549618320611	416	1048	Enrich2
0.09	0.11057692307692307	0.4112595419847328	416	1048	Enrich2
0.1	0.11778846153846154	0.4208015267175573	416	1048	Enrich2
0.11	0.1201923076923077	0.42938931297709926	416	1048	Enrich2
0.12	0.12259615384615384	0.44179389312977096	416	1048	Enrich2
0.13	0.13701923076923078	0.44751908396946566	416	1048	Enrich2
0.14	0.14182692307692307	0.45896946564885494	416	1048	Enrich2
0.15	0.15384615384615385	0.46469465648854963	416	1048	Enrich2
0.16	0.1658653846153846	0.4685114503816794	416	1048	Enrich2
0.17	0.17067307692307693	0.48091603053435117	416	1048	Enrich2
0.18	0.17307692307692307	0.4847328244274809	416	1048	Enrich2
0.19	0.17307692307692307	0.4866412213740458	416	1048	Enrich2
0.2	0.17307692307692307	0.48759541984732824	416	1048	Enrich2
0	0	0	416	1048	Rosace
0.01	0.11778846153846154	0.42938931297709926	416	1048	Rosace
0.02	0.13221153846153846	0.4599236641221374	416	1048	Rosace
0.03	0.14903846153846154	0.48091603053435117	416	1048	Rosace
0.04	0.15865384615384615	0.5038167938931297	416	1048	Rosace
0.05	0.17307692307692307	0.5181297709923665	416	1048	Rosace
0.06	0.19471153846153846	0.5257633587786259	416	1048	Rosace
0.07	0.19951923076923078	0.5343511450381679	416	1048	Rosace
0.08	0.21634615384615385	0.5438931297709924	416	1048	Rosace
0.09	0.23076923076923078	0.5534351145038168	416	1048	Rosace
0.1	0.23798076923076922	0.5620229007633588	416	1048	Rosace
0.11	0.25721153846153844	0.566793893129771	416	1048	Rosace
0.12	0.2692307692307692	0.5811068702290076	416	1048	Rosace
0.13	0.28125	0.5877862595419847	416	1048	Rosace
0.14	0.28846153846153844	0.5935114503816794	416	1048	Rosace
0.15	0.3004807692307692	0.5992366412213741	416	1048	Rosace
0.16	0.30288461538461536	0.6040076335877863	416	1048	Rosace
0.17	0.30528846153846156	0.6087786259541985	416	1048	Rosace
0.18	0.3125	0.6135496183206107	416	1048	Rosace
0.19	0.3125	0.6173664122137404	416	1048	Rosace
0.2	0.31490384615384615	0.6230916030534351	416	1048	Rosace
0	0.004807692307692308	0.02480916030534351	416	1048	Rosace(nopos)
0.01	0.05048076923076923	0.1650763358778626	416	1048	Rosace(nopos)
0.02	0.07211538461538461	0.22423664122137404	416	1048	Rosace(nopos)
0.03	0.08653846153846154	0.2824427480916031	416	1048	Rosace(nopos)
0.04	0.0985576923076923	0.31583969465648853	416	1048	Rosace(nopos)
0.05	0.11057692307692307	0.3463740458015267	416	1048	Rosace(nopos)
0.06	0.12259615384615384	0.36736641221374045	416	1048	Rosace(nopos)
0.07	0.13221153846153846	0.3931297709923664	416	1048	Rosace(nopos)
0.08	0.14182692307692307	0.40935114503816794	416	1048	Rosace(nopos)
0.09	0.14423076923076922	0.4303435114503817	416	1048	Rosace(nopos)
0.1	0.14903846153846154	0.4446564885496183	416	1048	Rosace(nopos)
0.11	0.15384615384615385	0.4580152671755725	416	1048	Rosace(nopos)
0.12	0.16346153846153846	0.4685114503816794	416	1048	Rosace(nopos)
0.13	0.18028846153846154	0.4799618320610687	416	1048	Rosace(nopos)
0.14	0.20192307692307693	0.48950381679389315	416	1048	Rosace(nopos)
0.15	0.21153846153846154	0.49809160305343514	416	1048	Rosace(nopos)
0.16	0.21875	0.5104961832061069	416	1048	Rosace(nopos)
0.17	0.22596153846153846	0.5209923664122137	416	1048	Rosace(nopos)
0.18	0.24519230769230768	0.5343511450381679	416	1048	Rosace(nopos)
0.19	0.2620192307692308	0.5477099236641222	416	1048	Rosace(nopos)
0.2	0.2644230769230769	0.5610687022900763	416	1048	Rosace(nopos)
0	0	0	416	1048	Naive
0.01	0.02403846153846154	0.02862595419847328	416	1048	Naive
0.02	0.038461538461538464	0.05057251908396947	416	1048	Naive
0.03	0.06009615384615385	0.08587786259541985	416	1048	Naive
0.04	0.07451923076923077	0.12595419847328243	416	1048	Naive
0.05	0.09134615384615384	0.16316793893129772	416	1048	Naive
0.06	0.10336538461538461	0.2032442748091603	416	1048	Naive
0.07	0.11538461538461539	0.24713740458015268	416	1048	Naive
0.08	0.12259615384615384	0.2776717557251908	416	1048	Naive
0.09	0.13701923076923078	0.30820610687022904	416	1048	Naive
0.1	0.14182692307692307	0.34541984732824427	416	1048	Naive
0.11	0.15625	0.3797709923664122	416	1048	Naive
0.12	0.17548076923076922	0.39408396946564883	416	1048	Naive
0.13	0.1971153846153846	0.4198473282442748	416	1048	Naive
0.14	0.21153846153846154	0.4398854961832061	416	1048	Naive
0.15	0.22596153846153846	0.4570610687022901	416	1048	Naive
0.16	0.24278846153846154	0.4723282442748092	416	1048	Naive
0.17	0.2668269230769231	0.48854961832061067	416	1048	Naive
0.18	0.27884615384615385	0.5	416	1048	Naive
0.19	0.30288461538461536	0.5152671755725191	416	1048	Naive
0.2	0.3076923076923077	0.5276717557251909	416	1048	Naive
0	0	0	416	1048	mutscan(edgeR)
0.01	0	0	416	1048	mutscan(edgeR)
0.02	0	0	416	1048	mutscan(edgeR)
0.03	0	0	416	1048	mutscan(edgeR)
0.04	0	0	416	1048	mutscan(edgeR)
0.05	0	0	416	1048	mutscan(edgeR)
0.06	0	0	416	1048	mutscan(edgeR)
0.07	0	0	416	1048	mutscan(edgeR)
0.08	0	0	416	1048	mutscan(edgeR)
0.09	0	0	416	1048	mutscan(edgeR)
0.1	0	0	416	1048	mutscan(edgeR)
0.11	0	0	416	1048	mutscan(edgeR)
0.12	0	0	416	1048	mutscan(edgeR)
0.13	0	0	416	1048	mutscan(edgeR)
0.14	0	9.541984732824427e-4	416	1048	mutscan(edgeR)
0.15	0	0.0019083969465648854	416	1048	mutscan(edgeR)
0.16	0	0.0019083969465648854	416	1048	mutscan(edgeR)
0.17	0	0.0028625954198473282	416	1048	mutscan(edgeR)
0.18	0	0.0028625954198473282	416	1048	mutscan(edgeR)
0.19	0	0.0028625954198473282	416	1048	mutscan(edgeR)
0.2	0	0.0028625954198473282	416	1048	mutscan(edgeR)
0	0	0	416	1048	mutscan(limma)
0.01	0	0	416	1048	mutscan(limma)
0.02	0	0	416	1048	mutscan(limma)
0.03	0	0	416	1048	mutscan(limma)
0.04	0	0	416	1048	mutscan(limma)
0.05	0	0	416	1048	mutscan(limma)
0.06	0	0	416	1048	mutscan(limma)
0.07	0	9.541984732824427e-4	416	1048	mutscan(limma)
0.08	0.002403846153846154	0.008587786259541985	416	1048	mutscan(limma)
0.09	0.01201923076923077	0.06202290076335878	416	1048	mutscan(limma)
0.1	0.014423076923076924	0.08969465648854962	416	1048	mutscan(limma)
0.11	0.019230769230769232	0.12309160305343511	416	1048	mutscan(limma)
0.12	0.021634615384615384	0.16603053435114504	416	1048	mutscan(limma)
0.13	0.021634615384615384	0.191793893129771	416	1048	mutscan(limma)
0.14	0.026442307692307692	0.21374045801526717	416	1048	mutscan(limma)
0.15	0.028846153846153848	0.22614503816793893	416	1048	mutscan(limma)
0.16	0.03125	0.25095419847328243	416	1048	mutscan(limma)
0.17	0.03365384615384615	0.26049618320610685	416	1048	mutscan(limma)
0.18	0.036057692307692304	0.2767175572519084	416	1048	mutscan(limma)
0.19	0.036057692307692304	0.28530534351145037	416	1048	mutscan(limma)
0.2	0.038461538461538464	0.29389312977099236	416	1048	mutscan(limma)
0	0	0	416	1048	DiMSum
0.01	0.04567307692307692	0.13358778625954199	416	1048	DiMSum
0.02	0.0673076923076923	0.18416030534351144	416	1048	DiMSum
0.03	0.08653846153846154	0.21946564885496184	416	1048	DiMSum
0.04	0.10817307692307693	0.24141221374045801	416	1048	DiMSum
0.05	0.1201923076923077	0.2776717557251908	416	1048	DiMSum
0.06	0.12980769230769232	0.2919847328244275	416	1048	DiMSum
0.07	0.14182692307692307	0.29961832061068705	416	1048	DiMSum
0.08	0.15384615384615385	0.31679389312977096	416	1048	DiMSum
0.09	0.16346153846153846	0.3320610687022901	416	1048	DiMSum
0.1	0.17067307692307693	0.3501908396946565	416	1048	DiMSum
0.11	0.18269230769230768	0.3597328244274809	416	1048	DiMSum
0.12	0.19230769230769232	0.366412213740458	416	1048	DiMSum
0.13	0.20432692307692307	0.3797709923664122	416	1048	DiMSum
0.14	0.22115384615384615	0.3931297709923664	416	1048	DiMSum
0.15	0.23557692307692307	0.3998091603053435	416	1048	DiMSum
0.16	0.24278846153846154	0.40935114503816794	416	1048	DiMSum
0.17	0.24759615384615385	0.41889312977099236	416	1048	DiMSum
0.18	0.25	0.4265267175572519	416	1048	DiMSum
0.19	0.25721153846153844	0.43416030534351147	416	1048	DiMSum
0.2	0.2692307692307692	0.43797709923664124	416	1048	DiMSum
