rank	rep	method	FP	TP	n_ctrl	n_sig
0.002	number of replicate = 1	DiMSum	0	0.00254456633111412	17	526
0.002	number of replicate = 1	Enrich2	0	0.00382170553928781	17	526
0.002	number of replicate = 1	Naive	0	0.0025397102884974865	17	526
0.002	number of replicate = 1	Rosace	0	0.005089095593200634	17	526
0.002	number of replicate = 1	Rosace(nopos)	0	0.0031855546892523732	17	526
0.002	number of replicate = 1	mutscan(edgeR)	0	0.003811974919540743	17	526
0.002	number of replicate = 1	mutscan(limma)	0	0.0019035594384620568	17	526
0.002	number of replicate = 2	DiMSum	0	0.004567175610649525	17	551
0.002	number of replicate = 2	Enrich2	0	0.003649744417988975	17	551
0.002	number of replicate = 2	Naive	0	0.00275229357798165	17	551
0.002	number of replicate = 2	Rosace	0	0.003649744417988975	17	551
0.002	number of replicate = 2	Rosace(nopos)	0	0.003649744417988975	17	551
0.002	number of replicate = 2	mutscan(edgeR)	0	0.00455718543432291	17	551
0.002	number of replicate = 2	mutscan(limma)	0	0.002742303401655035	17	551
0.002	number of replicate = 3	DiMSum	0	0.00546448087431694	17	549
0.002	number of replicate = 3	Enrich2	0	0.00364298724954462	17	549
0.002	number of replicate = 3	Naive	0	0.00182149362477231	17	549
0.002	number of replicate = 3	Rosace	0	0.00364298724954462	17	549
0.002	number of replicate = 3	Rosace(nopos)	0	0.00364298724954462	17	549
0.002	number of replicate = 3	mutscan(edgeR)	0	0.00364298724954462	17	549
0.002	number of replicate = 3	mutscan(limma)	0	0.00910746812386156	17	549
0.004	number of replicate = 1	DiMSum	0	0.006358978539220083	17	526
0.004	number of replicate = 1	Enrich2	0	0.010807085774282462	17	526
0.004	number of replicate = 1	Naive	0	0.006995110854741714	17	526
0.004	number of replicate = 1	Rosace	0	0.00953965865134203	17	526
0.004	number of replicate = 1	Rosace(nopos)	0	0.00445781932029563	17	526
0.004	number of replicate = 1	mutscan(edgeR)	0	0.007626368593132907	17	526
0.004	number of replicate = 1	mutscan(limma)	0	0.008905945089871817	17	526
0.004	number of replicate = 2	DiMSum	0	0.00729948883597795	17	551
0.004	number of replicate = 2	Enrich2	0	0.010021811884979765	17	551
0.004	number of replicate = 2	Naive	0	0.005494596979636685	17	551
0.004	number of replicate = 2	Rosace	0	0.00820692985231189	17	551
0.004	number of replicate = 2	Rosace(nopos)	0	0.00729948883597795	17	551
0.004	number of replicate = 2	mutscan(edgeR)	0	0.010031802061306376	17	551
0.004	number of replicate = 2	mutscan(limma)	0	0.00912436104497244	17	551
0.004	number of replicate = 3	DiMSum	0	0.00728597449908925	17	549
0.004	number of replicate = 3	Enrich2	0	0.00910746812386156	17	549
0.004	number of replicate = 3	Naive	0	0.00546448087431694	17	549
0.004	number of replicate = 3	Rosace	0	0.00910746812386156	17	549
0.004	number of replicate = 3	Rosace(nopos)	0	0.00910746812386156	17	549
0.004	number of replicate = 3	mutscan(edgeR)	0	0.00546448087431694	17	549
0.004	number of replicate = 3	mutscan(limma)	0	0.01639344262295082	17	549
0.006	number of replicate = 1	DiMSum	0	0.012084224982456152	17	526
0.006	number of replicate = 1	Enrich2	0	0.01461420465120658	17	526
0.006	number of replicate = 1	Naive	0	0.011450511420985937	17	526
0.006	number of replicate = 1	Rosace	0	0.012713063966795933	17	526
0.006	number of replicate = 1	Rosace(nopos)	0	0.01018792180614833	17	526
0.006	number of replicate = 1	mutscan(edgeR)	0	0.011445636843855503	17	526
0.006	number of replicate = 1	mutscan(limma)	0	0.0146336288216731	17	526
0.006	number of replicate = 2	DiMSum	0	0.013691536655621964	17	551
0.006	number of replicate = 2	Enrich2	0	0.01458898749562929	17	551
0.006	number of replicate = 2	Naive	0	0.010061772590286209	17	551
0.006	number of replicate = 2	Rosace	0	0.011866664446627475	17	551
0.006	number of replicate = 2	Rosace(nopos)	0	0.011856674270300864	17	551
0.006	number of replicate = 2	mutscan(edgeR)	0	0.01457899731930268	17	551
0.006	number of replicate = 2	mutscan(limma)	0	0.010939243077640316	17	551
0.006	number of replicate = 3	DiMSum	0	0.01275045537340619	17	549
0.006	number of replicate = 3	Enrich2	0	0.0145719489981785	17	549
0.006	number of replicate = 3	Naive	0	0.00910746812386156	17	549
0.006	number of replicate = 3	Rosace	0	0.0145719489981785	17	549
0.006	number of replicate = 3	Rosace(nopos)	0	0.01639344262295082	17	549
