rank	FP	TP	n_ctrl	n_sig	method
0.002	0	0.005270092226613966	1931	759	Enrich2
0.004	0	0.006587615283267457	1931	759	Enrich2
0.006	0	0.00922266139657444	1931	759	Enrich2
0.008	0	0.011857707509881422	1931	759	Enrich2
0.01	0	0.01844532279314888	1931	759	Enrich2
0.012	0	0.023715415019762844	1931	759	Enrich2
0.014	0	0.026350461133069828	1931	759	Enrich2
0.016	0	0.030303030303030304	1931	759	Enrich2
0.018	0	0.03689064558629776	1931	759	Enrich2
0.02	0	0.04084321475625823	1931	759	Enrich2
0.022	0	0.04479578392621871	1931	759	Enrich2
0.024	0	0.05006587615283267	1931	759	Enrich2
0.026	0	0.05533596837944664	1931	759	Enrich2
0.028	5.178663904712584e-4	0.061923583662714096	1931	759	Enrich2
0.03	5.178663904712584e-4	0.06587615283267458	1931	759	Enrich2
0.032	5.178663904712584e-4	0.07114624505928854	1931	759	Enrich2
0.034	5.178663904712584e-4	0.0764163372859025	1931	759	Enrich2
0.036	5.178663904712584e-4	0.08432147562582346	1931	759	Enrich2
0.038	5.178663904712584e-4	0.0922266139657444	1931	759	Enrich2
0.04	5.178663904712584e-4	0.09486166007905138	1931	759	Enrich2
0.042	5.178663904712584e-4	0.09881422924901186	1931	759	Enrich2
0.044	5.178663904712584e-4	0.10408432147562582	1931	759	Enrich2
0.046	5.178663904712584e-4	0.10935441370223979	1931	759	Enrich2
0.048	5.178663904712584e-4	0.11330698287220026	1931	759	Enrich2
0.05	5.178663904712584e-4	0.12384716732542819	1931	759	Enrich2
0.052	5.178663904712584e-4	0.13043478260869565	1931	759	Enrich2
0.054	5.178663904712584e-4	0.1370223978919631	1931	759	Enrich2
0.056	5.178663904712584e-4	0.1422924901185771	1931	759	Enrich2
0.058	5.178663904712584e-4	0.14756258234519104	1931	759	Enrich2
0.06	5.178663904712584e-4	0.1541501976284585	1931	759	Enrich2
0.062	5.178663904712584e-4	0.15942028985507245	1931	759	Enrich2
0.064	5.178663904712584e-4	0.16337285902503293	1931	759	Enrich2
0.066	0.0010357327809425167	0.1673254281949934	1931	759	Enrich2
0.068	0.0010357327809425167	0.17523056653491437	1931	759	Enrich2
0.07	0.0015535991714137752	0.18181818181818182	1931	759	Enrich2
0.072	0.0015535991714137752	0.1857707509881423	1931	759	Enrich2
