test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0.02196036422067488	0.061923583662714096	1867	759	Enrich2
0.01	0.26941617568291376	0.6284584980237155	1867	759	Enrich2
0.02	0.29351901446170325	0.6640316205533597	1867	759	Enrich2
0.03	0.30798071772897695	0.6837944664031621	1867	759	Enrich2
0.04	0.3256561328334226	0.69433465085639	1867	759	Enrich2
0.05	0.3379753615425817	0.7048748353096179	1867	759	Enrich2
0.06	0.3497589716122121	0.7154150197628458	1867	759	Enrich2
0.07	0.36261381896089984	0.7285902503293807	1867	759	Enrich2
0.08	0.370112479914301	0.7378129117259552	1867	759	Enrich2
0.09	0.37814675950723087	0.7470355731225297	1867	759	Enrich2
0.1	0.3845741831815747	0.7549407114624506	1867	759	Enrich2
0.11	0.3893947509373326	0.766798418972332	1867	759	Enrich2
0.12	0.39742903053026246	0.7720685111989459	1867	759	Enrich2
0.13	0.401178361006963	0.7773386034255599	1867	759	Enrich2
0.14	0.4086770219603642	0.782608695652174	1867	759	Enrich2
0.15	0.41671130155329406	0.7865612648221344	1867	759	Enrich2
0.16	0.42367434386716657	0.7931488801054019	1867	759	Enrich2
0.17	0.4279592929833958	0.7944664031620553	1867	759	Enrich2
0.18	0.43492233529726837	0.7984189723320159	1867	759	Enrich2
0.19	0.43867166577396893	0.7997364953886693	1867	759	Enrich2
0.2	0.44724156400642745	0.8036890645586298	1867	759	Enrich2
0	0	0	1867	759	Rosace
0.01	0.1542581681842528	0.6350461133069829	1867	759	Rosace
0.02	0.19710765934654526	0.6653491436100132	1867	759	Rosace
0.03	0.22228173540439208	0.686429512516469	1867	759	Rosace
0.04	0.24531333690412427	0.7035573122529645	1867	759	Rosace
0.05	0.26459560792715586	0.7154150197628458	1867	759	Rosace
0.06	0.2806641671130155	0.7272727272727273	1867	759	Rosace
0.07	0.2994108194965185	0.7325428194993412	1867	759	Rosace
0.08	0.3149437600428495	0.7457180500658761	1867	759	Rosace
0.09	0.3283342260310659	0.7575757575757576	1867	759	Rosace
0.1	0.3411890733797536	0.764163372859025	1867	759	Rosace
0.11	0.3513658275307981	0.7720685111989459	1867	759	Rosace
0.12	0.3631494376004285	0.7786561264822134	1867	759	Rosace
0.13	0.3749330476700589	0.7891963109354414	1867	759	Rosace
0.14	0.38403856454204605	0.7957839262187089	1867	759	Rosace
0.15	0.39367970005356184	0.8050065876152833	1867	759	Rosace
0.16	0.40332083556507764	0.8142292490118577	1867	759	Rosace
0.17	0.41189073379753616	0.8155467720685112	1867	759	Rosace
0.18	0.42153186930905195	0.8208168642951251	1867	759	Rosace
0.19	0.4306373861810391	0.8260869565217391	1867	759	Rosace
0.2	0.43813604713444027	0.8274044795783926	1867	759	Rosace
0	0.05249062667380825	0.31225296442687744	1867	759	Rosace(nopos)
0.01	0.19550080342795928	0.6179183135704874	1867	759	Rosace(nopos)
0.02	0.24156400642742368	0.6706192358366272	1867	759	Rosace(nopos)
0.03	0.2774504552758436	0.7035573122529645	1867	759	Rosace(nopos)
0.04	0.31173004820567757	0.7233201581027668	1867	759	Rosace(nopos)
0.05	0.3369041242635244	0.7391304347826086	1867	759	Rosace(nopos)
0.06	0.3594001071237279	0.7602108036890646	1867	759	Rosace(nopos)
0.07	0.37600428494911625	0.7733860342555995	1867	759	Rosace(nopos)
0.08	0.3958221746116765	0.7812911725955204	1867	759	Rosace(nopos)
0.09	0.4209962506695233	0.7905138339920948	1867	759	Rosace(nopos)
0.1	0.44081414033208355	0.7957839262187089	1867	759	Rosace(nopos)
0.11	0.46009641135511514	0.8023715415019763	1867	759	Rosace(nopos)
0.12	0.47937868237814674	0.8129117259552042	1867	759	Rosace(nopos)
0.13	0.4933047670058918	0.8221343873517787	1867	759	Rosace(nopos)
0.14	0.5093733261917515	0.8326745718050066	1867	759	Rosace(nopos)
0.15	0.5275843599357257	0.8445322793148881	1867	759	Rosace(nopos)
0.16	0.5452597750401714	0.847167325428195	1867	759	Rosace(nopos)
0.17	0.5656132833422604	0.852437417654809	1867	759	Rosace(nopos)
0.18	0.5822174611676486	0.855072463768116	1867	759	Rosace(nopos)
0.19	0.600428494911623	0.8642951251646904	1867	759	Rosace(nopos)
0.2	0.6148901981788967	0.8656126482213439	1867	759	Rosace(nopos)
0	0	0	1867	759	Naive
0.01	0.010712372790573112	0.04084321475625823	1867	759	Naive
0.02	0.03267273701124799	0.07114624505928854	1867	759	Naive
0.03	0.04659882163899304	0.10540184453227931	1867	759	Naive
0.04	0.05891805034815212	0.14097496706192358	1867	759	Naive
0.05	0.06963042313872522	0.17786561264822134	1867	759	Naive
0.06	0.08462774504552759	0.2147562582345191	1867	759	Naive
0.07	0.10337439742903053	0.2450592885375494	1867	759	Naive
0.08	0.11676486341724691	0.28326745718050067	1867	759	Naive
0.09	0.13176218532404926	0.3254281949934124	1867	759	Naive
0.1	0.144617032672737	0.3570487483530962	1867	759	Naive
0.11	0.15747188002142476	0.38735177865612647	1867	759	Naive
0.12	0.17193358328869845	0.42028985507246375	1867	759	Naive
0.13	0.18532404927691484	0.44664031620553357	1867	759	Naive
0.14	0.20139260846277451	0.4756258234519104	1867	759	Naive
0.15	0.21746116764863418	0.5019762845849802	1867	759	Naive
0.16	0.2244242099625067	0.525691699604743	1867	759	Naive
0.17	0.2351365827530798	0.541501976284585	1867	759	Naive
0.18	0.24906266738082486	0.5599472990777339	1867	759	Naive
0.19	0.25870380289234063	0.5783926218708827	1867	759	Naive
0.2	0.2726298875200857	0.5928853754940712	1867	759	Naive
0	0	0	1867	759	mutscan(edgeR)
0.01	0.044456347080878415	0.5085638998682477	1867	759	mutscan(edgeR)
0.02	0.05731119442956615	0.5559947299077734	1867	759	mutscan(edgeR)
0.03	0.0723085163363685	0.5783926218708827	1867	759	mutscan(edgeR)
0.04	0.08141403320835565	0.5915678524374176	1867	759	mutscan(edgeR)
0.05	0.09212640599892877	0.6034255599472991	1867	759	mutscan(edgeR)
0.06	0.10551687198714516	0.6126482213438735	1867	759	mutscan(edgeR)
0.07	0.1146223888591323	0.6152832674571805	1867	759	mutscan(edgeR)
0.08	0.12640599892876273	0.6245059288537549	1867	759	mutscan(edgeR)
0.09	0.13604713444027852	0.6337285902503293	1867	759	mutscan(edgeR)
0.1	0.146223888591323	0.6389986824769434	1867	759	mutscan(edgeR)
0.11	0.15640064274236742	0.6442687747035574	1867	759	mutscan(edgeR)
0.12	0.16604177825388325	0.6534914361001317	1867	759	mutscan(edgeR)
0.13	0.1783610069630423	0.6587615283267457	1867	759	mutscan(edgeR)
0.14	0.18853776111408677	0.6666666666666666	1867	759	mutscan(edgeR)
0.15	0.19871451526513123	0.6732542819499341	1867	759	mutscan(edgeR)
0.16	0.2062131762185324	0.6785243741765481	1867	759	mutscan(edgeR)
0.17	0.21210498125334762	0.6824769433465085	1867	759	mutscan(edgeR)
0.18	0.22013926084627744	0.6824769433465085	1867	759	mutscan(edgeR)
0.19	0.2292447777182646	0.686429512516469	1867	759	mutscan(edgeR)
0.2	0.2362078200321371	0.6903820816864296	1867	759	mutscan(edgeR)
0	0	0	1867	759	mutscan(limma)
0.01	0.03267273701124799	0.5586297760210803	1867	759	mutscan(limma)
0.02	0.04231387252276379	0.5823451910408433	1867	759	mutscan(limma)
0.03	0.05463310123192287	0.6007905138339921	1867	759	mutscan(limma)
0.04	0.059989287627209426	0.6073781291172595	1867	759	mutscan(limma)
0.05	0.06320299946438136	0.6179183135704874	1867	759	mutscan(limma)
0.06	0.07445099089448312	0.6258234519104084	1867	759	mutscan(limma)
0.07	0.07873594001071238	0.6350461133069829	1867	759	mutscan(limma)
0.08	0.08623460096411355	0.6416337285902504	1867	759	mutscan(limma)
0.09	0.09534011783610069	0.6482213438735178	1867	759	mutscan(limma)
0.1	0.10176754151044456	0.6574440052700923	1867	759	mutscan(limma)
0.11	0.11194429566148902	0.6640316205533597	1867	759	mutscan(limma)
0.12	0.11622924477771826	0.6706192358366272	1867	759	mutscan(limma)
0.13	0.12104981253347616	0.6732542819499341	1867	759	mutscan(limma)
0.14	0.12961971076593465	0.6758893280632411	1867	759	mutscan(limma)
0.15	0.13176218532404926	0.6811594202898551	1867	759	mutscan(limma)
0.16	0.13604713444027852	0.6930171277997365	1867	759	mutscan(limma)
0.17	0.1424745581146224	0.69433465085639	1867	759	mutscan(limma)
0.18	0.15050883770755222	0.6956521739130435	1867	759	mutscan(limma)
0.19	0.15640064274236742	0.7022397891963109	1867	759	mutscan(limma)
0.2	0.16604177825388325	0.7075098814229249	1867	759	mutscan(limma)
0	0	0	1867	759	DiMSum
0.01	0.13604713444027852	0.42160737812911725	1867	759	DiMSum
0.02	0.17621853240492769	0.47299077733860345	1867	759	DiMSum
0.03	0.21156936261381895	0.5151515151515151	1867	759	DiMSum
0.04	0.2458489555436529	0.5454545454545454	1867	759	DiMSum
0.05	0.2710230316014997	0.5691699604743083	1867	759	DiMSum
0.06	0.2919121585431173	0.5783926218708827	1867	759	DiMSum
0.07	0.3085163363685056	0.5928853754940712	1867	759	DiMSum
0.08	0.32886984467059455	0.5981554677206851	1867	759	DiMSum
0.09	0.34333154793786824	0.6060606060606061	1867	759	DiMSum
0.1	0.3556507766470273	0.6231884057971014	1867	759	DiMSum
0.11	0.3679700053561864	0.6350461133069829	1867	759	DiMSum
0.12	0.3776111408677022	0.6416337285902504	1867	759	DiMSum
0.13	0.38832351365827533	0.6508563899868248	1867	759	DiMSum
0.14	0.4054633101231923	0.6640316205533597	1867	759	DiMSum
0.15	0.4172469201928227	0.6679841897233202	1867	759	DiMSum
0.16	0.4279592929833958	0.6758893280632411	1867	759	DiMSum
0.17	0.43492233529726837	0.6824769433465085	1867	759	DiMSum
0.18	0.44295661489019816	0.691699604743083	1867	759	DiMSum
0.19	0.45420460632029996	0.7048748353096179	1867	759	DiMSum
0.2	0.4633101231922871	0.7127799736495388	1867	759	DiMSum
