test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0	-1	6	0	Enrich2
0.01	0.16666666666666666	-1	6	0	Enrich2
0.02	0.16666666666666666	-1	6	0	Enrich2
0.03	0.16666666666666666	-1	6	0	Enrich2
0.04	0.16666666666666666	-1	6	0	Enrich2
0.05	0.16666666666666666	-1	6	0	Enrich2
0.06	0.16666666666666666	-1	6	0	Enrich2
0.07	0.16666666666666666	-1	6	0	Enrich2
0.08	0.16666666666666666	-1	6	0	Enrich2
0.09	0.16666666666666666	-1	6	0	Enrich2
0.1	0.16666666666666666	-1	6	0	Enrich2
0.11	0.16666666666666666	-1	6	0	Enrich2
0.12	0.16666666666666666	-1	6	0	Enrich2
0.13	0.16666666666666666	-1	6	0	Enrich2
0.14	0.16666666666666666	-1	6	0	Enrich2
0.15	0.16666666666666666	-1	6	0	Enrich2
0.16	0.16666666666666666	-1	6	0	Enrich2
0.17	0.16666666666666666	-1	6	0	Enrich2
0.18	0.3333333333333333	-1	6	0	Enrich2
0.19	0.3333333333333333	-1	6	0	Enrich2
0.2	0.3333333333333333	-1	6	0	Enrich2
0	0	-1	6	0	Rosace
0.01	0	-1	6	0	Rosace
0.02	0	-1	6	0	Rosace
0.03	0	-1	6	0	Rosace
0.04	0	-1	6	0	Rosace
0.05	0	-1	6	0	Rosace
0.06	0	-1	6	0	Rosace
0.07	0	-1	6	0	Rosace
0.08	0	-1	6	0	Rosace
0.09	0	-1	6	0	Rosace
0.1	0.16666666666666666	-1	6	0	Rosace
0.11	0.16666666666666666	-1	6	0	Rosace
0.12	0.16666666666666666	-1	6	0	Rosace
0.13	0.16666666666666666	-1	6	0	Rosace
0.14	0.3333333333333333	-1	6	0	Rosace
0.15	0.3333333333333333	-1	6	0	Rosace
0.16	0.3333333333333333	-1	6	0	Rosace
0.17	0.3333333333333333	-1	6	0	Rosace
0.18	0.3333333333333333	-1	6	0	Rosace
0.19	0.3333333333333333	-1	6	0	Rosace
0.2	0.3333333333333333	-1	6	0	Rosace
0	0	-1	6	0	Rosace(nopos)
0.01	0	-1	6	0	Rosace(nopos)
0.02	0	-1	6	0	Rosace(nopos)
0.03	0	-1	6	0	Rosace(nopos)
0.04	0.16666666666666666	-1	6	0	Rosace(nopos)
0.05	0.16666666666666666	-1	6	0	Rosace(nopos)
0.06	0.16666666666666666	-1	6	0	Rosace(nopos)
0.07	0.3333333333333333	-1	6	0	Rosace(nopos)
0.08	0.3333333333333333	-1	6	0	Rosace(nopos)
0.09	0.3333333333333333	-1	6	0	Rosace(nopos)
0.1	0.3333333333333333	-1	6	0	Rosace(nopos)
0.11	0.3333333333333333	-1	6	0	Rosace(nopos)
0.12	0.3333333333333333	-1	6	0	Rosace(nopos)
0.13	0.3333333333333333	-1	6	0	Rosace(nopos)
0.14	0.3333333333333333	-1	6	0	Rosace(nopos)
0.15	0.3333333333333333	-1	6	0	Rosace(nopos)
0.16	0.3333333333333333	-1	6	0	Rosace(nopos)
0.17	0.3333333333333333	-1	6	0	Rosace(nopos)
0.18	0.3333333333333333	-1	6	0	Rosace(nopos)
0.19	0.3333333333333333	-1	6	0	Rosace(nopos)
0.2	0.3333333333333333	-1	6	0	Rosace(nopos)
0	0	-1	6	0	Naive
0.01	0.16666666666666666	-1	6	0	Naive
0.02	0.16666666666666666	-1	6	0	Naive
0.03	0.16666666666666666	-1	6	0	Naive
0.04	0.16666666666666666	-1	6	0	Naive
0.05	0.16666666666666666	-1	6	0	Naive
0.06	0.16666666666666666	-1	6	0	Naive
0.07	0.16666666666666666	-1	6	0	Naive
0.08	0.16666666666666666	-1	6	0	Naive
0.09	0.16666666666666666	-1	6	0	Naive
0.1	0.16666666666666666	-1	6	0	Naive
0.11	0.16666666666666666	-1	6	0	Naive
0.12	0.16666666666666666	-1	6	0	Naive
0.13	0.16666666666666666	-1	6	0	Naive
0.14	0.16666666666666666	-1	6	0	Naive
0.15	0.16666666666666666	-1	6	0	Naive
0.16	0.16666666666666666	-1	6	0	Naive
0.17	0.16666666666666666	-1	6	0	Naive
0.18	0.16666666666666666	-1	6	0	Naive
0.19	0.16666666666666666	-1	6	0	Naive
0.2	0.16666666666666666	-1	6	0	Naive
0	0	-1	6	0	mutscan(edgeR)
0.01	0	-1	6	0	mutscan(edgeR)
0.02	0	-1	6	0	mutscan(edgeR)
0.03	0	-1	6	0	mutscan(edgeR)
0.04	0	-1	6	0	mutscan(edgeR)
0.05	0	-1	6	0	mutscan(edgeR)
0.06	0	-1	6	0	mutscan(edgeR)
0.07	0	-1	6	0	mutscan(edgeR)
0.08	0	-1	6	0	mutscan(edgeR)
0.09	0	-1	6	0	mutscan(edgeR)
0.1	0	-1	6	0	mutscan(edgeR)
0.11	0.16666666666666666	-1	6	0	mutscan(edgeR)
0.12	0.16666666666666666	-1	6	0	mutscan(edgeR)
0.13	0.16666666666666666	-1	6	0	mutscan(edgeR)
0.14	0.16666666666666666	-1	6	0	mutscan(edgeR)
0.15	0.16666666666666666	-1	6	0	mutscan(edgeR)
0.16	0.16666666666666666	-1	6	0	mutscan(edgeR)
0.17	0.16666666666666666	-1	6	0	mutscan(edgeR)
0.18	0.16666666666666666	-1	6	0	mutscan(edgeR)
0.19	0.16666666666666666	-1	6	0	mutscan(edgeR)
0.2	0.16666666666666666	-1	6	0	mutscan(edgeR)
0	0	-1	6	0	mutscan(limma)
0.01	0	-1	6	0	mutscan(limma)
0.02	0	-1	6	0	mutscan(limma)
0.03	0	-1	6	0	mutscan(limma)
0.04	0	-1	6	0	mutscan(limma)
0.05	0	-1	6	0	mutscan(limma)
0.06	0	-1	6	0	mutscan(limma)
0.07	0	-1	6	0	mutscan(limma)
0.08	0.16666666666666666	-1	6	0	mutscan(limma)
0.09	0.16666666666666666	-1	6	0	mutscan(limma)
0.1	0.16666666666666666	-1	6	0	mutscan(limma)
0.11	0.16666666666666666	-1	6	0	mutscan(limma)
