test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0	0.013029315960912053	1101	307	Enrich2
0.01	0.6103542234332425	0.9022801302931596	1101	307	Enrich2
0.02	0.6439600363306085	0.9055374592833876	1101	307	Enrich2
0.03	0.6657584014532243	0.9087947882736156	1101	307	Enrich2
0.04	0.6839237057220708	0.9120521172638436	1101	307	Enrich2
0.05	0.6939146230699365	0.9218241042345277	1101	307	Enrich2
0.06	0.709355131698456	0.9218241042345277	1101	307	Enrich2
0.07	0.7238873751135332	0.9250814332247557	1101	307	Enrich2
0.08	0.7284287011807448	0.9283387622149837	1101	307	Enrich2
0.09	0.7320617620345141	0.9283387622149837	1101	307	Enrich2
0.1	0.7411444141689373	0.9283387622149837	1101	307	Enrich2
0.11	0.7502270663033606	0.9283387622149837	1101	307	Enrich2
0.12	0.7593097184377838	0.9283387622149837	1101	307	Enrich2
0.13	0.7683923705722071	0.9315960912052117	1101	307	Enrich2
0.14	0.7729336966394187	0.9315960912052117	1101	307	Enrich2
0.15	0.7756584922797457	0.9315960912052117	1101	307	Enrich2
0.16	0.7774750227066304	0.9315960912052117	1101	307	Enrich2
0.17	0.779291553133515	0.9315960912052117	1101	307	Enrich2
0.18	0.7829246139872843	0.9348534201954397	1101	307	Enrich2
0.19	0.7874659400544959	0.9381107491856677	1101	307	Enrich2
0.2	0.7892824704813806	0.9381107491856677	1101	307	Enrich2
0	0	0	1101	307	Rosace
0.01	0.659400544959128	0.9120521172638436	1101	307	Rosace
0.02	0.6857402361489555	0.9218241042345277	1101	307	Rosace
0.03	0.706630336058129	0.9250814332247557	1101	307	Rosace
0.04	0.7193460490463215	0.9283387622149837	1101	307	Rosace
0.05	0.734786557674841	0.9315960912052117	1101	307	Rosace
0.06	0.7420526793823796	0.9348534201954397	1101	307	Rosace
0.07	0.7529518619436876	0.9413680781758957	1101	307	Rosace
0.08	0.7611262488646685	0.9413680781758957	1101	307	Rosace
0.09	0.7665758401453224	0.9511400651465798	1101	307	Rosace
0.1	0.773841961852861	0.9543973941368078	1101	307	Rosace
0.11	0.7801998183469573	0.9543973941368078	1101	307	Rosace
0.12	0.7892824704813806	0.9576547231270358	1101	307	Rosace
0.13	0.7974568574023615	0.9576547231270358	1101	307	Rosace
0.14	0.8029064486830154	0.9576547231270358	1101	307	Rosace
0.15	0.8065395095367848	0.9576547231270358	1101	307	Rosace
0.16	0.810172570390554	0.9576547231270358	1101	307	Rosace
0.17	0.8138056312443234	0.9576547231270358	1101	307	Rosace
0.18	0.818346957311535	0.9609120521172638	1101	307	Rosace
0.19	0.8201634877384196	0.9609120521172638	1101	307	Rosace
0.2	0.8247048138056312	0.9674267100977199	1101	307	Rosace
0	0.5376930063578564	0.8664495114006515	1101	307	Rosace(nopos)
0.01	0.6848319709355132	0.9153094462540716	1101	307	Rosace(nopos)
0.02	0.7084468664850136	0.9348534201954397	1101	307	Rosace(nopos)
0.03	0.7311534968210718	0.9348534201954397	1101	307	Rosace(nopos)
0.04	0.7538601271571299	0.9446254071661238	1101	307	Rosace(nopos)
0.05	0.7702089009990918	0.9446254071661238	1101	307	Rosace(nopos)
0.06	0.7829246139872843	0.9543973941368078	1101	307	Rosace(nopos)
0.07	0.7947320617620345	0.9543973941368078	1101	307	Rosace(nopos)
0.08	0.8038147138964578	0.9576547231270358	1101	307	Rosace(nopos)
0.09	0.8119891008174387	0.9576547231270358	1101	307	Rosace(nopos)
0.1	0.821071752951862	0.9576547231270358	1101	307	Rosace(nopos)
0.11	0.8256130790190735	0.9609120521172638	1101	307	Rosace(nopos)
0.12	0.8346957311534968	0.9609120521172638	1101	307	Rosace(nopos)
0.13	0.8401453224341507	0.9641693811074918	1101	307	Rosace(nopos)
0.14	0.8483197093551317	0.9674267100977199	1101	307	Rosace(nopos)
0.15	0.8537693006357856	0.9739413680781759	1101	307	Rosace(nopos)
0.16	0.8619436875567665	0.9771986970684039	1101	307	Rosace(nopos)
0.17	0.8683015440508629	0.9771986970684039	1101	307	Rosace(nopos)
0.18	0.8737511353315168	0.9771986970684039	1101	307	Rosace(nopos)
0.19	0.8810172570390554	0.9771986970684039	1101	307	Rosace(nopos)
0.2	0.8846503178928247	0.9771986970684039	1101	307	Rosace(nopos)
0	0	0	1101	307	Naive
0.01	0.6811989100817438	0.9185667752442996	1101	307	Naive
0.02	0.7157129881925522	0.9315960912052117	1101	307	Naive
0.03	0.7338782924613987	0.9413680781758957	1101	307	Naive
0.04	0.7493188010899182	0.9511400651465798	1101	307	Naive
0.05	0.7647593097184378	0.9543973941368078	1101	307	Naive
0.06	0.7756584922797457	0.9543973941368078	1101	307	Naive
0.07	0.7829246139872843	0.9576547231270358	1101	307	Naive
0.08	0.7956403269754768	0.9576547231270358	1101	307	Naive
0.09	0.8001816530426885	0.9576547231270358	1101	307	Naive
0.1	0.8056312443233424	0.9609120521172638	1101	307	Naive
0.11	0.8119891008174387	0.9609120521172638	1101	307	Naive
0.12	0.8201634877384196	0.9609120521172638	1101	307	Naive
