rank	FP	TP	n_ctrl	n_sig	method
0.002	0	0.006514657980456026	1101	307	Enrich2
0.004	0	0.013029315960912053	1101	307	Enrich2
0.006	0	0.019543973941368076	1101	307	Enrich2
0.008	0	0.019543973941368076	1101	307	Enrich2
0.01	0.0018165304268846503	0.019543973941368076	1101	307	Enrich2
0.012	0.0027247956403269754	0.02280130293159609	1101	307	Enrich2
0.014	0.004541326067211626	0.02280130293159609	1101	307	Enrich2
0.016	0.006357856494096276	0.02280130293159609	1101	307	Enrich2
0.018	0.007266121707538601	0.029315960912052116	1101	307	Enrich2
0.02	0.009990917347865577	0.029315960912052116	1101	307	Enrich2
0.022	0.012715712988192553	0.029315960912052116	1101	307	Enrich2
0.024	0.013623978201634877	0.029315960912052116	1101	307	Enrich2
0.026	0.015440508628519528	0.03257328990228013	1101	307	Enrich2
0.028	0.01634877384196185	0.03257328990228013	1101	307	Enrich2
0.03	0.01725703905540418	0.03257328990228013	1101	307	Enrich2
0.032	0.01725703905540418	0.03257328990228013	1101	307	Enrich2
0.034	0.018165304268846504	0.03257328990228013	1101	307	Enrich2
0.036	0.019981834695731154	0.035830618892508145	1101	307	Enrich2
0.038	0.02089009990917348	0.03908794788273615	1101	307	Enrich2
0.04	0.022706630336058128	0.04560260586319218	1101	307	Enrich2
0.042	0.023614895549500452	0.048859934853420196	1101	307	Enrich2
0.044	0.023614895549500452	0.05211726384364821	1101	307	Enrich2
0.046	0.025431425976385105	0.05863192182410423	1101	307	Enrich2
0.048	0.02633969118982743	0.05863192182410423	1101	307	Enrich2
0.05	0.02633969118982743	0.05863192182410423	1101	307	Enrich2
0.052	0.02633969118982743	0.05863192182410423	1101	307	Enrich2
0.054	0.02633969118982743	0.06514657980456026	1101	307	Enrich2
0.056	0.029064486830154404	0.06514657980456026	1101	307	Enrich2
0.058	0.029064486830154404	0.06840390879478828	1101	307	Enrich2
0.06	0.030881017257039057	0.06840390879478828	1101	307	Enrich2
0.062	0.03178928247048138	0.07166123778501629	1101	307	Enrich2
0.064	0.0326975476839237	0.08143322475570032	1101	307	Enrich2
0.066	0.0326975476839237	0.08143322475570032	1101	307	Enrich2
0.068	0.0326975476839237	0.08143322475570032	1101	307	Enrich2
0.07	0.03451407811080836	0.08794788273615635	1101	307	Enrich2
0.072	0.03451407811080836	0.09771986970684039	1101	307	Enrich2
0.074	0.035422343324250684	0.10749185667752444	1101	307	Enrich2
0.076	0.035422343324250684	0.11074918566775244	1101	307	Enrich2
0.078	0.03814713896457766	0.11400651465798045	1101	307	Enrich2
0.08	0.03905540417801998	0.11400651465798045	1101	307	Enrich2
0.082	0.03996366939146231	0.11726384364820847	1101	307	Enrich2
0.084	0.03996366939146231	0.1237785016286645	1101	307	Enrich2
0.086	0.04178019981834696	0.1237785016286645	1101	307	Enrich2
0.088	0.04178019981834696	0.1237785016286645	1101	307	Enrich2
0.09	0.04268846503178928	0.1237785016286645	1101	307	Enrich2
0.092	0.043596730245231606	0.13029315960912052	1101	307	Enrich2
0.094	0.04450499545867393	0.13680781758957655	1101	307	Enrich2
0.096	0.045413260672116255	0.13680781758957655	1101	307	Enrich2
0.098	0.045413260672116255	0.14332247557003258	1101	307	Enrich2
0.1	0.04632152588555858	0.1465798045602606	1101	307	Enrich2
0.102	0.047229791099000905	0.15309446254071662	1101	307	Enrich2
0.104	0.04904632152588556	0.1563517915309446	1101	307	Enrich2
0.106	0.05086285195277021	0.15960912052117263	1101	307	Enrich2
0.108	0.05267938237965486	0.16286644951140064	1101	307	Enrich2
0.11	0.05267938237965486	0.16612377850162866	1101	307	Enrich2
0.112	0.053587647593097185	0.16612377850162866	1101	307	Enrich2
0.114	0.05449591280653951	0.16612377850162866	1101	307	Enrich2
0.116	0.055404178019981834	0.16938110749185667	1101	307	Enrich2
0.118	0.055404178019981834	0.1758957654723127	1101	307	Enrich2
0.12	0.055404178019981834	0.1758957654723127	1101	307	Enrich2
0.122	0.05631244323342416	0.1758957654723127	1101	307	Enrich2
0.124	0.05812897366030881	0.18241042345276873	1101	307	Enrich2
0.126	0.05903723887375113	0.18241042345276873	1101	307	Enrich2
0.128	0.05903723887375113	0.18241042345276873	1101	307	Enrich2
0.13	0.05994550408719346	0.19218241042345277	1101	307	Enrich2
0.132	0.05994550408719346	0.19543973941368079	1101	307	Enrich2
0.134	0.06085376930063579	0.1986970684039088	1101	307	Enrich2
0.136	0.06085376930063579	0.20846905537459284	1101	307	Enrich2
0.138	0.06085376930063579	0.21172638436482086	1101	307	Enrich2
0.14	0.06357856494096276	0.21498371335504887	1101	307	Enrich2
0.142	0.06448683015440508	0.2182410423452769	1101	307	Enrich2
0.144	0.0653950953678474	0.22149837133550487	1101	307	Enrich2
0.146	0.06630336058128973	0.22149837133550487	1101	307	Enrich2
0.148	0.067211625794732055	0.2280130293159609	1101	307	Enrich2
0.15	0.07084468664850137	0.23127035830618892	1101	307	Enrich2
0.152	0.07175295186194369	0.23127035830618892	1101	307	Enrich2
0.154	0.07266121707538602	0.23127035830618892	1101	307	Enrich2
0.156	0.07266121707538602	0.23778501628664495	1101	307	Enrich2
0.158	0.07356948228882834	0.24104234527687296	1101	307	Enrich2
0.16	0.07538601271571299	0.250814332247557	1101	307	Enrich2
0.162	0.07538601271571299	0.254071661237785	1101	307	Enrich2
0.164	0.07629427792915532	0.25732899022801303	1101	307	Enrich2
0.166	0.07720254314259764	0.2671009771986971	1101	307	Enrich2
0.168	0.07720254314259764	0.2768729641693811	1101	307	Enrich2
0.17	0.07811080835603997	0.28338762214983715	1101	307	Enrich2
0.172	0.07811080835603997	0.28338762214983715	1101	307	Enrich2
0.174	0.07992733878292461	0.28664495114006516	1101	307	Enrich2
0.176	0.08083560399636694	0.2899022801302932	1101	307	Enrich2
0.178	0.08265213442325159	0.2931596091205212	1101	307	Enrich2
0.18	0.08265213442325159	0.2964169381107492	1101	307	Enrich2
0.182	0.08356039963669391	0.2996742671009772	1101	307	Enrich2
0.184	0.08446866485013624	0.30293159609120524	1101	307	Enrich2
0.186	0.08446866485013624	0.30944625407166126	1101	307	Enrich2
0.188	0.08537693006357856	0.3127035830618892	1101	307	Enrich2
0.19	0.08537693006357856	0.31921824104234525	1101	307	Enrich2
0.192	0.08628519527702089	0.31921824104234525	1101	307	Enrich2
0.194	0.08900999091734786	0.32247557003257327	1101	307	Enrich2
0.196	0.08991825613079019	0.3257328990228013	1101	307	Enrich2
0.198	0.09082652134423251	0.3289902280130293	1101	307	Enrich2
0.2	0.09264305177111716	0.3322475570032573	1101	307	Enrich2
0.202	0.09355131698455948	0.34201954397394135	1101	307	Enrich2
0.204	0.09445958219800181	0.3517915309446254	1101	307	Enrich2
0.206	0.09445958219800181	0.3550488599348534	1101	307	Enrich2
0.208	0.09536784741144415	0.3583061889250814	1101	307	Enrich2
0.21	0.0971843778383288	0.36156351791530944	1101	307	Enrich2
0.212	0.09809264305177112	0.36807817589576547	1101	307	Enrich2
0.214	0.09809264305177112	0.36807817589576547	1101	307	Enrich2
0.216	0.09900090826521345	0.3713355048859935	1101	307	Enrich2
0.218	0.09900090826521345	0.3778501628664495	1101	307	Enrich2
0.22	0.1008174386920981	0.3811074918566775	1101	307	Enrich2
0.222	0.1008174386920981	0.38762214983713356	1101	307	Enrich2
0.224	0.1008174386920981	0.39087947882736157	1101	307	Enrich2
0.226	0.1008174386920981	0.4006514657980456	1101	307	Enrich2
0.228	0.10263396911898275	0.40716612377850164	1101	307	Enrich2
0.23	0.1044504995458674	0.40716612377850164	1101	307	Enrich2
0.232	0.10535876475930972	0.40716612377850164	1101	307	Enrich2
0.234	0.10626702997275204	0.41368078175895767	1101	307	Enrich2
0.236	0.10717529518619437	0.41368078175895767	1101	307	Enrich2
0.238	0.10899182561307902	0.4169381107491857	1101	307	Enrich2
0.24	0.10899182561307902	0.4169381107491857	1101	307	Enrich2
0.242	0.11171662125340599	0.4201954397394137	1101	307	Enrich2
0.244	0.11444141689373297	0.4234527687296417	1101	307	Enrich2
0.246	0.11444141689373297	0.42671009771986973	1101	307	Enrich2
0.248	0.11625794732061762	0.42996742671009774	1101	307	Enrich2
0.25	0.11716621253405994	0.43322475570032576	1101	307	Enrich2
0.252	0.11716621253405994	0.4364820846905538	1101	307	Enrich2
0.254	0.11716621253405994	0.43973941368078173	1101	307	Enrich2
0.256	0.11716621253405994	0.44299674267100975	1101	307	Enrich2
0.258	0.11898274296094459	0.44625407166123776	1101	307	Enrich2
0.26	0.11898274296094459	0.4560260586319218	1101	307	Enrich2
0.262	0.11989100817438691	0.4560260586319218	1101	307	Enrich2
0.264	0.11989100817438691	0.46254071661237783	1101	307	Enrich2
0.266	0.12170753860127158	0.46579804560260585	1101	307	Enrich2
0.268	0.12352406902815623	0.46905537459283386	1101	307	Enrich2
0.27	0.12443233424159855	0.4723127035830619	1101	307	Enrich2
0.272	0.12534059945504086	0.4755700325732899	1101	307	Enrich2
0.274	0.1262488646684832	0.4755700325732899	1101	307	Enrich2
0.276	0.12897366030881016	0.4788273615635179	1101	307	Enrich2
0.278	0.1298819255222525	0.4788273615635179	1101	307	Enrich2
0.28	0.1307901907356948	0.4788273615635179	1101	307	Enrich2
0.282	0.13169845594913715	0.4820846905537459	1101	307	Enrich2
0.284	0.1344232515894641	0.4820846905537459	1101	307	Enrich2
0.286	0.1344232515894641	0.4820846905537459	1101	307	Enrich2
0.288	0.13533151680290645	0.4820846905537459	1101	307	Enrich2
0.29	0.1371480472297911	0.48534201954397393	1101	307	Enrich2
0.292	0.13805631244323344	0.48859934853420195	1101	307	Enrich2
0.294	0.13805631244323344	0.498371335504886	1101	307	Enrich2
0.296	0.1407811080835604	0.498371335504886	1101	307	Enrich2
0.298	0.14168937329700274	0.501628664495114	1101	307	Enrich2
0.3	0.1444141689373297	0.504885993485342	1101	307	Enrich2
0.302	0.14532243415077203	0.511400651465798	1101	307	Enrich2
0.304	0.14623069936421434	0.5146579804560261	1101	307	Enrich2
0.306	0.14713896457765668	0.5211726384364821	1101	307	Enrich2
0.308	0.14895549500454133	0.5244299674267101	1101	307	Enrich2
0.31	0.14986376021798364	0.5276872964169381	1101	307	Enrich2
0.312	0.15077202543142598	0.5276872964169381	1101	307	Enrich2
0.314	0.15349682107175294	0.5276872964169381	1101	307	Enrich2
0.316	0.1553133514986376	0.5342019543973942	1101	307	Enrich2
0.318	0.15712988192552224	0.5342019543973942	1101	307	Enrich2
0.32	0.15985467756584923	0.5342019543973942	1101	307	Enrich2
0.322	0.15985467756584923	0.5342019543973942	1101	307	Enrich2
0.324	0.16167120799273388	0.5407166123778502	1101	307	Enrich2
0.326	0.16348773841961853	0.5439739413680782	1101	307	Enrich2
0.328	0.16348773841961853	0.5472312703583062	1101	307	Enrich2
0.33	0.16712079927338783	0.5472312703583062	1101	307	Enrich2
0.332	0.16984559491371481	0.5472312703583062	1101	307	Enrich2
0.334	0.17166212534059946	0.5504885993485342	1101	307	Enrich2
0.336	0.17166212534059946	0.5570032573289903	1101	307	Enrich2
0.338	0.1734786557674841	0.5635179153094463	1101	307	Enrich2
0.34	0.17620345140781107	0.5635179153094463	1101	307	Enrich2
0.342	0.17620345140781107	0.5635179153094463	1101	307	Enrich2
0.344	0.1771117166212534	0.5635179153094463	1101	307	Enrich2
0.346	0.17983651226158037	0.5700325732899023	1101	307	Enrich2
0.348	0.1807447774750227	0.5732899022801303	1101	307	Enrich2
0.35	0.184377838328792	0.5765472312703583	1101	307	Enrich2
0.352	0.18528610354223432	0.5798045602605864	1101	307	Enrich2
0.354	0.18619436875567666	0.5830618892508144	1101	307	Enrich2
0.356	0.18710263396911897	0.5895765472312704	1101	307	Enrich2
0.358	0.1880108991825613	0.5895765472312704	1101	307	Enrich2
0.36	0.18891916439600362	0.5895765472312704	1101	307	Enrich2
0.362	0.1916439600363306	0.5895765472312704	1101	307	Enrich2
0.364	0.1943687556766576	0.5928338762214984	1101	307	Enrich2
0.366	0.19709355131698456	0.5928338762214984	1101	307	Enrich2
0.368	0.1980018165304269	0.5960912052117264	1101	307	Enrich2
0.37	0.19981834695731154	0.5993485342019544	1101	307	Enrich2
0.372	0.2016348773841962	0.6026058631921825	1101	307	Enrich2
0.374	0.20435967302452315	0.6026058631921825	1101	307	Enrich2
0.376	0.2061762034514078	0.6058631921824105	1101	307	Enrich2
0.378	0.20708446866485014	0.6091205211726385	1101	307	Enrich2
0.38	0.20799273387829245	0.6156351791530945	1101	307	Enrich2
0.382	0.2098092643051771	0.6188925081433225	1101	307	Enrich2
0.384	0.2125340599455041	0.6188925081433225	1101	307	Enrich2
0.386	0.2161671207992734	0.6188925081433225	1101	307	Enrich2
0.388	0.21889191643960038	0.6221498371335505	1101	307	Enrich2
0.39	0.2198001816530427	0.6319218241042345	1101	307	Enrich2
0.392	0.22161671207992734	0.6351791530944625	1101	307	Enrich2
0.394	0.22343324250681199	0.6351791530944625	1101	307	Enrich2
0.396	0.22615803814713897	0.6384364820846905	1101	307	Enrich2
0.398	0.22888283378746593	0.6384364820846905	1101	307	Enrich2
0.4	0.23160762942779292	0.6384364820846905	1101	307	Enrich2
0.402	0.23614895549500453	0.6416938110749185	1101	307	Enrich2
0.404	0.23796548592188918	0.6416938110749185	1101	307	Enrich2
0.406	0.24069028156221617	0.6449511400651465	1101	307	Enrich2
0.408	0.24159854677565848	0.6482084690553745	1101	307	Enrich2
0.41	0.24250681198910082	0.6482084690553745	1101	307	Enrich2
0.412	0.24341507720254316	0.6547231270358306	1101	307	Enrich2
0.414	0.24704813805631246	0.6547231270358306	1101	307	Enrich2
0.416	0.24795640326975477	0.6644951140065146	1101	307	Enrich2
0.418	0.24977293369663942	0.6644951140065146	1101	307	Enrich2
0.42	0.25158946412352406	0.6677524429967426	1101	307	Enrich2
0.422	0.254314259763851	0.6677524429967426	1101	307	Enrich2
0.424	0.2561307901907357	0.6677524429967426	1101	307	Enrich2
0.426	0.25703905540417804	0.6710097719869706	1101	307	Enrich2
0.428	0.26248864668483196	0.6710097719869706	1101	307	Enrich2
0.43	0.2633969118982743	0.6775244299674267	1101	307	Enrich2
0.432	0.26430517711171664	0.6807817589576547	1101	307	Enrich2
0.434	0.2670299727520436	0.6840390879478827	1101	307	Enrich2
0.436	0.2706630336058129	0.6840390879478827	1101	307	Enrich2
0.438	0.27520435967302453	0.6840390879478827	1101	307	Enrich2
0.44	0.27702089009990916	0.6840390879478827	1101	307	Enrich2
0.442	0.27974568574023617	0.6840390879478827	1101	307	Enrich2
0.444	0.2815622161671208	0.6840390879478827	1101	307	Enrich2
0.446	0.28428701180744775	0.6872964169381107	1101	307	Enrich2
0.448	0.2888283378746594	0.6872964169381107	1101	307	Enrich2
0.45	0.28973660308810173	0.6905537459283387	1101	307	Enrich2
0.452	0.2924613987284287	0.6905537459283387	1101	307	Enrich2
0.454	0.29427792915531337	0.6905537459283387	1101	307	Enrich2
0.456	0.2970027247956403	0.6905537459283387	1101	307	Enrich2
0.458	0.29791099000908267	0.6938110749185668	1101	307	Enrich2
0.46	0.29791099000908267	0.7003257328990228	1101	307	Enrich2
0.462	0.298819255222525	0.7003257328990228	1101	307	Enrich2
0.464	0.3006357856494096	0.7035830618892508	1101	307	Enrich2
0.466	0.3024523160762943	0.7068403908794788	1101	307	Enrich2
0.468	0.3033605812897366	0.7068403908794788	1101	307	Enrich2
0.47	0.3060853769300636	0.7068403908794788	1101	307	Enrich2
0.472	0.3079019073569482	0.7100977198697068	1101	307	Enrich2
