test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0.003978779840848806	0.014925373134328358	754	134	Enrich2
0.01	0.7904509283819628	1	754	134	Enrich2
0.02	0.8090185676392573	1	754	134	Enrich2
0.03	0.8209549071618037	1	754	134	Enrich2
0.04	0.8395225464190982	1	754	134	Enrich2
0.05	0.850132625994695	1	754	134	Enrich2
0.06	0.8554376657824934	1	754	134	Enrich2
0.07	0.8594164456233422	1	754	134	Enrich2
0.08	0.8673740053050398	1	754	134	Enrich2
0.09	0.8726790450928382	1	754	134	Enrich2
0.1	0.8726790450928382	1	754	134	Enrich2
0.11	0.8740053050397878	1	754	134	Enrich2
0.12	0.8779840848806366	1	754	134	Enrich2
0.13	0.8779840848806366	1	754	134	Enrich2
0.14	0.883289124668435	1	754	134	Enrich2
0.15	0.883289124668435	1	754	134	Enrich2
0.16	0.8846153846153846	1	754	134	Enrich2
0.17	0.8859416445623343	1	754	134	Enrich2
0.18	0.8925729442970822	1	754	134	Enrich2
0.19	0.8952254641909815	1	754	134	Enrich2
0.2	0.896551724137931	1	754	134	Enrich2
0	0	0	754	134	Rosace
0.01	0.8156498673740054	1	754	134	Rosace
0.02	0.8448275862068966	1	754	134	Rosace
0.03	0.8567639257294429	1	754	134	Rosace
0.04	0.8607427055702918	1	754	134	Rosace
0.05	0.8740053050397878	1	754	134	Rosace
0.06	0.876657824933687	1	754	134	Rosace
0.07	0.8819628647214854	1	754	134	Rosace
0.08	0.883289124668435	1	754	134	Rosace
0.09	0.8885941644562334	1	754	134	Rosace
0.1	0.8925729442970822	1	754	134	Rosace
0.11	0.8925729442970822	1	754	134	Rosace
0.12	0.8952254641909815	1	754	134	Rosace
0.13	0.9005305039787799	1	754	134	Rosace
0.14	0.9005305039787799	1	754	134	Rosace
0.15	0.9005305039787799	1	754	134	Rosace
0.16	0.903183023872679	1	754	134	Rosace
0.17	0.9058355437665783	1	754	134	Rosace
0.18	0.9058355437665783	1	754	134	Rosace
0.19	0.9071618037135278	1	754	134	Rosace
0.2	0.9098143236074271	1	754	134	Rosace
0	0.746684350132626	1	754	134	Rosace(nopos)
0.01	0.8421750663129973	1	754	134	Rosace(nopos)
0.02	0.8607427055702918	1	754	134	Rosace(nopos)
0.03	0.8726790450928382	1	754	134	Rosace(nopos)
0.04	0.8859416445623343	1	754	134	Rosace(nopos)
0.05	0.8885941644562334	1	754	134	Rosace(nopos)
0.06	0.8952254641909815	1	754	134	Rosace(nopos)
0.07	0.8978779840848806	1	754	134	Rosace(nopos)
0.08	0.8992042440318302	1	754	134	Rosace(nopos)
0.09	0.9045092838196287	1	754	134	Rosace(nopos)
0.1	0.9084880636604774	1	754	134	Rosace(nopos)
0.11	0.9124668435013262	1	754	134	Rosace(nopos)
0.12	0.9124668435013262	1	754	134	Rosace(nopos)
0.13	0.9137931034482759	1	754	134	Rosace(nopos)
0.14	0.916445623342175	1	754	134	Rosace(nopos)
