rank	FP	TP	n_ctrl	n_sig	method
0.002	0.002652519893899204	0.007462686567164179	754	134	Enrich2
0.004	0.003978779840848806	0.022388059701492536	754	134	Enrich2
0.006	0.006631299734748011	0.029850746268656716	754	134	Enrich2
0.008	0.009283819628647215	0.03731343283582089	754	134	Enrich2
0.01	0.009283819628647215	0.05970149253731343	754	134	Enrich2
0.012	0.010610079575596816	0.06716417910447761	754	134	Enrich2
0.014	0.010610079575596816	0.07462686567164178	754	134	Enrich2
0.016	0.011936339522546418	0.07462686567164178	754	134	Enrich2
0.018	0.013262599469496022	0.07462686567164178	754	134	Enrich2
0.02	0.013262599469496022	0.07462686567164178	754	134	Enrich2
0.022	0.013262599469496022	0.07462686567164178	754	134	Enrich2
0.024	0.014588859416445624	0.08208955223880597	754	134	Enrich2
0.026	0.014588859416445624	0.08208955223880597	754	134	Enrich2
0.028	0.01856763925729443	0.08955223880597014	754	134	Enrich2
0.03	0.01856763925729443	0.09701492537313433	754	134	Enrich2
0.032	0.022546419098143235	0.1044776119402985	754	134	Enrich2
0.034	0.025198938992042442	0.1044776119402985	754	134	Enrich2
0.036	0.025198938992042442	0.1044776119402985	754	134	Enrich2
0.038	0.026525198938992044	0.1044776119402985	754	134	Enrich2
0.04	0.027851458885941646	0.11194029850746269	754	134	Enrich2
0.042	0.027851458885941646	0.11940298507462686	754	134	Enrich2
0.044	0.03050397877984085	0.11940298507462686	754	134	Enrich2
0.046	0.033156498673740056	0.11940298507462686	754	134	Enrich2
0.048	0.034482758620689655	0.12686567164179105	754	134	Enrich2
0.05	0.034482758620689655	0.12686567164179105	754	134	Enrich2
0.052	0.03580901856763926	0.12686567164179105	754	134	Enrich2
0.054	0.03713527851458886	0.13432835820895522	754	134	Enrich2
0.056	0.038461538461538464	0.14925373134328357	754	134	Enrich2
0.058	0.03978779840848806	0.15671641791044777	754	134	Enrich2
0.06	0.04111405835543767	0.16417910447761194	754	134	Enrich2
0.062	0.042440318302387266	0.16417910447761194	754	134	Enrich2
0.064	0.04509283819628647	0.17164179104477612	754	134	Enrich2
0.066	0.046419098143236075	0.1791044776119403	754	134	Enrich2
0.068	0.046419098143236075	0.1791044776119403	754	134	Enrich2
0.07	0.04774535809018567	0.1865671641791045	754	134	Enrich2
0.072	0.050397877984084884	0.19402985074626866	754	134	Enrich2
0.074	0.054376657824933686	0.208955223880597	754	134	Enrich2
0.076	0.05702917771883289	0.21641791044776118	754	134	Enrich2
0.078	0.05702917771883289	0.23134328358208955	754	134	Enrich2
0.08	0.058355437665782495	0.23134328358208955	754	134	Enrich2
0.082	0.0610079575596817	0.23880597014925373	754	134	Enrich2
0.084	0.0636604774535809	0.2462686567164179	754	134	Enrich2
0.086	0.0636604774535809	0.2537313432835821	754	134	Enrich2
0.088	0.0649867374005305	0.2537313432835821	754	134	Enrich2
0.09	0.06763925729442971	0.26865671641791045	754	134	Enrich2
0.092	0.06896551724137931	0.2835820895522388	754	134	Enrich2
0.094	0.07294429708222812	0.29850746268656714	754	134	Enrich2
0.096	0.07692307692307693	0.29850746268656714	754	134	Enrich2
0.098	0.07957559681697612	0.30597014925373134	754	134	Enrich2
0.1	0.07957559681697612	0.31343283582089554	754	134	Enrich2
0.102	0.07957559681697612	0.3283582089552239	754	134	Enrich2
0.104	0.08090185676392574	0.3358208955223881	754	134	Enrich2
0.106	0.08090185676392574	0.34328358208955223	754	134	Enrich2
0.108	0.08222811671087533	0.35074626865671643	754	134	Enrich2
0.11	0.08488063660477453	0.3656716417910448	754	134	Enrich2
0.112	0.08620689655172414	0.3805970149253731	754	134	Enrich2
0.114	0.08753315649867374	0.3880597014925373	754	134	Enrich2
0.116	0.09018567639257294	0.39552238805970147	754	134	Enrich2
0.118	0.09018567639257294	0.40298507462686567	754	134	Enrich2
0.12	0.09151193633952255	0.41044776119402987	754	134	Enrich2
0.122	0.09416445623342175	0.41044776119402987	754	134	Enrich2
0.124	0.09681697612732096	0.4253731343283582	754	134	Enrich2
