test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0	0	125	18	Enrich2
0.01	0.552	1	125	18	Enrich2
0.02	0.592	1	125	18	Enrich2
0.03	0.616	1	125	18	Enrich2
0.04	0.632	1	125	18	Enrich2
0.05	0.648	1	125	18	Enrich2
0.06	0.664	1	125	18	Enrich2
0.07	0.688	1	125	18	Enrich2
0.08	0.704	1	125	18	Enrich2
0.09	0.728	1	125	18	Enrich2
0.1	0.736	1	125	18	Enrich2
0.11	0.736	1	125	18	Enrich2
0.12	0.736	1	125	18	Enrich2
0.13	0.744	1	125	18	Enrich2
0.14	0.76	1	125	18	Enrich2
0.15	0.76	1	125	18	Enrich2
0.16	0.76	1	125	18	Enrich2
0.17	0.76	1	125	18	Enrich2
0.18	0.76	1	125	18	Enrich2
0.19	0.768	1	125	18	Enrich2
0.2	0.792	1	125	18	Enrich2
0	0	0	125	18	Rosace
0.01	0.6	1	125	18	Rosace
0.02	0.624	1	125	18	Rosace
0.03	0.656	1	125	18	Rosace
0.04	0.656	1	125	18	Rosace
0.05	0.672	1	125	18	Rosace
0.06	0.68	1	125	18	Rosace
0.07	0.696	1	125	18	Rosace
0.08	0.696	1	125	18	Rosace
0.09	0.696	1	125	18	Rosace
0.1	0.72	1	125	18	Rosace
0.11	0.72	1	125	18	Rosace
0.12	0.728	1	125	18	Rosace
0.13	0.752	1	125	18	Rosace
0.14	0.76	1	125	18	Rosace
0.15	0.76	1	125	18	Rosace
0.16	0.768	1	125	18	Rosace
0.17	0.768	1	125	18	Rosace
0.18	0.776	1	125	18	Rosace
0.19	0.776	1	125	18	Rosace
0.2	0.776	1	125	18	Rosace
0	0.488	0.9444444444444444	125	18	Rosace(nopos)
0.01	0.64	1	125	18	Rosace(nopos)
0.02	0.656	1	125	18	Rosace(nopos)
0.03	0.688	1	125	18	Rosace(nopos)
0.04	0.696	1	125	18	Rosace(nopos)
0.05	0.704	1	125	18	Rosace(nopos)
0.06	0.712	1	125	18	Rosace(nopos)
0.07	0.752	1	125	18	Rosace(nopos)
0.08	0.768	1	125	18	Rosace(nopos)
0.09	0.768	1	125	18	Rosace(nopos)
0.1	0.776	1	125	18	Rosace(nopos)
0.11	0.8	1	125	18	Rosace(nopos)
0.12	0.808	1	125	18	Rosace(nopos)
0.13	0.816	1	125	18	Rosace(nopos)
0.14	0.856	1	125	18	Rosace(nopos)
0.15	0.856	1	125	18	Rosace(nopos)
0.16	0.872	1	125	18	Rosace(nopos)
0.17	0.872	1	125	18	Rosace(nopos)
0.18	0.872	1	125	18	Rosace(nopos)
0.19	0.896	1	125	18	Rosace(nopos)
0.2	0.896	1	125	18	Rosace(nopos)
0	0	0	125	18	Naive
0.01	0.64	1	125	18	Naive
0.02	0.656	1	125	18	Naive
0.03	0.672	1	125	18	Naive
0.04	0.68	1	125	18	Naive
0.05	0.712	1	125	18	Naive
0.06	0.744	1	125	18	Naive
0.07	0.744	1	125	18	Naive
0.08	0.76	1	125	18	Naive
0.09	0.776	1	125	18	Naive
0.1	0.784	1	125	18	Naive
0.11	0.784	1	125	18	Naive
0.12	0.784	1	125	18	Naive
0.13	0.792	1	125	18	Naive
0.14	0.8	1	125	18	Naive
0.15	0.808	1	125	18	Naive
0.16	0.808	1	125	18	Naive
0.17	0.808	1	125	18	Naive
0.18	0.816	1	125	18	Naive
0.19	0.824	1	125	18	Naive
0.2	0.824	1	125	18	Naive
0	0	0	125	18	mutscan(edgeR)
0.01	0.568	1	125	18	mutscan(edgeR)
0.02	0.656	1	125	18	mutscan(edgeR)
0.03	0.688	1	125	18	mutscan(edgeR)
0.04	0.728	1	125	18	mutscan(edgeR)
0.05	0.736	1	125	18	mutscan(edgeR)
0.06	0.76	1	125	18	mutscan(edgeR)
0.07	0.768	1	125	18	mutscan(edgeR)
0.08	0.784	1	125	18	mutscan(edgeR)
0.09	0.792	1	125	18	mutscan(edgeR)
0.1	0.792	1	125	18	mutscan(edgeR)
0.11	0.792	1	125	18	mutscan(edgeR)
0.12	0.792	1	125	18	mutscan(edgeR)
0.13	0.8	1	125	18	mutscan(edgeR)
0.14	0.8	1	125	18	mutscan(edgeR)
0.15	0.808	1	125	18	mutscan(edgeR)
0.16	0.824	1	125	18	mutscan(edgeR)
0.17	0.824	1	125	18	mutscan(edgeR)
0.18	0.832	1	125	18	mutscan(edgeR)
0.19	0.84	1	125	18	mutscan(edgeR)
0.2	0.84	1	125	18	mutscan(edgeR)
0	0	0	125	18	mutscan(limma)
0.01	0.656	1	125	18	mutscan(limma)
0.02	0.696	1	125	18	mutscan(limma)
0.03	0.736	1	125	18	mutscan(limma)
0.04	0.776	1	125	18	mutscan(limma)
0.05	0.784	1	125	18	mutscan(limma)
0.06	0.784	1	125	18	mutscan(limma)
0.07	0.8	1	125	18	mutscan(limma)
0.08	0.8	1	125	18	mutscan(limma)
0.09	0.8	1	125	18	mutscan(limma)
0.1	0.808	1	125	18	mutscan(limma)
0.11	0.816	1	125	18	mutscan(limma)
0.12	0.832	1	125	18	mutscan(limma)
0.13	0.832	1	125	18	mutscan(limma)
0.14	0.832	1	125	18	mutscan(limma)
0.15	0.832	1	125	18	mutscan(limma)
0.16	0.832	1	125	18	mutscan(limma)
0.17	0.84	1	125	18	mutscan(limma)
0.18	0.856	1	125	18	mutscan(limma)
0.19	0.856	1	125	18	mutscan(limma)
0.2	0.864	1	125	18	mutscan(limma)
0	0	0	125	18	DiMSum
0.01	0.32	0.9444444444444444	125	18	DiMSum
0.02	0.344	1	125	18	DiMSum
0.03	0.4	1	125	18	DiMSum
0.04	0.44	1	125	18	DiMSum
0.05	0.456	1	125	18	DiMSum
0.06	0.488	1	125	18	DiMSum
0.07	0.488	1	125	18	DiMSum
0.08	0.52	1	125	18	DiMSum
0.09	0.528	1	125	18	DiMSum
0.1	0.552	1	125	18	DiMSum
0.11	0.568	1	125	18	DiMSum
0.12	0.568	1	125	18	DiMSum
0.13	0.576	1	125	18	DiMSum
0.14	0.576	1	125	18	DiMSum
0.15	0.6	1	125	18	DiMSum
0.16	0.6	1	125	18	DiMSum
0.17	0.608	1	125	18	DiMSum
0.18	0.608	1	125	18	DiMSum
0.19	0.616	1	125	18	DiMSum
0.2	0.624	1	125	18	DiMSum
