test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0.009574468085106383	0.039097744360902256	940	665	Enrich2
0.01	0.25638297872340426	0.5654135338345865	940	665	Enrich2
0.02	0.2978723404255319	0.5894736842105263	940	665	Enrich2
0.03	0.3159574468085106	0.6180451127819548	940	665	Enrich2
0.04	0.3393617021276596	0.6406015037593985	940	665	Enrich2
0.05	0.3670212765957447	0.6676691729323309	940	665	Enrich2
0.06	0.3861702127659574	0.6827067669172933	940	665	Enrich2
0.07	0.4031914893617021	0.6977443609022557	940	665	Enrich2
0.08	0.42127659574468085	0.7052631578947368	940	665	Enrich2
0.09	0.43829787234042555	0.718796992481203	940	665	Enrich2
0.1	0.44361702127659575	0.7278195488721805	940	665	Enrich2
0.11	0.4542553191489362	0.7323308270676692	940	665	Enrich2
0.12	0.46063829787234045	0.7413533834586467	940	665	Enrich2
0.13	0.4797872340425532	0.7473684210526316	940	665	Enrich2
0.14	0.48829787234042554	0.7578947368421053	940	665	Enrich2
0.15	0.502127659574468	0.7609022556390977	940	665	Enrich2
0.16	0.5106382978723404	0.7684210526315789	940	665	Enrich2
0.17	0.5234042553191489	0.7744360902255639	940	665	Enrich2
0.18	0.5329787234042553	0.7789473684210526	940	665	Enrich2
0.19	0.5382978723404256	0.7864661654135339	940	665	Enrich2
0.2	0.5425531914893617	0.7894736842105263	940	665	Enrich2
0	0	0	940	665	Rosace
0.01	0.33617021276595743	0.643609022556391	940	665	Rosace
0.02	0.3627659574468085	0.6827067669172933	940	665	Rosace
0.03	0.38085106382978723	0.706766917293233	940	665	Rosace
0.04	0.40106382978723404	0.7293233082706767	940	665	Rosace
0.05	0.4148936170212766	0.7458646616541353	940	665	Rosace
0.06	0.42872340425531913	0.7563909774436091	940	665	Rosace
0.07	0.4425531914893617	0.7684210526315789	940	665	Rosace
0.08	0.45	0.7789473684210526	940	665	Rosace
0.09	0.4563829787234043	0.7834586466165413	940	665	Rosace
0.1	0.4648936170212766	0.7924812030075188	940	665	Rosace
0.11	0.47127659574468084	0.7984962406015037	940	665	Rosace
0.12	0.4787234042553192	0.8030075187969925	940	665	Rosace
0.13	0.48723404255319147	0.8075187969924812	940	665	Rosace
0.14	0.4968085106382979	0.8075187969924812	940	665	Rosace
0.15	0.5095744680851064	0.8120300751879699	940	665	Rosace
0.16	0.5191489361702127	0.8165413533834587	940	665	Rosace
0.17	0.5297872340425532	0.8195488721804511	940	665	Rosace
0.18	0.5372340425531915	0.8225563909774436	940	665	Rosace
0.19	0.5457446808510639	0.8270676691729323	940	665	Rosace
0.2	0.551063829787234	0.8315789473684211	940	665	Rosace
0	0.16595744680851063	0.43007518796992483	940	665	Rosace(nopos)
0.01	0.32978723404255317	0.6511278195488722	940	665	Rosace(nopos)
0.02	0.37446808510638296	0.6962406015037594	940	665	Rosace(nopos)
0.03	0.39574468085106385	0.7443609022556391	940	665	Rosace(nopos)
0.04	0.41702127659574467	0.7639097744360902	940	665	Rosace(nopos)
0.05	0.4351063829787234	0.7759398496240602	940	665	Rosace(nopos)
0.06	0.4574468085106383	0.7834586466165413	940	665	Rosace(nopos)
0.07	0.475531914893617	0.7954887218045112	940	665	Rosace(nopos)
0.08	0.49361702127659574	0.7984962406015037	940	665	Rosace(nopos)
0.09	0.5063829787234042	0.8120300751879699	940	665	Rosace(nopos)
0.1	0.5180851063829788	0.8315789473684211	940	665	Rosace(nopos)
0.11	0.5351063829787234	0.8360902255639098	940	665	Rosace(nopos)
0.12	0.548936170212766	0.8481203007518797	940	665	Rosace(nopos)
0.13	0.5627659574468085	0.8586466165413534	940	665	Rosace(nopos)
0.14	0.574468085106383	0.8646616541353384	940	665	Rosace(nopos)
0.15	0.5861702127659575	0.8706766917293233	940	665	Rosace(nopos)
0.16	0.5957446808510638	0.8721804511278195	940	665	Rosace(nopos)
0.17	0.6031914893617021	0.8751879699248121	940	665	Rosace(nopos)
0.18	0.6106382978723405	0.881203007518797	940	665	Rosace(nopos)
0.19	0.6202127659574468	0.8857142857142857	940	665	Rosace(nopos)
0.2	0.6329787234042553	0.8902255639097745	940	665	Rosace(nopos)
0	0	0	940	665	Naive
