rank	FP	TP	n_ctrl	n_sig	method
0.002	0	0.004511278195488722	940	665	Enrich2
0.004	0	0.009022556390977444	940	665	Enrich2
0.006	0	0.010526315789473684	940	665	Enrich2
0.008	0	0.013533834586466165	940	665	Enrich2
0.01	0	0.019548872180451128	940	665	Enrich2
0.012	0.0010638297872340426	0.02406015037593985	940	665	Enrich2
0.014	0.0010638297872340426	0.02857142857142857	940	665	Enrich2
0.016	0.0010638297872340426	0.03308270676691729	940	665	Enrich2
0.018	0.002127659574468085	0.03609022556390978	940	665	Enrich2
0.02	0.002127659574468085	0.039097744360902256	940	665	Enrich2
0.022	0.002127659574468085	0.04360902255639098	940	665	Enrich2
0.024	0.002127659574468085	0.04661654135338346	940	665	Enrich2
0.026	0.0031914893617021275	0.05112781954887218	940	665	Enrich2
0.028	0.0031914893617021275	0.055639097744360905	940	665	Enrich2
0.03	0.0031914893617021275	0.06015037593984962	940	665	Enrich2
0.032	0.0031914893617021275	0.06616541353383458	940	665	Enrich2
0.034	0.0031914893617021275	0.07067669172932331	940	665	Enrich2
0.036	0.00425531914893617	0.07368421052631578	940	665	Enrich2
0.038	0.00425531914893617	0.07969924812030076	940	665	Enrich2
0.04	0.005319148936170213	0.081203007518797	940	665	Enrich2
0.042	0.006382978723404255	0.08571428571428572	940	665	Enrich2
0.044	0.007446808510638298	0.08721804511278196	940	665	Enrich2
0.046	0.007446808510638298	0.09473684210526316	940	665	Enrich2
0.048	0.007446808510638298	0.0962406015037594	940	665	Enrich2
0.05	0.00851063829787234	0.09924812030075188	940	665	Enrich2
0.052	0.009574468085106383	0.10075187969924812	940	665	Enrich2
0.054	0.009574468085106383	0.10676691729323308	940	665	Enrich2
0.056	0.009574468085106383	0.11127819548872181	940	665	Enrich2
0.058	0.009574468085106383	0.11578947368421053	940	665	Enrich2
0.06	0.009574468085106383	0.12330827067669173	940	665	Enrich2
0.062	0.010638297872340425	0.12631578947368421	940	665	Enrich2
0.064	0.011702127659574468	0.1293233082706767	940	665	Enrich2
0.066	0.013829787234042552	0.13082706766917293	940	665	Enrich2
0.068	0.015957446808510637	0.13383458646616542	940	665	Enrich2
0.07	0.015957446808510637	0.1368421052631579	940	665	Enrich2
0.072	0.015957446808510637	0.14285714285714285	940	665	Enrich2
0.074	0.018085106382978722	0.14586466165413534	940	665	Enrich2
0.076	0.019148936170212766	0.14736842105263157	940	665	Enrich2
0.078	0.022340425531914895	0.14887218045112782	940	665	Enrich2
0.08	0.022340425531914895	0.15639097744360902	940	665	Enrich2
0.082	0.023404255319148935	0.16090225563909774	940	665	Enrich2
0.084	0.02446808510638298	0.162406015037594	940	665	Enrich2
0.086	0.02553191489361702	0.16390977443609023	940	665	Enrich2
0.088	0.02553191489361702	0.16541353383458646	940	665	Enrich2
0.09	0.02553191489361702	0.16842105263157894	940	665	Enrich2
0.092	0.02553191489361702	0.17293233082706766	940	665	Enrich2
0.094	0.026595744680851064	0.17443609022556392	940	665	Enrich2
0.096	0.026595744680851064	0.18045112781954886	940	665	Enrich2
0.098	0.027659574468085105	0.1849624060150376	940	665	Enrich2
0.1	0.02872340425531915	0.18796992481203006	940	665	Enrich2
0.102	0.031914893617021274	0.18796992481203006	940	665	Enrich2
0.104	0.03404255319148936	0.18796992481203006	940	665	Enrich2
0.106	0.03404255319148936	0.1924812030075188	940	665	Enrich2
0.108	0.035106382978723406	0.19398496240601504	940	665	Enrich2
0.11	0.036170212765957444	0.2	940	665	Enrich2
0.112	0.036170212765957444	0.20300751879699247	940	665	Enrich2
0.114	0.036170212765957444	0.20902255639097744	940	665	Enrich2
0.116	0.03829787234042553	0.20902255639097744	940	665	Enrich2
0.118	0.04042553191489362	0.21203007518796993	940	665	Enrich2
0.12	0.04148936170212766	0.21503759398496242	940	665	Enrich2
0.122	0.0425531914893617	0.22105263157894736	940	665	Enrich2
0.124	0.0425531914893617	0.22706766917293233	940	665	Enrich2
0.126	0.043617021276595745	0.23007518796992482	940	665	Enrich2
0.128	0.043617021276595745	0.23308270676691728	940	665	Enrich2
0.13	0.043617021276595745	0.23759398496240602	940	665	Enrich2
0.132	0.04468085106382979	0.24060150375939848	940	665	Enrich2
0.134	0.04468085106382979	0.24661654135338346	940	665	Enrich2
0.136	0.045744680851063826	0.24812030075187969	940	665	Enrich2
0.138	0.047872340425531915	0.24812030075187969	940	665	Enrich2
0.14	0.047872340425531915	0.2511278195488722	940	665	Enrich2
0.142	0.047872340425531915	0.2571428571428571	940	665	Enrich2
0.144	0.047872340425531915	0.2631578947368421	940	665	Enrich2
0.146	0.04893617021276596	0.2646616541353383	940	665	Enrich2
0.148	0.05106382978723404	0.26766917293233083	940	665	Enrich2
0.15	0.052127659574468084	0.2721804511278195	940	665	Enrich2
0.152	0.052127659574468084	0.2721804511278195	940	665	Enrich2
0.154	0.052127659574468084	0.27669172932330827	940	665	Enrich2
0.156	0.05319148936170213	0.281203007518797	940	665	Enrich2
0.158	0.05531914893617021	0.28421052631578947	940	665	Enrich2
0.16	0.0574468085106383	0.28721804511278193	940	665	Enrich2
0.162	0.05851063829787234	0.29022556390977444	940	665	Enrich2
0.164	0.05851063829787234	0.2962406015037594	940	665	Enrich2
0.166	0.06063829787234042	0.29774436090225564	940	665	Enrich2
0.168	0.06063829787234042	0.3037593984962406	940	665	Enrich2
0.17	0.06170212765957447	0.30526315789473685	940	665	Enrich2
0.172	0.06170212765957447	0.3082706766917293	940	665	Enrich2
0.174	0.06170212765957447	0.3112781954887218	940	665	Enrich2
0.176	0.06170212765957447	0.3157894736842105	940	665	Enrich2
0.178	0.0627659574468085	0.318796992481203	940	665	Enrich2
0.18	0.06595744680851064	0.3218045112781955	940	665	Enrich2
0.182	0.06595744680851064	0.324812030075188	940	665	Enrich2
0.184	0.06808510638297872	0.32781954887218046	940	665	Enrich2
0.186	0.06914893617021277	0.3323308270676692	940	665	Enrich2
0.188	0.07127659574468086	0.33533834586466166	940	665	Enrich2
0.19	0.07127659574468086	0.3398496240601504	940	665	Enrich2
0.192	0.07127659574468086	0.34285714285714286	940	665	Enrich2
0.194	0.07127659574468086	0.34887218045112783	940	665	Enrich2
0.196	0.07234042553191489	0.3518796992481203	940	665	Enrich2
0.198	0.07234042553191489	0.3533834586466165	940	665	Enrich2
0.2	0.07553191489361702	0.3548872180451128	940	665	Enrich2
0.202	0.07659574468085106	0.3593984962406015	940	665	Enrich2
0.204	0.07872340425531915	0.362406015037594	940	665	Enrich2
0.206	0.07872340425531915	0.3699248120300752	940	665	Enrich2
0.208	0.07872340425531915	0.37293233082706767	940	665	Enrich2
0.21	0.0797872340425532	0.3744360902255639	940	665	Enrich2
