test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0	-1	14	0	Enrich2
0.01	0.14285714285714285	-1	14	0	Enrich2
0.02	0.21428571428571427	-1	14	0	Enrich2
0.03	0.21428571428571427	-1	14	0	Enrich2
0.04	0.21428571428571427	-1	14	0	Enrich2
0.05	0.21428571428571427	-1	14	0	Enrich2
0.06	0.21428571428571427	-1	14	0	Enrich2
0.07	0.21428571428571427	-1	14	0	Enrich2
0.08	0.2857142857142857	-1	14	0	Enrich2
0.09	0.35714285714285715	-1	14	0	Enrich2
0.1	0.35714285714285715	-1	14	0	Enrich2
0.11	0.35714285714285715	-1	14	0	Enrich2
0.12	0.42857142857142855	-1	14	0	Enrich2
0.13	0.42857142857142855	-1	14	0	Enrich2
0.14	0.5	-1	14	0	Enrich2
0.15	0.5	-1	14	0	Enrich2
0.16	0.5714285714285714	-1	14	0	Enrich2
0.17	0.6428571428571429	-1	14	0	Enrich2
0.18	0.7142857142857143	-1	14	0	Enrich2
0.19	0.7142857142857143	-1	14	0	Enrich2
0.2	0.7142857142857143	-1	14	0	Enrich2
0	0	-1	14	0	Rosace
0.01	0.5	-1	14	0	Rosace
0.02	0.5	-1	14	0	Rosace
0.03	0.5	-1	14	0	Rosace
0.04	0.5	-1	14	0	Rosace
0.05	0.5	-1	14	0	Rosace
0.06	0.5	-1	14	0	Rosace
0.07	0.5	-1	14	0	Rosace
0.08	0.5	-1	14	0	Rosace
0.09	0.5	-1	14	0	Rosace
0.1	0.5	-1	14	0	Rosace
0.11	0.5	-1	14	0	Rosace
0.12	0.5	-1	14	0	Rosace
0.13	0.5	-1	14	0	Rosace
0.14	0.5714285714285714	-1	14	0	Rosace
0.15	0.5714285714285714	-1	14	0	Rosace
0.16	0.5714285714285714	-1	14	0	Rosace
0.17	0.5714285714285714	-1	14	0	Rosace
0.18	0.5714285714285714	-1	14	0	Rosace
0.19	0.5714285714285714	-1	14	0	Rosace
0.2	0.6428571428571429	-1	14	0	Rosace
0	0.14285714285714285	-1	14	0	Rosace(nopos)
0.01	0.42857142857142855	-1	14	0	Rosace(nopos)
0.02	0.5	-1	14	0	Rosace(nopos)
0.03	0.5	-1	14	0	Rosace(nopos)
0.04	0.5	-1	14	0	Rosace(nopos)
0.05	0.5	-1	14	0	Rosace(nopos)
0.06	0.5714285714285714	-1	14	0	Rosace(nopos)
0.07	0.5714285714285714	-1	14	0	Rosace(nopos)
0.08	0.5714285714285714	-1	14	0	Rosace(nopos)
0.09	0.5714285714285714	-1	14	0	Rosace(nopos)
0.1	0.5714285714285714	-1	14	0	Rosace(nopos)
0.11	0.5714285714285714	-1	14	0	Rosace(nopos)
0.12	0.5714285714285714	-1	14	0	Rosace(nopos)
0.13	0.5714285714285714	-1	14	0	Rosace(nopos)
0.14	0.6428571428571429	-1	14	0	Rosace(nopos)
0.15	0.7142857142857143	-1	14	0	Rosace(nopos)
0.16	0.7142857142857143	-1	14	0	Rosace(nopos)
0.17	0.7142857142857143	-1	14	0	Rosace(nopos)
0.18	0.7142857142857143	-1	14	0	Rosace(nopos)
0.19	0.7142857142857143	-1	14	0	Rosace(nopos)
0.2	0.7142857142857143	-1	14	0	Rosace(nopos)
0	0	-1	14	0	Naive
0.01	0	-1	14	0	Naive
0.02	0	-1	14	0	Naive
0.03	0.07142857142857142	-1	14	0	Naive
0.04	0.07142857142857142	-1	14	0	Naive
0.05	0.14285714285714285	-1	14	0	Naive
0.06	0.21428571428571427	-1	14	0	Naive
0.07	0.35714285714285715	-1	14	0	Naive
0.08	0.35714285714285715	-1	14	0	Naive
0.09	0.35714285714285715	-1	14	0	Naive
0.1	0.35714285714285715	-1	14	0	Naive
0.11	0.42857142857142855	-1	14	0	Naive
0.12	0.42857142857142855	-1	14	0	Naive
0.13	0.42857142857142855	-1	14	0	Naive
0.14	0.42857142857142855	-1	14	0	Naive
0.15	0.42857142857142855	-1	14	0	Naive
0.16	0.42857142857142855	-1	14	0	Naive
0.17	0.42857142857142855	-1	14	0	Naive
0.18	0.42857142857142855	-1	14	0	Naive
0.19	0.42857142857142855	-1	14	0	Naive
0.2	0.5	-1	14	0	Naive
0	0	-1	14	0	mutscan(edgeR)
0.01	0	-1	14	0	mutscan(edgeR)
0.02	0.07142857142857142	-1	14	0	mutscan(edgeR)
0.03	0.07142857142857142	-1	14	0	mutscan(edgeR)
0.04	0.21428571428571427	-1	14	0	mutscan(edgeR)
0.05	0.2857142857142857	-1	14	0	mutscan(edgeR)
0.06	0.35714285714285715	-1	14	0	mutscan(edgeR)
0.07	0.35714285714285715	-1	14	0	mutscan(edgeR)
0.08	0.42857142857142855	-1	14	0	mutscan(edgeR)
0.09	0.42857142857142855	-1	14	0	mutscan(edgeR)
