test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0.008928571428571428	0.019230769230769232	112	52	Enrich2
0.01	0.30357142857142855	0.8076923076923077	112	52	Enrich2
0.02	0.33035714285714285	0.8076923076923077	112	52	Enrich2
0.03	0.3482142857142857	0.8269230769230769	112	52	Enrich2
0.04	0.36607142857142855	0.8461538461538461	112	52	Enrich2
0.05	0.38392857142857145	0.8461538461538461	112	52	Enrich2
0.06	0.4107142857142857	0.8461538461538461	112	52	Enrich2
0.07	0.44642857142857145	0.8653846153846154	112	52	Enrich2
0.08	0.4642857142857143	0.8653846153846154	112	52	Enrich2
0.09	0.4642857142857143	0.8846153846153846	112	52	Enrich2
0.1	0.5178571428571429	0.9038461538461539	112	52	Enrich2
0.11	0.5535714285714286	0.9038461538461539	112	52	Enrich2
0.12	0.5625	0.9038461538461539	112	52	Enrich2
0.13	0.5714285714285714	0.9038461538461539	112	52	Enrich2
0.14	0.5714285714285714	0.9038461538461539	112	52	Enrich2
0.15	0.5803571428571429	0.9038461538461539	112	52	Enrich2
0.16	0.5803571428571429	0.9230769230769231	112	52	Enrich2
0.17	0.5803571428571429	0.9230769230769231	112	52	Enrich2
0.18	0.5803571428571429	0.9230769230769231	112	52	Enrich2
0.19	0.5803571428571429	0.9230769230769231	112	52	Enrich2
0.2	0.5982142857142857	0.9230769230769231	112	52	Enrich2
0	0	0	112	52	Rosace
0.01	0.36607142857142855	0.9038461538461539	112	52	Rosace
0.02	0.38392857142857145	0.9423076923076923	112	52	Rosace
0.03	0.4017857142857143	0.9423076923076923	112	52	Rosace
0.04	0.4017857142857143	0.9423076923076923	112	52	Rosace
0.05	0.4017857142857143	0.9423076923076923	112	52	Rosace
0.06	0.42857142857142855	0.9423076923076923	112	52	Rosace
0.07	0.44642857142857145	0.9615384615384616	112	52	Rosace
0.08	0.45535714285714285	0.9807692307692307	112	52	Rosace
0.09	0.4732142857142857	0.9807692307692307	112	52	Rosace
0.1	0.48214285714285715	0.9807692307692307	112	52	Rosace
0.11	0.48214285714285715	0.9807692307692307	112	52	Rosace
0.12	0.49107142857142855	1	112	52	Rosace
0.13	0.5178571428571429	1	112	52	Rosace
0.14	0.5178571428571429	1	112	52	Rosace
0.15	0.5178571428571429	1	112	52	Rosace
0.16	0.5267857142857143	1	112	52	Rosace
0.17	0.5357142857142857	1	112	52	Rosace
0.18	0.5535714285714286	1	112	52	Rosace
0.19	0.5535714285714286	1	112	52	Rosace
0.2	0.5714285714285714	1	112	52	Rosace
0	0.16964285714285715	0.7115384615384616	112	52	Rosace(nopos)
0.01	0.35714285714285715	0.9230769230769231	112	52	Rosace(nopos)
0.02	0.4017857142857143	0.9423076923076923	112	52	Rosace(nopos)
0.03	0.4107142857142857	0.9615384615384616	112	52	Rosace(nopos)
0.04	0.41964285714285715	0.9807692307692307	112	52	Rosace(nopos)
0.05	0.4375	0.9807692307692307	112	52	Rosace(nopos)
0.06	0.4732142857142857	0.9807692307692307	112	52	Rosace(nopos)
0.07	0.48214285714285715	0.9807692307692307	112	52	Rosace(nopos)
0.08	0.5	1	112	52	Rosace(nopos)
