test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0	0	229	483	Enrich2
0.01	0	0.08695652173913043	229	483	Enrich2
0.02	0	0.12008281573498965	229	483	Enrich2
0.03	0.004366812227074236	0.14906832298136646	229	483	Enrich2
0.04	0.004366812227074236	0.16977225672877846	229	483	Enrich2
0.05	0.026200873362445413	0.2153209109730849	229	483	Enrich2
0.06	0.034934497816593885	0.23395445134575568	229	483	Enrich2
0.07	0.043668122270742356	0.2629399585921325	229	483	Enrich2
0.08	0.048034934497816595	0.2795031055900621	229	483	Enrich2
0.09	0.048034934497816595	0.29606625258799174	229	483	Enrich2
0.1	0.05240174672489083	0.3084886128364389	229	483	Enrich2
0.11	0.0611353711790393	0.3167701863354037	229	483	Enrich2
0.12	0.06550218340611354	0.33540372670807456	229	483	Enrich2
0.13	0.06986899563318777	0.34368530020703936	229	483	Enrich2
0.14	0.07423580786026202	0.35403726708074534	229	483	Enrich2
0.15	0.07860262008733625	0.36438923395445133	229	483	Enrich2
0.16	0.08296943231441048	0.36853002070393376	229	483	Enrich2
0.17	0.08733624454148471	0.38095238095238093	229	483	Enrich2
0.18	0.09170305676855896	0.38509316770186336	229	483	Enrich2
0.19	0.09170305676855896	0.39337474120082816	229	483	Enrich2
0.2	0.09606986899563319	0.39337474120082816	229	483	Enrich2
0	0	0	229	483	Rosace
0.01	0.29694323144104806	0.6107660455486542	229	483	Rosace
0.02	0.34934497816593885	0.6894409937888198	229	483	Rosace
0.03	0.37554585152838427	0.7080745341614907	229	483	Rosace
0.04	0.4017467248908297	0.7370600414078675	229	483	Rosace
0.05	0.42358078602620086	0.7474120082815735	229	483	Rosace
0.06	0.4410480349344978	0.7598343685300207	229	483	Rosace
0.07	0.44541484716157204	0.7639751552795031	229	483	Rosace
0.08	0.44541484716157204	0.7763975155279503	229	483	Rosace
0.09	0.4847161572052402	0.782608695652174	229	483	Rosace
0.1	0.4890829694323144	0.7971014492753623	229	483	Rosace
0.11	0.5021834061135371	0.7971014492753623	229	483	Rosace
0.12	0.5065502183406113	0.8095238095238095	229	483	Rosace
0.13	0.5152838427947598	0.8136645962732919	229	483	Rosace
0.14	0.5327510917030568	0.8157349896480331	229	483	Rosace
0.15	0.5545851528384279	0.8219461697722568	229	483	Rosace
0.16	0.5807860262008734	0.8281573498964804	229	483	Rosace
0.17	0.5851528384279476	0.8322981366459627	229	483	Rosace
0.18	0.5982532751091703	0.8385093167701864	229	483	Rosace
0.19	0.6069868995633187	0.84472049689441	229	483	Rosace
0.2	0.611353711790393	0.8530020703933747	229	483	Rosace
0	0.017467248908296942	0.09937888198757763	229	483	Rosace(nopos)
0.01	0.11353711790393013	0.3995859213250518	229	483	Rosace(nopos)
0.02	0.20087336244541484	0.5010351966873706	229	483	Rosace(nopos)
0.03	0.2576419213973799	0.5631469979296067	229	483	Rosace(nopos)
0.04	0.27510917030567683	0.6066252587991718	229	483	Rosace(nopos)
0.05	0.31004366812227074	0.6356107660455487	229	483	Rosace(nopos)
0.06	0.3231441048034934	0.660455486542443	229	483	Rosace(nopos)
0.07	0.34497816593886466	0.6915113871635611	229	483	Rosace(nopos)
0.08	0.36681222707423583	0.7060041407867494	229	483	Rosace(nopos)
0.09	0.37554585152838427	0.7204968944099379	229	483	Rosace(nopos)
0.1	0.39737991266375544	0.7349896480331263	229	483	Rosace(nopos)
0.11	0.4279475982532751	0.7432712215320911	229	483	Rosace(nopos)
0.12	0.4366812227074236	0.7598343685300207	229	483	Rosace(nopos)
0.13	0.4585152838427948	0.7701863354037267	229	483	Rosace(nopos)
0.14	0.4759825327510917	0.7763975155279503	229	483	Rosace(nopos)
0.15	0.4847161572052402	0.7867494824016563	229	483	Rosace(nopos)
0.16	0.49344978165938863	0.7971014492753623	229	483	Rosace(nopos)
0.17	0.519650655021834	0.8053830227743272	229	483	Rosace(nopos)
0.18	0.5283842794759825	0.8095238095238095	229	483	Rosace(nopos)
0.19	0.5502183406113537	0.8322981366459627	229	483	Rosace(nopos)
0.2	0.5851528384279476	0.8405797101449275	229	483	Rosace(nopos)
