test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0	-1	35	0	Enrich2
0.01	0	-1	35	0	Enrich2
0.02	0.02857142857142857	-1	35	0	Enrich2
0.03	0.02857142857142857	-1	35	0	Enrich2
0.04	0.02857142857142857	-1	35	0	Enrich2
0.05	0.11428571428571428	-1	35	0	Enrich2
0.06	0.11428571428571428	-1	35	0	Enrich2
0.07	0.14285714285714285	-1	35	0	Enrich2
0.08	0.17142857142857143	-1	35	0	Enrich2
0.09	0.17142857142857143	-1	35	0	Enrich2
0.1	0.17142857142857143	-1	35	0	Enrich2
0.11	0.17142857142857143	-1	35	0	Enrich2
0.12	0.17142857142857143	-1	35	0	Enrich2
0.13	0.17142857142857143	-1	35	0	Enrich2
0.14	0.17142857142857143	-1	35	0	Enrich2
0.15	0.17142857142857143	-1	35	0	Enrich2
0.16	0.2	-1	35	0	Enrich2
0.17	0.2	-1	35	0	Enrich2
0.18	0.2	-1	35	0	Enrich2
0.19	0.2	-1	35	0	Enrich2
0.2	0.22857142857142856	-1	35	0	Enrich2
0	0	-1	35	0	Rosace
0.01	0.2857142857142857	-1	35	0	Rosace
0.02	0.3142857142857143	-1	35	0	Rosace
0.03	0.34285714285714286	-1	35	0	Rosace
0.04	0.34285714285714286	-1	35	0	Rosace
0.05	0.4	-1	35	0	Rosace
0.06	0.4	-1	35	0	Rosace
0.07	0.42857142857142855	-1	35	0	Rosace
0.08	0.42857142857142855	-1	35	0	Rosace
0.09	0.45714285714285713	-1	35	0	Rosace
0.1	0.45714285714285713	-1	35	0	Rosace
0.11	0.4857142857142857	-1	35	0	Rosace
0.12	0.5142857142857142	-1	35	0	Rosace
0.13	0.5142857142857142	-1	35	0	Rosace
0.14	0.5428571428571428	-1	35	0	Rosace
0.15	0.5428571428571428	-1	35	0	Rosace
0.16	0.5714285714285714	-1	35	0	Rosace
0.17	0.5714285714285714	-1	35	0	Rosace
0.18	0.5714285714285714	-1	35	0	Rosace
0.19	0.6285714285714286	-1	35	0	Rosace
0.2	0.6285714285714286	-1	35	0	Rosace
0	0.02857142857142857	-1	35	0	Rosace(nopos)
0.01	0.17142857142857143	-1	35	0	Rosace(nopos)
0.02	0.17142857142857143	-1	35	0	Rosace(nopos)
0.03	0.2857142857142857	-1	35	0	Rosace(nopos)
0.04	0.3142857142857143	-1	35	0	Rosace(nopos)
0.05	0.3142857142857143	-1	35	0	Rosace(nopos)
0.06	0.34285714285714286	-1	35	0	Rosace(nopos)
0.07	0.34285714285714286	-1	35	0	Rosace(nopos)
0.08	0.37142857142857144	-1	35	0	Rosace(nopos)
0.09	0.37142857142857144	-1	35	0	Rosace(nopos)
0.1	0.4	-1	35	0	Rosace(nopos)
0.11	0.45714285714285713	-1	35	0	Rosace(nopos)
0.12	0.45714285714285713	-1	35	0	Rosace(nopos)
0.13	0.4857142857142857	-1	35	0	Rosace(nopos)
0.14	0.5714285714285714	-1	35	0	Rosace(nopos)
0.15	0.5714285714285714	-1	35	0	Rosace(nopos)
0.16	0.5714285714285714	-1	35	0	Rosace(nopos)
0.17	0.6285714285714286	-1	35	0	Rosace(nopos)
0.18	0.6285714285714286	-1	35	0	Rosace(nopos)
0.19	0.6285714285714286	-1	35	0	Rosace(nopos)
0.2	0.6285714285714286	-1	35	0	Rosace(nopos)
0	0	-1	35	0	Naive
0.01	0.02857142857142857	-1	35	0	Naive
0.02	0.05714285714285714	-1	35	0	Naive
0.03	0.05714285714285714	-1	35	0	Naive
0.04	0.11428571428571428	-1	35	0	Naive
0.05	0.17142857142857143	-1	35	0	Naive
0.06	0.2	-1	35	0	Naive
0.07	0.2	-1	35	0	Naive
0.08	0.2	-1	35	0	Naive
0.09	0.2	-1	35	0	Naive
0.1	0.2	-1	35	0	Naive
0.11	0.22857142857142856	-1	35	0	Naive
0.12	0.22857142857142856	-1	35	0	Naive
0.13	0.2571428571428571	-1	35	0	Naive
0.14	0.2571428571428571	-1	35	0	Naive
0.15	0.2571428571428571	-1	35	0	Naive
0.16	0.2857142857142857	-1	35	0	Naive
0.17	0.2857142857142857	-1	35	0	Naive
0.18	0.2857142857142857	-1	35	0	Naive
0.19	0.2857142857142857	-1	35	0	Naive
0.2	0.2857142857142857	-1	35	0	Naive
0	0	-1	35	0	mutscan(edgeR)
0.01	0	-1	35	0	mutscan(edgeR)
0.02	0	-1	35	0	mutscan(edgeR)
0.03	0	-1	35	0	mutscan(edgeR)
0.04	0	-1	35	0	mutscan(edgeR)
0.05	0	-1	35	0	mutscan(edgeR)
0.06	0	-1	35	0	mutscan(edgeR)
0.07	0	-1	35	0	mutscan(edgeR)
0.08	0	-1	35	0	mutscan(edgeR)
0.09	0	-1	35	0	mutscan(edgeR)
0.1	0	-1	35	0	mutscan(edgeR)
0.11	0	-1	35	0	mutscan(edgeR)
0.12	0	-1	35	0	mutscan(edgeR)
0.13	0	-1	35	0	mutscan(edgeR)
0.14	0	-1	35	0	mutscan(edgeR)
0.15	0	-1	35	0	mutscan(edgeR)
0.16	0	-1	35	0	mutscan(edgeR)
0.17	0	-1	35	0	mutscan(edgeR)
0.18	0	-1	35	0	mutscan(edgeR)
0.19	0	-1	35	0	mutscan(edgeR)
0.2	0	-1	35	0	mutscan(edgeR)
0	0	-1	35	0	mutscan(limma)
0.01	0	-1	35	0	mutscan(limma)
0.02	0	-1	35	0	mutscan(limma)
0.03	0	-1	35	0	mutscan(limma)
0.04	0	-1	35	0	mutscan(limma)
0.05	0	-1	35	0	mutscan(limma)
0.06	0	-1	35	0	mutscan(limma)
0.07	0	-1	35	0	mutscan(limma)
0.08	0	-1	35	0	mutscan(limma)
0.09	0	-1	35	0	mutscan(limma)
0.1	0	-1	35	0	mutscan(limma)
0.11	0	-1	35	0	mutscan(limma)
0.12	0	-1	35	0	mutscan(limma)
0.13	0	-1	35	0	mutscan(limma)
0.14	0	-1	35	0	mutscan(limma)
0.15	0	-1	35	0	mutscan(limma)
0.16	0	-1	35	0	mutscan(limma)
0.17	0	-1	35	0	mutscan(limma)
0.18	0	-1	35	0	mutscan(limma)
0.19	0	-1	35	0	mutscan(limma)
0.2	0	-1	35	0	mutscan(limma)
0	0	-1	35	0	DiMSum
0.01	0.05714285714285714	-1	35	0	DiMSum
0.02	0.05714285714285714	-1	35	0	DiMSum
0.03	0.05714285714285714	-1	35	0	DiMSum
0.04	0.11428571428571428	-1	35	0	DiMSum
0.05	0.11428571428571428	-1	35	0	DiMSum
0.06	0.11428571428571428	-1	35	0	DiMSum
0.07	0.11428571428571428	-1	35	0	DiMSum
0.08	0.11428571428571428	-1	35	0	DiMSum
0.09	0.17142857142857143	-1	35	0	DiMSum
0.1	0.2	-1	35	0	DiMSum
0.11	0.22857142857142856	-1	35	0	DiMSum
0.12	0.22857142857142856	-1	35	0	DiMSum
0.13	0.22857142857142856	-1	35	0	DiMSum
0.14	0.2571428571428571	-1	35	0	DiMSum
0.15	0.2571428571428571	-1	35	0	DiMSum
0.16	0.2571428571428571	-1	35	0	DiMSum
0.17	0.2571428571428571	-1	35	0	DiMSum
0.18	0.2571428571428571	-1	35	0	DiMSum
0.19	0.2571428571428571	-1	35	0	DiMSum
0.2	0.2857142857142857	-1	35	0	DiMSum
