test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0	0	443	1071	Enrich2
0.01	0.06320541760722348	0.32866479925303455	443	1071	Enrich2
0.02	0.07900677200902935	0.35014005602240894	443	1071	Enrich2
0.03	0.08577878103837472	0.3604108309990663	443	1071	Enrich2
0.04	0.09255079006772009	0.3697478991596639	443	1071	Enrich2
0.05	0.09706546275395034	0.3790849673202614	443	1071	Enrich2
0.06	0.10835214446952596	0.3865546218487395	443	1071	Enrich2
0.07	0.11512415349887133	0.3930905695611578	443	1071	Enrich2
0.08	0.12641083521444696	0.4005602240896359	443	1071	Enrich2
0.09	0.13769751693002258	0.40896358543417366	443	1071	Enrich2
0.1	0.14221218961625282	0.41643323996265175	443	1071	Enrich2
0.11	0.15124153498871332	0.419234360410831	443	1071	Enrich2
0.12	0.1580135440180587	0.4257703081232493	443	1071	Enrich2
0.13	0.16252821670428894	0.4295051353874883	443	1071	Enrich2
0.14	0.16478555304740405	0.4388422035480859	443	1071	Enrich2
0.15	0.16478555304740405	0.4444444444444444	443	1071	Enrich2
0.16	0.16930022573363432	0.45284780578898226	443	1071	Enrich2
0.17	0.17832957110609482	0.4603174603174603	443	1071	Enrich2
0.18	0.17832957110609482	0.46591970121381887	443	1071	Enrich2
0.19	0.18284424379232506	0.4733893557422969	443	1071	Enrich2
0.2	0.1873589164785553	0.47432306255835666	443	1071	Enrich2
0	0	0	443	1071	Rosace
0.01	0.11738148984198646	0.44351073762838467	443	1071	Rosace
0.02	0.15124153498871332	0.4752567693744164	443	1071	Rosace
0.03	0.16478555304740405	0.48739495798319327	443	1071	Rosace
0.04	0.1873589164785553	0.5060690943043884	443	1071	Rosace
0.05	0.20316027088036118	0.5154061624649859	443	1071	Rosace
0.06	0.21218961625282168	0.5266106442577031	443	1071	Rosace
0.07	0.21896162528216703	0.5303454715219421	443	1071	Rosace
0.08	0.23024830699774265	0.5443510737628384	443	1071	Rosace
0.09	0.23702031602708803	0.5536881419234361	443	1071	Rosace
0.1	0.24604966139954854	0.5602240896358543	443	1071	Rosace
0.11	0.26636568848758463	0.5676937441643324	443	1071	Rosace
0.12	0.2708803611738149	0.5751633986928104	443	1071	Rosace
0.13	0.27765237020316025	0.5835667600373483	443	1071	Rosace
0.14	0.28216704288939054	0.5919701213818861	443	1071	Rosace
0.15	0.3002257336343115	0.6003734827264239	443	1071	Rosace
0.16	0.309255079006772	0.6050420168067226	443	1071	Rosace
0.17	0.3182844243792325	0.6125116713352008	443	1071	Rosace
0.18	0.3295711060948081	0.61531279178338	443	1071	Rosace
0.19	0.3363431151241535	0.6190476190476191	443	1071	Rosace
0.2	0.3431151241534989	0.6227824463118581	443	1071	Rosace
0	0.033860045146726865	0.1465919701213819	443	1071	Rosace(nopos)
0.01	0.07674943566591422	0.32866479925303455	443	1071	Rosace(nopos)
0.02	0.09029345372460497	0.3790849673202614	443	1071	Rosace(nopos)
0.03	0.11512415349887133	0.4042950513538749	443	1071	Rosace(nopos)
0.04	0.1309255079006772	0.4295051353874883	443	1071	Rosace(nopos)
0.05	0.14221218961625282	0.453781512605042	443	1071	Rosace(nopos)
0.06	0.15349887133182843	0.4668534080298786	443	1071	Rosace(nopos)
0.07	0.16252821670428894	0.48366013071895425	443	1071	Rosace(nopos)
0.08	0.18284424379232506	0.49673202614379086	443	1071	Rosace(nopos)
0.09	0.19413092550790068	0.5135387488328664	443	1071	Rosace(nopos)
0.1	0.20090293453724606	0.5294117647058824	443	1071	Rosace(nopos)
