test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0	0	17	559	Enrich2
0.01	0.11764705882352941	0.47942754919499103	17	559	Enrich2
0.02	0.11764705882352941	0.5205724508050089	17	559	Enrich2
0.03	0.11764705882352941	0.5474060822898033	17	559	Enrich2
0.04	0.11764705882352941	0.556350626118068	17	559	Enrich2
0.05	0.11764705882352941	0.5670840787119857	17	559	Enrich2
0.06	0.11764705882352941	0.5706618962432916	17	559	Enrich2
0.07	0.17647058823529413	0.5778175313059034	17	559	Enrich2
0.08	0.17647058823529413	0.5867620751341681	17	559	Enrich2
0.09	0.17647058823529413	0.592128801431127	17	559	Enrich2
0.1	0.17647058823529413	0.59391771019678	17	559	Enrich2
0.11	0.17647058823529413	0.5992844364937389	17	559	Enrich2
0.12	0.23529411764705882	0.6118067978533095	17	559	Enrich2
0.13	0.23529411764705882	0.6207513416815742	17	559	Enrich2
0.14	0.23529411764705882	0.6261180679785331	17	559	Enrich2
0.15	0.23529411764705882	0.631484794275492	17	559	Enrich2
0.16	0.23529411764705882	0.6332737030411449	17	559	Enrich2
0.17	0.23529411764705882	0.6386404293381037	17	559	Enrich2
0.18	0.23529411764705882	0.6457960644007156	17	559	Enrich2
0.19	0.23529411764705882	0.6493738819320215	17	559	Enrich2
0.2	0.23529411764705882	0.6547406082289803	17	559	Enrich2
0	0	0	17	559	Rosace
0.01	0.11764705882352941	0.6976744186046512	17	559	Rosace
0.02	0.11764705882352941	0.7137745974955277	17	559	Rosace
0.03	0.11764705882352941	0.7227191413237924	17	559	Rosace
0.04	0.23529411764705882	0.7298747763864043	17	559	Rosace
0.05	0.23529411764705882	0.7441860465116279	17	559	Rosace
0.06	0.29411764705882354	0.7513416815742398	17	559	Rosace
0.07	0.29411764705882354	0.7549194991055456	17	559	Rosace
0.08	0.29411764705882354	0.7584973166368515	17	559	Rosace
0.09	0.29411764705882354	0.7620751341681574	17	559	Rosace
0.1	0.29411764705882354	0.7656529516994633	17	559	Rosace
0.11	0.35294117647058826	0.7692307692307693	17	559	Rosace
0.12	0.35294117647058826	0.7728085867620751	17	559	Rosace
0.13	0.35294117647058826	0.7835420393559929	17	559	Rosace
0.14	0.35294117647058826	0.7924865831842576	17	559	Rosace
0.15	0.35294117647058826	0.7924865831842576	17	559	Rosace
0.16	0.35294117647058826	0.7942754919499105	17	559	Rosace
0.17	0.35294117647058826	0.7996422182468694	17	559	Rosace
0.18	0.35294117647058826	0.7996422182468694	17	559	Rosace
0.19	0.35294117647058826	0.8050089445438283	17	559	Rosace
0.2	0.4117647058823529	0.8103756708407871	17	559	Rosace
0	0	0.3470483005366726	17	559	Rosace(nopos)
0.01	0	0.629695885509839	17	559	Rosace(nopos)
0.02	0	0.6565295169946332	17	559	Rosace(nopos)
0.03	0.11764705882352941	0.6762075134168157	17	559	Rosace(nopos)
0.04	0.11764705882352941	0.6869409660107334	17	559	Rosace(nopos)
0.05	0.11764705882352941	0.7012522361359571	17	559	Rosace(nopos)
0.06	0.11764705882352941	0.7119856887298748	17	559	Rosace(nopos)
0.07	0.11764705882352941	0.7227191413237924	17	559	Rosace(nopos)
0.08	0.11764705882352941	0.7280858676207513	17	559	Rosace(nopos)
0.09	0.11764705882352941	0.738819320214669	17	559	Rosace(nopos)
0.1	0.11764705882352941	0.7423971377459749	17	559	Rosace(nopos)
0.11	0.11764705882352941	0.7531305903398927	17	559	Rosace(nopos)
0.12	0.23529411764705882	0.7584973166368515	17	559	Rosace(nopos)
0.13	0.29411764705882354	0.7674418604651163	17	559	Rosace(nopos)
0.14	0.35294117647058826	0.774597495527728	17	559	Rosace(nopos)
0.15	0.4117647058823529	0.7817531305903399	17	559	Rosace(nopos)
0.16	0.4117647058823529	0.7889087656529516	17	559	Rosace(nopos)
0.17	0.4117647058823529	0.7978533094812165	17	559	Rosace(nopos)
0.18	0.4117647058823529	0.813953488372093	17	559	Rosace(nopos)
0.19	0.4117647058823529	0.817531305903399	17	559	Rosace(nopos)
0.2	0.4117647058823529	0.8228980322003577	17	559	Rosace(nopos)
0	0	0	17	559	Naive
0.01	0	0.18604651162790697	17	559	Naive
0.02	0	0.3094812164579606	17	559	Naive
0.03	0.058823529411764705	0.40966010733452596	17	559	Naive
0.04	0.058823529411764705	0.4865831842576029	17	559	Naive
0.05	0.11764705882352941	0.5098389982110912	17	559	Naive
0.06	0.11764705882352941	0.5456171735241503	17	559	Naive
0.07	0.11764705882352941	0.5688729874776386	17	559	Naive
0.08	0.11764705882352941	0.5957066189624329	17	559	Naive
0.09	0.11764705882352941	0.6135957066189625	17	559	Naive
0.1	0.17647058823529413	0.629695885509839	17	559	Naive
0.11	0.17647058823529413	0.6440071556350626	17	559	Naive
0.12	0.17647058823529413	0.6547406082289803	17	559	Naive
0.13	0.17647058823529413	0.6654740608228981	17	559	Naive
0.14	0.17647058823529413	0.6744186046511628	17	559	Naive
0.15	0.23529411764705882	0.6869409660107334	17	559	Naive
0.16	0.23529411764705882	0.6905187835420393	17	559	Naive
0.17	0.23529411764705882	0.6994633273703041	17	559	Naive
0.18	0.23529411764705882	0.7066189624329159	17	559	Naive
0.19	0.23529411764705882	0.7101967799642218	17	559	Naive
0.2	0.23529411764705882	0.7262969588550984	17	559	Naive
0	0	0	17	559	mutscan(edgeR)
0.01	0	0.016100178890876567	17	559	mutscan(edgeR)
0.02	0	0.025044722719141325	17	559	mutscan(edgeR)
0.03	0	0.03041144901610018	17	559	mutscan(edgeR)
0.04	0	0.04830053667262969	17	559	mutscan(edgeR)
0.05	0	0.06082289803220036	17	559	mutscan(edgeR)
0.06	0	0.06976744186046512	17	559	mutscan(edgeR)
0.07	0	0.08228980322003578	17	559	mutscan(edgeR)
0.08	0	0.23434704830053668	17	559	mutscan(edgeR)
0.09	0	0.39713774597495527	17	559	mutscan(edgeR)
0.1	0	0.46511627906976744	17	559	mutscan(edgeR)
0.11	0	0.5080500894454383	17	559	mutscan(edgeR)
0.12	0.058823529411764705	0.5277280858676208	17	559	mutscan(edgeR)
0.13	0.058823529411764705	0.5420393559928444	17	559	mutscan(edgeR)
0.14	0.058823529411764705	0.5509838998211091	17	559	mutscan(edgeR)
0.15	0.058823529411764705	0.5617173524150268	17	559	mutscan(edgeR)
0.16	0.11764705882352941	0.5688729874776386	17	559	mutscan(edgeR)
0.17	0.11764705882352941	0.5778175313059034	17	559	mutscan(edgeR)
0.18	0.17647058823529413	0.5796064400715564	17	559	mutscan(edgeR)
0.19	0.17647058823529413	0.5831842576028623	17	559	mutscan(edgeR)
0.2	0.17647058823529413	0.5885509838998211	17	559	mutscan(edgeR)
0	0	0	17	559	mutscan(limma)
0.01	0	0.05008944543828265	17	559	mutscan(limma)
