rank	FP	TP	n_ctrl	n_sig	method
0.002	0	0.0017889087656529517	17	559	Enrich2
0.004	0	0.008944543828264758	17	559	Enrich2
0.006	0	0.014311270125223614	17	559	Enrich2
0.008	0	0.017889087656529516	17	559	Enrich2
0.01	0	0.023255813953488372	17	559	Enrich2
0.012	0	0.03041144901610018	17	559	Enrich2
0.014	0	0.03756708407871199	17	559	Enrich2
0.016	0	0.04114490161001789	17	559	Enrich2
0.018	0	0.04293381037567084	17	559	Enrich2
0.02	0	0.0518783542039356	17	559	Enrich2
0.022	0	0.06082289803220036	17	559	Enrich2
0.024	0	0.06618962432915922	17	559	Enrich2
0.026	0	0.07155635062611806	17	559	Enrich2
0.028	0	0.07334525939177101	17	559	Enrich2
0.03	0	0.07692307692307693	17	559	Enrich2
0.032	0	0.08228980322003578	17	559	Enrich2
0.034	0	0.08944543828264759	17	559	Enrich2
0.036	0	0.09481216457960644	17	559	Enrich2
0.038	0	0.1001788908765653	17	559	Enrich2
0.04	0	0.1037567084078712	17	559	Enrich2
0.042	0	0.10912343470483005	17	559	Enrich2
0.044	0	0.10912343470483005	17	559	Enrich2
0.046	0	0.11806797853309481	17	559	Enrich2
0.048	0	0.1252236135957066	17	559	Enrich2
0.05	0	0.12701252236135957	17	559	Enrich2
0.052	0	0.12880143112701253	17	559	Enrich2
0.054	0	0.13059033989266547	17	559	Enrich2
0.056	0	0.13416815742397137	17	559	Enrich2
0.058	0	0.13953488372093023	17	559	Enrich2
0.06	0	0.14669051878354203	17	559	Enrich2
0.062	0	0.15742397137745975	17	559	Enrich2
0.064	0	0.16100178890876565	17	559	Enrich2
0.066	0	0.16636851520572452	17	559	Enrich2
0.068	0	0.1735241502683363	17	559	Enrich2
0.07	0	0.1806797853309481	17	559	Enrich2
0.072	0	0.18246869409660108	17	559	Enrich2
0.074	0	0.18425760286225404	17	559	Enrich2
0.076	0	0.18962432915921287	17	559	Enrich2
0.078	0	0.19141323792486584	17	559	Enrich2
0.08	0	0.19320214669051877	17	559	Enrich2
0.082	0	0.1967799642218247	17	559	Enrich2
0.084	0	0.19856887298747763	17	559	Enrich2
0.086	0	0.20214669051878353	17	559	Enrich2
0.088	0	0.20930232558139536	17	559	Enrich2
0.09	0	0.21645796064400716	17	559	Enrich2
0.092	0	0.22361359570661896	17	559	Enrich2
0.094	0	0.22719141323792486	17	559	Enrich2
0.096	0	0.23076923076923078	17	559	Enrich2
0.098	0	0.23613595706618962	17	559	Enrich2
0.1	0	0.23613595706618962	17	559	Enrich2
0.102	0	0.24150268336314848	17	559	Enrich2
0.104	0	0.2504472271914132	17	559	Enrich2
0.106	0	0.25402504472271914	17	559	Enrich2
0.108	0	0.25760286225402507	17	559	Enrich2
0.11	0	0.25760286225402507	17	559	Enrich2
0.112	0	0.26118067978533094	17	559	Enrich2
0.114	0	0.26654740608228983	17	559	Enrich2
0.116	0	0.27191413237924866	17	559	Enrich2
0.118	0	0.27549194991055453	17	559	Enrich2
0.12	0	0.2772808586762075	17	559	Enrich2
0.122	0	0.2808586762075134	17	559	Enrich2
0.124	0	0.2844364937388193	17	559	Enrich2
0.126	0	0.2880143112701252	17	559	Enrich2
0.128	0	0.29338103756708406	17	559	Enrich2
0.13	0	0.29874776386404295	17	559	Enrich2
0.132	0	0.3005366726296959	17	559	Enrich2
0.134	0	0.3041144901610018	17	559	Enrich2
0.136	0	0.3094812164579606	17	559	Enrich2
0.138	0	0.3112701252236136	17	559	Enrich2
0.14	0	0.32021466905187834	17	559	Enrich2
0.142	0	0.3220035778175313	17	559	Enrich2
0.144	0	0.32737030411449014	17	559	Enrich2
0.146	0	0.3291592128801431	17	559	Enrich2
0.148	0	0.334525939177102	17	559	Enrich2
0.15	0	0.3416815742397138	17	559	Enrich2
0.152	0	0.3416815742397138	17	559	Enrich2
0.154	0	0.35062611806797855	17	559	Enrich2
0.156	0	0.35241502683363146	17	559	Enrich2
0.158	0	0.3559928443649374	17	559	Enrich2
0.16	0	0.35778175313059035	17	559	Enrich2
0.162	0	0.36493738819320215	17	559	Enrich2
0.164	0	0.37209302325581395	17	559	Enrich2
0.166	0	0.3738819320214669	17	559	Enrich2
0.168	0	0.3774597495527728	17	559	Enrich2
0.17	0	0.3810375670840787	17	559	Enrich2
0.172	0	0.3828264758497317	17	559	Enrich2
0.174	0	0.38640429338103754	17	559	Enrich2
0.176	0	0.3881932021466905	17	559	Enrich2
0.178	0	0.3935599284436494	17	559	Enrich2
0.18	0	0.39713774597495527	17	559	Enrich2
0.182	0	0.40429338103756707	17	559	Enrich2
0.184	0	0.40966010733452596	17	559	Enrich2
0.186	0	0.41144901610017887	17	559	Enrich2
0.188	0	0.4186046511627907	17	559	Enrich2
0.19	0	0.42397137745974955	17	559	Enrich2
0.192	0	0.4293381037567084	17	559	Enrich2
0.194	0	0.4400715563506261	17	559	Enrich2
0.196	0	0.4418604651162791	17	559	Enrich2
0.198	0	0.4472271914132379	17	559	Enrich2
0.2	0	0.4525939177101968	17	559	Enrich2
0.202	0	0.45796064400715564	17	559	Enrich2
0.204	0	0.46511627906976744	17	559	Enrich2
0.206	0	0.4669051878354204	17	559	Enrich2
0.208	0	0.46869409660107336	17	559	Enrich2
0.21	0	0.4776386404293381	17	559	Enrich2
0.212	0	0.47942754919499103	17	559	Enrich2
0.214	0	0.4847942754919499	17	559	Enrich2
0.216	0	0.4847942754919499	17	559	Enrich2
0.218	0	0.4919499105545617	17	559	Enrich2
0.22	0	0.4937388193202147	17	559	Enrich2
0.222	0	0.49731663685152055	17	559	Enrich2
0.224	0	0.5008944543828264	17	559	Enrich2
0.226	0	0.5044722719141324	17	559	Enrich2
0.228	0	0.5080500894454383	17	559	Enrich2
0.23	0	0.5116279069767442	17	559	Enrich2
0.232	0	0.5152057245080501	17	559	Enrich2
0.234	0	0.516994633273703	17	559	Enrich2
0.236	0	0.5223613595706619	17	559	Enrich2
0.238	0	0.5259391771019678	17	559	Enrich2
0.24	0	0.5259391771019678	17	559	Enrich2
0.242	0	0.5259391771019678	17	559	Enrich2
0.244	0	0.5295169946332737	17	559	Enrich2
0.246	0	0.5330948121645797	17	559	Enrich2
0.248	0	0.5366726296958855	17	559	Enrich2
0.25	0.058823529411764705	0.5384615384615384	17	559	Enrich2
0.252	0.058823529411764705	0.5402504472271914	17	559	Enrich2
0.254	0.058823529411764705	0.5402504472271914	17	559	Enrich2
0.256	0.058823529411764705	0.5402504472271914	17	559	Enrich2
0.258	0.11764705882352941	0.5456171735241503	17	559	Enrich2
0.26	0.11764705882352941	0.5474060822898033	17	559	Enrich2
0.262	0.11764705882352941	0.5474060822898033	17	559	Enrich2
0.264	0.11764705882352941	0.5491949910554562	17	559	Enrich2
0.266	0.11764705882352941	0.5509838998211091	17	559	Enrich2
0.268	0.11764705882352941	0.5509838998211091	17	559	Enrich2
0.27	0.11764705882352941	0.5581395348837209	17	559	Enrich2
0.272	0.11764705882352941	0.5635062611806798	17	559	Enrich2
0.274	0.11764705882352941	0.5635062611806798	17	559	Enrich2
0.276	0.11764705882352941	0.5670840787119857	17	559	Enrich2
0.278	0.11764705882352941	0.5688729874776386	17	559	Enrich2
0.28	0.11764705882352941	0.5688729874776386	17	559	Enrich2
0.282	0.11764705882352941	0.5724508050089445	17	559	Enrich2
0.284	0.11764705882352941	0.5724508050089445	17	559	Enrich2
0.286	0.11764705882352941	0.5742397137745975	17	559	Enrich2
0.288	0.17647058823529413	0.5760286225402504	17	559	Enrich2
0.29	0.17647058823529413	0.5778175313059034	17	559	Enrich2
0.292	0.17647058823529413	0.5778175313059034	17	559	Enrich2
0.294	0.17647058823529413	0.5796064400715564	17	559	Enrich2
0.296	0.17647058823529413	0.5831842576028623	17	559	Enrich2
0.298	0.17647058823529413	0.5831842576028623	17	559	Enrich2
0.3	0.17647058823529413	0.5849731663685152	17	559	Enrich2
0.302	0.17647058823529413	0.590339892665474	17	559	Enrich2
0.304	0.17647058823529413	0.590339892665474	17	559	Enrich2
0.306	0.17647058823529413	0.592128801431127	17	559	Enrich2
0.308	0.17647058823529413	0.592128801431127	17	559	Enrich2
0.31	0.17647058823529413	0.5957066189624329	17	559	Enrich2
0.312	0.17647058823529413	0.6010733452593918	17	559	Enrich2
0.314	0.17647058823529413	0.6010733452593918	17	559	Enrich2
0.316	0.23529411764705882	0.6028622540250447	17	559	Enrich2
0.318	0.23529411764705882	0.6046511627906976	17	559	Enrich2
0.32	0.23529411764705882	0.6082289803220036	17	559	Enrich2
0.322	0.23529411764705882	0.6100178890876565	17	559	Enrich2
0.324	0.23529411764705882	0.6135957066189625	17	559	Enrich2
0.326	0.23529411764705882	0.6153846153846154	17	559	Enrich2
0.328	0.23529411764705882	0.6153846153846154	17	559	Enrich2
0.33	0.23529411764705882	0.6171735241502684	17	559	Enrich2
0.332	0.23529411764705882	0.6189624329159212	17	559	Enrich2
0.334	0.23529411764705882	0.6189624329159212	17	559	Enrich2
0.336	0.29411764705882354	0.6207513416815742	17	559	Enrich2
0.338	0.35294117647058826	0.6225402504472272	17	559	Enrich2
0.34	0.35294117647058826	0.6225402504472272	17	559	Enrich2
0.342	0.4117647058823529	0.6225402504472272	17	559	Enrich2
0.344	0.4117647058823529	0.6225402504472272	17	559	Enrich2
0.346	0.4117647058823529	0.6225402504472272	17	559	Enrich2
0.348	0.4117647058823529	0.6225402504472272	17	559	Enrich2
0.35	0.4117647058823529	0.6225402504472272	17	559	Enrich2
0.352	0.4117647058823529	0.629695885509839	17	559	Enrich2
0.354	0.4117647058823529	0.631484794275492	17	559	Enrich2
0.356	0.4117647058823529	0.6332737030411449	17	559	Enrich2
0.358	0.4117647058823529	0.6350626118067979	17	559	Enrich2
0.36	0.4117647058823529	0.6368515205724508	17	559	Enrich2
0.362	0.4117647058823529	0.6368515205724508	17	559	Enrich2
0.364	0.4117647058823529	0.6386404293381037	17	559	Enrich2
0.366	0.4117647058823529	0.6386404293381037	17	559	Enrich2
0.368	0.4117647058823529	0.6386404293381037	17	559	Enrich2
0.37	0.4117647058823529	0.6386404293381037	17	559	Enrich2
0.372	0.4117647058823529	0.6440071556350626	17	559	Enrich2
0.374	0.4117647058823529	0.6440071556350626	17	559	Enrich2
0.376	0.4117647058823529	0.6440071556350626	17	559	Enrich2
0.378	0.4117647058823529	0.6457960644007156	17	559	Enrich2
0.38	0.4117647058823529	0.6475849731663685	17	559	Enrich2
0.382	0.4117647058823529	0.6475849731663685	17	559	Enrich2
0.384	0.4117647058823529	0.6475849731663685	17	559	Enrich2
0.386	0.4117647058823529	0.6493738819320215	17	559	Enrich2
0.388	0.4117647058823529	0.6493738819320215	17	559	Enrich2
0.39	0.4117647058823529	0.6493738819320215	17	559	Enrich2
0.392	0.4117647058823529	0.6511627906976745	17	559	Enrich2
0.394	0.4117647058823529	0.6529516994633273	17	559	Enrich2
0.396	0.4117647058823529	0.6547406082289803	17	559	Enrich2
0.398	0.4117647058823529	0.6547406082289803	17	559	Enrich2
0.4	0.4117647058823529	0.6547406082289803	17	559	Enrich2
0.402	0.4117647058823529	0.6565295169946332	17	559	Enrich2
0.404	0.4117647058823529	0.6565295169946332	17	559	Enrich2
0.406	0.4117647058823529	0.6618962432915921	17	559	Enrich2
0.408	0.4117647058823529	0.6618962432915921	17	559	Enrich2
0.41	0.4117647058823529	0.6636851520572451	17	559	Enrich2
0.412	0.4117647058823529	0.6636851520572451	17	559	Enrich2
0.414	0.4117647058823529	0.6654740608228981	17	559	Enrich2
0.416	0.4117647058823529	0.6654740608228981	17	559	Enrich2
0.418	0.4117647058823529	0.667262969588551	17	559	Enrich2
0.42	0.4117647058823529	0.669051878354204	17	559	Enrich2
0.422	0.4117647058823529	0.669051878354204	17	559	Enrich2
0.424	0.4117647058823529	0.669051878354204	17	559	Enrich2
0.426	0.4117647058823529	0.669051878354204	17	559	Enrich2
0.428	0.4117647058823529	0.6708407871198568	17	559	Enrich2
0.43	0.4117647058823529	0.6708407871198568	17	559	Enrich2
0.432	0.4117647058823529	0.6708407871198568	17	559	Enrich2
0.434	0.4117647058823529	0.6708407871198568	17	559	Enrich2
0.436	0.4117647058823529	0.6726296958855098	17	559	Enrich2
0.438	0.4117647058823529	0.6726296958855098	17	559	Enrich2
0.44	0.4117647058823529	0.6726296958855098	17	559	Enrich2
0.442	0.4117647058823529	0.6744186046511628	17	559	Enrich2
0.444	0.47058823529411764	0.6762075134168157	17	559	Enrich2
0.446	0.47058823529411764	0.6779964221824687	17	559	Enrich2
0.448	0.47058823529411764	0.6797853309481217	17	559	Enrich2
0.45	0.47058823529411764	0.6797853309481217	17	559	Enrich2
0.452	0.47058823529411764	0.6797853309481217	17	559	Enrich2
0.454	0.47058823529411764	0.6815742397137746	17	559	Enrich2
0.456	0.47058823529411764	0.6833631484794276	17	559	Enrich2
0.458	0.47058823529411764	0.6869409660107334	17	559	Enrich2
0.46	0.47058823529411764	0.6869409660107334	17	559	Enrich2
0.462	0.47058823529411764	0.6869409660107334	17	559	Enrich2
0.464	0.47058823529411764	0.6869409660107334	17	559	Enrich2
0.466	0.47058823529411764	0.6869409660107334	17	559	Enrich2
0.468	0.47058823529411764	0.6869409660107334	17	559	Enrich2
0.47	0.47058823529411764	0.6869409660107334	17	559	Enrich2
0.472	0.47058823529411764	0.6887298747763864	17	559	Enrich2
0.474	0.5294117647058824	0.6905187835420393	17	559	Enrich2
0.476	0.5294117647058824	0.6905187835420393	17	559	Enrich2
0.478	0.5294117647058824	0.6905187835420393	17	559	Enrich2
0.48	0.5294117647058824	0.6905187835420393	17	559	Enrich2
0.482	0.5294117647058824	0.6923076923076923	17	559	Enrich2
0.484	0.5294117647058824	0.6940966010733453	17	559	Enrich2
0.486	0.5294117647058824	0.6940966010733453	17	559	Enrich2
0.488	0.5294117647058824	0.6940966010733453	17	559	Enrich2
0.49	0.5294117647058824	0.6940966010733453	17	559	Enrich2
0.492	0.5294117647058824	0.6940966010733453	17	559	Enrich2
0.494	0.5294117647058824	0.6958855098389982	17	559	Enrich2
0.496	0.5294117647058824	0.6958855098389982	17	559	Enrich2
0.498	0.5294117647058824	0.6958855098389982	17	559	Enrich2
0.5	0.5294117647058824	0.6994633273703041	17	559	Enrich2
0.502	0.5294117647058824	0.6994633273703041	17	559	Enrich2
0.504	0.5294117647058824	0.6994633273703041	17	559	Enrich2
0.506	0.5294117647058824	0.6994633273703041	17	559	Enrich2
0.508	0.5294117647058824	0.6994633273703041	17	559	Enrich2
0.51	0.5294117647058824	0.7012522361359571	17	559	Enrich2
