test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0.0011862396204033216	0.00663716814159292	2529	2260	Enrich2
0.01	0.43969948596283115	0.4261061946902655	2529	2260	Enrich2
0.02	0.47844998022933966	0.4584070796460177	2529	2260	Enrich2
0.03	0.505733491498616	0.479646017699115	2529	2260	Enrich2
0.04	0.5251087386318704	0.4995575221238938	2529	2260	Enrich2
0.05	0.5417160933175168	0.5106194690265486	2529	2260	Enrich2
0.06	0.5563463819691578	0.5261061946902655	2529	2260	Enrich2
0.07	0.5689996045867932	0.5398230088495575	2529	2260	Enrich2
0.08	0.5804665875840254	0.5508849557522124	2529	2260	Enrich2
0.09	0.5958877026492685	0.5632743362831858	2529	2260	Enrich2
0.1	0.6037959667852907	0.5747787610619469	2529	2260	Enrich2
0.11	0.6148675365757216	0.581858407079646	2529	2260	Enrich2
0.12	0.6247528667457493	0.5920353982300885	2529	2260	Enrich2
0.13	0.6322657176749703	0.5991150442477876	2529	2260	Enrich2
0.14	0.641755634638197	0.6079646017699115	2529	2260	Enrich2
0.15	0.6520363780150257	0.6159292035398231	2529	2260	Enrich2
0.16	0.66073546856465	0.6230088495575221	2529	2260	Enrich2
0.17	0.6698299723210756	0.6323008849557522	2529	2260	Enrich2
0.18	0.6745749308026888	0.6384955752212389	2529	2260	Enrich2
0.19	0.6809015421115066	0.6455752212389381	2529	2260	Enrich2
0.2	0.6856465005931198	0.6522123893805309	2529	2260	Enrich2
0	0	0	2529	2260	Rosace
0.01	0.47844998022933966	0.4323008849557522	2529	2260	Rosace
0.02	0.5298536971134836	0.47920353982300884	2529	2260	Rosace
0.03	0.5567417951759589	0.5022123893805309	2529	2260	Rosace
0.04	0.5808620007908264	0.5247787610619469	2529	2260	Rosace
0.05	0.594306049822064	0.5460176991150443	2529	2260	Rosace
0.06	0.6113088177145116	0.5641592920353983	2529	2260	Rosace
0.07	0.6255436931593515	0.5756637168141593	2529	2260	Rosace
0.08	0.6358244365361803	0.5938053097345133	2529	2260	Rosace
0.09	0.6504547251878213	0.6092920353982301	2529	2260	Rosace
0.1	0.6591538157374456	0.6207964601769912	2529	2260	Rosace
0.11	0.6670620798734678	0.6309734513274337	2529	2260	Rosace
0.12	0.6785290628706999	0.6393805309734514	2529	2260	Rosace
0.13	0.686041913799921	0.6486725663716815	2529	2260	Rosace
0.14	0.6963226571767497	0.6557522123893805	2529	2260	Rosace
0.15	0.7022538552787663	0.661504424778761	2529	2260	Rosace
0.16	0.7097667062079873	0.6668141592920354	2529	2260	Rosace
0.17	0.7176749703440095	0.6716814159292035	2529	2260	Rosace
0.18	0.7247924080664294	0.6792035398230089	2529	2260	Rosace
0.19	0.7279557137208382	0.6849557522123894	2529	2260	Rosace
0.2	0.7330960854092526	0.6933628318584071	2529	2260	Rosace
0	0.20047449584816132	0.2004424778761062	2529	2260	Rosace(nopos)
0.01	0.4147884539343614	0.40176991150442476	2529	2260	Rosace(nopos)
0.02	0.4709371293001186	0.4579646017699115	2529	2260	Rosace(nopos)
0.03	0.5112692763938316	0.49734513274336284	2529	2260	Rosace(nopos)
0.04	0.5409252669039146	0.5247787610619469	2529	2260	Rosace(nopos)
0.05	0.564650059311981	0.5464601769911505	2529	2260	Rosace(nopos)
0.06	0.5875840253064453	0.570353982300885	2529	2260	Rosace(nopos)
0.07	0.6109134045077106	0.5880530973451328	2529	2260	Rosace(nopos)
0.08	0.6247528667457493	0.6057522123893805	2529	2260	Rosace(nopos)
0.09	0.642151047844998	0.6234513274336283	2529	2260	Rosace(nopos)
0.1	0.6603400553578489	0.6393805309734514	2529	2260	Rosace(nopos)
0.11	0.67497034400949	0.6539823008849558	2529	2260	Rosace(nopos)
0.12	0.6907868722815342	0.6699115044247788	2529	2260	Rosace(nopos)
0.13	0.7022538552787663	0.6809734513274336	2529	2260	Rosace(nopos)
0.14	0.7164887307236062	0.6915929203539823	2529	2260	Rosace(nopos)
0.15	0.7287465401344405	0.7070796460176991	2529	2260	Rosace(nopos)
0.16	0.7350731514432582	0.720353982300885	2529	2260	Rosace(nopos)
0.17	0.7504942665085014	0.7300884955752213	2529	2260	Rosace(nopos)
0.18	0.7611704230921312	0.7398230088495575	2529	2260	Rosace(nopos)
0.19	0.7690786872281534	0.7513274336283186	2529	2260	Rosace(nopos)
0.2	0.77856860419138	0.765929203539823	2529	2260	Rosace(nopos)
0	0	0	2529	2260	Naive
0.01	0.24673784104389088	0.2676991150442478	2529	2260	Naive
0.02	0.3190984578884935	0.3349557522123894	2529	2260	Naive
0.03	0.376433372874654	0.37964601769911505	2529	2260	Naive
0.04	0.4191379992091736	0.4079646017699115	2529	2260	Naive
0.05	0.4483985765124555	0.4353982300884956	2529	2260	Naive
0.06	0.47884539343614074	0.45663716814159294	2529	2260	Naive
0.07	0.5005931198102017	0.4747787610619469	2529	2260	Naive
0.08	0.5247133254250692	0.49601769911504423	2529	2260	Naive
0.09	0.5413206801107157	0.5101769911504425	2529	2260	Naive
0.1	0.5567417951759589	0.5265486725663717	2529	2260	Naive
0.11	0.5713720838275999	0.5411504424778761	2529	2260	Naive
0.12	0.5852115460656386	0.5548672566371682	2529	2260	Naive
0.13	0.6014234875444839	0.5716814159292035	2529	2260	Naive
0.14	0.6140767101621194	0.5805309734513274	2529	2260	Naive
0.15	0.627520759193357	0.5933628318584071	2529	2260	Naive
0.16	0.6378015025701859	0.6044247787610619	2529	2260	Naive
0.17	0.649663898774219	0.6146017699115044	2529	2260	Naive
0.18	0.6619217081850534	0.6238938053097345	2529	2260	Naive
0.19	0.6714116251482799	0.6345132743362832	2529	2260	Naive
0.2	0.6801107156979043	0.6429203539823009	2529	2260	Naive
0	0	0	2529	2260	mutscan(edgeR)
0.01	0.12336892052194544	0.1743362831858407	2529	2260	mutscan(edgeR)
0.02	0.18940292605773032	0.2424778761061947	2529	2260	mutscan(edgeR)
0.03	0.24278370897587978	0.28230088495575223	2529	2260	mutscan(edgeR)
0.04	0.27995255041518385	0.3154867256637168	2529	2260	mutscan(edgeR)
0.05	0.30209568999604586	0.34292035398230086	2529	2260	mutscan(edgeR)
0.06	0.33214709371293	0.368141592920354	2529	2260	mutscan(edgeR)
0.07	0.35073151443258205	0.3911504424778761	2529	2260	mutscan(edgeR)
0.08	0.3807829181494662	0.4097345132743363	2529	2260	mutscan(edgeR)
0.09	0.4013444049031238	0.42920353982300885	2529	2260	mutscan(edgeR)
0.1	0.4203242388295769	0.4398230088495575	2529	2260	mutscan(edgeR)
0.11	0.4377224199288256	0.4539823008849557	2529	2260	mutscan(edgeR)
0.12	0.45077105575326215	0.4654867256637168	2529	2260	mutscan(edgeR)
0.13	0.46777382364570974	0.47920353982300884	2529	2260	mutscan(edgeR)
0.14	0.48240411229735075	0.4889380530973451	2529	2260	mutscan(edgeR)
0.15	0.49228944246737844	0.5004424778761062	2529	2260	mutscan(edgeR)
0.16	0.5037564254646105	0.5106194690265486	2529	2260	mutscan(edgeR)
0.17	0.5187821273230526	0.522566371681416	2529	2260	mutscan(edgeR)
0.18	0.5286674574930803	0.5349557522123893	2529	2260	mutscan(edgeR)
0.19	0.5401344404903123	0.5442477876106194	2529	2260	mutscan(edgeR)
0.2	0.5492289442467378	0.554424778761062	2529	2260	mutscan(edgeR)
0	0	0	2529	2260	mutscan(limma)
0.01	0.2269671807038355	0.24778761061946902	2529	2260	mutscan(limma)
0.02	0.3084223013048636	0.31504424778761064	2529	2260	mutscan(limma)
0.03	0.35587188612099646	0.3530973451327434	2529	2260	mutscan(limma)
0.04	0.39541320680110714	0.38495575221238937	2529	2260	mutscan(limma)
0.05	0.4349545274812179	0.41637168141592923	2529	2260	mutscan(limma)
0.06	0.46619217081850534	0.4433628318584071	2529	2260	mutscan(limma)
0.07	0.487149070778964	0.47345132743362833	2529	2260	mutscan(limma)
0.08	0.505733491498616	0.4924778761061947	2529	2260	mutscan(limma)
0.09	0.5231316725978647	0.5075221238938054	2529	2260	mutscan(limma)
0.1	0.5440885725583234	0.5199115044247787	2529	2260	mutscan(limma)
0.11	0.5575326215895611	0.5371681415929204	2529	2260	mutscan(limma)
0.12	0.5709766706207987	0.5530973451327433	2529	2260	mutscan(limma)
0.13	0.5860023724792408	0.5637168141592921	2529	2260	mutscan(limma)
0.14	0.597864768683274	0.5738938053097346	2529	2260	mutscan(limma)
0.15	0.608936338473705	0.5809734513274336	2529	2260	mutscan(limma)
0.16	0.6184262554369316	0.5951327433628318	2529	2260	mutscan(limma)
0.17	0.6263345195729537	0.6048672566371681	2529	2260	mutscan(limma)
0.18	0.6334519572953736	0.6097345132743363	2529	2260	mutscan(limma)
0.19	0.6437327006722025	0.6207964601769912	2529	2260	mutscan(limma)
0.2	0.6571767497034401	0.6287610619469026	2529	2260	mutscan(limma)
0	0	0	2529	2260	DiMSum
0.01	0.2763938315539739	0.3349557522123894	2529	2260	DiMSum
0.02	0.3364966389877422	0.38539823008849555	2529	2260	DiMSum
0.03	0.3776196124950573	0.42345132743362834	2529	2260	DiMSum
0.04	0.41162514827995256	0.45	2529	2260	DiMSum
0.05	0.4377224199288256	0.4721238938053097	2529	2260	DiMSum
0.06	0.46184262554369315	0.4902654867256637	2529	2260	DiMSum
0.07	0.48279952550415184	0.5066371681415929	2529	2260	DiMSum
0.08	0.5025701858442072	0.5203539823008849	2529	2260	DiMSum
0.09	0.5199683669434559	0.5353982300884956	2529	2260	DiMSum
0.1	0.5365757216291024	0.5460176991150443	2529	2260	DiMSum
0.11	0.5516014234875445	0.5606194690265487	2529	2260	DiMSum
0.12	0.5630684064847766	0.5721238938053097	2529	2260	DiMSum
0.13	0.575326215895611	0.5823008849557522	2529	2260	DiMSum
0.14	0.5899565045472519	0.5911504424778761	2529	2260	DiMSum
