rank	FP	TP	n_ctrl	n_sig	method
0.002	0.0019770660340055358	0.002654867256637168	2529	2260	Enrich2
0.004	0.0019770660340055358	0.00663716814159292	2529	2260	Enrich2
0.006	0.0019770660340055358	0.011504424778761062	2529	2260	Enrich2
0.008	0.002372479240806643	0.013716814159292035	2529	2260	Enrich2
0.01	0.002372479240806643	0.016814159292035398	2529	2260	Enrich2
0.012	0.002372479240806643	0.021238938053097345	2529	2260	Enrich2
0.014	0.002372479240806643	0.02566371681415929	2529	2260	Enrich2
0.016	0.00276789244760775	0.029646017699115044	2529	2260	Enrich2
0.018	0.00276789244760775	0.034955752212389384	2529	2260	Enrich2
0.02	0.00276789244760775	0.03805309734513274	2529	2260	Enrich2
0.022	0.0031633056544088573	0.04115044247787611	2529	2260	Enrich2
0.024	0.0031633056544088573	0.04601769911504425	2529	2260	Enrich2
0.026	0.0031633056544088573	0.04911504424778761	2529	2260	Enrich2
0.028	0.0031633056544088573	0.05265486725663717	2529	2260	Enrich2
0.03	0.0031633056544088573	0.05707964601769912	2529	2260	Enrich2
0.032	0.0031633056544088573	0.06017699115044248	2529	2260	Enrich2
0.034	0.0031633056544088573	0.062389380530973454	2529	2260	Enrich2
0.036	0.0031633056544088573	0.0668141592920354	2529	2260	Enrich2
0.038	0.0031633056544088573	0.06814159292035399	2529	2260	Enrich2
0.04	0.0035587188612099642	0.07389380530973451	2529	2260	Enrich2
0.042	0.0035587188612099642	0.07699115044247788	2529	2260	Enrich2
0.044	0.0035587188612099642	0.07964601769911504	2529	2260	Enrich2
0.046	0.0035587188612099642	0.08451327433628318	2529	2260	Enrich2
0.048	0.0035587188612099642	0.08716814159292036	2529	2260	Enrich2
0.05	0.0035587188612099642	0.08982300884955752	2529	2260	Enrich2
0.052	0.0039541320680110716	0.09513274336283185	2529	2260	Enrich2
0.054	0.004349545274812179	0.09823008849557523	2529	2260	Enrich2
0.056	0.004349545274812179	0.10044247787610619	2529	2260	Enrich2
0.058	0.004349545274812179	0.10353982300884956	2529	2260	Enrich2
0.06	0.004349545274812179	0.10663716814159292	2529	2260	Enrich2
0.062	0.004744958481613286	0.11106194690265486	2529	2260	Enrich2
0.064	0.006326611308817715	0.11460176991150442	2529	2260	Enrich2
0.066	0.007512850929221036	0.1172566371681416	2529	2260	Enrich2
0.068	0.007908264136022143	0.12079646017699115	2529	2260	Enrich2
0.07	0.00830367734282325	0.12345132743362831	2529	2260	Enrich2
0.072	0.00830367734282325	0.12654867256637167	2529	2260	Enrich2
0.074	0.009094503756425464	0.12964601769911505	2529	2260	Enrich2
0.076	0.009885330170027679	0.13185840707964602	2529	2260	Enrich2
0.078	0.009885330170027679	0.13584070796460176	2529	2260	Enrich2
0.08	0.010676156583629894	0.13982300884955753	2529	2260	Enrich2
0.082	0.012257809410834321	0.1433628318584071	2529	2260	Enrich2
0.084	0.01265322261763543	0.14601769911504425	2529	2260	Enrich2
0.086	0.013048635824436536	0.1495575221238938	2529	2260	Enrich2
0.088	0.014630288651640965	0.15265486725663716	2529	2260	Enrich2
0.09	0.014630288651640965	0.15530973451327434	2529	2260	Enrich2
0.092	0.015025701858442072	0.1592920353982301	2529	2260	Enrich2
0.094	0.016211941478845394	0.16150442477876106	2529	2260	Enrich2
0.096	0.017002767892447607	0.16504424778761062	2529	2260	Enrich2
0.098	0.018584420719652037	0.16681415929203539	2529	2260	Enrich2
0.1	0.01937524713325425	0.16858407079646018	2529	2260	Enrich2
0.102	0.02056148675365757	0.17035398230088494	2529	2260	Enrich2
0.104	0.021352313167259787	0.1752212389380531	2529	2260	Enrich2
0.106	0.022143139580862	0.17876106194690267	2529	2260	Enrich2
0.108	0.02372479240806643	0.18230088495575222	2529	2260	Enrich2
0.11	0.024515618821668642	0.18628318584070797	2529	2260	Enrich2
0.112	0.02609727164887307	0.18938053097345134	2529	2260	Enrich2
0.114	0.027283511269276393	0.19424778761061948	2529	2260	Enrich2
0.116	0.028865164096480822	0.19646017699115045	2529	2260	Enrich2
0.118	0.02965599051008304	0.2	2529	2260	Enrich2
0.12	0.03202846975088968	0.20265486725663717	2529	2260	Enrich2
0.122	0.033610122578094107	0.20663716814159291	2529	2260	Enrich2
0.124	0.034005535784895215	0.21061946902654868	2529	2260	Enrich2
0.126	0.03598260181890075	0.21415929203539824	2529	2260	Enrich2
0.128	0.03716884143930407	0.21858407079646017	2529	2260	Enrich2
0.13	0.0387504942665085	0.22123893805309736	2529	2260	Enrich2
0.132	0.04033214709371293	0.2243362831858407	2529	2260	Enrich2
0.134	0.04151838671411625	0.22831858407079647	2529	2260	Enrich2
0.136	0.042704626334519574	0.2336283185840708	2529	2260	Enrich2
0.138	0.045077105575326216	0.23584070796460177	2529	2260	Enrich2
0.14	0.04744958481613286	0.23849557522123893	2529	2260	Enrich2
0.142	0.049031237643337285	0.23938053097345133	2529	2260	Enrich2
0.144	0.051008303677342826	0.2424778761061947	2529	2260	Enrich2
0.146	0.05219454329774614	0.24557522123893805	2529	2260	Enrich2
0.148	0.05338078291814947	0.2504424778761062	2529	2260	Enrich2
0.15	0.053776196124950576	0.25309734513274335	2529	2260	Enrich2
0.152	0.054962435745353894	0.25442477876106195	2529	2260	Enrich2
0.154	0.056544088572558326	0.2575221238938053	2529	2260	Enrich2
0.156	0.057730328192961644	0.2606194690265487	2529	2260	Enrich2
0.158	0.05931198102016608	0.26371681415929205	2529	2260	Enrich2
0.16	0.06247528667457493	0.268141592920354	2529	2260	Enrich2
0.162	0.06405693950177936	0.270353982300885	2529	2260	Enrich2
0.164	0.06484776591538158	0.2734513274336283	2529	2260	Enrich2
0.166	0.066429418742586	0.27654867256637167	2529	2260	Enrich2
0.168	0.06959272439699486	0.27876106194690264	2529	2260	Enrich2
0.17	0.0715697904310004	0.2809734513274336	2529	2260	Enrich2
0.172	0.07315144325820483	0.2853982300884956	2529	2260	Enrich2
0.174	0.07473309608540925	0.28761061946902655	2529	2260	Enrich2
0.176	0.07631474891261368	0.28982300884955753	2529	2260	Enrich2
0.178	0.07789640173981811	0.2929203539823009	2529	2260	Enrich2
0.18	0.07947805456702253	0.29513274336283185	2529	2260	Enrich2
0.182	0.08105970739422697	0.2982300884955752	2529	2260	Enrich2
0.184	0.0830367734282325	0.3004424778761062	2529	2260	Enrich2
0.186	0.08382759984183472	0.30398230088495576	2529	2260	Enrich2
0.188	0.08501383946223803	0.30575221238938055	2529	2260	Enrich2
0.19	0.08699090549624358	0.30796460176991153	2529	2260	Enrich2
0.192	0.0881771451166469	0.31194690265486724	2529	2260	Enrich2
0.194	0.08896797153024912	0.3154867256637168	2529	2260	Enrich2
0.196	0.09292210359826018	0.31946902654867254	2529	2260	Enrich2
0.198	0.09568999604586793	0.32123893805309733	2529	2260	Enrich2
0.2	0.09806247528667457	0.3247787610619469	2529	2260	Enrich2
0.202	0.099644128113879	0.32831858407079645	2529	2260	Enrich2
0.204	0.10122578094108343	0.33008849557522124	2529	2260	Enrich2
0.206	0.10241202056148675	0.3331858407079646	2529	2260	Enrich2
0.208	0.10399367338869119	0.334070796460177	2529	2260	Enrich2
0.21	0.1051799130090945	0.33716814159292036	2529	2260	Enrich2
0.212	0.10794780545670225	0.33938053097345133	2529	2260	Enrich2
0.214	0.11150652431791222	0.3415929203539823	2529	2260	Enrich2
0.216	0.11387900355871886	0.34424778761061947	2529	2260	Enrich2
0.218	0.11546065638592329	0.347787610619469	2529	2260	Enrich2
0.22	0.11783313562672994	0.3491150442477876	2529	2260	Enrich2
0.222	0.12060102807433769	0.3513274336283186	2529	2260	Enrich2
0.224	0.12257809410834322	0.35442477876106193	2529	2260	Enrich2
0.226	0.12495057334914986	0.35752212389380533	2529	2260	Enrich2
0.228	0.1277184657967576	0.3597345132743363	2529	2260	Enrich2
0.23	0.1312771846579676	0.36238938053097347	2529	2260	Enrich2
0.232	0.13444049031237643	0.36460176991150445	2529	2260	Enrich2
0.234	0.13602214313958086	0.365929203539823	2529	2260	Enrich2
0.236	0.1376037959667853	0.36902654867256635	2529	2260	Enrich2
0.238	0.13958086200079084	0.37079646017699114	2529	2260	Enrich2
0.24	0.14195334124159747	0.3747787610619469	2529	2260	Enrich2
0.242	0.14472123368920523	0.3756637168141593	2529	2260	Enrich2
0.244	0.14709371293001186	0.37743362831858407	2529	2260	Enrich2
0.246	0.1494661921708185	0.3787610619469027	2529	2260	Enrich2
0.248	0.15302491103202848	0.38141592920353984	2529	2260	Enrich2
0.25	0.1553973902728351	0.3836283185840708	2529	2260	Enrich2
0.252	0.15816528272044286	0.384070796460177	2529	2260	Enrich2
0.254	0.15935152234084618	0.38761061946902653	2529	2260	Enrich2
0.256	0.1609331751680506	0.3898230088495575	2529	2260	Enrich2
0.258	0.16132858837485173	0.3915929203539823	2529	2260	Enrich2
0.26	0.16291024120205616	0.3929203539823009	2529	2260	Enrich2
0.262	0.16449189402926057	0.39646017699115044	2529	2260	Enrich2
0.264	0.16686437327006723	0.39778761061946905	2529	2260	Enrich2
0.266	0.16923685251087386	0.3986725663716814	2529	2260	Enrich2
0.268	0.1716093317516805	0.4	2529	2260	Enrich2
0.27	0.17319098457888493	0.40309734513274337	2529	2260	Enrich2
0.272	0.1763542902332938	0.40486725663716816	2529	2260	Enrich2
0.274	0.17872676947410043	0.4079646017699115	2529	2260	Enrich2
0.276	0.18030842230130487	0.4092920353982301	2529	2260	Enrich2
0.278	0.18228548833531039	0.41061946902654867	2529	2260	Enrich2
0.28	0.18426255436931593	0.41283185840707964	2529	2260	Enrich2
0.282	0.18584420719652037	0.413716814159292	2529	2260	Enrich2
0.284	0.1878212732305259	0.4168141592920354	2529	2260	Enrich2
0.286	0.19058916567813364	0.41858407079646015	2529	2260	Enrich2
0.288	0.1937524713325425	0.4207964601769911	2529	2260	Enrich2
0.29	0.19612495057334914	0.42389380530973453	2529	2260	Enrich2
0.292	0.1984974298141558	0.4269911504424779	2529	2260	Enrich2
0.294	0.20047449584816132	0.43053097345132746	2529	2260	Enrich2
0.296	0.20284697508896798	0.4323008849557522	2529	2260	Enrich2
0.298	0.20521945432977462	0.434070796460177	2529	2260	Enrich2
0.3	0.20561486753657574	0.4353982300884956	2529	2260	Enrich2
0.302	0.20719652036378014	0.43805309734513276	2529	2260	Enrich2
0.304	0.20838275998418349	0.4398230088495575	2529	2260	Enrich2
0.306	0.2095689996045868	0.44203539823008847	2529	2260	Enrich2
0.308	0.21233689205219455	0.44424778761061945	2529	2260	Enrich2
0.31	0.21431395808620007	0.4469026548672566	2529	2260	Enrich2
0.312	0.21629102412020562	0.4486725663716814	2529	2260	Enrich2
0.314	0.21747726374060894	0.45	2529	2260	Enrich2
0.316	0.2202451561882167	0.452212389380531	2529	2260	Enrich2
0.318	0.22380387504942664	0.45442477876106196	2529	2260	Enrich2
0.32	0.2261763542902333	0.4588495575221239	2529	2260	Enrich2
0.322	0.22854883353103994	0.46106194690265484	2529	2260	Enrich2
0.324	0.23013048635824437	0.4632743362831858	2529	2260	Enrich2
0.326	0.232502965599051	0.4672566371681416	2529	2260	Enrich2
0.328	0.23527085804665876	0.47079646017699117	2529	2260	Enrich2
0.33	0.23843416370106763	0.4738938053097345	2529	2260	Enrich2
0.332	0.24041122973507315	0.4756637168141593	2529	2260	Enrich2
0.334	0.24199288256227758	0.47920353982300884	2529	2260	Enrich2
0.336	0.24396994859628313	0.481858407079646	2529	2260	Enrich2
0.338	0.24555160142348753	0.4853982300884956	2529	2260	Enrich2
0.34	0.2491103202846975	0.4871681415929204	2529	2260	Enrich2
0.342	0.25108738631870303	0.48805309734513275	2529	2260	Enrich2
0.344	0.2530644523527086	0.4907079646017699	2529	2260	Enrich2
0.346	0.25622775800711745	0.4920353982300885	2529	2260	Enrich2
0.348	0.25899565045472517	0.49557522123893805	2529	2260	Enrich2
0.35	0.26057730328192963	0.497787610619469	2529	2260	Enrich2
0.352	0.2613681296955318	0.5008849557522124	2529	2260	Enrich2
0.354	0.2641360221431396	0.504424778761062	2529	2260	Enrich2
0.356	0.2665085013839462	0.5066371681415929	2529	2260	Enrich2
0.358	0.26888098062475285	0.5088495575221239	2529	2260	Enrich2
0.36	0.2704626334519573	0.5106194690265486	2529	2260	Enrich2
0.362	0.2736259391063662	0.5123893805309735	2529	2260	Enrich2
0.364	0.27560300514037167	0.5154867256637168	2529	2260	Enrich2
0.366	0.2779754843811783	0.5172566371681416	2529	2260	Enrich2
0.368	0.2807433768287861	0.5194690265486726	2529	2260	Enrich2
0.37	0.28272044286279163	0.5221238938053098	2529	2260	Enrich2
0.372	0.28509292210359827	0.5256637168141592	2529	2260	Enrich2
0.374	0.2866745749308027	0.5283185840707965	2529	2260	Enrich2
0.376	0.2890470541716093	0.529646017699115	2529	2260	Enrich2
0.378	0.291419533412416	0.5327433628318584	2529	2260	Enrich2
0.38	0.2945828390668248	0.5353982300884956	2529	2260	Enrich2
0.382	0.29616449189402927	0.5389380530973451	2529	2260	Enrich2
0.384	0.2985369711348359	0.5420353982300885	2529	2260	Enrich2
0.386	0.302491103202847	0.5438053097345132	2529	2260	Enrich2
0.388	0.3032819296164492	0.5464601769911505	2529	2260	Enrich2
0.39	0.3040727560300514	0.5508849557522124	2529	2260	Enrich2
0.392	0.30604982206405695	0.554424778761062	2529	2260	Enrich2
0.394	0.3088177145116647	0.5557522123893806	2529	2260	Enrich2
0.396	0.3111901937524713	0.5570796460176991	2529	2260	Enrich2
0.398	0.31316725978647686	0.5615044247787611	2529	2260	Enrich2
0.4	0.31593515223408464	0.5628318584070796	2529	2260	Enrich2
0.402	0.31870304468169236	0.5650442477876106	2529	2260	Enrich2
0.404	0.3206801107156979	0.565929203539823	2529	2260	Enrich2
0.406	0.32305258995650454	0.5668141592920354	2529	2260	Enrich2
0.408	0.32463424278370895	0.5690265486725664	2529	2260	Enrich2
0.41	0.32977461447212336	0.5707964601769911	2529	2260	Enrich2
0.412	0.3329379201265322	0.5743362831858407	2529	2260	Enrich2
0.414	0.3349149861605378	0.5765486725663717	2529	2260	Enrich2
0.416	0.33807829181494664	0.5778761061946903	2529	2260	Enrich2
0.418	0.34005535784895213	0.5800884955752212	2529	2260	Enrich2
0.42	0.3424278370897588	0.581858407079646	2529	2260	Enrich2
0.422	0.3459865559509688	0.5836283185840708	2529	2260	Enrich2
0.424	0.3487544483985765	0.5862831858407079	2529	2260	Enrich2
0.426	0.35112692763938314	0.588495575221239	2529	2260	Enrich2
0.428	0.3538948200869909	0.5902654867256637	2529	2260	Enrich2
