test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0	0.018252933507170794	259	767	Enrich2
0.01	0.4517374517374517	0.6310299869621904	259	767	Enrich2
0.02	0.4671814671814672	0.6453715775749674	259	767	Enrich2
0.03	0.47876447876447875	0.6584093872229465	259	767	Enrich2
0.04	0.5135135135135135	0.6727509778357236	259	767	Enrich2
0.05	0.5328185328185329	0.6870925684485006	259	767	Enrich2
0.06	0.5521235521235521	0.6910039113428944	259	767	Enrich2
0.07	0.5675675675675675	0.7040417209908736	259	767	Enrich2
0.08	0.5907335907335908	0.7105606258148631	259	767	Enrich2
0.09	0.6061776061776062	0.7222946544980443	259	767	Enrich2
0.1	0.6177606177606177	0.7235984354628422	259	767	Enrich2
0.11	0.6216216216216216	0.7314211212516297	259	767	Enrich2
0.12	0.6332046332046332	0.7353324641460235	259	767	Enrich2
0.13	0.6563706563706564	0.7444589308996089	259	767	Enrich2
0.14	0.6602316602316602	0.7496740547588006	259	767	Enrich2
0.15	0.6718146718146718	0.7614080834419817	259	767	Enrich2
0.16	0.6756756756756757	0.7666232073011734	259	767	Enrich2
0.17	0.6833976833976834	0.7705345501955672	259	767	Enrich2
0.18	0.6911196911196911	0.7757496740547588	259	767	Enrich2
0.19	0.7027027027027027	0.7770534550195567	259	767	Enrich2
0.2	0.7181467181467182	0.7835723598435462	259	767	Enrich2
0	0	0	259	767	Rosace
0.01	0.5521235521235521	0.6740547588005215	259	767	Rosace
0.02	0.6023166023166023	0.6988265971316818	259	767	Rosace
0.03	0.640926640926641	0.7144719687092569	259	767	Rosace
0.04	0.6602316602316602	0.727509778357236	259	767	Rosace
0.05	0.6718146718146718	0.7392438070404173	259	767	Rosace
0.06	0.6756756756756757	0.7457627118644068	259	767	Rosace
0.07	0.6795366795366795	0.7548891786179922	259	767	Rosace
0.08	0.6833976833976834	0.7692307692307693	259	767	Rosace
0.09	0.6872586872586872	0.7731421121251629	259	767	Rosace
0.1	0.7027027027027027	0.7796610169491526	259	767	Rosace
0.11	0.7104247104247104	0.7809647979139505	259	767	Rosace
0.12	0.722007722007722	0.7861799217731421	259	767	Rosace
0.13	0.7374517374517374	0.788787483702738	259	767	Rosace
0.14	0.752895752895753	0.7913950456323338	259	767	Rosace
0.15	0.7606177606177607	0.7992177314211213	259	767	Rosace
0.16	0.7722007722007722	0.8083441981747066	259	767	Rosace
0.17	0.7799227799227799	0.8135593220338984	259	767	Rosace
0.18	0.7915057915057915	0.8161668839634941	259	767	Rosace
0.19	0.806949806949807	0.8200782268578879	259	767	Rosace
0.2	0.8108108108108109	0.8252933507170795	259	767	Rosace
0	0.30115830115830117	0.4602346805736636	259	767	Rosace(nopos)
0.01	0.5057915057915058	0.6584093872229465	259	767	Rosace(nopos)
0.02	0.5598455598455598	0.6962190352020861	259	767	Rosace(nopos)
0.03	0.5868725868725869	0.7183833116036505	259	767	Rosace(nopos)
0.04	0.6254826254826255	0.7262059973924381	259	767	Rosace(nopos)
0.05	0.6525096525096525	0.7470664928292047	259	767	Rosace(nopos)
0.06	0.6640926640926641	0.7601043024771839	259	767	Rosace(nopos)
0.07	0.6833976833976834	0.7640156453715776	259	767	Rosace(nopos)
0.08	0.6988416988416989	0.771838331160365	259	767	Rosace(nopos)
0.09	0.7065637065637066	0.7822685788787483	259	767	Rosace(nopos)
0.1	0.7297297297297297	0.7913950456323338	259	767	Rosace(nopos)
0.11	0.7451737451737451	0.8057366362451108	259	767	Rosace(nopos)
0.12	0.7567567567567568	0.817470664928292	259	767	Rosace(nopos)
0.13	0.7760617760617761	0.8213820078226858	259	767	Rosace(nopos)
0.14	0.7837837837837838	0.8239895697522817	259	767	Rosace(nopos)
0.15	0.7876447876447876	0.8305084745762712	259	767	Rosace(nopos)
0.16	0.803088803088803	0.8383311603650587	259	767	Rosace(nopos)
0.17	0.8223938223938224	0.847457627118644	259	767	Rosace(nopos)
0.18	0.8262548262548263	0.8526727509778357	259	767	Rosace(nopos)
0.19	0.833976833976834	0.8617992177314211	259	767	Rosace(nopos)
0.2	0.8378378378378378	0.8683181225554107	259	767	Rosace(nopos)
0	0	0	259	767	Naive
0.01	0.25096525096525096	0.5110821382007823	259	767	Naive
0.02	0.36293436293436293	0.5658409387222947	259	767	Naive
0.03	0.39768339768339767	0.6010430247718384	259	767	Naive
0.04	0.4247104247104247	0.6205997392438071	259	767	Naive
0.05	0.4517374517374517	0.636245110821382	259	767	Naive
0.06	0.46332046332046334	0.6466753585397653	259	767	Naive
0.07	0.4749034749034749	0.6597131681877445	259	767	Naive
0.08	0.5096525096525096	0.6740547588005215	259	767	Naive
0.09	0.5366795366795367	0.6870925684485006	259	767	Naive
0.1	0.555984555984556	0.6936114732724902	259	767	Naive
0.11	0.5714285714285714	0.7066492829204694	259	767	Naive
0.12	0.5907335907335908	0.7170795306388527	259	767	Naive
0.13	0.61003861003861	0.7235984354628422	259	767	Naive
0.14	0.6254826254826255	0.7301173402868318	259	767	Naive
0.15	0.637065637065637	0.7366362451108214	259	767	Naive
0.16	0.6563706563706564	0.7470664928292047	259	767	Naive
0.17	0.667953667953668	0.757496740547588	259	767	Naive
0.18	0.6718146718146718	0.7692307692307693	259	767	Naive
0.19	0.6872586872586872	0.7744458930899609	259	767	Naive
0.2	0.7027027027027027	0.7770534550195567	259	767	Naive
0	0	0	259	767	mutscan(edgeR)
0.01	0.16602316602316602	0.4576271186440678	259	767	mutscan(edgeR)
0.02	0.23552123552123552	0.5332464146023468	259	767	mutscan(edgeR)
0.03	0.305019305019305	0.5710560625814863	259	767	mutscan(edgeR)
0.04	0.33976833976833976	0.5932203389830508	259	767	mutscan(edgeR)
0.05	0.3667953667953668	0.6036505867014341	259	767	mutscan(edgeR)
0.06	0.3938223938223938	0.636245110821382	259	767	mutscan(edgeR)
0.07	0.41312741312741313	0.6505867014341591	259	767	mutscan(edgeR)
0.08	0.44787644787644787	0.6688396349413298	259	767	mutscan(edgeR)
0.09	0.4555984555984556	0.6766623207301173	259	767	mutscan(edgeR)
0.1	0.47104247104247104	0.6883963494132985	259	767	mutscan(edgeR)
0.11	0.4826254826254826	0.6975228161668839	259	767	mutscan(edgeR)
0.12	0.4942084942084942	0.7066492829204694	259	767	mutscan(edgeR)
0.13	0.5096525096525096	0.7131681877444589	259	767	mutscan(edgeR)
0.14	0.5173745173745173	0.7249022164276402	259	767	mutscan(edgeR)
0.15	0.528957528957529	0.7314211212516297	259	767	mutscan(edgeR)
0.16	0.5482625482625483	0.7340286831812256	259	767	mutscan(edgeR)
0.17	0.5598455598455598	0.7457627118644068	259	767	mutscan(edgeR)
0.18	0.5675675675675675	0.7509778357235984	259	767	mutscan(edgeR)
0.19	0.5791505791505791	0.757496740547588	259	767	mutscan(edgeR)
0.2	0.583011583011583	0.7614080834419817	259	767	mutscan(edgeR)
0	0	0	259	767	mutscan(limma)
0.01	0.28957528957528955	0.5254237288135594	259	767	mutscan(limma)
0.02	0.3745173745173745	0.5788787483702738	259	767	mutscan(limma)
0.03	0.42857142857142855	0.6101694915254238	259	767	mutscan(limma)
0.04	0.46332046332046334	0.6323337679269883	259	767	mutscan(limma)
0.05	0.5057915057915058	0.6558018252933507	259	767	mutscan(limma)
0.06	0.525096525096525	0.6727509778357236	259	767	mutscan(limma)
0.07	0.5444015444015444	0.6870925684485006	259	767	mutscan(limma)
0.08	0.5637065637065637	0.6975228161668839	259	767	mutscan(limma)
0.09	0.5868725868725869	0.7079530638852672	259	767	mutscan(limma)
0.1	0.5945945945945946	0.7196870925684485	259	767	mutscan(limma)
0.11	0.61003861003861	0.7288135593220338	259	767	mutscan(limma)
0.12	0.6254826254826255	0.7379400260756193	259	767	mutscan(limma)
0.13	0.6332046332046332	0.7470664928292047	259	767	mutscan(limma)
0.14	0.640926640926641	0.7522816166883963	259	767	mutscan(limma)
0.15	0.6525096525096525	0.7548891786179922	259	767	mutscan(limma)
0.16	0.6640926640926641	0.7601043024771839	259	767	mutscan(limma)
0.17	0.6756756756756757	0.7627118644067796	259	767	mutscan(limma)
0.18	0.6872586872586872	0.7692307692307693	259	767	mutscan(limma)
0.19	0.6911196911196911	0.7744458930899609	259	767	mutscan(limma)
0.2	0.7027027027027027	0.7757496740547588	259	767	mutscan(limma)
0	0	0	259	767	DiMSum
0.01	0.3590733590733591	0.6310299869621904	259	767	DiMSum
0.02	0.43243243243243246	0.6558018252933507	259	767	DiMSum
0.03	0.46332046332046334	0.6857887874837028	259	767	DiMSum
0.04	0.5019305019305019	0.6897001303780965	259	767	DiMSum
0.05	0.5173745173745173	0.7001303780964798	259	767	DiMSum
0.06	0.5444015444015444	0.7131681877444589	259	767	DiMSum
0.07	0.5598455598455598	0.7183833116036505	259	767	DiMSum
0.08	0.583011583011583	0.7262059973924381	259	767	DiMSum
0.09	0.6023166023166023	0.727509778357236	259	767	DiMSum
0.1	0.6061776061776062	0.7314211212516297	259	767	DiMSum
0.11	0.6177606177606177	0.7405475880052151	259	767	DiMSum
0.12	0.6254826254826255	0.7496740547588006	259	767	DiMSum
0.13	0.6293436293436293	0.757496740547588	259	767	DiMSum
0.14	0.6563706563706564	0.7627118644067796	259	767	DiMSum
0.15	0.667953667953668	0.7731421121251629	259	767	DiMSum
0.16	0.6718146718146718	0.7731421121251629	259	767	DiMSum
0.17	0.6756756756756757	0.7757496740547588	259	767	DiMSum
0.18	0.6756756756756757	0.7783572359843546	259	767	DiMSum
0.19	0.6756756756756757	0.7822685788787483	259	767	DiMSum
0.2	0.6833976833976834	0.7861799217731421	259	767	DiMSum
