rank	FP	TP	n_ctrl	n_sig	method
0.002	0.003861003861003861	0.010430247718383311	259	767	Enrich2
0.004	0.003861003861003861	0.01694915254237288	259	767	Enrich2
0.006	0.003861003861003861	0.03129074315514994	259	767	Enrich2
0.008	0.003861003861003861	0.04432855280312908	259	767	Enrich2
0.01	0.003861003861003861	0.054758800521512385	259	767	Enrich2
0.012	0.003861003861003861	0.07170795306388526	259	767	Enrich2
0.014	0.003861003861003861	0.08735332464146023	259	767	Enrich2
0.016	0.003861003861003861	0.11082138200782268	259	767	Enrich2
0.018	0.003861003861003861	0.12777053455019557	259	767	Enrich2
0.02	0.003861003861003861	0.1577574967405476	259	767	Enrich2
0.022	0.003861003861003861	0.17209908735332463	259	767	Enrich2
0.024	0.003861003861003861	0.1981747066492829	259	767	Enrich2
0.026	0.003861003861003861	0.2138200782268579	259	767	Enrich2
0.028	0.003861003861003861	0.22816166883963493	259	767	Enrich2
0.03	0.003861003861003861	0.24771838331160365	259	767	Enrich2
0.032	0.003861003861003861	0.2607561929595828	259	767	Enrich2
0.034	0.003861003861003861	0.2737940026075619	259	767	Enrich2
0.036	0.003861003861003861	0.2816166883963494	259	767	Enrich2
0.038	0.003861003861003861	0.2985658409387223	259	767	Enrich2
0.04	0.003861003861003861	0.3155149934810952	259	767	Enrich2
0.042	0.003861003861003861	0.3259452411994785	259	767	Enrich2
0.044	0.003861003861003861	0.3468057366362451	259	767	Enrich2
0.046	0.003861003861003861	0.3546284224250326	259	767	Enrich2
0.048	0.003861003861003861	0.363754889178618	259	767	Enrich2
0.05	0.003861003861003861	0.37027379400260757	259	767	Enrich2
0.052	0.003861003861003861	0.38070404172099087	259	767	Enrich2
0.054	0.007722007722007722	0.38722294654498046	259	767	Enrich2
0.056	0.007722007722007722	0.39895697522816165	259	767	Enrich2
0.058	0.007722007722007722	0.40808344198174706	259	767	Enrich2
0.06	0.007722007722007722	0.41590612777053454	259	767	Enrich2
0.062	0.007722007722007722	0.42503259452411996	259	767	Enrich2
0.064	0.007722007722007722	0.4315514993481095	259	767	Enrich2
0.066	0.007722007722007722	0.439374185136897	259	767	Enrich2
0.068	0.007722007722007722	0.44328552803129073	259	767	Enrich2
0.07	0.007722007722007722	0.4511082138200782	259	767	Enrich2
0.072	0.007722007722007722	0.455019556714472	259	767	Enrich2
0.074	0.007722007722007722	0.4667535853976532	259	767	Enrich2
0.076	0.007722007722007722	0.4771838331160365	259	767	Enrich2
0.078	0.007722007722007722	0.48370273794002605	259	767	Enrich2
0.08	0.007722007722007722	0.4915254237288136	259	767	Enrich2
0.082	0.007722007722007722	0.4980443285528031	259	767	Enrich2
0.084	0.007722007722007722	0.5058670143415906	259	767	Enrich2
0.086	0.007722007722007722	0.5176010430247718	259	767	Enrich2
0.088	0.007722007722007722	0.5280312907431551	259	767	Enrich2
0.09	0.007722007722007722	0.5358539765319427	259	767	Enrich2
0.092	0.007722007722007722	0.5397653194263363	259	767	Enrich2
0.094	0.015444015444015444	0.5488917861799217	259	767	Enrich2
0.096	0.019305019305019305	0.5514993481095176	259	767	Enrich2
0.098	0.023166023166023165	0.5567144719687093	259	767	Enrich2
0.1	0.02702702702702703	0.5645371577574967	259	767	Enrich2
0.102	0.02702702702702703	0.5684485006518905	259	767	Enrich2
0.104	0.02702702702702703	0.5723598435462842	259	767	Enrich2
0.106	0.03088803088803089	0.5788787483702738	259	767	Enrich2
0.108	0.03474903474903475	0.5867014341590613	259	767	Enrich2
0.11	0.03474903474903475	0.5932203389830508	259	767	Enrich2
0.112	0.03861003861003861	0.5984354628422425	259	767	Enrich2
0.114	0.03861003861003861	0.6036505867014341	259	767	Enrich2
0.116	0.04247104247104247	0.6114732724902217	259	767	Enrich2
0.118	0.04633204633204633	0.6166883963494133	259	767	Enrich2
0.12	0.05019305019305019	0.6205997392438071	259	767	Enrich2
0.122	0.05019305019305019	0.621903520208605	259	767	Enrich2
0.124	0.05019305019305019	0.6258148631029987	259	767	Enrich2
0.126	0.05405405405405406	0.6271186440677966	259	767	Enrich2
0.128	0.05405405405405406	0.6310299869621904	259	767	Enrich2
0.13	0.05791505791505792	0.6323337679269883	259	767	Enrich2
0.132	0.05791505791505792	0.6349413298565841	259	767	Enrich2
0.134	0.05791505791505792	0.636245110821382	259	767	Enrich2
0.136	0.05791505791505792	0.6401564537157758	259	767	Enrich2
0.138	0.06177606177606178	0.6414602346805737	259	767	Enrich2
0.14	0.06563706563706563	0.6440677966101694	259	767	Enrich2
0.142	0.07335907335907337	0.6466753585397653	259	767	Enrich2
0.144	0.07335907335907337	0.651890482398957	259	767	Enrich2
0.146	0.07722007722007722	0.6531942633637549	259	767	Enrich2
0.148	0.07722007722007722	0.6584093872229465	259	767	Enrich2
0.15	0.07722007722007722	0.6610169491525424	259	767	Enrich2
0.152	0.07722007722007722	0.6636245110821382	259	767	Enrich2
0.154	0.08108108108108109	0.6636245110821382	259	767	Enrich2
0.156	0.08108108108108109	0.6636245110821382	259	767	Enrich2
0.158	0.08108108108108109	0.6636245110821382	259	767	Enrich2
0.16	0.08108108108108109	0.6675358539765319	259	767	Enrich2
0.162	0.08108108108108109	0.6714471968709257	259	767	Enrich2
0.164	0.08108108108108109	0.6727509778357236	259	767	Enrich2
