test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0	0.08823529411764706	416	34	Enrich2
0.01	0.375	0.6470588235294118	416	34	Enrich2
0.02	0.4182692307692308	0.6764705882352942	416	34	Enrich2
0.03	0.4423076923076923	0.6764705882352942	416	34	Enrich2
0.04	0.4567307692307692	0.6764705882352942	416	34	Enrich2
0.05	0.46634615384615385	0.6764705882352942	416	34	Enrich2
0.06	0.4735576923076923	0.6764705882352942	416	34	Enrich2
0.07	0.4807692307692308	0.7058823529411765	416	34	Enrich2
0.08	0.49759615384615385	0.7058823529411765	416	34	Enrich2
0.09	0.5096153846153846	0.7058823529411765	416	34	Enrich2
0.1	0.5216346153846154	0.7058823529411765	416	34	Enrich2
0.11	0.53125	0.7352941176470589	416	34	Enrich2
0.12	0.5408653846153846	0.7647058823529411	416	34	Enrich2
0.13	0.5528846153846154	0.7647058823529411	416	34	Enrich2
0.14	0.5625	0.7647058823529411	416	34	Enrich2
0.15	0.5673076923076923	0.8235294117647058	416	34	Enrich2
0.16	0.5745192307692307	0.8235294117647058	416	34	Enrich2
0.17	0.5769230769230769	0.8235294117647058	416	34	Enrich2
0.18	0.5817307692307693	0.8235294117647058	416	34	Enrich2
0.19	0.5841346153846154	0.8235294117647058	416	34	Enrich2
0.2	0.59375	0.8235294117647058	416	34	Enrich2
0	0	0	416	34	Rosace
0.01	0.37259615384615385	0.6470588235294118	416	34	Rosace
0.02	0.43990384615384615	0.6764705882352942	416	34	Rosace
0.03	0.4855769230769231	0.7058823529411765	416	34	Rosace
0.04	0.5192307692307693	0.7058823529411765	416	34	Rosace
0.05	0.53125	0.7058823529411765	416	34	Rosace
0.06	0.5408653846153846	0.7058823529411765	416	34	Rosace
0.07	0.5649038461538461	0.7352941176470589	416	34	Rosace
0.08	0.5769230769230769	0.7352941176470589	416	34	Rosace
0.09	0.5865384615384616	0.7352941176470589	416	34	Rosace
0.1	0.6057692307692307	0.7647058823529411	416	34	Rosace
0.11	0.6274038461538461	0.7647058823529411	416	34	Rosace
0.12	0.6298076923076923	0.7647058823529411	416	34	Rosace
0.13	0.6370192307692307	0.7647058823529411	416	34	Rosace
0.14	0.6394230769230769	0.7647058823529411	416	34	Rosace
0.15	0.6466346153846154	0.7647058823529411	416	34	Rosace
0.16	0.65625	0.7941176470588235	416	34	Rosace
0.17	0.6706730769230769	0.7941176470588235	416	34	Rosace
0.18	0.6754807692307693	0.7941176470588235	416	34	Rosace
0.19	0.6875	0.8235294117647058	416	34	Rosace
0.2	0.6923076923076923	0.8529411764705882	416	34	Rosace
0	0.08653846153846154	0.38235294117647056	416	34	Rosace(nopos)
0.01	0.29086538461538464	0.5588235294117647	416	34	Rosace(nopos)
0.02	0.38221153846153844	0.6176470588235294	416	34	Rosace(nopos)
0.03	0.42788461538461536	0.6764705882352942	416	34	Rosace(nopos)
0.04	0.45913461538461536	0.6764705882352942	416	34	Rosace(nopos)
0.05	0.4831730769230769	0.7058823529411765	416	34	Rosace(nopos)
0.06	0.5120192307692307	0.7058823529411765	416	34	Rosace(nopos)
0.07	0.5264423076923077	0.7352941176470589	416	34	Rosace(nopos)
0.08	0.5528846153846154	0.7647058823529411	416	34	Rosace(nopos)
0.09	0.5721153846153846	0.8235294117647058	416	34	Rosace(nopos)
0.1	0.5841346153846154	0.8529411764705882	416	34	Rosace(nopos)
0.11	0.6057692307692307	0.8529411764705882	416	34	Rosace(nopos)
0.12	0.6177884615384616	0.8529411764705882	416	34	Rosace(nopos)
0.13	0.6370192307692307	0.8529411764705882	416	34	Rosace(nopos)
0.14	0.6466346153846154	0.8529411764705882	416	34	Rosace(nopos)
0.15	0.6634615384615384	0.8823529411764706	416	34	Rosace(nopos)
0.16	0.6706730769230769	0.8823529411764706	416	34	Rosace(nopos)
0.17	0.6802884615384616	0.8823529411764706	416	34	Rosace(nopos)
0.18	0.6826923076923077	0.9117647058823529	416	34	Rosace(nopos)
0.19	0.6899038461538461	0.9117647058823529	416	34	Rosace(nopos)
0.2	0.7019230769230769	0.9117647058823529	416	34	Rosace(nopos)
0	0	0	416	34	Naive
0.01	0.22115384615384615	0.5588235294117647	416	34	Naive
0.02	0.28365384615384615	0.5588235294117647	416	34	Naive
0.03	0.3173076923076923	0.6176470588235294	416	34	Naive
0.04	0.3557692307692308	0.6176470588235294	416	34	Naive
0.05	0.3918269230769231	0.6470588235294118	416	34	Naive
0.06	0.41586538461538464	0.6764705882352942	416	34	Naive
0.07	0.43990384615384615	0.6764705882352942	416	34	Naive
0.08	0.4567307692307692	0.6764705882352942	416	34	Naive
0.09	0.4639423076923077	0.6764705882352942	416	34	Naive
0.1	0.47115384615384615	0.6764705882352942	416	34	Naive
0.11	0.4831730769230769	0.7058823529411765	416	34	Naive
0.12	0.5048076923076923	0.7058823529411765	416	34	Naive
0.13	0.5192307692307693	0.7058823529411765	416	34	Naive
0.14	0.53125	0.7352941176470589	416	34	Naive
0.15	0.5408653846153846	0.7647058823529411	416	34	Naive
0.16	0.5576923076923077	0.7647058823529411	416	34	Naive
0.17	0.5649038461538461	0.7941176470588235	416	34	Naive
0.18	0.5745192307692307	0.8235294117647058	416	34	Naive
0.19	0.5793269230769231	0.8235294117647058	416	34	Naive
0.2	0.5841346153846154	0.8235294117647058	416	34	Naive
0	0	0	416	34	mutscan(edgeR)
0.01	0.07932692307692307	0.4117647058823529	416	34	mutscan(edgeR)
0.02	0.12980769230769232	0.4411764705882353	416	34	mutscan(edgeR)
0.03	0.15384615384615385	0.4411764705882353	416	34	mutscan(edgeR)
0.04	0.21394230769230768	0.47058823529411764	416	34	mutscan(edgeR)
0.05	0.25961538461538464	0.47058823529411764	416	34	mutscan(edgeR)
0.06	0.28125	0.5294117647058824	416	34	mutscan(edgeR)
0.07	0.30288461538461536	0.5882352941176471	416	34	mutscan(edgeR)
0.08	0.31971153846153844	0.6176470588235294	416	34	mutscan(edgeR)
0.09	0.3389423076923077	0.6176470588235294	416	34	mutscan(edgeR)
0.1	0.3581730769230769	0.6176470588235294	416	34	mutscan(edgeR)
0.11	0.36538461538461536	0.6470588235294118	416	34	mutscan(edgeR)
0.12	0.37259615384615385	0.6764705882352942	416	34	mutscan(edgeR)
0.13	0.38461538461538464	0.7058823529411765	416	34	mutscan(edgeR)
0.14	0.40384615384615385	0.7058823529411765	416	34	mutscan(edgeR)
0.15	0.4230769230769231	0.7352941176470589	416	34	mutscan(edgeR)
0.16	0.4326923076923077	0.7647058823529411	416	34	mutscan(edgeR)
0.17	0.44471153846153844	0.7647058823529411	416	34	mutscan(edgeR)
0.18	0.4519230769230769	0.7647058823529411	416	34	mutscan(edgeR)
0.19	0.46634615384615385	0.7941176470588235	416	34	mutscan(edgeR)
0.2	0.4831730769230769	0.8235294117647058	416	34	mutscan(edgeR)
0	0	0	416	34	mutscan(limma)
0.01	0.11778846153846154	0.4411764705882353	416	34	mutscan(limma)
0.02	0.20673076923076922	0.4411764705882353	416	34	mutscan(limma)
0.03	0.25721153846153844	0.5	416	34	mutscan(limma)
0.04	0.30288461538461536	0.5	416	34	mutscan(limma)
0.05	0.33653846153846156	0.5588235294117647	416	34	mutscan(limma)
0.06	0.3701923076923077	0.6176470588235294	416	34	mutscan(limma)
0.07	0.39903846153846156	0.6470588235294118	416	34	mutscan(limma)
0.08	0.42788461538461536	0.6764705882352942	416	34	mutscan(limma)
0.09	0.43990384615384615	0.6764705882352942	416	34	mutscan(limma)
0.1	0.46153846153846156	0.6764705882352942	416	34	mutscan(limma)
0.11	0.47836538461538464	0.7058823529411765	416	34	mutscan(limma)
0.12	0.4855769230769231	0.7058823529411765	416	34	mutscan(limma)
0.13	0.49038461538461536	0.7352941176470589	416	34	mutscan(limma)
0.14	0.5	0.7352941176470589	416	34	mutscan(limma)
0.15	0.5144230769230769	0.7352941176470589	416	34	mutscan(limma)
0.16	0.5240384615384616	0.7647058823529411	416	34	mutscan(limma)
0.17	0.53125	0.7941176470588235	416	34	mutscan(limma)
0.18	0.5360576923076923	0.8529411764705882	416	34	mutscan(limma)
0.19	0.5504807692307693	0.8529411764705882	416	34	mutscan(limma)
0.2	0.5600961538461539	0.8529411764705882	416	34	mutscan(limma)
0	0	0	416	34	DiMSum
0.01	0.20432692307692307	0.47058823529411764	416	34	DiMSum
0.02	0.2620192307692308	0.5882352941176471	416	34	DiMSum
0.03	0.3076923076923077	0.5882352941176471	416	34	DiMSum
0.04	0.33413461538461536	0.5882352941176471	416	34	DiMSum
0.05	0.3701923076923077	0.6176470588235294	416	34	DiMSum
0.06	0.40384615384615385	0.6470588235294118	416	34	DiMSum
0.07	0.4326923076923077	0.7058823529411765	416	34	DiMSum
0.08	0.4519230769230769	0.7058823529411765	416	34	DiMSum
0.09	0.46634615384615385	0.7647058823529411	416	34	DiMSum
0.1	0.47115384615384615	0.7647058823529411	416	34	DiMSum
0.11	0.49038461538461536	0.7647058823529411	416	34	DiMSum
0.12	0.5024038461538461	0.7647058823529411	416	34	DiMSum
0.13	0.5168269230769231	0.7941176470588235	416	34	DiMSum
0.14	0.5384615384615384	0.7941176470588235	416	34	DiMSum
0.15	0.5552884615384616	0.8235294117647058	416	34	DiMSum
0.16	0.5625	0.8823529411764706	416	34	DiMSum
0.17	0.5649038461538461	0.8823529411764706	416	34	DiMSum
0.18	0.5697115384615384	0.9117647058823529	416	34	DiMSum
0.19	0.5745192307692307	0.9117647058823529	416	34	DiMSum
0.2	0.5769230769230769	0.9117647058823529	416	34	DiMSum
