rank	FP	TP	n_ctrl	n_sig	method
0.002	0	0.029411764705882353	416	34	Enrich2
0.004	0	0.029411764705882353	416	34	Enrich2
0.006	0	0.029411764705882353	416	34	Enrich2
0.008	0.004807692307692308	0.029411764705882353	416	34	Enrich2
0.01	0.004807692307692308	0.058823529411764705	416	34	Enrich2
0.012	0.004807692307692308	0.08823529411764706	416	34	Enrich2
0.014	0.004807692307692308	0.11764705882352941	416	34	Enrich2
0.016	0.004807692307692308	0.11764705882352941	416	34	Enrich2
0.018	0.004807692307692308	0.14705882352941177	416	34	Enrich2
0.02	0.004807692307692308	0.14705882352941177	416	34	Enrich2
0.022	0.004807692307692308	0.14705882352941177	416	34	Enrich2
0.024	0.004807692307692308	0.17647058823529413	416	34	Enrich2
0.026	0.004807692307692308	0.20588235294117646	416	34	Enrich2
0.028	0.004807692307692308	0.20588235294117646	416	34	Enrich2
0.03	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.032	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.034	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.036	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.038	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.04	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.042	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.044	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.046	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.048	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.05	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.052	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.054	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.056	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.058	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.06	0.004807692307692308	0.23529411764705882	416	34	Enrich2
0.062	0.004807692307692308	0.2647058823529412	416	34	Enrich2
0.064	0.007211538461538462	0.29411764705882354	416	34	Enrich2
0.066	0.009615384615384616	0.29411764705882354	416	34	Enrich2
0.068	0.009615384615384616	0.29411764705882354	416	34	Enrich2
0.07	0.01201923076923077	0.29411764705882354	416	34	Enrich2
0.072	0.01201923076923077	0.29411764705882354	416	34	Enrich2
0.074	0.014423076923076924	0.29411764705882354	416	34	Enrich2
0.076	0.016826923076923076	0.29411764705882354	416	34	Enrich2
0.078	0.016826923076923076	0.29411764705882354	416	34	Enrich2
0.08	0.016826923076923076	0.29411764705882354	416	34	Enrich2
0.082	0.016826923076923076	0.29411764705882354	416	34	Enrich2
0.084	0.021634615384615384	0.29411764705882354	416	34	Enrich2
0.086	0.021634615384615384	0.29411764705882354	416	34	Enrich2
0.088	0.02403846153846154	0.29411764705882354	416	34	Enrich2
0.09	0.026442307692307692	0.29411764705882354	416	34	Enrich2
0.092	0.026442307692307692	0.29411764705882354	416	34	Enrich2
0.094	0.03365384615384615	0.29411764705882354	416	34	Enrich2
0.096	0.038461538461538464	0.3235294117647059	416	34	Enrich2
0.098	0.04326923076923077	0.3235294117647059	416	34	Enrich2
0.1	0.04326923076923077	0.3235294117647059	416	34	Enrich2
0.102	0.04326923076923077	0.35294117647058826	416	34	Enrich2
0.104	0.04567307692307692	0.35294117647058826	416	34	Enrich2
0.106	0.04567307692307692	0.35294117647058826	416	34	Enrich2
0.108	0.04567307692307692	0.35294117647058826	416	34	Enrich2
0.11	0.05048076923076923	0.35294117647058826	416	34	Enrich2
0.112	0.05048076923076923	0.35294117647058826	416	34	Enrich2
0.114	0.055288461538461536	0.35294117647058826	416	34	Enrich2
0.116	0.055288461538461536	0.35294117647058826	416	34	Enrich2
0.118	0.055288461538461536	0.35294117647058826	416	34	Enrich2
0.12	0.055288461538461536	0.35294117647058826	416	34	Enrich2
0.122	0.055288461538461536	0.35294117647058826	416	34	Enrich2
0.124	0.057692307692307696	0.35294117647058826	416	34	Enrich2
