test_cutoff	FP	TP	n_ctrl	n_sig	method
0	0.008251676121712223	0.019762845849802372	1939	759	Enrich2
0.01	0.32284682826199074	0.7799736495388669	1939	759	Enrich2
0.02	0.36101083032490977	0.8010540184453228	1939	759	Enrich2
0.03	0.3867973182052604	0.8129117259552042	1939	759	Enrich2
0.04	0.4038164002062919	0.8234519104084321	1939	759	Enrich2
0.05	0.4234141309953584	0.8326745718050066	1939	759	Enrich2
0.06	0.4404332129963899	0.8353096179183136	1939	759	Enrich2
0.07	0.45435791645177925	0.8432147562582345	1939	759	Enrich2
0.08	0.4703455389375967	0.8458498023715415	1939	759	Enrich2
0.09	0.48323878287777206	0.849802371541502	1939	759	Enrich2
0.1	0.4914904589994843	0.8537549407114624	1939	759	Enrich2
0.11	0.4992264053635895	0.8603425559947299	1939	759	Enrich2
0.12	0.5121196493037649	0.8616600790513834	1939	759	Enrich2
0.13	0.519339865910263	0.8669301712779973	1939	759	Enrich2
0.14	0.5317173800928313	0.8669301712779973	1939	759	Enrich2
0.15	0.5373904074265085	0.8695652173913043	1939	759	Enrich2
0.16	0.5466735430634347	0.8708827404479579	1939	759	Enrich2
0.17	0.554925219185147	0.8735177865612648	1939	759	Enrich2
0.18	0.5636926250644663	0.8774703557312253	1939	759	Enrich2
0.19	0.5714285714285714	0.8774703557312253	1939	759	Enrich2
0.2	0.5796802475502837	0.8787878787878788	1939	759	Enrich2
0	0	0	1939	759	Rosace
0.01	0.3481175863847344	0.7918313570487484	1939	759	Rosace
0.02	0.39504899432697266	0.8115942028985508	1939	759	Rosace
0.03	0.43476018566271274	0.8181818181818182	1939	759	Rosace
0.04	0.4626095925734915	0.8234519104084321	1939	759	Rosace
0.05	0.4853017019082001	0.83399209486166	1939	759	Rosace
0.06	0.5059308922124807	0.836627140974967	1939	759	Rosace
0.07	0.5270758122743683	0.8458498023715415	1939	759	Rosace
0.08	0.5451263537906137	0.849802371541502	1939	759	Rosace
0.09	0.5678184631253224	0.8563899868247694	1939	759	Rosace
0.1	0.5812274368231047	0.8616600790513834	1939	759	Rosace
0.11	0.5941206807632801	0.8695652173913043	1939	759	Rosace
0.12	0.6044352759154203	0.8708827404479579	1939	759	Rosace
0.13	0.6162970603403817	0.8722002635046113	1939	759	Rosace
0.14	0.6250644662197009	0.8722002635046113	1939	759	Rosace
0.15	0.6343476018566271	0.8761528326745718	1939	759	Rosace
0.16	0.6436307374935534	0.8761528326745718	1939	759	Rosace
