test	num_na	corr_pearson	corr_spearman	sim	rep	rd
ROSACE_effects	0	0.36932057918480504	0.35182487387222805	sim1	rep1	rd1
SLR_effects	0	0.35296887677737426	0.3364544915757275	sim1	rep1	rd1
ENRICH2_effects	0	0.35296887677737426	0.33645459031586866	sim1	rep1	rd1
DIMSUM_effects	561	0.30545119514119484	0.29687378893561456	sim1	rep1	rd1
ROSACE_effects	0	0.3956066644636053	0.39228015937958594	sim10	rep1	rd1
SLR_effects	0	0.37863307909595706	0.3746918352856642	sim10	rep1	rd1
ENRICH2_effects	0	0.37863307909595706	0.3746922528344199	sim10	rep1	rd1
DIMSUM_effects	576	0.3496938142848908	0.35033202160909654	sim10	rep1	rd1
ROSACE_effects	0	0.38028176050260454	0.3804704894230936	sim2	rep1	rd1
SLR_effects	0	0.3632935989036603	0.36281001663996443	sim2	rep1	rd1
ENRICH2_effects	0	0.3632935989036603	0.3628094970043622	sim2	rep1	rd1
DIMSUM_effects	539	0.33312723634102237	0.33455738160472065	sim2	rep1	rd1
ROSACE_effects	0	0.380867167069988	0.3752063627951375	sim3	rep1	rd1
SLR_effects	0	0.3648319923413888	0.3587683518824159	sim3	rep1	rd1
ENRICH2_effects	0	0.3648319923413888	0.3587682713151158	sim3	rep1	rd1
DIMSUM_effects	595	0.33941665772284496	0.3304005994243579	sim3	rep1	rd1
ROSACE_effects	0	0.38590161262758	0.3731331163922476	sim4	rep1	rd1
SLR_effects	0	0.3691139818259968	0.3566025576198011	sim4	rep1	rd1
ENRICH2_effects	0	0.3691139818259969	0.3566026098470044	sim4	rep1	rd1
DIMSUM_effects	574	0.32992245095709133	0.31861459144520754	sim4	rep1	rd1
ROSACE_effects	0	0.37901396729592063	0.3682396563083693	sim5	rep1	rd1
SLR_effects	0	0.3629547296567817	0.3517105544651184	sim5	rep1	rd1
ENRICH2_effects	0	0.3629547296567817	0.3517105544651184	sim5	rep1	rd1
DIMSUM_effects	598	0.3217636469521389	0.3141252345058278	sim5	rep1	rd1
ROSACE_effects	0	0.3919378588118703	0.3787781971803989	sim6	rep1	rd1
SLR_effects	0	0.3748196457273462	0.361590663930418	sim6	rep1	rd1
ENRICH2_effects	0	0.3748196457273462	0.361590172202258	sim6	rep1	rd1
DIMSUM_effects	536	0.33968337747815064	0.3269742964427161	sim6	rep1	rd1
ROSACE_effects	0	0.38956545887425814	0.38714268981942135	sim7	rep1	rd1
SLR_effects	0	0.37247418797291937	0.3695041249059366	sim7	rep1	rd1
ENRICH2_effects	0	0.37247418797291937	0.36950416570404326	sim7	rep1	rd1
