test	num_na	corr_pearson	corr_spearman	sim	rep	rd
ROSACE_effects	0	0.36798624644639094	0.354133313608338	sim1	rep1	rd1
SLR_effects	0	0.3658600697891284	0.3519132003578355	sim1	rep1	rd1
ENRICH2_effects	0	0.3658600697891284	0.35191261051539635	sim1	rep1	rd1
DIMSUM_effects	559	0.3319777400151084	0.31988043458485804	sim1	rep1	rd1
ROSACE_effects	0	0.374726878676306	0.35640370008717126	sim10	rep1	rd1
SLR_effects	0	0.3731921258915123	0.35479522342303854	sim10	rep1	rd1
ENRICH2_effects	0	0.3731921258915124	0.35479522342303854	sim10	rep1	rd1
DIMSUM_effects	561	0.33190907667621705	0.3156287334274194	sim10	rep1	rd1
ROSACE_effects	0	0.3601713384145294	0.3496532420848701	sim2	rep1	rd1
SLR_effects	0	0.35848230409598486	0.348183571123086	sim2	rep1	rd1
ENRICH2_effects	0	0.3584823040959849	0.3481837865863911	sim2	rep1	rd1
DIMSUM_effects	547	0.3249529515199867	0.31702840052139425	sim2	rep1	rd1
ROSACE_effects	0	0.36494886172792457	0.3561093473096645	sim3	rep1	rd1
SLR_effects	0	0.3633855399859772	0.35403905819803105	sim3	rep1	rd1
ENRICH2_effects	0	0.3633855399859772	0.3540390582125855	sim3	rep1	rd1
DIMSUM_effects	569	0.33191973678354514	0.32592319133609426	sim3	rep1	rd1
ROSACE_effects	0	0.3605723048173185	0.34661521850268145	sim4	rep1	rd1
SLR_effects	0	0.35892310479157935	0.3450290150609905	sim4	rep1	rd1
ENRICH2_effects	0	0.35892310479157935	0.34502908929268217	sim4	rep1	rd1
DIMSUM_effects	563	0.3288323568796982	0.3159871588461962	sim4	rep1	rd1
ROSACE_effects	0	0.3793616776180328	0.3687254438058292	sim5	rep1	rd1
SLR_effects	0	0.377844301369527	0.3666869618520414	sim5	rep1	rd1
ENRICH2_effects	0	0.37784430136952696	0.3666871475462269	sim5	rep1	rd1
DIMSUM_effects	604	0.33548542692863464	0.3267362726403915	sim5	rep1	rd1
ROSACE_effects	0	0.3663207587786857	0.3553085267150808	sim6	rep1	rd1
SLR_effects	0	0.36494527984934766	0.3536697075489322	sim6	rep1	rd1
ENRICH2_effects	0	0.36494527984934766	0.353669310140287	sim6	rep1	rd1
DIMSUM_effects	559	0.33717159896923177	0.32506387270158216	sim6	rep1	rd1
ROSACE_effects	0	0.3999520210040557	0.3889960391377748	sim7	rep1	rd1
SLR_effects	0	0.3982845024287924	0.3869850181030496	sim7	rep1	rd1
ENRICH2_effects	0	0.3982845024287924	0.3869850181030496	sim7	rep1	rd1
DIMSUM_effects	572	0.3643971585584015	0.35586221319416733	sim7	rep1	rd1
ROSACE_effects	0	0.3833901403842434	0.3720376848762153	sim8	rep1	rd1
SLR_effects	0	0.3814359410169637	0.36967015630910305	sim8	rep1	rd1
ENRICH2_effects	0	0.38143594101696376	0.36967037062631697	sim8	rep1	rd1
DIMSUM_effects	564	0.3474707735886716	0.3329541070557293	sim8	rep1	rd1
ROSACE_effects	0	0.3589425264679042	0.3523709698904095	sim9	rep1	rd1
SLR_effects	0	0.3579461755676624	0.35085816832634187	sim9	rep1	rd1
ENRICH2_effects	0	0.3579461755676624	0.3508580846210932	sim9	rep1	rd1
DIMSUM_effects	567	0.324127586182318	0.3172932698678617	sim9	rep1	rd1
ROSACE_effects	0	0.713277303334189	0.6480592944838645	sim1	rep1	rd3
SLR_effects	0	0.732086119418443	0.6576876454339485	sim1	rep1	rd3
ENRICH2_effects	0	0.5938541093248959	0.5218238397349999	sim1	rep1	rd3
EDGER_effects	0	0.7117723366116101	0.6352612296633561	sim1	rep1	rd3
LIMMA_effects	0	0.7350515063015876	0.6584937922511881	sim1	rep1	rd3
ROSACE_effects	0	0.7097829584092253	0.6284367863132638	sim10	rep1	rd3
SLR_effects	0	0.7279767549980614	0.6417016639243053	sim10	rep1	rd3
ENRICH2_effects	0	0.5723122468829281	0.49493924717228466	sim10	rep1	rd3
EDGER_effects	0	0.7001250020483006	0.6159716531856879	sim10	rep1	rd3
LIMMA_effects	0	0.7328222366583572	0.6430565328598701	sim10	rep1	rd3
ROSACE_effects	0	0.7174695642492508	0.6448362588859331	sim2	rep1	rd3
SLR_effects	0	0.733783516421081	0.6518392247961673	sim2	rep1	rd3
ENRICH2_effects	0	0.589825214823043	0.5160629806247512	sim2	rep1	rd3
EDGER_effects	0	0.7135478573434448	0.6300872505312771	sim2	rep1	rd3
LIMMA_effects	0	0.7362378626139024	0.6519848703947164	sim2	rep1	rd3
ROSACE_effects	0	0.719720765874351	0.6566211001472005	sim3	rep1	rd3
SLR_effects	0	0.7412916555624232	0.6670661840097677	sim3	rep1	rd3
ENRICH2_effects	0	0.6061330201688525	0.5345302583226426	sim3	rep1	rd3
EDGER_effects	0	0.7252063533525916	0.6494029182587743	sim3	rep1	rd3
LIMMA_effects	0	0.7449597063926257	0.6688387060499459	sim3	rep1	rd3
ROSACE_effects	0	0.704345174316464	0.6349528718379469	sim4	rep1	rd3
SLR_effects	0	0.7278542706816448	0.647660067068386	sim4	rep1	rd3
ENRICH2_effects	0	0.5931173806291851	0.5132027360349642	sim4	rep1	rd3
EDGER_effects	0	0.7107533569611089	0.6271721032081501	sim4	rep1	rd3
LIMMA_effects	0	0.7303375069370287	0.6491427298039086	sim4	rep1	rd3
ROSACE_effects	0	0.7142027791414008	0.6489664301845801	sim5	rep1	rd3
SLR_effects	0	0.7271305350379488	0.6507921252052624	sim5	rep1	rd3
ENRICH2_effects	0	0.5850917498024714	0.5099181494456186	sim5	rep1	rd3
EDGER_effects	0	0.7053442239584691	0.6248783538012211	sim5	rep1	rd3
LIMMA_effects	0	0.7285659849490176	0.650334424641545	sim5	rep1	rd3
ROSACE_effects	0	0.7247500322168697	0.6508352774285392	sim6	rep1	rd3
SLR_effects	0	0.733468022298049	0.6490775926456163	sim6	rep1	rd3
ENRICH2_effects	0	0.5695221973022905	0.489229503206604	sim6	rep1	rd3
EDGER_effects	0	0.7119284211904874	0.6249025719493672	sim6	rep1	rd3
LIMMA_effects	0	0.7388063302884397	0.6507246396523118	sim6	rep1	rd3
ROSACE_effects	0	0.7184211774717347	0.6544126422540031	sim7	rep1	rd3
SLR_effects	0	0.7362994225340646	0.6625673352640317	sim7	rep1	rd3
ENRICH2_effects	0	0.6029041455206766	0.5288634087500083	sim7	rep1	rd3
EDGER_effects	0	0.7180452715935903	0.6407936440169737	sim7	rep1	rd3
LIMMA_effects	0	0.7382494128120749	0.6632504644983336	sim7	rep1	rd3
ROSACE_effects	0	0.732568071423428	0.6685728799881974	sim8	rep1	rd3
SLR_effects	0	0.7464665324818467	0.673360023220557	sim8	rep1	rd3
ENRICH2_effects	0	0.591056312567951	0.5195355375099309	sim8	rep1	rd3
EDGER_effects	0	0.7266598353887681	0.6486995764732811	sim8	rep1	rd3
LIMMA_effects	0	0.7513193449458562	0.6756493175756179	sim8	rep1	rd3
ROSACE_effects	0	0.7057892836988481	0.641959857206482	sim9	rep1	rd3
SLR_effects	0	0.717675132860968	0.6427677361761274	sim9	rep1	rd3
ENRICH2_effects	0	0.5728048148734634	0.498566440801642	sim9	rep1	rd3
EDGER_effects	0	0.6953479941122314	0.6189964873436523	sim9	rep1	rd3
LIMMA_effects	0	0.7210249813023838	0.6439840166542619	sim9	rep1	rd3
ROSACE_effects	0	0.5875726718482064	0.5625484372911719	sim1	rep3	rd1
SLR_effects	0	0.5780345872226893	0.5532090431785172	sim1	rep3	rd1
ENRICH2_effects	0	0.5798644334668769	0.554037802125373	sim1	rep3	rd1
DIMSUM_effects	7	0.4643492823071777	0.44086201655285767	sim1	rep3	rd1
EDGER_effects	0	0.5518215641986314	0.5253148398913755	sim1	rep3	rd1
LIMMA_effects	0	0.5776832847254538	0.5526209589665239	sim1	rep3	rd1
ROSACE_effects	0	0.5749408991214302	0.5372518181342174	sim10	rep3	rd1
SLR_effects	0	0.5607422385426856	0.5244605656066522	sim10	rep3	rd1
ENRICH2_effects	0	0.5636458013482712	0.5285168297081584	sim10	rep3	rd1
DIMSUM_effects	8	0.4738273271083438	0.4436910932335173	sim10	rep3	rd1
EDGER_effects	0	0.5527019054846466	0.5140956043951396	sim10	rep3	rd1
LIMMA_effects	0	0.5599155863624546	0.5239166095277814	sim10	rep3	rd1
ROSACE_effects	0	0.5737035674924238	0.540178924175066	sim2	rep3	rd1
SLR_effects	0	0.5657678935493167	0.5297755916397314	sim2	rep3	rd1
ENRICH2_effects	0	0.5654943889712747	0.5285235576320928	sim2	rep3	rd1
