test	num_na	corr_pearson	corr_spearman	sim	rep	rd
ROSACE_effects	0	0.5883355579798235	0.5830168390445093	sim1	rep1	rd1
SLR_effects	0	0.4770164454216883	0.483985893681556	sim1	rep1	rd1
ENRICH2_effects	0	0.4770164454216883	0.483985893681556	sim1	rep1	rd1
DIMSUM_effects	0	0.47553907695525105	0.48363353438280265	sim1	rep1	rd1
ROSACE_effects	0	0.545044630993243	0.5401813663714219	sim10	rep1	rd1
SLR_effects	0	0.4373639399854976	0.4442315231191646	sim10	rep1	rd1
ENRICH2_effects	0	0.4373639399854976	0.4442315231191646	sim10	rep1	rd1
DIMSUM_effects	0	0.4358552073795175	0.4439192789509053	sim10	rep1	rd1
ROSACE_effects	0	0.5647225132286218	0.5661461174970769	sim2	rep1	rd1
SLR_effects	0	0.4561638501048212	0.4686367649944219	sim2	rep1	rd1
ENRICH2_effects	0	0.4561638501048213	0.4686367649944219	sim2	rep1	rd1
DIMSUM_effects	0	0.454245764499135	0.4682979985963688	sim2	rep1	rd1
ROSACE_effects	0	0.5421249201855591	0.5341572571446201	sim3	rep1	rd1
SLR_effects	0	0.4362037080201087	0.44316662571305127	sim3	rep1	rd1
ENRICH2_effects	0	0.4362037080201087	0.44316662571305127	sim3	rep1	rd1
DIMSUM_effects	2	0.4362840951428409	0.4428215370464103	sim3	rep1	rd1
ROSACE_effects	0	0.5674492434336975	0.5604168615095851	sim4	rep1	rd1
SLR_effects	0	0.45549706933391226	0.4621837040216589	sim4	rep1	rd1
ENRICH2_effects	0	0.45549706933391226	0.4621837040216589	sim4	rep1	rd1
DIMSUM_effects	0	0.4541277886896533	0.46185497327505487	sim4	rep1	rd1
ROSACE_effects	0	0.546608799114525	0.5417802553149071	sim5	rep1	rd1
SLR_effects	0	0.43790700426182777	0.4454729124189806	sim5	rep1	rd1
ENRICH2_effects	0	0.4379070042618278	0.4454729124189806	sim5	rep1	rd1
DIMSUM_effects	0	0.4362116342028112	0.44512783469401657	sim5	rep1	rd1
ROSACE_effects	0	0.5405577214015701	0.5309725971888962	sim6	rep1	rd1
SLR_effects	0	0.4327879195473669	0.4375423181853362	sim6	rep1	rd1
ENRICH2_effects	0	0.4327879195473669	0.4375423181853362	sim6	rep1	rd1
DIMSUM_effects	2	0.4319964778189291	0.4373428805594546	sim6	rep1	rd1
ROSACE_effects	0	0.5573336519849975	0.5526133124753936	sim7	rep1	rd1
SLR_effects	0	0.449169672661386	0.4566658717233438	sim7	rep1	rd1
ENRICH2_effects	0	0.449169672661386	0.4566658717233438	sim7	rep1	rd1
DIMSUM_effects	3	0.44823186661019326	0.45631839562434146	sim7	rep1	rd1
