test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim	rep	rd
ROSACE_tests	0	0.21576524741081704	0	0.784234752589183	0	NA	0	0	sim1	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim1	rep1	rd1
ENRICH2_tests	0	0.21576524741081704	0	0.784234752589183	0	NA	0	0	sim1	rep1	rd1
DIMSUM_tests	0	0.21576524741081704	0	0.784234752589183	0	NA	0	0	sim1	rep1	rd1
ROSACE_tests	0.06115403583758014	0.1546112115732369	0.03485122472464244	0.7493835278645405	0	0.363013698630137	0.2834285714285714	0.005	sim1	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim1	rep1	rd1
ENRICH2_tests	0.14902186421173763	0.0667433831990794	0.2422324510932106	0.5420023014959724	0	0.6191176470588234	0.6906666666666667	0.005	sim1	rep1	rd1
DIMSUM_tests	0.14902186421173763	0.0667433831990794	0.24371198421831333	0.5405227683708697	0	0.6205525324403516	0.6906666666666667	0.005	sim1	rep1	rd1
ROSACE_tests	0.07636034851224725	0.13940489889856977	0.04635870458655269	0.7378760480026303	0	0.37776289350301406	0.35390476190476194	0.01	sim1	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim1	rep1	rd1
ENRICH2_tests	0.15362485615650173	0.06214039125431531	0.2733848430050962	0.5108499095840868	0	0.6402309913378248	0.712	0.01	sim1	rep1	rd1
DIMSUM_tests	0.15370705244122965	0.06205819496958737	0.274782179845471	0.509452572743712	0	0.6412814118549779	0.7123809523809524	0.01	sim1	rep1	rd1
ROSACE_tests	0.12600690448791715	0.08975834292289989	0.1074305441394049	0.6768042084497781	0	0.4602112676056338	0.584	0.05	sim1	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim1	rep1	rd1
ENRICH2_tests	0.1692421502548085	0.04652309715600854	0.36667762617129707	0.4175571264178859	0	0.68420245398773	0.7843809523809524	0.05	sim1	rep1	rd1
DIMSUM_tests	0.1693243465395364	0.04644090087128062	0.36856814072003946	0.4156666118691435	0	0.6852078239608802	0.7847619047619048	0.05	sim1	rep1	rd1
ROSACE_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0	sim10	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim10	rep1	rd1
ENRICH2_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0	sim10	rep1	rd1
DIMSUM_tests	0	0.18642117376294592	0	0.8135788262370541	0	NA	0	0	sim10	rep1	rd1
ROSACE_tests	0.05408515535097814	0.1323360184119678	0.03452243958573072	0.7790563866513234	0	0.3896103896103896	0.29012345679012347	0.005	sim10	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim10	rep1	rd1
ENRICH2_tests	0.12921255959230643	0.05720861417063949	0.2656583922406707	0.5479204339963833	0	0.6727726894254787	0.6931216931216931	0.005	sim10	rep1	rd1
DIMSUM_tests	0.12921255959230643	0.05720861417063949	0.2679598882130528	0.5456189380240013	0	0.6746688741721855	0.6931216931216931	0.005	sim10	rep1	rd1
ROSACE_tests	0.06814072003945422	0.1182804537234917	0.04833141542002301	0.7652474108170311	0	0.4149611856033874	0.3655202821869489	0.01	sim10	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim10	rep1	rd1
ENRICH2_tests	0.1348841032385336	0.05153707052441229	0.299523261548578	0.5140555646884761	0	0.6894985808893094	0.7235449735449735	0.01	sim10	rep1	rd1
DIMSUM_tests	0.13496629952326156	0.05145487423968437	0.30050961696531314	0.5130692092717409	0	0.6900717251793129	0.7239858906525574	0.01	sim10	rep1	rd1
ROSACE_tests	0.10882788097977972	0.0775932927831662	0.11301989150090416	0.7005589347361499	0	0.5094479436828455	0.5837742504409171	0.05	sim10	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim10	rep1	rd1
ENRICH2_tests	0.14713134966299524	0.03928982409995068	0.39643268124280784	0.41714614499424624	0	0.7293210343263269	0.7892416225749559	0.05	sim10	rep1	rd1
DIMSUM_tests	0.14713134966299524	0.03928982409995068	0.3981588032220943	0.4154200230149597	0	0.7301778715706965	0.7892416225749559	0.05	sim10	rep1	rd1
ROSACE_tests	0	0.21231300345224396	0	0.7876869965477561	0	NA	0	0	sim2	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim2	rep1	rd1
ENRICH2_tests	0	0.21231300345224396	0	0.7876869965477561	0	NA	0	0	sim2	rep1	rd1
DIMSUM_tests	0	0.21231300345224396	0	0.7876869965477561	0	NA	0	0	sim2	rep1	rd1
ROSACE_tests	0.06583922406707217	0.14647377938517178	0.0360841689955614	0.7516028275521947	0	0.35403225806451616	0.31010452961672474	0.005	sim2	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim2	rep1	rd1
ENRICH2_tests	0.1537892487259576	0.05852375472628637	0.24954792043399637	0.5381390761137597	0	0.6187079682086815	0.724351529229578	0.005	sim2	rep1	rd1
DIMSUM_tests	0.1540358375801414	0.05827716587210258	0.2515206312674667	0.5361663652802894	0	0.620186461289015	0.7255129694154084	0.005	sim2	rep1	rd1
ROSACE_tests	0.08145651816537892	0.13085648528686503	0.05071510767713299	0.736971888870623	0	0.38370646766169153	0.3836624080526519	0.01	sim2	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim2	rep1	rd1
ENRICH2_tests	0.16069373664310374	0.05161926680914022	0.2845635377280947	0.5031234588196614	0	0.6390991323610854	0.7568718544328301	0.01	sim2	rep1	rd1
DIMSUM_tests	0.16069373664310374	0.05161926680914022	0.286536248561565	0.501150747986191	0	0.6406910494394413	0.7568718544328301	0.01	sim2	rep1	rd1
ROSACE_tests	0.13060989643268126	0.08170310701956271	0.11038961038961038	0.6772973861581456	0	0.4580491132332878	0.6151761517615176	0.05	sim2	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim2	rep1	rd1
ENRICH2_tests	0.17326976820647708	0.03904323524576689	0.38024001315140554	0.4074469833963505	0	0.6869616869616869	0.816105303910182	0.05	sim2	rep1	rd1
DIMSUM_tests	0.17326976820647708	0.03904323524576689	0.3814729574223245	0.4062140391254315	0	0.6876574307304786	0.816105303910182	0.05	sim2	rep1	rd1
ROSACE_tests	0	0.17433831990794016	0	0.8256616800920599	0	NA	0	0	sim3	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim3	rep1	rd1
ENRICH2_tests	0	0.17433831990794016	0	0.8256616800920599	0	NA	0	0	sim3	rep1	rd1
DIMSUM_tests	0	0.17433831990794016	0	0.825497287522604	1.643925694558606e-4	NA	0	0	sim3	rep1	rd1
ROSACE_tests	0.0458655268781851	0.12847279302975506	0.03550879500246589	0.7901528850895939	0	0.4363636363636364	0.26308345120226306	0.005	sim3	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim3	rep1	rd1
ENRICH2_tests	0.12173269768206477	0.05260562222587539	0.26113759658063457	0.5645240835114252	0	0.6820523829969943	0.6982555398396982	0.005	sim3	rep1	rd1
DIMSUM_tests	0.1218148939667927	0.05252342594114746	0.2628637185599211	0.5626335689626829	1.643925694558606e-4	0.6833333333333333	0.6987270155586986	0.005	sim3	rep1	rd1
ROSACE_tests	0.06033207299030084	0.11400624691763932	0.05079730396186092	0.7748643761301989	0	0.45710059171597633	0.3460631777463461	0.01	sim3	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim3	rep1	rd1
ENRICH2_tests	0.12732204504356404	0.04701627486437613	0.2969751767220122	0.5286865033700476	0	0.699922510654785	0.7303158887317304	0.01	sim3	rep1	rd1
DIMSUM_tests	0.1274864376130199	0.04685188229492026	0.29829031727765903	0.5272069702449449	1.643925694558606e-4	0.7005791505791507	0.7312588401697313	0.01	sim3	rep1	rd1
ROSACE_tests	0.10101923393062634	0.07331908597731382	0.11458162091073484	0.711080059181325	0	0.5314525352649638	0.5794436586515794	0.05	sim3	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim3	rep1	rd1
ENRICH2_tests	0.13924050632911392	0.03509781357882623	0.396186092388624	0.4294755877034358	0	0.7399447344181763	0.7986798679867987	0.05	sim3	rep1	rd1
DIMSUM_tests	0.13932270261384186	0.03501561729409831	0.397419036659543	0.428078250863061	1.643925694558606e-4	0.7404287901990811	0.7991513437057992	0.05	sim3	rep1	rd1
ROSACE_tests	0	0.19677790563866512	0	0.8032220943613348	0	NA	0	0	sim4	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim4	rep1	rd1
ENRICH2_tests	0	0.19677790563866512	0	0.8032220943613348	0	NA	0	0	sim4	rep1	rd1
DIMSUM_tests	0	0.19677790563866512	0	0.8032220943613348	0	NA	0	0	sim4	rep1	rd1
ROSACE_tests	0.06205819496958737	0.13471971066907776	0.03180996218970902	0.7714121321716259	0	0.33887915936952717	0.3153717627401838	0.005	sim4	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim4	rep1	rd1
ENRICH2_tests	0.14187078744040768	0.05490711819825743	0.2585073154693408	0.544714778891994	0	0.6456579757749948	0.720969089390142	0.005	sim4	rep1	rd1
DIMSUM_tests	0.14195298372513562	0.05482492191352951	0.2602334374486273	0.5429886569127076	0	0.6470468015532393	0.7213868003341688	0.005	sim4	rep1	rd1
ROSACE_tests	0.07718231135952655	0.1195955942791386	0.04602991944764097	0.757192174913694	0	0.3735823882588392	0.3922305764411027	0.01	sim4	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim4	rep1	rd1
ENRICH2_tests	0.14688476080881144	0.04989314482985369	0.29015288508959397	0.5130692092717409	0	0.6639082189204438	0.7464494569757728	0.01	sim4	rep1	rd1
DIMSUM_tests	0.14696695709353938	0.04981094854512576	0.291303633075785	0.5119184612855499	0	0.6646661665416355	0.7468671679197995	0.01	sim4	rep1	rd1
ROSACE_tests	0.12280124938352786	0.07397665625513727	0.10882788097977972	0.6943942133815552	0	0.4698367636621718	0.6240601503759398	0.05	sim4	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim4	rep1	rd1
