test	num_na	corr_pearson	corr_spearman	sim	rep	rd
ROSACE_effects	0	0.4623802930793941	0.478411678534291	sim1	rep1	rd1
SLR_effects	0	0.45722325905360583	0.47185756164973625	sim1	rep1	rd1
ENRICH2_effects	0	0.4572232590536058	0.47185756164973625	sim1	rep1	rd1
DIMSUM_effects	1	0.4563270628059112	0.4715384133341477	sim1	rep1	rd1
ROSACE_effects	0	0.4593102471358352	0.4697985332893104	sim10	rep1	rd1
SLR_effects	0	0.4542226910953906	0.4633655087175242	sim10	rep1	rd1
ENRICH2_effects	0	0.4542226910953906	0.4633655087175242	sim10	rep1	rd1
DIMSUM_effects	0	0.452618620202423	0.46298406993730074	sim10	rep1	rd1
ROSACE_effects	0	0.4461598669193263	0.4517125954384232	sim2	rep1	rd1
SLR_effects	0	0.43977585305989186	0.4450556757608293	sim2	rep1	rd1
ENRICH2_effects	0	0.43977585305989175	0.4450556757608293	sim2	rep1	rd1
DIMSUM_effects	0	0.4381759928490363	0.4447318215861955	sim2	rep1	rd1
ROSACE_effects	0	0.45790259114912846	0.469899045286629	sim3	rep1	rd1
SLR_effects	0	0.4511526154312433	0.4630648652087562	sim3	rep1	rd1
ENRICH2_effects	0	0.4511526154312433	0.4630648652087562	sim3	rep1	rd1
DIMSUM_effects	0	0.4496231120045242	0.46273135471959015	sim3	rep1	rd1
ROSACE_effects	0	0.4595587791727064	0.47006878428393994	sim4	rep1	rd1
SLR_effects	0	0.4525522606316066	0.46256696127638014	sim4	rep1	rd1
ENRICH2_effects	0	0.4525522606316066	0.46256696127638014	sim4	rep1	rd1
DIMSUM_effects	0	0.45101059353507983	0.4622255429389805	sim4	rep1	rd1
ROSACE_effects	0	0.4575051144505794	0.46973602351640864	sim5	rep1	rd1
SLR_effects	0	0.4507876869064457	0.4619724316888502	sim5	rep1	rd1
ENRICH2_effects	0	0.4507876869064457	0.4619724316888502	sim5	rep1	rd1
DIMSUM_effects	0	0.4489484804886458	0.4616339452790026	sim5	rep1	rd1
ROSACE_effects	0	0.4680965787145607	0.4762812149012301	sim6	rep1	rd1
SLR_effects	0	0.4625833791347922	0.471045285020105	sim6	rep1	rd1
ENRICH2_effects	0	0.4625833791347922	0.471045285020105	sim6	rep1	rd1
DIMSUM_effects	3	0.46237507731578287	0.4706837992552506	sim6	rep1	rd1
ROSACE_effects	0	0.4678337663992141	0.4777894779430646	sim7	rep1	rd1
SLR_effects	0	0.46025056396156233	0.4701599264799013	sim7	rep1	rd1
ENRICH2_effects	0	0.4602505639615624	0.4701599264799013	sim7	rep1	rd1
DIMSUM_effects	1	0.4589956784415733	0.46971641115464846	sim7	rep1	rd1
ROSACE_effects	0	0.4535454422187972	0.4606922992778823	sim8	rep1	rd1
SLR_effects	0	0.4443713422250639	0.4521486352598517	sim8	rep1	rd1
ENRICH2_effects	0	0.4443713422250639	0.4521486352598517	sim8	rep1	rd1
DIMSUM_effects	3	0.4450480095178086	0.45181712823894593	sim8	rep1	rd1
ROSACE_effects	0	0.46496121979105925	0.4730950112645365	sim9	rep1	rd1
SLR_effects	0	0.4594490156468819	0.467296659708063	sim9	rep1	rd1
ENRICH2_effects	0	0.4594490156468818	0.467296659708063	sim9	rep1	rd1
DIMSUM_effects	0	0.4579255395908184	0.4669433601957674	sim9	rep1	rd1
