test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim	rep	rd
ROSACE_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0	sim1	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim1	rep1	rd1
ENRICH2_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0	sim1	rep1	rd1
DIMSUM_tests	0	0.20442216011836264	0	0.7954956435969094	8.21962847279303e-5	NA	0	0	sim1	rep1	rd1
ROSACE_tests	0.03107019562715765	0.173351964491205	0.03476902843991451	0.7608088114417229	0	0.5280898876404494	0.15199034981905912	0.005	sim1	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim1	rep1	rd1
ENRICH2_tests	0.1454874239684366	0.05893473614992602	0.25217820154529014	0.5433996383363472	0	0.6341463414634146	0.7117008443908323	0.005	sim1	rep1	rd1
DIMSUM_tests	0.14556962025316456	0.05885253986519809	0.25316455696202533	0.542331086634884	8.21962847279303e-5	0.6349206349206349	0.7121029352633695	0.005	sim1	rep1	rd1
ROSACE_tests	0.04142692750287687	0.1629952326154858	0.0504685188229492	0.7451093210586881	0	0.5491949910554561	0.20265379975874545	0.01	sim1	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim1	rep1	rd1
ENRICH2_tests	0.15091237876048005	0.05350978135788262	0.28250863060989645	0.5130692092717409	0	0.6518111132182818	0.7382388419782872	0.01	sim1	rep1	rd1
DIMSUM_tests	0.15091237876048005	0.05350978135788262	0.283001808318264	0.5124938352786454	8.21962847279303e-5	0.6522068573593484	0.7382388419782872	0.01	sim1	rep1	rd1
ROSACE_tests	0.08063455531809963	0.12378760480026305	0.1134308729245438	0.6821469669570935	0	0.5844980940279542	0.3944511459589867	0.05	sim1	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim1	rep1	rd1
ENRICH2_tests	0.16340621403912542	0.04101594607923722	0.3787604800263028	0.4168173598553345	0	0.6986052152819892	0.7993566546039405	0.05	sim1	rep1	rd1
DIMSUM_tests	0.16348841032385336	0.04093374979450929	0.37999342429722177	0.41550221929968767	8.21962847279303e-5	0.6991833030852994	0.7997587454764777	0.05	sim1	rep1	rd1
ROSACE_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0	sim10	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim10	rep1	rd1
ENRICH2_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0	sim10	rep1	rd1
DIMSUM_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0	sim10	rep1	rd1
ROSACE_tests	0.03049482163406214	0.1687489725464409	0.03542659871773795	0.765329607101759	0	0.5374064837905237	0.15305280528052806	0.005	sim10	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim10	rep1	rd1
ENRICH2_tests	0.14392569455860596	0.05531809962189709	0.25267137925365774	0.5480848265658392	0	0.6370984455958548	0.7223597359735974	0.005	sim10	rep1	rd1
DIMSUM_tests	0.14417228341278973	0.0550715107677133	0.2541509123787605	0.5466052934407365	0	0.6380520016508461	0.7235973597359736	0.005	sim10	rep1	rd1
ROSACE_tests	0.04183790892651652	0.15740588525398652	0.04907118198257439	0.7516850238369226	0	0.5397830018083183	0.209983498349835	0.01	sim10	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim10	rep1	rd1
ENRICH2_tests	0.15025480848265657	0.04898898569784646	0.2867828374157488	0.5139733684037482	0	0.6561971036298665	0.7541254125412541	0.01	sim10	rep1	rd1
DIMSUM_tests	0.15050139733684037	0.04874239684366267	0.2885911556797633	0.5121650501397337	0	0.657244477723699	0.7553630363036303	0.01	sim10	rep1	rd1
ROSACE_tests	0.08351142528357718	0.11573236889692586	0.11581456518165378	0.6849416406378431	0	0.5810309278350515	0.4191419141914191	0.05	sim10	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim10	rep1	rd1
ENRICH2_tests	0.16348841032385336	0.03575538385664967	0.3841032385336183	0.4166529672858787	0	0.7014410087060942	0.8205445544554456	0.05	sim10	rep1	rd1
DIMSUM_tests	0.16348841032385336	0.03575538385664967	0.3858293605129048	0.4149268453065922	0	0.702379171030974	0.8205445544554456	0.05	sim10	rep1	rd1
ROSACE_tests	0	0.1877363143185928	0	0.8122636856814072	0	NA	0	0	sim2	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim2	rep1	rd1
ENRICH2_tests	0	0.1877363143185928	0	0.8122636856814072	0	NA	0	0	sim2	rep1	rd1
DIMSUM_tests	0	0.1877363143185928	0	0.8122636856814072	0	NA	0	0	sim2	rep1	rd1
ROSACE_tests	0.030659214203518	0.1570771001150748	0.03485122472464244	0.7774124609567648	0	0.5319949811794228	0.16330998248686515	0.005	sim2	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim2	rep1	rd1
ENRICH2_tests	0.13192503698832814	0.05581127733026467	0.26113759658063457	0.5511260891007727	0	0.664366373902133	0.7027145359019265	0.005	sim2	rep1	rd1
DIMSUM_tests	0.1321716258425119	0.05556468847608088	0.26204175571264177	0.5502219299687654	0	0.664720600500417	0.7040280210157619	0.005	sim2	rep1	rd1
ROSACE_tests	0.03739930955120828	0.1503370047673845	0.05096169653131678	0.7613019891500904	0	0.5767441860465117	0.19921190893169877	0.01	sim2	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim2	rep1	rd1
ENRICH2_tests	0.13710340292618772	0.05063291139240506	0.29475587703435807	0.51750780864704915	0	0.6825275980205558	0.7302977232924693	0.01	sim2	rep1	rd1
DIMSUM_tests	0.13734999178037152	0.05038632253822127	0.2968107841525563	0.5154529015288509	0	0.6836425596365013	0.7316112084063048	0.01	sim2	rep1	rd1
ROSACE_tests	0.07348347854676969	0.11425283577182312	0.12058194969587374	0.6916817359855335	0	0.6213468869123252	0.3914185639229422	0.05	sim2	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim2	rep1	rd1
ENRICH2_tests	0.15132336018411968	0.03641295413447312	0.38944599704093374	0.4228176886404735	0	0.7201702386380909	0.8060420315236427	0.05	sim2	rep1	rd1
DIMSUM_tests	0.15132336018411968	0.03641295413447312	0.3905967450271248	0.4216669406542825	0	0.720764447140907	0.8060420315236427	0.05	sim2	rep1	rd1
ROSACE_tests	0	0.19595594279138584	0	0.8040440572086142	0	NA	0	0	sim3	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim3	rep1	rd1
ENRICH2_tests	0	0.19595594279138584	0	0.8040440572086142	0	NA	0	0	sim3	rep1	rd1
DIMSUM_tests	0	0.19595594279138584	0	0.8040440572086142	0	NA	0	0	sim3	rep1	rd1
ROSACE_tests	0.02852211080059181	0.167433831990794	0.03460463587045866	0.7694394213381555	0	0.5481770833333333	0.14555369127516782	0.005	sim3	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim3	rep1	rd1
ENRICH2_tests	0.1385829360512905	0.05737300674009535	0.25053427585073157	0.5535097813578826	0	0.6438529784537389	0.7072147651006712	0.005	sim3	rep1	rd1
DIMSUM_tests	0.13874732862074635	0.05720861417063949	0.25160282755219465	0.5524412296564195	0	0.6445567487892188	0.7080536912751678	0.005	sim3	rep1	rd1
ROSACE_tests	0.03871445010685517	0.15724149268453066	0.04792043399638336	0.7561236232122308	0	0.5531309297912714	0.19756711409395972	0.01	sim3	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim3	rep1	rd1
ENRICH2_tests	0.14359690941969422	0.0523590333716916	0.28407036001972713	0.5199736971888871	0	0.6642321737459158	0.7328020134228188	0.01	sim3	rep1	rd1
DIMSUM_tests	0.14367910570442216	0.05227683708696367	0.285385500575374	0.5186585566332402	0	0.6651340996168582	0.7332214765100671	0.01	sim3	rep1	rd1
ROSACE_tests	0.07668913365115897	0.11926680914022686	0.11211573236889692	0.6919283248397172	0	0.5938180235089247	0.39135906040268453	0.05	sim3	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim3	rep1	rd1
ENRICH2_tests	0.15674831497616307	0.03920762781522275	0.3846786125267138	0.4193654446819004	0	0.7104903597996053	0.7999161073825504	0.05	sim3	rep1	rd1
DIMSUM_tests	0.15674831497616307	0.03920762781522275	0.3857471642281769	0.41829689298043726	0	0.7110606060606062	0.7999161073825504	0.05	sim3	rep1	rd1
ROSACE_tests	0	0.20146309386815717	0	0.7985369061318428	0	NA	0	0	sim4	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim4	rep1	rd1
ENRICH2_tests	0	0.20146309386815717	0	0.7985369061318428	0	NA	0	0	sim4	rep1	rd1
DIMSUM_tests	0	0.20146309386815717	0	0.7985369061318428	0	NA	0	0	sim4	rep1	rd1
ROSACE_tests	0.03246753246753246	0.1689955614006247	0.03476902843991451	0.7637678776919283	0	0.5171149144254279	0.16115871073031415	0.005	sim4	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim4	rep1	rd1
ENRICH2_tests	0.14663817195462764	0.05482492191352951	0.2578497451915173	0.5406871609403255	0	0.6374720585246901	0.7278661770705834	0.005	sim4	rep1	rd1
DIMSUM_tests	0.14672036823935558	0.05474272562880158	0.2593292783166201	0.5392076278152228	0	0.638663967611336	0.7282741738066095	0.005	sim4	rep1	rd1
ROSACE_tests	0.0431530494821634	0.15831004438599375	0.04997534111458162	0.7485615650172612	0	0.5366284201235658	0.2141982864137087	0.01	sim4	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim4	rep1	rd1
ENRICH2_tests	0.1514055564688476	0.05005753739930955	0.2911392405063291	0.5073976656255137	0	0.6578751857355127	0.7515299877600979	0.01	sim4	rep1	rd1
DIMSUM_tests	0.1514055564688476	0.05005753739930955	0.29204339963833637	0.5064935064935064	0	0.6585727525486562	0.7515299877600979	0.01	sim4	rep1	rd1
ROSACE_tests	0.08433338813085649	0.11712970573730068	0.1153213874732862	0.6832155186585567	0	0.5776039522437217	0.4186046511627907	0.05	sim4	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim4	rep1	rd1
ENRICH2_tests	0.16291303633075785	0.03855005753739931	0.3878020713463751	0.4107348347854677	0	0.704179104477612	0.8086495308037536	0.05	sim4	rep1	rd1
DIMSUM_tests	0.1629952326154858	0.03846786125267137	0.390350156172941	0.40818674995890186	0	0.7054367201426025	0.8090575275397797	0.05	sim4	rep1	rd1
ROSACE_tests	0	0.1964491204997534	0	0.8035508795002466	0	NA	0	0	sim5	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim5	rep1	rd1
ENRICH2_tests	0	0.1964491204997534	0	0.8035508795002466	0	NA	0	0	sim5	rep1	rd1
DIMSUM_tests	0	0.1964491204997534	0	0.8035508795002466	0	NA	0	0	sim5	rep1	rd1
ROSACE_tests	0.03304290646062798	0.16340621403912542	0.03657734670392898	0.7669735327963176	0	0.525383707201889	0.1682008368200837	0.005	sim5	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim5	rep1	rd1
ENRICH2_tests	0.14219957257931942	0.05424954792043399	0.26113759658063457	0.542413282919612	0	0.6474424291828	0.7238493723849373	0.005	sim5	rep1	rd1
DIMSUM_tests	0.14219957257931942	0.05424954792043399	0.2622883445668256	0.541262534933421	0	0.6484454379191221	0.7238493723849373	0.005	sim5	rep1	rd1
ROSACE_tests	0.04241328291961203	0.1540358375801414	0.05203024823277988	0.7515206312674667	0	0.5509138381201044	0.21589958158995817	0.01	sim5	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim5	rep1	rd1
ENRICH2_tests	0.14630938681571592	0.05013973368403748	0.29418050304126253	0.5093703764589841	0	0.6678484791938795	0.7447698744769874	0.01	sim5	rep1	rd1
DIMSUM_tests	0.14639158310044387	0.05005753739930955	0.2952490547427256	0.508301824757521	0	0.6685278243067188	0.7451882845188285	0.01	sim5	rep1	rd1
ROSACE_tests	0.07973039618609239	0.11671872431366102	0.1188558277165872	0.6846950517836594	0	0.5985099337748344	0.40585774058577406	0.05	sim5	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim5	rep1	rd1
ENRICH2_tests	0.15987177379582443	0.03657734670392898	0.3919940818674996	0.411556797632747	0	0.7103068215668752	0.8138075313807531	0.05	sim5	rep1	rd1
DIMSUM_tests	0.15995397008055237	0.03649515041920105	0.39265165214532305	0.4108992273549236	0	0.7105458872527146	0.8142259414225941	0.05	sim5	rep1	rd1
ROSACE_tests	0	0.1912707545618938	0	0.8087292454381062	0	NA	0	0	sim6	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0	sim6	rep1	rd1
ENRICH2_tests	0	0.1912707545618938	0	0.8087292454381062	0	NA	0	0	sim6	rep1	rd1
DIMSUM_tests	0	0.1912707545618938	0	0.8084826565839224	2.4658885418379087e-4	NA	0	0	sim6	rep1	rd1
ROSACE_tests	0.02983725135623869	0.1614335032056551	0.03205655104389281	0.7766726943942134	0	0.5179282868525896	0.15599484314568113	0.005	sim6	rep1	rd1
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim6	rep1	rd1
