model	rank	TP	FN	FP	TN	NAR	FDR	Power	Sensitivity	sim
ROSACE	0.001	1	0	0	0	0	0	1	0.00434782608695652	sim1
ROSACE	0.002	1	0	0	0	0	0	1	0.00869565217391304	sim1
ROSACE	0.003	0.9444444444444444	0	0.05555555555555555	0	0	0.05555555555555555	1	0.01231884057971014	sim1
ROSACE	0.004	0.875	0	0.125	0	0	0.125	1	0.01521739130434782	sim1
ROSACE	0.005	0.8	0	0.2	0	0	0.2	1	0.01739130434782608	sim1
ROSACE	0.006	0.75	0	0.25	0	0	0.25	1	0.01956521739130435	sim1
ROSACE	0.007	0.7380952380952381	0	0.2619047619047619	0	0	0.2619047619047619	1	0.02246376811594203	sim1
ROSACE	0.008	0.7291666666666666	0	0.2708333333333333	0	0	0.2708333333333333	1	0.02536231884057971	sim1
ROSACE	0.009	0.7592592592592593	0	0.24074074074074073	0	0	0.24074074074074073	1	0.02971014492753623	sim1
ROSACE	0.01	0.7666666666666667	0	0.23333333333333336	0	0	0.23333333333333336	1	0.03333333333333333	sim1
ROSACE	0.011	0.7878787878787878	0	0.21212121212121213	0	0	0.21212121212121213	1	0.03768115942028986	sim1
ROSACE	0.012	0.75	0	0.25	0	0	0.25	1	0.0391304347826087	sim1
ROSACE	0.013	0.717948717948718	0	0.28205128205128205	0	0	0.28205128205128205	1	0.04057971014492753	sim1
ROSACE	0.014	0.7023809523809523	0	0.2976190476190476	0	0	0.2976190476190476	1	0.04275362318840579	sim1
ROSACE	0.015	0.7	0	0.3	0	0	0.3	1	0.04565217391304348	sim1
ROSACE	0.016	0.6770833333333334	0	0.3229166666666667	0	0	0.3229166666666667	1	0.04710144927536232	sim1
ROSACE	0.017	0.6764705882352942	0	0.3235294117647059	0	0	0.3235294117647059	1	0.05	sim1
ROSACE	0.018	0.6759259259259259	0	0.32407407407407407	0	0	0.32407407407407407	1	0.05289855072463768	sim1
ROSACE	0.019	0.6578947368421053	0	0.34210526315789475	0	0	0.34210526315789475	1	0.05434782608695652	sim1
ROSACE	0.02	0.65	0	0.35	0	0	0.35	1	0.05652173913043478	sim1
ROSACE	0.021	0.6428571428571429	0	0.35714285714285715	0	0	0.35714285714285715	1	0.05869565217391304	sim1
ROSACE	0.022	0.6363636363636364	0	0.3636363636363637	0	0	0.3636363636363637	1	0.06086956521739131	sim1
ROSACE	0.023	0.6304347826086957	0	0.3695652173913043	0	0	0.3695652173913043	1	0.06304347826086956	sim1
ROSACE	0.024	0.625	0	0.375	0	0	0.375	1	0.06521739130434782	sim1
ROSACE	0.025	0.6066666666666667	0	0.3933333333333333	0	0	0.3933333333333333	1	0.065942028985507245	sim1
ROSACE	0.026	0.6153846153846154	0	0.38461538461538464	0	0	0.38461538461538464	1	0.06956521739130435	sim1
ROSACE	0.027	0.6049382716049383	0	0.3950617283950617	0	0	0.3950617283950617	1	0.07101449275362319	sim1
ROSACE	0.028	0.6130952380952381	0	0.3869047619047619	0	0	0.3869047619047619	1	0.0746376811594203	sim1
ROSACE	0.029	0.6091954022988506	0	0.39080459770114945	0	0	0.39080459770114945	1	0.07681159420289856	sim1
ROSACE	0.03	0.6055555555555555	0	0.3944444444444444	0	0	0.3944444444444444	1	0.07898550724637682	sim1
ROSACE	0.031	0.6129032258064516	0	0.3870967741935484	0	0	0.3870967741935484	1	0.08260869565217391	sim1
ROSACE	0.032	0.609375	0	0.390625	0	0	0.390625	1	0.08478260869565217	sim1
ROSACE	0.033	0.6060606060606061	0	0.3939393939393939	0	0	0.3939393939393939	1	0.08695652173913043	sim1
ROSACE	0.034	0.6078431372549019	0	0.392156862745098	0	0	0.392156862745098	1	0.08985507246376812	sim1
ROSACE	0.035	0.6	0	0.4	0	0	0.4	1	0.09130434782608696	sim1
ROSACE	0.036	0.6064814814814815	0	0.39351851851851855	0	0	0.39351851851851855	1	0.09492753623188406	sim1
ROSACE	0.037	0.6036036036036037	0	0.3963963963963964	0	0	0.3963963963963964	1	0.09710144927536232	sim1
ROSACE	0.038	0.6026200873362445	0	0.39737991266375544	0	0	0.39737991266375544	1	0.1	sim1
ROSACE	0.039	0.6042553191489362	0	0.39574468085106385	0	0	0.39574468085106385	1	0.10289855072463767	sim1
ROSACE	0.04	0.6058091286307054	0	0.3941908713692946	0	0	0.3941908713692946	1	0.10579710144927536	sim1
ROSACE	0.041	0.6032388663967612	0	0.3967611336032389	0	0	0.3967611336032389	1	0.10797101449275362	sim1
ROSACE	0.042	0.5928853754940712	0	0.4071146245059288	0	0	0.4071146245059288	1	0.10869565217391304	sim1
ROSACE	0.043	0.5907335907335908	0	0.4092664092664093	0	0	0.4092664092664093	1	0.1108695652173913	sim1
ROSACE	0.044	0.5924528301886792	0	0.4075471698113208	0	0	0.4075471698113208	1	0.113768115942029	sim1
ROSACE	0.045	0.5867158671586716	0	0.4132841328413284	0	0	0.4132841328413284	1	0.11521739130434784	sim1
ROSACE	0.046	0.5812274368231047	0	0.4187725631768953	0	0	0.4187725631768953	1	0.11666666666666668	sim1
ROSACE	0.047	0.5795053003533569	0	0.4204946996466431	0	0	0.4204946996466431	1	0.11884057971014492	sim1
ROSACE	0.048	0.5813148788927336	0	0.4186851211072664	0	0	0.4186851211072664	1	0.1217391304347826	sim1
ROSACE	0.049	0.576271186440678	0	0.423728813559322	0	0	0.423728813559322	1	0.12318840579710146	sim1
ROSACE	0.05	0.574750830564784	0	0.425249169435216	0	0	0.425249169435216	1	0.12536231884057972	sim1
ROSACE	0.051	0.5667752442996743	0	0.43322475570032576	0	0	0.43322475570032576	1	0.12608695652173912	sim1
ROSACE	0.052	0.5654952076677316	0	0.4345047923322683	0	0	0.4345047923322683	1	0.1282608695652174	sim1
ROSACE	0.053	0.5642633228840125	0	0.43573667711598746	0	0	0.43573667711598746	1	0.13043478260869565	sim1
ROSACE	0.054	0.56	0	0.44	0	0	0.44	1	0.1318840579710145	sim1
ROSACE	0.055	0.5558912386706949	0	0.4441087613293051	0	0	0.4441087613293051	1	0.13333333333333333	sim1
ROSACE	0.056	0.5548961424332344	0	0.4451038575667656	0	0	0.4451038575667656	1	0.1355072463768116	sim1
