test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim
ROSACE_tests	0	0.22896963663514183	0	0.7710303633648581	0	NA	0	0	sim1
SLR_tests	0	0.22896963663514183	0	0.7710303633648581	0	NA	0	0	sim1
ENRICH2_tests	1.6592002654720425e-4	0.22880371660859464	1.6592002654720425e-4	0.770864443338311	0	0.5	7.246376811594203e-4	0	sim1
EDGER_tests	0	0.22896963663514183	0	0.7710303633648581	0	NA	0	0	sim1
LIMMA_tests	0	0.22896963663514183	0	0.7710303633648581	0	NA	0	0	sim1
ROSACE_tests	0.22332835573253693	0.00564128090260494	0.00945744151319064	0.7615729218516675	0	0.04062722736992159	0.9753623188405798	0.005	sim1
SLR_tests	0.0159283225485316	0.21304131408661023	0	0.7710303633648581	0	0	0.06956521739130435	0.005	sim1
ENRICH2_tests	0.0703500912560146	0.15861954537912726	0.03185664509706321	0.7391737182677949	0	0.3116883116883117	0.3072463768115942	0.005	sim1
EDGER_tests	0.0039820806371329	0.22498755599800896	0	0.7710303633648581	0	0	0.01739130434782608	0.005	sim1
LIMMA_tests	0.08528289364526298	0.14368674298987888	1.6592002654720425e-4	0.770864443338311	0	0.00194174757281553	0.372463768115942	0.005	sim1
ROSACE_tests	0.22382611581217857	0.00514352082296333	0.01609424257507881	0.7549361207897793	0	0.06708160442600276	0.977536231884058	0.01	sim1
SLR_tests	0.03832752613240418	0.1906421105027377	3.318400530944085e-4	0.7706985233117637	0	0.00858369098712446	0.16739130434782606	0.01	sim1
ENRICH2_tests	0.07682097229135557	0.1521486643437863	0.03832752613240418	0.732702837232454	0	0.33285302593659943	0.3355072463768116	0.01	sim1
EDGER_tests	0.01758752281400365	0.21138211382113825	0	0.7710303633648581	0	0	0.07681159420289856	0.01	sim1
LIMMA_tests	0.1017089762734362	0.12726066036170566	1.6592002654720425e-4	0.770864443338311	0	0.001628664495114	0.4442028985507246	0.01	sim1
ROSACE_tests	0.226646756263481	0.00232288037166085	0.05774016923842708	0.713290194126431	0	0.20303383897316216	0.989855072463768	0.05	sim1
SLR_tests	0.09490625518500084	0.13406338145014104	0.00282064045130247	0.7682097229135557	0	0.02886247877758913	0.4144927536231884	0.05	sim1
ENRICH2_tests	0.101543056246889	0.12742658038825286	0.06537249045959848	0.7056578729052597	0	0.39165009940357853	0.4434782608695652	0.05	sim1
EDGER_tests	0.06504065040650407	0.1639289862286378	0	0.7710303633648581	0	0	0.28405797101449276	0.05	sim1
LIMMA_tests	0.1481665837066534	0.08080305292848847	0.00116144018583042	0.7698689231790277	0	0.00777777777777777	0.6471014492753623	0.05	sim1
ROSACE_tests	0	0.2588352414136386	0	0.7411647585863613	0	NA	0	0	sim10
SLR_tests	0	0.2588352414136386	0	0.7411647585863613	0	NA	0	0	sim10
ENRICH2_tests	3.318400530944085e-4	0.2585034013605442	3.318400530944085e-4	0.7408329185332669	0	0.5	0.00128205128205128	0	sim10
EDGER_tests	0	0.2588352414136386	0	0.7411647585863613	0	NA	0	0	sim10
LIMMA_tests	0	0.2588352414136386	0	0.7411647585863613	0	NA	0	0	sim10
ROSACE_tests	0.2536917205906753	0.00514352082296333	0.01078480172556827	0.730379956860793	0	0.04077791718946047	0.9801282051282052	0.005	sim10
SLR_tests	0.02140368342458935	0.23743155798904927	0	0.7411647585863613	0	0	0.0826923076923077	0.005	sim10
ENRICH2_tests	0.08362369337979095	0.1752115480338477	0.02704496432719429	0.714119794259167	0	0.2443778110944528	0.32307692307692304	0.005	sim10
EDGER_tests	0.00348432055749128	0.25535092085614736	0	0.7411647585863613	0	0	0.01346153846153845	0.005	sim10
LIMMA_tests	0.101543056246889	0.15729218516674962	0	0.7411647585863613	0	0	0.3923076923076923	0.005	sim10
ROSACE_tests	0.25535092085614736	0.00348432055749128	0.01742160278745644	0.7237431557989049	0	0.06386861313868612	0.9865384615384616	0.01	sim10
SLR_tests	0.04562800730048116	0.21320723411315745	0	0.7411647585863613	0	0	0.17628205128205127	0.01	sim10
ENRICH2_tests	0.09324705491952878	0.16558818649410983	0.03318400530944085	0.7079807532769206	0	0.26246719160104987	0.36025641025641025	0.01	sim10
EDGER_tests	0.02074000331840053	0.23809523809523808	0	0.7411647585863613	0	0	0.08012820512820513	0.01	sim10
LIMMA_tests	0.12012609922017588	0.13870914219346275	1.6592002654720425e-4	0.7409988385598142	0	0.00137931034482758	0.4641025641025641	0.01	sim10
ROSACE_tests	0.25701012112161936	0.00182512029201924	0.05724240915878546	0.6839223494275759	0	0.18215417106652587	0.992948717948718	0.05	sim10
SLR_tests	0.11979425916708146	0.13904098224655717	0.00232288037166085	0.7388418782147005	0	0.01902173913043478	0.4628205128205128	0.05	sim10
ENRICH2_tests	0.12311265969802555	0.13572258171561308	0.05608096897295504	0.6850837896134063	0	0.31296296296296294	0.47564102564102567	0.05	sim10
EDGER_tests	0.0859465737514518	0.17288866766218683	1.6592002654720425e-4	0.7409988385598142	0	0.00192678227360308	0.3320512820512821	0.05	sim10
LIMMA_tests	0.178695868591339	0.08013937282229965	0.00165920026547204	0.7395055583208894	0	0.00919963201471941	0.6903846153846155	0.05	sim10
ROSACE_tests	0	0.2654720424755268	0	0.7345279575244732	0	NA	0	0	sim2
SLR_tests	0	0.2654720424755268	0	0.7345279575244732	0	NA	0	0	sim2
ENRICH2_tests	4.977600796416127e-4	0.26497428239588516	1.6592002654720425e-4	0.734362037497926	0	0.25	0.001875	0	sim2
EDGER_tests	0	0.2654720424755268	0	0.7345279575244732	0	NA	0	0	sim2
LIMMA_tests	0	0.2654720424755268	0	0.7345279575244732	0	NA	0	0	sim2
ROSACE_tests	0.25999668159946904	0.00547536087605774	0.00829600132736021	0.726231956197113	0	0.03092145949288807	0.979375	0.005	sim2
SLR_tests	0.02090592334494773	0.24456611913057907	3.318400530944085e-4	0.7341961174713788	0	0.015625	0.07875	0.005	sim2
ENRICH2_tests	0.08760577401692385	0.17786626845860296	0.03285216525634644	0.7016757922681267	0	0.2727272727272727	0.33	0.005	sim2
EDGER_tests	0.00564128090260494	0.25983076157292184	0	0.7345279575244732	0	0	0.02124999999999999	0.005	sim2
LIMMA_tests	0.10436369669819148	0.16110834577733532	0	0.7345279575244732	0	0	0.393125	0.005	sim2
ROSACE_tests	0.2618218018914883	0.00365024058403849	0.01393728222996515	0.720590675294508	0	0.05054151624548737	0.98625	0.01	sim2
SLR_tests	0.04496432719429235	0.22050771528123445	0.00116144018583042	0.7333665173386428	0	0.02517985611510791	0.169375	0.01	sim2
ENRICH2_tests	0.09606769537083126	0.16940434710469554	0.03882528621204579	0.6957026713124274	0	0.2878228782287823	0.361875	0.01	sim2
EDGER_tests	0.02074000331840053	0.24473203915712627	0	0.7345279575244732	0	0	0.078125	0.01	sim2
LIMMA_tests	0.12327857972457276	0.14219346275095404	1.6592002654720425e-4	0.734362037497926	0	0.00134408602150537	0.464375	0.01	sim2
ROSACE_tests	0.2641446822631492	0.00132736021237763	0.05160112825618052	0.6829268292682927	0	0.16342616920651604	0.995	0.05	sim2
SLR_tests	0.12294673967147834	0.14252530280404846	0.00514352082296333	0.7293844367015099	0	0.04015544041450777	0.4631249999999999	0.05	sim2
