test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim
ROSACE_tests	0	0.2455616392898623	0	0.7544383607101377	0	NA	0	0	sim1
SLR_tests	0	0.2455616392898623	0	0.7544383607101377	0	NA	0	0	sim1
ENRICH2_tests	0	0.2455616392898623	0	0.7544383607101377	0	NA	0	0	sim1
DIMSUM_tests	0	0.24473203915712627	0	0.7541065206570433	0.00116144018583042	NA	0	0	sim1
EDGER_tests	0	0.2455616392898623	0	0.7544383607101377	0	NA	0	0	sim1
LIMMA_tests	0	0.2455616392898623	0	0.7544383607101377	0	NA	0	0	sim1
ROSACE_tests	0.04795088767214203	0.19761075161772024	0.01460096233615397	0.7398373983739838	0	0.23342175066313	0.19527027027027025	0.005	sim1
SLR_tests	4.977600796416127e-4	0.2450638792102207	0.00199104031856645	0.7524473203915713	0	0.8	0.00202702702702702	0.005	sim1
ENRICH2_tests	0.04396880703500912	0.20159283225485317	0.05508544881367181	0.6993529118964659	0	0.5561139028475712	0.17905405405405406	0.005	sim1
DIMSUM_tests	0	0.24473203915712627	0	0.7541065206570433	0.00116144018583042	NA	0	0.005	sim1
EDGER_tests	0	0.2455616392898623	0	0.7544383607101377	0	NA	0	0.005	sim1
LIMMA_tests	0	0.2455616392898623	0	0.7544383607101377	0	NA	0	0.005	sim1
ROSACE_tests	0.06387921022067364	0.18168242906918863	0.02024224323875892	0.7341961174713788	0	0.24063116370808676	0.26013513513513514	0.01	sim1
SLR_tests	0.00116144018583042	0.24440019910403185	0.00232288037166085	0.7521154803384769	0	0.6666666666666666	0.00472972972972973	0.01	sim1
ENRICH2_tests	0.04894640783142525	0.19661523145843704	0.06089264974282396	0.6935457109673138	0	0.554380664652568	0.19932432432432431	0.01	sim1
DIMSUM_tests	0	0.24473203915712627	0	0.7541065206570433	0.00116144018583042	NA	0	0.01	sim1
EDGER_tests	0	0.2455616392898623	0	0.7544383607101377	0	NA	0	0.01	sim1
LIMMA_tests	0	0.2455616392898623	0	0.7544383607101377	0	NA	0	0.01	sim1
ROSACE_tests	0.1134892981582877	0.1320723411315746	0.06752945080471214	0.6869089099054256	0	0.37305224564619616	0.46216216216216216	0.05	sim1
SLR_tests	0.00464576074332171	0.24091587854654056	0.00613904098224655	0.7482993197278912	0	0.5692307692307692	0.01891891891891892	0.05	sim1
ENRICH2_tests	0.06338145014103203	0.18218018914883027	0.07997345279575245	0.6744649079143853	0	0.5578703703703703	0.2581081081081081	0.05	sim1
DIMSUM_tests	0	0.24473203915712627	0	0.7541065206570433	0.00116144018583042	NA	0	0.05	sim1
EDGER_tests	0	0.2455616392898623	0	0.7544383607101377	0	NA	0	0.05	sim1
LIMMA_tests	0	0.2455616392898623	0	0.7544383607101377	0	NA	0	0.05	sim1
ROSACE_tests	0	0.22880371660859464	0	0.7711962833914053	0	NA	0	0	sim10
SLR_tests	0	0.22880371660859464	0	0.7711962833914053	0	NA	0	0	sim10
ENRICH2_tests	0	0.22880371660859464	0	0.7711962833914053	0	NA	0	0	sim10
DIMSUM_tests	0	0.22747635639621705	0	0.7711962833914053	0.00132736021237763	NA	0	0	sim10
EDGER_tests	0	0.22880371660859464	0	0.7711962833914053	0	NA	0	0	sim10
LIMMA_tests	0	0.22880371660859464	0	0.7711962833914053	0	NA	0	0	sim10
ROSACE_tests	0.05143520822963331	0.17736850837896134	0.01410320225651236	0.7570930811348929	0	0.21518987341772153	0.22480058013052936	0.005	sim10
SLR_tests	4.977600796416127e-4	0.22830595652895305	3.318400530944085e-4	0.770864443338311	0	0.4	0.00217548948513415	0.005	sim10
ENRICH2_tests	0.04247552679608429	0.18632818981251037	0.05939936950389912	0.7117969138875062	0	0.5830618892508143	0.18564176939811455	0.005	sim10
DIMSUM_tests	0	0.22747635639621705	0	0.7711962833914053	0.00132736021237763	NA	0	0.005	sim10
EDGER_tests	0	0.22880371660859464	0	0.7711962833914053	0	NA	0	0.005	sim10
LIMMA_tests	0	0.22880371660859464	0	0.7711962833914053	0	NA	0	0.005	sim10
ROSACE_tests	0.06139040982246557	0.1674133067861291	0.02206736353077816	0.7491289198606271	0	0.2644135188866799	0.2683103698332125	0.01	sim10
SLR_tests	6.63680106188817e-4	0.22814003650240583	3.318400530944085e-4	0.770864443338311	0	0.33333333333333337	0.00290065264684554	0.01	sim10
ENRICH2_tests	0.04778496764559482	0.18101874896299985	0.06786129085780654	0.7033349925335988	0	0.5868005738880918	0.2088469905728789	0.01	sim10
DIMSUM_tests	0	0.22747635639621705	0	0.7711962833914053	0.00132736021237763	NA	0	0.01	sim10
EDGER_tests	0	0.22880371660859464	0	0.7711962833914053	0	NA	0	0.01	sim10
LIMMA_tests	0	0.22880371660859464	0	0.7711962833914053	0	NA	0	0.01	sim10
ROSACE_tests	0.1010452961672474	0.12775842044134728	0.06736353077816493	0.7038327526132404	0	0.4	0.4416243654822335	0.05	sim10
SLR_tests	0.00431392069022731	0.22448979591836735	0.00282064045130247	0.7683756429401029	0	0.3953488372093023	0.01885424220449601	0.05	sim10
ENRICH2_tests	0.06354737016757922	0.16525634644101542	0.09175377468060394	0.6794425087108014	0	0.5908119658119658	0.27773749093546046	0.05	sim10
DIMSUM_tests	0	0.22747635639621705	4.977600796416127e-4	0.7706985233117637	0.00132736021237763	1	0	0.05	sim10
EDGER_tests	0	0.22880371660859464	0	0.7711962833914053	0	NA	0	0.05	sim10
LIMMA_tests	0	0.22880371660859464	0	0.7711962833914053	0	NA	0	0.05	sim10
ROSACE_tests	0	0.2450638792102207	0	0.7549361207897793	0	NA	0	0	sim2
SLR_tests	0	0.2450638792102207	0	0.7549361207897793	0	NA	0	0	sim2
ENRICH2_tests	0	0.2450638792102207	0	0.7549361207897793	0	NA	0	0	sim2
DIMSUM_tests	0	0.24340467894474865	0	0.7547702007632321	0.00182512029201924	NA	0	0	sim2
EDGER_tests	0	0.2450638792102207	0	0.7549361207897793	0	NA	0	0	sim2
LIMMA_tests	0	0.2450638792102207	0	0.7549361207897793	0	NA	0	0	sim2
ROSACE_tests	0.05657872905259665	0.188485150157624	0.01460096233615397	0.7403351584536253	0	0.20512820512820512	0.2308733920108328	0.005	sim2
SLR_tests	6.63680106188817e-4	0.24440019910403185	0	0.7549361207897793	0	0	0.00270819228165199	0.005	sim2
ENRICH2_tests	0.05259664841546375	0.19246723079475692	0.05691056910569105	0.6980255516840883	0	0.5196969696969697	0.2146242383209208	0.005	sim2
