test	num_na	corr_pearson	corr_spearman	sim
ROSACE_effects	0	0.7597661915797143	0.7068465904855228	sim1
SLR_effects	0	0.6102219325039547	0.6829664362836696	sim1
ENRICH2_effects	0	0.7281439185334613	0.6784894517669129	sim1
EDGER_effects	0	0.6627958716180594	0.6830255964703779	sim1
LIMMA_effects	0	0.6989176757096773	0.6802648126210862	sim1
ROSACE_effects	0	0.7404169273163069	0.6709459388827216	sim10
SLR_effects	0	0.5785898716808676	0.6486907320596411	sim10
ENRICH2_effects	0	0.7059360456316234	0.6434153961358309	sim10
EDGER_effects	0	0.6385962426697215	0.6489095664756513	sim10
LIMMA_effects	0	0.669855875316623	0.6445313878454129	sim10
ROSACE_effects	0	0.7572149527449616	0.7036856138313529	sim2
SLR_effects	0	0.6028267347525085	0.6795129302531553	sim2
ENRICH2_effects	0	0.7204488818947268	0.6742559868539321	sim2
EDGER_effects	0	0.6580424751510631	0.6792639708767872	sim2
LIMMA_effects	0	0.6949913018756031	0.6770125701353835	sim2
ROSACE_effects	0	0.7299614523458362	0.6529839264764807	sim3
SLR_effects	0	0.5663097485775781	0.6307812604703787	sim3
ENRICH2_effects	0	0.695255711106608	0.6251542012332278	sim3
EDGER_effects	0	0.6252915948057125	0.6309387653476316	sim3
LIMMA_effects	0	0.6651300603845027	0.6279437771873969	sim3
ROSACE_effects	0	0.7554376027825314	0.6861877930264779	sim4
SLR_effects	0	0.5948596915651801	0.6638565573568546	sim4
ENRICH2_effects	0	0.71330770196776	0.6576257313051663	sim4
EDGER_effects	0	0.651796848491619	0.6639751504486135	sim4
LIMMA_effects	0	0.6809909169828045	0.6602405340906276	sim4
ROSACE_effects	0	0.7275221919168563	0.6695070375563578	sim5
SLR_effects	0	0.5737891353348595	0.6447175271690057	sim5
ENRICH2_effects	0	0.6979873332616013	0.641103001982583	sim5
EDGER_effects	0	0.6283670379989716	0.6448780137234844	sim5
LIMMA_effects	0	0.6683994273491097	0.6429127701291604	sim5
ROSACE_effects	0	0.7300143126520288	0.6546456688958858	sim6
SLR_effects	0	0.5672677970468023	0.6284748755507563	sim6
ENRICH2_effects	0	0.68873830506817	0.6235135993288271	sim6
EDGER_effects	0	0.6254831786649748	0.6286816650210834	sim6
LIMMA_effects	0	0.6616461076938968	0.6257444120298552	sim6
ROSACE_effects	0	0.7366986983114819	0.67476335588283	sim7
SLR_effects	0	0.5773266442794754	0.6488551251643907	sim7
ENRICH2_effects	0	0.7006920290314262	0.6435176073891388	sim7
EDGER_effects	0	0.6355742572215594	0.6490551081205382	sim7
LIMMA_effects	0	0.66812826485319	0.6462745866095635	sim7
ROSACE_effects	0	0.7446315965442277	0.6777140868106915	sim8
SLR_effects	0	0.589530309877113	0.6577147686705103	sim8
ENRICH2_effects	0	0.7088435207853194	0.6513222885011414	sim8
EDGER_effects	0	0.6455006549652796	0.6572435835406594	sim8
LIMMA_effects	0	0.6796211933407609	0.6541033600733505	sim8
ROSACE_effects	0	0.7589541406711846	0.7022047539738678	sim9
SLR_effects	0	0.6049515437867976	0.6789853425519363	sim9
ENRICH2_effects	0	0.7286101505996292	0.6752084734519038	sim9
EDGER_effects	0	0.6588419688061762	0.6794329197231596	sim9
LIMMA_effects	0	0.691279725470408	0.6763434576521173	sim9
