test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim
ROSACE_tests	0	0.21576524741081704	0	0.784234752589183	0	NA	0	0	sim1
SLR_tests	0	0.21576524741081704	0	0.784234752589183	0	NA	0	0	sim1
ENRICH2_tests	0.00493177708367581	0.21083347032714125	9.863554167351637e-4	0.7832483971724478	0	0.16666666666666666	0.02285714285714285	0	sim1
EDGER_tests	0	0.21576524741081704	0	0.784234752589183	0	NA	0	0	sim1
LIMMA_tests	0	0.21576524741081704	0	0.784234752589183	0	NA	0	0	sim1
ROSACE_tests	0.20992931119513397	0.00583593621568305	0.08211408844320237	0.7021206641459806	0	0.28117084154235855	0.972952380952381	0.005	sim1
SLR_tests	0	0.21576524741081704	0	0.784234752589183	0	NA	0	0.005	sim1
ENRICH2_tests	0.18058523754726288	0.03518000986355417	0.08400460299194476	0.7002301495972382	0	0.3174899036968002	0.8369523809523809	0.005	sim1
EDGER_tests	0	0.21576524741081704	0	0.784234752589183	0	NA	0	0.005	sim1
LIMMA_tests	0.07767548906789414	0.1380897583429229	0.00410981423639651	0.7801249383527864	0	0.05025125628140703	0.36	0.005	sim1
ROSACE_tests	0.21116225546605297	0.00460299194476409	0.10077264507644254	0.6834621075127404	0	0.32305665349143603	0.9786666666666668	0.01	sim1
SLR_tests	0	0.21576524741081704	0	0.784234752589183	0	NA	0	0.01	sim1
ENRICH2_tests	0.18370869636692425	0.03205655104389281	0.09485451257603156	0.6893802400131515	0	0.34051342578931837	0.8514285714285714	0.01	sim1
EDGER_tests	0	0.21576524741081704	0	0.784234752589183	0	NA	0	0.01	sim1
LIMMA_tests	0.08852539865198093	0.1272398487588361	0.00764425447969751	0.7765904981094854	0	0.07948717948717948	0.41028571428571425	0.01	sim1
ROSACE_tests	0.2129705737300674	0.00279467368074963	0.16726943942133815	0.6169653131678449	0	0.4399048854301773	0.9870476190476192	0.05	sim1
SLR_tests	5.753739930955121e-4	0.21518987341772153	0	0.784234752589183	0	0	0.00266666666666666	0.05	sim1
