model	rank	TP	FN	FP	TN	NAR	FDR	Power	Sensitivity	sim
ROSACE	0.001	0.5833333333333334	0	0.4166666666666667	0	0	0.4166666666666667	1	0.00281463610776035	sim1
ROSACE	0.002	0.6666666666666666	0	0.3333333333333333	0	0	0.3333333333333333	1	0.00643345396059509	sim1
ROSACE	0.003	0.5833333333333334	0	0.4166666666666667	0	0	0.4166666666666667	1	0.00844390832328106	sim1
ROSACE	0.004	0.5625	0	0.4375	0	0	0.4375	1	0.01085645355850422	sim1
ROSACE	0.005	0.55	0	0.45	0	0	0.45	1	0.01326899879372738	sim1
ROSACE	0.006	0.5416666666666666	0	0.4583333333333333	0	0	0.4583333333333333	1	0.01568154402895054	sim1
ROSACE	0.007	0.5529411764705883	0	0.4470588235294118	0	0	0.4470588235294118	1	0.01889827100924809	sim1
ROSACE	0.008	0.5567010309278351	0	0.443298969072165	0	0	0.443298969072165	1	0.02171290711700844	sim1
ROSACE	0.009	0.5321100917431193	0	0.4678899082568808	0	0	0.4678899082568808	1	0.02332127060715722	sim1
ROSACE	0.01	0.5206611570247934	0	0.4793388429752066	0	0	0.4793388429752066	1	0.02533172496984318	sim1
ROSACE	0.011	0.518796992481203	0	0.48120300751879697	0	0	0.48120300751879697	1	0.02774427020506634	sim1
ROSACE	0.012	0.5103448275862069	0	0.4896551724137931	0	0	0.4896551724137931	1	0.02975472456775231	sim1
ROSACE	0.013	0.5316455696202531	0	0.4683544303797468	0	0	0.4683544303797468	1	0.03377563329312424	sim1
ROSACE	0.014	0.5117647058823529	0	0.48823529411764705	0	0	0.48823529411764705	1	0.03498190591073583	sim1
ROSACE	0.015	0.5054945054945055	0	0.4945054945054945	0	0	0.4945054945054945	1	0.03699236027342179	sim1
ROSACE	0.016	0.4896907216494845	0	0.5103092783505154	0	0	0.5103092783505154	1	0.03819863289103337	sim1
ROSACE	0.017	0.4805825242718446	0	0.5194174757281553	0	0	0.5194174757281553	1	0.03980699638118214	sim1
ROSACE	0.018	0.5	0	0.5	0	0	0.5	1	0.04382790510655408	sim1
ROSACE	0.019	0.5064935064935064	0	0.4935064935064935	0	0	0.4935064935064935	1	0.04704463208685162	sim1
ROSACE	0.02	0.5102880658436214	0	0.4897119341563786	0	0	0.4897119341563786	1	0.04985926819461198	sim1
ROSACE	0.021	0.5058823529411764	0	0.4941176470588235	0	0	0.4941176470588235	1	0.05186972255729795	sim1
ROSACE	0.022	0.5168539325842697	0	0.4831460674157303	0	0	0.4831460674157303	1	0.05548854041013269	sim1
ROSACE	0.023	0.5125448028673835	0	0.4874551971326165	0	0	0.4874551971326165	1	0.05749899477281865	sim1
ROSACE	0.024	0.5154639175257731	0	0.4845360824742268	0	0	0.4845360824742268	1	0.06031363088057901	sim1
ROSACE	0.025	0.5098684210526315	0	0.4901315789473684	0	0	0.4901315789473684	1	0.06232408524326498	sim1
ROSACE	0.026	0.5126582278481012	0	0.4873417721518987	0	0	0.4873417721518987	1	0.06513872135102533	sim1
ROSACE	0.027	0.5060975609756098	0	0.49390243902439024	0	0	0.49390243902439024	1	0.0667470848411741	sim1
ROSACE	0.028	0.5147058823529411	0	0.4852941176470588	0	0	0.4852941176470588	1	0.07036590269400884	sim1
ROSACE	0.029	0.5056818181818182	0	0.4943181818181818	0	0	0.4943181818181818	1	0.07157217531162043	sim1
ROSACE	0.03	0.5027472527472527	0	0.49725274725274726	0	0	0.49725274725274726	1	0.0735826296743064	sim1
ROSACE	0.031	0.4986737400530504	0	0.5013262599469496	0	0	0.5013262599469496	1	0.07559308403699236	sim1
ROSACE	0.032	0.4987146529562982	0	0.5012853470437018	0	0	0.5012853470437018	1	0.07800562927221552	sim1
ROSACE	0.033	0.5037406483790524	0	0.4962593516209477	0	0	0.4962593516209477	1	0.08122235625251306	sim1
ROSACE	0.034	0.5108958837772397	0	0.4891041162227603	0	0	0.4891041162227603	1	0.0848411741053478	sim1
ROSACE	0.035	0.508235294117647	0	0.49176470588235294	0	0	0.49176470588235294	1	0.08685162846803378	sim1
ROSACE	0.036	0.5080091533180778	0	0.4919908466819222	0	0	0.4919908466819222	1	0.08926417370325694	sim1
ROSACE	0.037	0.5111111111111111	0	0.4888888888888889	0	0	0.4888888888888889	1	0.09248090068355448	sim1
ROSACE	0.038	0.5064935064935064	0	0.4935064935064935	0	0	0.4935064935064935	1	0.09408926417370324	sim1
ROSACE	0.039	0.5042194092827004	0	0.4957805907172996	0	0	0.4957805907172996	1	0.09609971853638924	sim1
ROSACE	0.04	0.5061728395061729	0	0.49382716049382713	0	0	0.49382716049382713	1	0.09891435464414958	sim1
ROSACE	0.041	0.5020080321285141	0	0.4979919678714859	0	0	0.4979919678714859	1	0.10052271813429836	sim1
ROSACE	0.042	0.5	0	0.5	0	0	0.5	1	0.10253317249698432	sim1
ROSACE	0.043	0.4933078393881453	0	0.5066921606118547	0	0	0.5066921606118547	1	0.1037394451145959	sim1
ROSACE	0.044	0.4934579439252336	0	0.5065420560747663	0	0	0.5065420560747663	1	0.10615199034981906	sim1
ROSACE	0.045	0.4972577696526509	0	0.5027422303473492	0	0	0.5027422303473492	1	0.1093687173301166	sim1
ROSACE	0.046	0.4919499105545617	0	0.5080500894454383	0	0	0.5080500894454383	1	0.1105749899477282	sim1
ROSACE	0.047	0.4886164623467601	0	0.51138353765324	0	0	0.51138353765324	1	0.11218335343787696	sim1
ROSACE	0.048	0.4802744425385934	0	0.5197255574614065	0	0	0.5197255574614065	1	0.11258544431041416	sim1
ROSACE	0.049	0.4798657718120805	0	0.5201342281879194	0	0	0.5201342281879194	1	0.11499798954563732	sim1
ROSACE	0.05	0.4819078947368421	0	0.5180921052631579	0	0	0.5180921052631579	1	0.11781262565339767	sim1
ROSACE	0.051	0.4806451612903226	0	0.5193548387096775	0	0	0.5193548387096775	1	0.11982308001608365	sim1
ROSACE	0.052	0.4825949367088608	0	0.5174050632911392	0	0	0.5174050632911392	1	0.12263771612384398	sim1
ROSACE	0.053	0.4829192546583851	0	0.5170807453416149	0	0	0.5170807453416149	1	0.12505026135906716	sim1
ROSACE	0.054	0.4801829268292683	0	0.5198170731707317	0	0	0.5198170731707317	1	0.12665862484921592	sim1
ROSACE	0.055	0.4783258594917787	0	0.5216741405082213	0	0	0.5216741405082213	1	0.12866907921190188	sim1
ROSACE	0.056	0.47577092511013214	0	0.5242290748898678	0	0	0.5242290748898678	1	0.13027744270205066	sim1
ROSACE	0.057	0.4776334776334776	0	0.5223665223665224	0	0	0.5223665223665224	1	0.13309207880981103	sim1
ROSACE	0.058	0.475177304964539	0	0.524822695035461	0	0	0.524822695035461	1	0.13470044229995978	sim1
ROSACE	0.059	0.47280334728033474	0	0.5271966527196653	0	0	0.5271966527196653	1	0.13630880579010857	sim1
ROSACE	0.06	0.4732510288065844	0	0.5267489711934157	0	0	0.5267489711934157	1	0.13872135102533173	sim1
ROSACE	0.061	0.4743935309973046	0	0.5256064690026954	0	0	0.5256064690026954	1	0.14153598713309207	sim1
ROSACE	0.062	0.47480106100795755	0	0.5251989389920424	0	0	0.5251989389920424	1	0.14394853236831523	sim1
ROSACE	0.063	0.4725848563968668	0	0.5274151436031331	0	0	0.5274151436031331	1	0.145556895858464	sim1
ROSACE	0.064	0.4730077120822622	0	0.5269922879177378	0	0	0.5269922879177378	1	0.14796944109368718	sim1
ROSACE	0.065	0.46962025316455697	0	0.5303797468354431	0	0	0.5303797468354431	1	0.14917571371129876	sim1
ROSACE	0.066	0.4713216957605985	0	0.5286783042394015	0	0	0.5286783042394015	1	0.1519903498190591	sim1
ROSACE	0.067	0.47116564417177914	0	0.5288343558282208	0	0	0.5288343558282208	1	0.15440289505428226	sim1
ROSACE	0.068	0.4691656590084643	0	0.5308343409915357	0	0	0.5308343409915357	1	0.15601125854443104	sim1
ROSACE	0.069	0.4696066746126341	0	0.5303933253873659	0	0	0.5303933253873659	1	0.1584238037796542	sim1
ROSACE	0.07	0.46768507638072854	0	0.5323149236192715	0	0	0.5323149236192715	1	0.160032167269803	sim1
ROSACE	0.071	0.46581691772885286	0	0.5341830822711472	0	0	0.5341830822711472	1	0.16164053075995174	sim1
ROSACE	0.072	0.464	0	0.536	0	0	0.536	1	0.16324889425010053	sim1
ROSACE	0.073	0.46621621621621623	0	0.5337837837837838	0	0	0.5337837837837838	1	0.16646562123039807	sim1
ROSACE	0.074	0.4644444444444445	0	0.5355555555555556	0	0	0.5355555555555556	1	0.16807398472054683	sim1
ROSACE	0.075	0.46710526315789475	0	0.5328947368421053	0	0	0.5328947368421053	1	0.1712907117008444	sim1
ROSACE	0.076	0.4686147186147186	0	0.5313852813852814	0	0	0.5313852813852814	1	0.17410534780860473	sim1
ROSACE	0.077	0.469017094017094	0	0.530982905982906	0	0	0.530982905982906	1	0.1765178930438279	sim1
ROSACE	0.078	0.46729957805907174	0	0.5327004219409283	0	0	0.5327004219409283	1	0.17812625653397668	sim1
ROSACE	0.079	0.46618106139438087	0	0.5338189386056191	0	0	0.5338189386056191	1	0.18013671089666264	sim1
ROSACE	0.08	0.4686536485097636	0	0.5313463514902363	0	0	0.5313463514902363	1	0.18335343787696015	sim1
ROSACE	0.081	0.46802030456852795	0	0.531979695431472	0	0	0.531979695431472	1	0.18536389223964617	sim1
ROSACE	0.082	0.4663991975927783	0	0.5336008024072216	0	0	0.5336008024072216	1	0.18697225572979492	sim1
ROSACE	0.083	0.4658077304261645	0	0.5341922695738355	0	0	0.5341922695738355	1	0.1889827100924809	sim1
ROSACE	0.084	0.4681684622918707	0	0.5318315377081293	0	0	0.5318315377081293	1	0.19219943707277845	sim1
ROSACE	0.085	0.4642166344294004	0	0.5357833655705996	0	0	0.5357833655705996	1	0.19300361881785283	sim1
ROSACE	0.086	0.4608030592734226	0	0.5391969407265774	0	0	0.5391969407265774	1	0.19380780056292723	sim1
ROSACE	0.087	0.4593572778827978	0	0.5406427221172023	0	0	0.5406427221172023	1	0.195416164053076	sim1
ROSACE	0.088	0.45794392523364486	0	0.5420560747663551	0	0	0.5420560747663551	1	0.1970245275432248	sim1
ROSACE	0.089	0.4584103512014787	0	0.5415896487985212	0	0	0.5415896487985212	1	0.1994370727784479	sim1
ROSACE	0.09	0.45521023765996343	0	0.5447897623400365	0	0	0.5447897623400365	1	0.20024125452352232	sim1
ROSACE	0.091	0.4525745257452574	0	0.5474254742547425	0	0	0.5474254742547425	1	0.2014475271411339	sim1
ROSACE	0.092	0.451295799821269	0	0.548704200178731	0	0	0.548704200178731	1	0.20305589063128268	sim1
ROSACE	0.093	0.4526967285587975	0	0.5473032714412025	0	0	0.5473032714412025	1	0.20587052673904305	sim1
