test	num_na	corr_pearson	corr_spearman	sim
ROSACE_effects	0	0.6894683078131478	0.6368635472308289	sim1
SLR_effects	0	0.6622356088545412	0.6265382193419464	sim1
ENRICH2_effects	0	0.668136212949369	0.6289992447572585	sim1
DIMSUM_effects	0	0.6769288376088838	0.633205612730508	sim1
EDGER_effects	0	0.6815195773701345	0.635854688942123	sim1
LIMMA_effects	0	0.6622395674008321	0.6265188905241829	sim1
ROSACE_effects	0	0.6936944578122456	0.6340123000447507	sim10
SLR_effects	0	0.6679052115891753	0.624842436947892	sim10
ENRICH2_effects	0	0.6730334876793447	0.6272350415160008	sim10
DIMSUM_effects	0	0.6772170037286595	0.6298592440323476	sim10
EDGER_effects	0	0.6833303823370196	0.6328704436302952	sim10
LIMMA_effects	0	0.6679090794509648	0.6247224411576916	sim10
ROSACE_effects	0	0.6762090602254025	0.6149345275284602	sim2
SLR_effects	0	0.64914945957219	0.605550542303725	sim2
ENRICH2_effects	0	0.6543473258166342	0.6078711771749781	sim2
DIMSUM_effects	0	0.6645640011945364	0.6116538900148634	sim2
EDGER_effects	0	0.6681679554275078	0.613898762062127	sim2
LIMMA_effects	0	0.6491827079852879	0.6055462317114368	sim2
ROSACE_effects	0	0.6904099938085289	0.6305924744762664	sim3
SLR_effects	0	0.6649285954230106	0.6213866857845881	sim3
ENRICH2_effects	0	0.6697779645922598	0.6233954108563416	sim3
DIMSUM_effects	0	0.6755761608146573	0.624782017335755	sim3
EDGER_effects	0	0.6803318945721433	0.6277360828762981	sim3
LIMMA_effects	0	0.6648478576335615	0.6212713877577535	sim3
ROSACE_effects	0	0.6916198227280962	0.6382065095111713	sim4
SLR_effects	0	0.6663334193149468	0.6295544547526672	sim4
ENRICH2_effects	0	0.6714090107092651	0.6315840541886341	sim4
DIMSUM_effects	0	0.6775952895898057	0.6340716090881059	sim4
EDGER_effects	0	0.6814374320644065	0.6363323661521635	sim4
LIMMA_effects	0	0.6663552055788573	0.6295645269434994	sim4
ROSACE_effects	0	0.6803594682005498	0.6267415346910227	sim5
SLR_effects	0	0.6546846734858034	0.6174424545808858	sim5
ENRICH2_effects	0	0.6608083662337743	0.620041757384927	sim5
DIMSUM_effects	0	0.6717681957733054	0.6249510588076361	sim5
EDGER_effects	0	0.6748477461283371	0.6268748127928658	sim5
LIMMA_effects	0	0.6544728797539022	0.6173641645108138	sim5
ROSACE_effects	0	0.6773052148653648	0.6187701822419156	sim6
SLR_effects	0	0.6514490164753801	0.6094767709153519	sim6
ENRICH2_effects	0	0.6568357545462692	0.612165087314691	sim6
DIMSUM_effects	0	0.6631587156676073	0.6159197097122877	sim6
EDGER_effects	0	0.6678062206785494	0.6184896826157316	sim6
LIMMA_effects	0	0.6513712158672981	0.6094448795450739	sim6
ROSACE_effects	0	0.6916722226768174	0.6384968964382869	sim7
SLR_effects	0	0.6665891375336762	0.6288346933831633	sim7
ENRICH2_effects	0	0.6712373549109555	0.631026447593157	sim7
DIMSUM_effects	0	0.6778323076626771	0.6333764016084399	sim7
EDGER_effects	0	0.6798540028187124	0.634548642701165	sim7
LIMMA_effects	0	0.6664043327293487	0.6288495827431201	sim7
ROSACE_effects	0	0.6824307786098074	0.6237321761920687	sim8
SLR_effects	0	0.653758298094267	0.6129308198529249	sim8
ENRICH2_effects	0	0.6591422502699027	0.6150291342443531	sim8
DIMSUM_effects	0	0.6683933537310877	0.6182551765598444	sim8
EDGER_effects	0	0.6710832787149684	0.6197573830992836	sim8
LIMMA_effects	0	0.6538077381424477	0.6130299825171327	sim8
ROSACE_effects	0	0.6773242485148689	0.6181257567194698	sim9
SLR_effects	0	0.6501682420242039	0.6078802699013678	sim9
ENRICH2_effects	0	0.6554121865537595	0.6099496885375602	sim9
DIMSUM_effects	0	0.6634048314892742	0.6140127316304304	sim9
EDGER_effects	0	0.6677461830119351	0.6170829379218399	sim9
LIMMA_effects	0	0.650112361671614	0.6077324688995692	sim9
