test	num_na	corr_pearson	corr_spearman	sim	rep	rd	mode
ENRICH2_effects	0	0.5815721947846146	0.28569843683167084	sim1	rep1	rd1	nopos
ROSACE_effects	4	0.5963387862727442	0.2786599274376863	sim1	rep1	rd1	nopos
ROSACENP_effects	4	0.5357253013420893	0.27791274524263704	sim1	rep1	rd1	nopos
SLR_effects	4	0.5783617458984154	0.2786527398085947	sim1	rep1	rd1	nopos
DIMSUM_effects	68	0.19917614729809693	0.11711499322022402	sim1	rep1	rd1	nopos
ENRICH2_effects	0	0.5960287762711047	0.2929856555084569	sim10	rep1	rd1	nopos
ROSACE_effects	3	0.614855320464118	0.2907800877616958	sim10	rep1	rd1	nopos
ROSACENP_effects	3	0.5743737109816568	0.2904257141590988	sim10	rep1	rd1	nopos
SLR_effects	3	0.594972018496383	0.29139949597444237	sim10	rep1	rd1	nopos
DIMSUM_effects	70	0.1959263962344491	0.12678163430206166	sim10	rep1	rd1	nopos
ENRICH2_effects	0	0.5984975721203991	0.272922546044642	sim2	rep1	rd1	nopos
ROSACE_effects	6	0.6210059712998474	0.2676336657139149	sim2	rep1	rd1	nopos
ROSACENP_effects	6	0.5790560416401154	0.2671920763459533	sim2	rep1	rd1	nopos
SLR_effects	6	0.5989199533744691	0.26739440122394126	sim2	rep1	rd1	nopos
DIMSUM_effects	61	0.21883628866268215	0.1113354125936182	sim2	rep1	rd1	nopos
ENRICH2_effects	0	0.6073009850353739	0.291734505019815	sim3	rep1	rd1	nopos
ROSACE_effects	8	0.6282147766352266	0.28454461260088987	sim3	rep1	rd1	nopos
ROSACENP_effects	8	0.5751966262922013	0.2838657222443905	sim3	rep1	rd1	nopos
SLR_effects	8	0.6074391263781173	0.2851122860258782	sim3	rep1	rd1	nopos
DIMSUM_effects	74	0.1369367683904084	0.09122702153237776	sim3	rep1	rd1	nopos
ENRICH2_effects	0	0.569392584542491	0.2632145545943797	sim4	rep1	rd1	nopos
ROSACE_effects	9	0.595389926922824	0.26659097301852763	sim4	rep1	rd1	nopos
ROSACENP_effects	9	0.5597506513037194	0.26602982866167835	sim4	rep1	rd1	nopos
SLR_effects	9	0.5747909842396468	0.26618330890884784	sim4	rep1	rd1	nopos
DIMSUM_effects	59	0.2005127545423802	0.10831875464959786	sim4	rep1	rd1	nopos
ENRICH2_effects	0	0.6224050531562263	0.3084004233961979	sim5	rep1	rd1	nopos
ROSACE_effects	6	0.6411220892313251	0.302443701899783	sim5	rep1	rd1	nopos
ROSACENP_effects	6	0.591542095117802	0.3008890056879676	sim5	rep1	rd1	nopos
SLR_effects	6	0.6221418420579244	0.3022901521222698	sim5	rep1	rd1	nopos
DIMSUM_effects	74	0.24347761254726744	0.14257757924456865	sim5	rep1	rd1	nopos
ENRICH2_effects	0	0.6333927714744643	0.2998285484760566	sim6	rep1	rd1	nopos
ROSACE_effects	5	0.6518440433559578	0.29482222371673433	sim6	rep1	rd1	nopos
ROSACENP_effects	5	0.6182592870968003	0.29487220687901855	sim6	rep1	rd1	nopos
SLR_effects	5	0.6320804771709362	0.2949578954839711	sim6	rep1	rd1	nopos
DIMSUM_effects	74	0.21423391424274077	0.11564559265298724	sim6	rep1	rd1	nopos
ENRICH2_effects	0	0.6202366954564446	0.3093697420093324	sim7	rep1	rd1	nopos
ROSACE_effects	13	0.6463078200527289	0.3023018907614146	sim7	rep1	rd1	nopos
ROSACENP_effects	13	0.5737782023728251	0.3015264151667847	sim7	rep1	rd1	nopos
SLR_effects	13	0.6272713909593881	0.30233173364577076	sim7	rep1	rd1	nopos
DIMSUM_effects	79	0.23232824283519965	0.12444058514314885	sim7	rep1	rd1	nopos
ENRICH2_effects	0	0.6222541715698409	0.298858756449536	sim8	rep1	rd1	nopos
ROSACE_effects	6	0.6386286540356626	0.2951022835881294	sim8	rep1	rd1	nopos
ROSACENP_effects	6	0.5858609040343117	0.29414501379806796	sim8	rep1	rd1	nopos
SLR_effects	6	0.6246648154517319	0.29566837070947	sim8	rep1	rd1	nopos
DIMSUM_effects	73	0.22559583438533287	0.1259568772464218	sim8	rep1	rd1	nopos
ENRICH2_effects	0	0.5892645689365703	0.27720366456381484	sim9	rep1	rd1	nopos
ROSACE_effects	2	0.6084800604707303	0.27642415830374395	sim9	rep1	rd1	nopos
ROSACENP_effects	2	0.5745101537118552	0.27627790792812645	sim9	rep1	rd1	nopos
SLR_effects	2	0.5918809543779053	0.27637838052940666	sim9	rep1	rd1	nopos
DIMSUM_effects	65	0.17459583522188168	0.10363674484716671	sim9	rep1	rd1	nopos
ENRICH2_effects	0	0.5799693445535035	0.2744292536154744	sim1	rep1	rd3	nopos
ROSACE_effects	1	0.48376437456854415	0.2758798634280873	sim1	rep1	rd3	nopos
ROSACENP_effects	1	0.3644766950545258	0.25865185485233294	sim1	rep1	rd3	nopos
SLR_effects	1	0.6055394910350859	0.29158897735051453	sim1	rep1	rd3	nopos
EDGER_effects	0	0.6280580606288622	0.29188165090599455	sim1	rep1	rd3	nopos
LIMMA_effects	0	0.6222011352818082	0.29329067756558946	sim1	rep1	rd3	nopos
DIMSUM_effects	9	0.2269042928507904	0.18600273328511213	sim1	rep1	rd3	nopos
ENRICH2_effects	0	0.5267786119470141	0.21842775293159605	sim10	rep1	rd3	nopos
ROSACE_effects	0	0.567321883908132	0.28860172946517676	sim10	rep1	rd3	nopos
ROSACENP_effects	0	0.4136899088380755	0.27857553652000266	sim10	rep1	rd3	nopos
SLR_effects	0	0.6004435736040703	0.29104973354119074	sim10	rep1	rd3	nopos
EDGER_effects	0	0.6261293424772482	0.27885070248110855	sim10	rep1	rd3	nopos
LIMMA_effects	0	0.6233584739821645	0.2912238635228968	sim10	rep1	rd3	nopos
DIMSUM_effects	11	0.21167366097387433	0.148184449192567	sim10	rep1	rd3	nopos
ENRICH2_effects	0	0.5443407030345093	0.2411070966594197	sim2	rep1	rd3	nopos
ROSACE_effects	4	0.41398614207237266	0.24649444001172832	sim2	rep1	rd3	nopos
ROSACENP_effects	4	0.3550933970572362	0.23910618883075235	sim2	rep1	rd3	nopos
SLR_effects	4	0.5740008864251451	0.2680351693707059	sim2	rep1	rd3	nopos
EDGER_effects	0	0.6189146570762761	0.2755076954713409	sim2	rep1	rd3	nopos
LIMMA_effects	0	0.6068456597970332	0.2753657621294617	sim2	rep1	rd3	nopos
DIMSUM_effects	14	0.1767204146579237	0.1324724718730202	sim2	rep1	rd3	nopos
ENRICH2_effects	0	0.5664959785713065	0.2502753956658064	sim3	rep1	rd3	nopos
ROSACE_effects	2	0.5106691503221547	0.27468400405969906	sim3	rep1	rd3	nopos
ROSACENP_effects	2	0.3892195320662617	0.26286245794291385	sim3	rep1	rd3	nopos
SLR_effects	2	0.5999898311108498	0.28501848047074924	sim3	rep1	rd3	nopos
EDGER_effects	0	0.6314986236700226	0.2866932057744889	sim3	rep1	rd3	nopos
LIMMA_effects	0	0.6129086642525821	0.28765074816626274	sim3	rep1	rd3	nopos
DIMSUM_effects	15	0.2554795757956016	0.1683225458281647	sim3	rep1	rd3	nopos
ENRICH2_effects	0	0.5401421966312705	0.2169795455221063	sim4	rep1	rd3	nopos
ROSACE_effects	1	0.49134343515667106	0.25563464472003633	sim4	rep1	rd3	nopos
ROSACENP_effects	1	0.3647214269999205	0.23389377260141792	sim4	rep1	rd3	nopos
SLR_effects	1	0.5789243036747874	0.2651742343441598	sim4	rep1	rd3	nopos
EDGER_effects	0	0.5948067377309045	0.2619500942865577	sim4	rep1	rd3	nopos
LIMMA_effects	0	0.6037063875184848	0.2668637155410577	sim4	rep1	rd3	nopos
DIMSUM_effects	6	0.23917522259159732	0.1721765894224654	sim4	rep1	rd3	nopos
ENRICH2_effects	0	0.5865948624062667	0.2641386862745618	sim5	rep1	rd3	nopos
ROSACE_effects	1	0.5813162491651491	0.3063948569624988	sim5	rep1	rd3	nopos
ROSACENP_effects	1	0.45008509757175696	0.29239708513601453	sim5	rep1	rd3	nopos
SLR_effects	1	0.6440421746620875	0.3094656482440561	sim5	rep1	rd3	nopos
EDGER_effects	0	0.6629221124370962	0.3067990918436065	sim5	rep1	rd3	nopos
LIMMA_effects	0	0.6747329117845909	0.31186164509231895	sim5	rep1	rd3	nopos
DIMSUM_effects	15	0.26691050096771024	0.1903749298004202	sim5	rep1	rd3	nopos
ENRICH2_effects	0	0.5094396118540575	0.2338120533666744	sim6	rep1	rd3	nopos
ROSACE_effects	2	0.5116587989098192	0.2922425135531224	sim6	rep1	rd3	nopos
ROSACENP_effects	2	0.37792074767981015	0.2712771560652042	sim6	rep1	rd3	nopos
SLR_effects	2	0.6096467812645926	0.29768859627930383	sim6	rep1	rd3	nopos
EDGER_effects	0	0.6368167060829668	0.29809958517467133	sim6	rep1	rd3	nopos
LIMMA_effects	0	0.622956552256387	0.3013370856456503	sim6	rep1	rd3	nopos
DIMSUM_effects	13	0.1829620482053009	0.130871260704403	sim6	rep1	rd3	nopos
ENRICH2_effects	0	0.592920354137358	0.2793180735795886	sim7	rep1	rd3	nopos
ROSACE_effects	0	0.5552347532978168	0.3055548801660555	sim7	rep1	rd3	nopos
ROSACENP_effects	0	0.4052207730535246	0.2891601323941134	sim7	rep1	rd3	nopos
SLR_effects	0	0.6205427546100571	0.3131579230285038	sim7	rep1	rd3	nopos
EDGER_effects	0	0.6397284215825161	0.3052118099141549	sim7	rep1	rd3	nopos
LIMMA_effects	0	0.6499843010115285	0.3148223730244771	sim7	rep1	rd3	nopos
DIMSUM_effects	12	0.28286349990105353	0.19720845391365097	sim7	rep1	rd3	nopos
ENRICH2_effects	0	0.5484420416868856	0.23647846474785905	sim8	rep1	rd3	nopos
ROSACE_effects	3	0.5072878919244062	0.2798510592090608	sim8	rep1	rd3	nopos
ROSACENP_effects	3	0.386319249863255	0.26284673360703137	sim8	rep1	rd3	nopos
SLR_effects	3	0.5907782019295285	0.2822834575539766	sim8	rep1	rd3	nopos
EDGER_effects	0	0.6212552306055291	0.2826401721094045	sim8	rep1	rd3	nopos
LIMMA_effects	0	0.6177124859487327	0.2898360900321347	sim8	rep1	rd3	nopos
DIMSUM_effects	14	0.254462229270292	0.1729819366056085	sim8	rep1	rd3	nopos
ENRICH2_effects	0	0.5299600824555288	0.23556836677205223	sim9	rep1	rd3	nopos
ROSACE_effects	2	0.481984984554615	0.26491339069396275	sim9	rep1	rd3	nopos
ROSACENP_effects	2	0.4040801161451207	0.2638693609545704	sim9	rep1	rd3	nopos
SLR_effects	2	0.5916955080512598	0.27551691848532495	sim9	rep1	rd3	nopos
EDGER_effects	0	0.6184463344810022	0.27480365364857606	sim9	rep1	rd3	nopos
LIMMA_effects	0	0.6131118826207876	0.2802530383903965	sim9	rep1	rd3	nopos
DIMSUM_effects	10	0.2112057209761519	0.17279134067684976	sim9	rep1	rd3	nopos
ENRICH2_effects	0	0.783844618032497	0.29700230606400135	sim1	rep3	rd1	nopos
ROSACE_effects	0	0.8260951198321416	0.2967008467557795	sim1	rep3	rd1	nopos
ROSACENP_effects	0	0.7686889919784744	0.29695301927742473	sim1	rep3	rd1	nopos
SLR_effects	0	0.7907790018653172	0.2969882475075454	sim1	rep3	rd1	nopos
EDGER_effects	0	0.7938836308330518	0.29367446097225586	sim1	rep3	rd1	nopos
LIMMA_effects	0	0.7846976349341619	0.2969998173701807	sim1	rep3	rd1	nopos
DIMSUM_effects	53	0.4005683283964041	0.1539583678195959	sim1	rep3	rd1	nopos
ENRICH2_effects	0	0.7861958075673765	0.3021106926233116	sim10	rep3	rd1	nopos
ROSACE_effects	0	0.8178495151994238	0.30190901028209033	sim10	rep3	rd1	nopos
ROSACENP_effects	0	0.7662208139997919	0.30200910517027424	sim10	rep3	rd1	nopos
SLR_effects	0	0.7898416092647544	0.30209366769200285	sim10	rep3	rd1	nopos
EDGER_effects	0	0.7968068897608324	0.3013879704297261	sim10	rep3	rd1	nopos
LIMMA_effects	0	0.7852570602030986	0.30209795445456566	sim10	rep3	rd1	nopos
DIMSUM_effects	49	0.4619539992488333	0.16791661946702313	sim10	rep3	rd1	nopos
ENRICH2_effects	0	0.7658626514014379	0.28268242794848614	sim2	rep3	rd1	nopos
ROSACE_effects	0	0.8165248868966763	0.2827740342633198	sim2	rep3	rd1	nopos
ROSACENP_effects	0	0.7591228982896435	0.28260393308400966	sim2	rep3	rd1	nopos
SLR_effects	0	0.7749628345741033	0.2826580620430805	sim2	rep3	rd1	nopos
EDGER_effects	0	0.786410650400485	0.28141639890011533	sim2	rep3	rd1	nopos
LIMMA_effects	0	0.7651464292485103	0.28251663385300885	sim2	rep3	rd1	nopos
