test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim	rep	rd	mode
ENRICH2_tests	0.02704678362573099	0.00328947368421052	0.6125730994152047	0.3570906432748538	0	0.9577142857142856	0.891566265060241	0.005	sim1	rep1	rd1	nopos
ROSACE_tests	0.02777777777777777	0.00109649122807017	0.21929824561403508	0.7503654970760234	0.00146198830409356	0.8875739644970415	0.9620253164556962	0.005	sim1	rep1	rd1	nopos
ROSACENP_tests	0.02631578947368421	0.00255847953216374	0.19919590643274857	0.77046783625731	0.00146198830409356	0.8833063209076175	0.9113924050632912	0.005	sim1	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim1	rep1	rd1	nopos
DIMSUM_tests	0.00584795321637426	7.309941520467836e-4	0.625	0.3435672514619883	0.02485380116959064	0.9907300115874856	0.8888888888888888	0.005	sim1	rep1	rd1	nopos
ENRICH2_tests	0.02850877192982456	0.00182748538011695	0.6341374269005848	0.3355263157894737	0	0.956977385548814	0.9397590361445785	0.01	sim1	rep1	rd1	nopos
ROSACE_tests	0.02777777777777777	0.00109649122807017	0.25	0.7196637426900585	0.00146198830409356	0.8999999999999999	0.9620253164556962	0.01	sim1	rep1	rd1	nopos
ROSACENP_tests	0.02631578947368421	0.00255847953216374	0.22660818713450293	0.7430555555555556	0.00146198830409356	0.8959537572254336	0.9113924050632912	0.01	sim1	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim1	rep1	rd1	nopos
DIMSUM_tests	0.00621345029239766	3.654970760233918e-4	0.6502192982456141	0.31834795321637427	0.02485380116959064	0.9905345211581292	0.9444444444444444	0.01	sim1	rep1	rd1	nopos
ENRICH2_tests	0.02997076023391812	3.654970760233918e-4	0.7178362573099415	0.25182748538011696	0	0.959921798631476	0.9879518072289156	0.05	sim1	rep1	rd1	nopos
ROSACE_tests	0.02814327485380116	7.309941520467836e-4	0.3706140350877193	0.5990497076023392	0.00146198830409356	0.92942254812099	0.9746835443037974	0.05	sim1	rep1	rd1	nopos
ROSACENP_tests	0.02814327485380116	7.309941520467836e-4	0.34978070175438597	0.6198830409356725	0.00146198830409356	0.925531914893617	0.9746835443037974	0.05	sim1	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim1	rep1	rd1	nopos
DIMSUM_tests	0.00621345029239766	3.654970760233918e-4	0.7328216374269005	0.23574561403508773	0.02485380116959064	0.9915924826904056	0.9444444444444444	0.05	sim1	rep1	rd1	nopos
ENRICH2_tests	0.02997076023391812	3.654970760233918e-4	0.7591374269005848	0.21052631578947367	0	0.9620194534506716	0.9879518072289156	0.1	sim1	rep1	rd1	nopos
ROSACE_tests	0.02814327485380116	7.309941520467836e-4	0.44627192982456143	0.5233918128654971	0.00146198830409356	0.9406779661016949	0.9746835443037974	0.1	sim1	rep1	rd1	nopos
ROSACENP_tests	0.02814327485380116	7.309941520467836e-4	0.4294590643274854	0.5402046783625731	0.00146198830409356	0.9384984025559104	0.9746835443037974	0.1	sim1	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.1	sim1	rep1	rd1	nopos
DIMSUM_tests	0.00621345029239766	3.654970760233918e-4	0.7701023391812866	0.19846491228070176	0.02485380116959064	0.9919962335216572	0.9444444444444444	0.1	sim1	rep1	rd1	nopos
ENRICH2_tests	0.02741228070175438	0.00402046783625731	0.6067251461988304	0.3618421052631579	0	0.956772334293948	0.872093023255814	0.005	sim10	rep1	rd1	nopos
ROSACE_tests	0.02923976608187134	0.00182748538011695	0.21966374269005848	0.748172514619883	0.00109649122807017	0.882525697503671	0.9411764705882352	0.005	sim10	rep1	rd1	nopos
ROSACENP_tests	0.02850877192982456	0.00255847953216374	0.1988304093567251	0.7690058479532164	0.00109649122807017	0.8745980707395498	0.9176470588235294	0.005	sim10	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim10	rep1	rd1	nopos
DIMSUM_tests	0.00621345029239766	7.309941520467836e-4	0.6275584795321637	0.3399122807017544	0.02558479532163742	0.9901960784313726	0.8947368421052632	0.005	sim10	rep1	rd1	nopos
ENRICH2_tests	0.02923976608187134	0.00219298245614035	0.6348684210526315	0.3336988304093567	0	0.9559713813979086	0.9302325581395348	0.01	sim10	rep1	rd1	nopos
ROSACE_tests	0.02923976608187134	0.00182748538011695	0.2580409356725146	0.7097953216374269	0.00109649122807017	0.8982188295165394	0.9411764705882352	0.01	sim10	rep1	rd1	nopos
ROSACENP_tests	0.02887426900584795	0.00219298245614035	0.2379385964912281	0.7298976608187134	0.00109649122807017	0.8917808219178083	0.9294117647058824	0.01	sim10	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim10	rep1	rd1	nopos
DIMSUM_tests	0.00621345029239766	7.309941520467836e-4	0.6505847953216374	0.3168859649122807	0.02558479532163742	0.9905397885364498	0.8947368421052632	0.01	sim10	rep1	rd1	nopos
ENRICH2_tests	0.0310672514619883	3.654970760233918e-4	0.7086988304093568	0.2598684210526316	0	0.95800395256917	0.9883720930232558	0.05	sim10	rep1	rd1	nopos
ROSACE_tests	0.02997076023391812	0.00109649122807017	0.3709795321637427	0.5968567251461988	0.00109649122807017	0.9252506836827712	0.9647058823529412	0.05	sim10	rep1	rd1	nopos
ROSACENP_tests	0.029605263157894732	0.00146198830409356	0.3483187134502924	0.6195175438596491	0.00109649122807017	0.9216634429400388	0.9529411764705882	0.05	sim10	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim10	rep1	rd1	nopos
DIMSUM_tests	0.00657894736842105	3.654970760233918e-4	0.7225877192982456	0.2448830409356725	0.02558479532163742	0.9909774436090226	0.9473684210526316	0.05	sim10	rep1	rd1	nopos
ENRICH2_tests	0.0310672514619883	3.654970760233918e-4	0.7536549707602339	0.2149122807017544	0	0.96040987424313	0.9883720930232558	0.1	sim10	rep1	rd1	nopos
ROSACE_tests	0.02997076023391812	0.00109649122807017	0.44919590643274854	0.518640350877193	0.00109649122807017	0.9374523264683448	0.9647058823529412	0.1	sim10	rep1	rd1	nopos
ROSACENP_tests	0.02997076023391812	0.00109649122807017	0.42616959064327486	0.5416666666666666	0.00109649122807017	0.9342948717948718	0.9647058823529412	0.1	sim10	rep1	rd1	nopos
