test	num_na	corr_pearson	corr_spearman	sim	rep	rd	mode
ENRICH2_effects	0	0.7619203153398483	0.7635817422107003	sim1	rep1	rd1	nopos
ROSACE_effects	694	0.8134216339213929	0.7725148951019934	sim1	rep1	rd1	nopos
ROSACENP_effects	694	0.6128348833302137	0.7231851032031684	sim1	rep1	rd1	nopos
SLR_effects	694	0.8125602503886857	0.7720315097720443	sim1	rep1	rd1	nopos
DIMSUM_effects	2060	0.5194024472506349	0.42182479266611866	sim1	rep1	rd1	nopos
ENRICH2_effects	0	0.7550112803932101	0.7465673795774924	sim10	rep1	rd1	nopos
ROSACE_effects	721	0.8107460501102418	0.7617521140267075	sim10	rep1	rd1	nopos
ROSACENP_effects	721	0.6291799360751701	0.7195467183734542	sim10	rep1	rd1	nopos
SLR_effects	721	0.809636086037248	0.7613800817867097	sim10	rep1	rd1	nopos
DIMSUM_effects	2056	0.4652839271767477	0.36580136505072675	sim10	rep1	rd1	nopos
ENRICH2_effects	0	0.7653098894080974	0.7625301808550098	sim2	rep1	rd1	nopos
ROSACE_effects	697	0.811294861023769	0.7715432089482568	sim2	rep1	rd1	nopos
ROSACENP_effects	697	0.6372295921978928	0.7313214241200539	sim2	rep1	rd1	nopos
SLR_effects	697	0.8102901530173254	0.771015979886122	sim2	rep1	rd1	nopos
DIMSUM_effects	2043	0.5065617851010691	0.4240110407688006	sim2	rep1	rd1	nopos
ENRICH2_effects	0	0.7545787324660196	0.7587745520226297	sim3	rep1	rd1	nopos
ROSACE_effects	743	0.8098728211820827	0.7742925873408819	sim3	rep1	rd1	nopos
ROSACENP_effects	743	0.6093695418606531	0.728834615815469	sim3	rep1	rd1	nopos
SLR_effects	743	0.8090335451949757	0.7738526753822679	sim3	rep1	rd1	nopos
DIMSUM_effects	2099	0.5091509950942444	0.4165006457356206	sim3	rep1	rd1	nopos
ENRICH2_effects	0	0.7463667282315704	0.7542412908440184	sim4	rep1	rd1	nopos
ROSACE_effects	709	0.7973172883386809	0.7669815192758171	sim4	rep1	rd1	nopos
ROSACENP_effects	709	0.6035581862585883	0.7171133490708433	sim4	rep1	rd1	nopos
SLR_effects	709	0.7963446066421738	0.7665442900446612	sim4	rep1	rd1	nopos
DIMSUM_effects	2058	0.4650892016756056	0.40348212214955714	sim4	rep1	rd1	nopos
ENRICH2_effects	0	0.7441150039320581	0.7544472949590532	sim5	rep1	rd1	nopos
ROSACE_effects	754	0.7976142090786528	0.7736500296889959	sim5	rep1	rd1	nopos
ROSACENP_effects	754	0.6056603320914058	0.7297713587516053	sim5	rep1	rd1	nopos
SLR_effects	754	0.7964567976086677	0.7730098639299692	sim5	rep1	rd1	nopos
DIMSUM_effects	2159	0.4893890819678906	0.4006663924208728	sim5	rep1	rd1	nopos
ENRICH2_effects	0	0.7540301492107332	0.7479645125748304	sim6	rep1	rd1	nopos
ROSACE_effects	733	0.8104996905539522	0.7631262249685948	sim6	rep1	rd1	nopos
ROSACENP_effects	733	0.5933282036284773	0.7047546704507511	sim6	rep1	rd1	nopos
SLR_effects	733	0.8096788978207128	0.7628080541638781	sim6	rep1	rd1	nopos
DIMSUM_effects	2046	0.4772740150725842	0.39229085451921186	sim6	rep1	rd1	nopos
ENRICH2_effects	0	0.7604576720136622	0.7588177736844212	sim7	rep1	rd1	nopos
ROSACE_effects	715	0.8107317289849123	0.7755818610971029	sim7	rep1	rd1	nopos
ROSACENP_effects	715	0.6156401235222898	0.7290890838210969	sim7	rep1	rd1	nopos
SLR_effects	715	0.80998253645855	0.7753179278935719	sim7	rep1	rd1	nopos
DIMSUM_effects	2088	0.5124690528324364	0.4293170384809126	sim7	rep1	rd1	nopos
ENRICH2_effects	0	0.7558372887856791	0.7503469025609389	sim8	rep1	rd1	nopos
ROSACE_effects	732	0.8101245313128115	0.7675876070739102	sim8	rep1	rd1	nopos
ROSACENP_effects	732	0.5892723197123486	0.7032711272625679	sim8	rep1	rd1	nopos
SLR_effects	732	0.8088766064527729	0.7671121236444035	sim8	rep1	rd1	nopos
DIMSUM_effects	2029	0.4923312622004286	0.41157972412127863	sim8	rep1	rd1	nopos
ENRICH2_effects	0	0.7565963740980015	0.754763505385205	sim9	rep1	rd1	nopos
ROSACE_effects	684	0.8063577127895695	0.7721440634953518	sim9	rep1	rd1	nopos
ROSACENP_effects	684	0.6003854523434263	0.7139552409116631	sim9	rep1	rd1	nopos
SLR_effects	684	0.8053563766915481	0.7716756006285603	sim9	rep1	rd1	nopos
DIMSUM_effects	2042	0.511828928267622	0.4090677443873385	sim9	rep1	rd1	nopos
ENRICH2_effects	0	0.7303765373122294	0.6870384397659264	sim1	rep1	rd3	nopos
ROSACE_effects	385	0.8200820648176376	0.7797092763491008	sim1	rep1	rd3	nopos
ROSACENP_effects	385	0.6099422540375343	0.6962435205346309	sim1	rep1	rd3	nopos
SLR_effects	385	0.8010924681043274	0.774749520336923	sim1	rep1	rd3	nopos
EDGER_effects	0	0.7732230745286255	0.757049623157177	sim1	rep1	rd3	nopos
LIMMA_effects	0	0.7712332479993234	0.7672993396627665	sim1	rep1	rd3	nopos
DIMSUM_effects	876	0.47056306929821023	0.4342435394381449	sim1	rep1	rd3	nopos
ENRICH2_effects	0	0.7341396798114836	0.6663226124240541	sim10	rep1	rd3	nopos
ROSACE_effects	397	0.8199232349181087	0.7742518047963295	sim10	rep1	rd3	nopos
ROSACENP_effects	397	0.6187924982869714	0.7066806418139232	sim10	rep1	rd3	nopos
SLR_effects	397	0.7997261151302522	0.769440215505905	sim10	rep1	rd3	nopos
EDGER_effects	0	0.767550421388568	0.7440372103347114	sim10	rep1	rd3	nopos
LIMMA_effects	0	0.7704604460877936	0.7594936484426389	sim10	rep1	rd3	nopos
DIMSUM_effects	945	0.46301723744998013	0.4317347922752632	sim10	rep1	rd3	nopos
ENRICH2_effects	0	0.7295217548649088	0.6716145415578653	sim2	rep1	rd3	nopos
ROSACE_effects	367	0.819494911709437	0.7794314900087532	sim2	rep1	rd3	nopos
ROSACENP_effects	367	0.6154810552746182	0.7105046195146795	sim2	rep1	rd3	nopos
SLR_effects	367	0.8026058889395787	0.7762746767171339	sim2	rep1	rd3	nopos
EDGER_effects	0	0.7774040994650443	0.7598035445041846	sim2	rep1	rd3	nopos
LIMMA_effects	0	0.7775149038203871	0.7727306144434514	sim2	rep1	rd3	nopos
DIMSUM_effects	913	0.4817304486006808	0.4431615689365302	sim2	rep1	rd3	nopos
ENRICH2_effects	0	0.7445678433873328	0.6847239779757576	sim3	rep1	rd3	nopos
ROSACE_effects	379	0.8213773902223032	0.7751974013458904	sim3	rep1	rd3	nopos
ROSACENP_effects	379	0.595323682769953	0.6892524880307084	sim3	rep1	rd3	nopos
SLR_effects	379	0.8021996532413742	0.7721849830728312	sim3	rep1	rd3	nopos
EDGER_effects	0	0.7744172671802361	0.7487662490546829	sim3	rep1	rd3	nopos
LIMMA_effects	0	0.779153960855968	0.7647879296310462	sim3	rep1	rd3	nopos
DIMSUM_effects	859	0.4793491611067339	0.4399567764915208	sim3	rep1	rd3	nopos
ENRICH2_effects	0	0.7350785286435612	0.6814998872050715	sim4	rep1	rd3	nopos
ROSACE_effects	389	0.8201266868186837	0.7789154023408489	sim4	rep1	rd3	nopos
ROSACENP_effects	389	0.6008751483083495	0.6924528299953282	sim4	rep1	rd3	nopos
SLR_effects	389	0.7991641785587453	0.7742207881527897	sim4	rep1	rd3	nopos
EDGER_effects	0	0.7748952582749303	0.7540819499810145	sim4	rep1	rd3	nopos
LIMMA_effects	0	0.7683392143627347	0.7645004256532099	sim4	rep1	rd3	nopos
DIMSUM_effects	894	0.4750551529869568	0.43954368546877975	sim4	rep1	rd3	nopos
ENRICH2_effects	0	0.7289958344243387	0.6816890293532978	sim5	rep1	rd3	nopos
ROSACE_effects	414	0.819957078960709	0.7888861327410788	sim5	rep1	rd3	nopos
ROSACENP_effects	414	0.594661397413477	0.6987911287232461	sim5	rep1	rd3	nopos
SLR_effects	414	0.8006336870452186	0.784711076371732	sim5	rep1	rd3	nopos
EDGER_effects	0	0.7601041013736527	0.7538498495243652	sim5	rep1	rd3	nopos
LIMMA_effects	0	0.7634645813613891	0.7704060017841061	sim5	rep1	rd3	nopos
DIMSUM_effects	939	0.49914182971393994	0.47534203897483374	sim5	rep1	rd3	nopos
ENRICH2_effects	0	0.73679171264104	0.6811496083593452	sim6	rep1	rd3	nopos
