test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim	rep	rd	mode
ENRICH2_tests	0.3164094906255185	0.10635473701675792	0.38078646092583374	0.19644931143188984	0	0.5461684911946693	0.7484301412872841	0.005	sim1	rep1	rd1	nopos
ROSACE_tests	0.30744980919196946	0.03252032520325203	0.19445827111332337	0.3504230960676954	0.11514849842375977	0.3874380165289256	0.9043435822352368	0.005	sim1	rep1	rd1	nopos
ROSACENP_tests	0.01775344284055085	0.32221669155467064	0.01277584204413472	0.532105525136884	0.11514849842375977	0.4184782608695652	0.05222059541239629	0.005	sim1	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim1	rep1	rd1	nopos
DIMSUM_tests	0.09623361539737846	0.02057408329185332	0.3756429401028704	0.16575410652065703	0.34179525468724076	0.7960618846694796	0.8238636363636364	0.005	sim1	rep1	rd1	nopos
ENRICH2_tests	0.33515845362535257	0.08760577401692385	0.39605110336817656	0.18118466898954705	0	0.5416383027002497	0.7927786499215072	0.01	sim1	rep1	rd1	nopos
ROSACE_tests	0.3096067695370831	0.03036336485813837	0.2147005143520823	0.33018085282893644	0.11514849842375977	0.409493670886076	0.9106881405563688	0.01	sim1	rep1	rd1	nopos
ROSACENP_tests	0.02007632321221171	0.3198938111830098	0.0155964824954372	0.5292848846855815	0.11514849842375977	0.4372093023255814	0.05905319668130796	0.01	sim1	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim1	rep1	rd1	nopos
DIMSUM_tests	0.0975609756097561	0.01924672307947569	0.3904098224655716	0.15098722415795587	0.34179525468724076	0.8000680040802448	0.8352272727272727	0.01	sim1	rep1	rd1	nopos
ENRICH2_tests	0.3650240584038493	0.05774016923842708	0.4405176704828273	0.1367181018748963	0	0.5468589083419155	0.8634222919937206	0.05	sim1	rep1	rd1	nopos
ROSACE_tests	0.31508213041314087	0.02488800398208063	0.27990708478513354	0.26497428239588516	0.11514849842375977	0.4704406023424428	0.9267935578330894	0.05	sim1	rep1	rd1	nopos
ROSACENP_tests	0.03683424589347934	0.30313588850174217	0.03019744483159117	0.5146839223494276	0.11514849842375977	0.45049504950495056	0.1083455344070278	0.05	sim1	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim1	rep1	rd1	nopos
DIMSUM_tests	0.10253857640617224	0.01426912228305956	0.42790774846523977	0.1134892981582877	0.34179525468724076	0.8066937754144511	0.8778409090909091	0.05	sim1	rep1	rd1	nopos
ENRICH2_tests	0.37282229965156793	0.04994192799070848	0.4610917537746806	0.11614401858304298	0	0.552924791086351	0.881868131868132	0.1	sim1	rep1	rd1	nopos
ROSACE_tests	0.320059731209557	0.0199104031856645	0.31275925004148003	0.23212211713953873	0.11514849842375977	0.4942317776612481	0.9414348462664714	0.1	sim1	rep1	rd1	nopos
ROSACENP_tests	0.04994192799070848	0.29002820640451304	0.04214368674298988	0.5027376804380289	0.11514849842375977	0.4576576576576577	0.14690092728160078	0.1	sim1	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.1	sim1	rep1	rd1	nopos
DIMSUM_tests	0.10486145677783308	0.0119462419113987	0.44698855151816824	0.09440849510535922	0.34179525468724076	0.809981960312688	0.8977272727272727	0.1	sim1	rep1	rd1	nopos
ENRICH2_tests	0.30180852828936455	0.11232785797245728	0.3880869420939107	0.19777667164426743	0	0.5625300625300624	0.7287660256410257	0.005	sim10	rep1	rd1	nopos
ROSACE_tests	0.2976605276256844	0.03484320557491289	0.20408163265306123	0.3437862950058072	0.11962833914053426	0.40674603174603174	0.8952095808383234	0.005	sim10	rep1	rd1	nopos
ROSACENP_tests	0.02107184337149494	0.31143188982910236	0.02123776339804214	0.5266301642608263	0.11962833914053426	0.5019607843137255	0.06337325349301398	0.005	sim10	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim10	rep1	rd1	nopos
DIMSUM_tests	0.08826945412311266	0.02040816326530612	0.3879210220673635	0.16226978596316574	0.3411315745810519	0.8146341463414634	0.8122137404580153	0.005	sim10	rep1	rd1	nopos
ENRICH2_tests	0.3198938111830098	0.094242575078812	0.4066699850671976	0.1791936286709806	0	0.5597168303265585	0.7724358974358975	0.01	sim10	rep1	rd1	nopos
ROSACE_tests	0.3001493280238925	0.03235440517670483	0.2226646756263481	0.3252032520325203	0.11962833914053426	0.42589654078070455	0.902694610778443	0.01	sim10	rep1	rd1	nopos
ROSACENP_tests	0.02273104363696698	0.30977268956363035	0.02538576406172225	0.5224821635971462	0.11962833914053426	0.5275862068965518	0.0683632734530938	0.01	sim10	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim10	rep1	rd1	nopos
DIMSUM_tests	0.0902604944416791	0.01841712294673967	0.3995354239256678	0.15065538410486146	0.3411315745810519	0.8157181571815718	0.8305343511450382	0.01	sim10	rep1	rd1	nopos
ENRICH2_tests	0.351750456280073	0.0623859299817488	0.44715447154471544	0.13870914219346275	0	0.5597092419522326	0.8493589743589743	0.05	sim10	rep1	rd1	nopos
ROSACE_tests	0.30728388916542226	0.02521984403517504	0.2814003650240584	0.26646756263481003	0.11962833914053426	0.47801578354002255	0.9241516966067864	0.05	sim10	rep1	rd1	nopos
ROSACENP_tests	0.03268624522979924	0.2998174879707981	0.0431392069022731	0.5047287207565954	0.11962833914053426	0.5689277899343544	0.09830339321357284	0.05	sim10	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim10	rep1	rd1	nopos
DIMSUM_tests	0.09440849510535922	0.01426912228305956	0.4338808694209391	0.11630993860959016	0.3411315745810519	0.8212939698492462	0.8687022900763358	0.05	sim10	rep1	rd1	nopos
ENRICH2_tests	0.36618549858967975	0.04795088767214203	0.46971959515513517	0.11614401858304298	0	0.5619293370385074	0.8842147435897436	0.1	sim10	rep1	rd1	nopos
ROSACE_tests	0.31159780985564955	0.02090592334494773	0.32171893147502906	0.22614899618383935	0.11962833914053426	0.5079905685093006	0.937125748502994	0.1	sim10	rep1	rd1	nopos
ROSACENP_tests	0.04562800730048116	0.2868757259001161	0.05657872905259665	0.4912891986062718	0.11962833914053426	0.5535714285714286	0.13722554890219563	0.1	sim10	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.1	sim10	rep1	rd1	nopos
DIMSUM_tests	0.09739505558320888	0.01128256180520988	0.4529616724738676	0.09722913555666168	0.3411315745810519	0.8230328610189931	0.8961832061068703	0.1	sim10	rep1	rd1	nopos
ENRICH2_tests	0.30595652895304465	0.10817985730877716	0.3824456611913058	0.2034179525468724	0	0.5555555555555556	0.7387820512820513	0.005	sim2	rep1	rd1	nopos
ROSACE_tests	0.29915380786460927	0.03218848515015762	0.1954537912726066	0.35755765720922517	0.11564625850340136	0.3951694062395169	0.9028542814221332	0.005	sim2	rep1	rd1	nopos
ROSACENP_tests	0.01377136220341795	0.3175709308113489	0.01526464244234279	0.537746806039489	0.11564625850340136	0.5257142857142857	0.04156234351527291	0.005	sim2	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim2	rep1	rd1	nopos
DIMSUM_tests	0.0897627343620375	0.02024224323875892	0.3782976605276257	0.17272274763563963	0.3389746142359383	0.8082240340304856	0.8159879336349924	0.005	sim2	rep1	rd1	nopos
ENRICH2_tests	0.32586693213870915	0.08826945412311266	0.40019910403185666	0.18566450970632156	0	0.5511882998171846	0.7868589743589743	0.01	sim2	rep1	rd1	nopos
ROSACE_tests	0.3013107682097229	0.03003152480504397	0.2158619545379127	0.337149493943919	0.11564625850340136	0.41738851459736925	0.9093640460691036	0.01	sim2	rep1	rd1	nopos
ROSACENP_tests	0.01725568276090924	0.31408661025385765	0.01891488302638128	0.5340965654554505	0.11564625850340136	0.5229357798165137	0.05207811717576365	0.01	sim2	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim2	rep1	rd1	nopos
DIMSUM_tests	0.09175377468060394	0.01825120292019247	0.39372822299651566	0.15729218516674962	0.3389746142359383	0.8110047846889952	0.8340874811463046	0.01	sim2	rep1	rd1	nopos
ENRICH2_tests	0.3607101377136221	0.05342624854819976	0.4489795918367347	0.1368840219014435	0	0.5545081967213115	0.8709935897435898	0.05	sim2	rep1	rd1	nopos
ROSACE_tests	0.3082794093247055	0.02306288369006139	0.27924340467894476	0.273768043802887	0.11564625850340136	0.4752894662524711	0.9303955933900852	0.05	sim2	rep1	rd1	nopos
ROSACENP_tests	0.03086112493777999	0.3004811680769869	0.03086112493777999	0.5221503235440518	0.11564625850340136	0.5	0.09313970956434652	0.05	sim2	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim2	rep1	rd1	nopos
DIMSUM_tests	0.09706321553011447	0.01294176207068193	0.4362037497926	0.11481665837066532	0.3389746142359383	0.8179838207840697	0.8823529411764707	0.05	sim2	rep1	rd1	nopos
ENRICH2_tests	0.3693379790940767	0.04479840716774515	0.4698855151816824	0.11597809855649575	0	0.5599051008303677	0.8918269230769231	0.1	sim2	rep1	rd1	nopos
ROSACE_tests	0.3134229301476688	0.01791936286709805	0.3165754106520657	0.23643603782976605	0.11564625850340136	0.5025019752436134	0.9459188783174762	0.1	sim2	rep1	rd1	nopos
ROSACENP_tests	0.04861456777833084	0.282727725236436	0.04446656711465074	0.508544881367181	0.11564625850340136	0.4777183600713013	0.14672008012018026	0.1	sim2	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.1	sim2	rep1	rd1	nopos
DIMSUM_tests	0.09938609590177534	0.01061888169902107	0.4534594325535092	0.0975609756097561	0.3389746142359383	0.8202280912364946	0.9034690799396682	0.1	sim2	rep1	rd1	nopos
ENRICH2_tests	0.311929649908744	0.109673137547702	0.3721586195453791	0.20623859299817487	0	0.5440213436817851	0.7398661944116489	0.005	sim3	rep1	rd1	nopos
ROSACE_tests	0.30197444831591175	0.03401360544217687	0.19844035175045627	0.34229301476688234	0.12327857972457276	0.39655172413793105	0.8987654320987655	0.005	sim3	rep1	rd1	nopos
ROSACENP_tests	0.01808528289364526	0.31790277086444335	0.01692384270781483	0.5238095238095238	0.12327857972457276	0.4834123222748816	0.05382716049382716	0.005	sim3	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim3	rep1	rd1	nopos
DIMSUM_tests	0.09158785465405676	0.0199104031856645	0.3691720590675294	0.17106354737016757	0.3482661357225817	0.8012243428159884	0.8214285714285715	0.005	sim3	rep1	rd1	nopos
ENRICH2_tests	0.3253691720590675	0.09623361539737846	0.3899120623859299	0.188485150157624	0	0.5451171421943865	0.7717434081070444	0.01	sim3	rep1	rd1	nopos
ROSACE_tests	0.30363364858138375	0.03235440517670483	0.21685747469719596	0.3238758918201427	0.12327857972457276	0.4166401020082882	0.9037037037037036	0.01	sim3	rep1	rd1	nopos
ROSACENP_tests	0.01941264310602289	0.3165754106520657	0.02289696366351418	0.5178364028538245	0.12327857972457276	0.5411764705882353	0.05777777777777777	0.01	sim3	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim3	rep1	rd1	nopos
DIMSUM_tests	0.0939107350257176	0.01758752281400365	0.3836071013771362	0.1566285050605608	0.3482661357225817	0.8033356497567755	0.8422619047619048	0.01	sim3	rep1	rd1	nopos
ENRICH2_tests	0.3636966981914717	0.05790608926497428	0.4368674298987888	0.14152978264476523	0	0.545699481865285	0.8626524990161354	0.05	sim3	rep1	rd1	nopos
ROSACE_tests	0.31060228969636633	0.02538576406172225	0.274597643935623	0.26613572258171564	0.12327857972457276	0.46923731216331166	0.9244444444444444	0.05	sim3	rep1	rd1	nopos
ROSACENP_tests	0.03235440517670483	0.30363364858138375	0.03948896631823461	0.501244400199104	0.12327857972457276	0.5496535796766744	0.0962962962962963	0.05	sim3	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim3	rep1	rd1	nopos
DIMSUM_tests	0.09888833582213372	0.01260992201758752	0.4222664675626348	0.11796913887506222	0.3482661357225817	0.810251512257243	0.8869047619047619	0.05	sim3	rep1	rd1	nopos
ENRICH2_tests	0.3716608594657375	0.04994192799070848	0.45876887340301975	0.11962833914053426	0	0.5524475524475524	0.8815426997245179	0.1	sim3	rep1	rd1	nopos
ROSACE_tests	0.3149162103865937	0.02107184337149494	0.30595652895304465	0.234776837564294	0.12327857972457276	0.4927846071619455	0.937283950617284	0.1	sim3	rep1	rd1	nopos
ROSACENP_tests	0.04197776671644267	0.29401028704164595	0.0507715281234445	0.4899618383938941	0.12327857972457276	0.5474060822898033	0.12493827160493828	0.1	sim3	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.1	sim3	rep1	rd1	nopos
DIMSUM_tests	0.10121121619379458	0.01028704164592666	0.4408495105359217	0.09938609590177534	0.3482661357225817	0.8132843587389043	0.9077380952380952	0.1	sim3	rep1	rd1	nopos
ENRICH2_tests	0.31541397046623526	0.10237265637962502	0.38592998174879706	0.19628339140534265	0	0.5502720605630471	0.7549642573471009	0.005	sim4	rep1	rd1	nopos
ROSACE_tests	0.30247220839555333	0.0315248050439688	0.20789779326364696	0.34046789447486314	0.1176372988219678	0.4073472041612484	0.9056135121708891	0.005	sim4	rep1	rd1	nopos
ROSACENP_tests	0.01659200265472042	0.3174050107848017	0.01144848183175709	0.536917205906753	0.1176372988219678	0.4082840236686391	0.04967709885742673	0.005	sim4	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim4	rep1	rd1	nopos
DIMSUM_tests	0.0935788949726232	0.01858304297328687	0.38028870084619215	0.16608594657375145	0.34146341463414637	0.8025210084033614	0.834319526627219	0.005	sim4	rep1	rd1	nopos
ENRICH2_tests	0.33383109341297496	0.08395553343288535	0.40185830429732866	0.18035506885681105	0	0.546233649075327	0.7990468625893566	0.01	sim4	rep1	rd1	nopos
