test	num_na	corr_pearson	corr_spearman	sim	rep	rd	mode
ENRICH2_effects	0	0.794071612402051	0.6857194857443615	sim1	rep1	rd1	nopos
ROSACE_effects	0	0.7825308762198178	0.6842378014458378	sim1	rep1	rd1	nopos
ROSACENP_effects	0	0.6685553409468867	0.6560559907181236	sim1	rep1	rd1	nopos
SLR_effects	0	0.794071612402051	0.6857194857443615	sim1	rep1	rd1	nopos
DIMSUM_effects	10	0.7927466290685997	0.6858656408015987	sim1	rep1	rd1	nopos
ENRICH2_effects	0	0.785023893237337	0.6814039760978122	sim10	rep1	rd1	nopos
ROSACE_effects	0	0.7737568189775866	0.6800240646283922	sim10	rep1	rd1	nopos
ROSACENP_effects	0	0.6588178624526299	0.6504819680537177	sim10	rep1	rd1	nopos
SLR_effects	0	0.785023893237337	0.6814039760978122	sim10	rep1	rd1	nopos
DIMSUM_effects	11	0.7833015309871393	0.6815583627091341	sim10	rep1	rd1	nopos
ENRICH2_effects	0	0.7801330887491751	0.6569546290819499	sim2	rep1	rd1	nopos
ROSACE_effects	1	0.7568054533728368	0.65413751882169	sim2	rep1	rd1	nopos
ROSACENP_effects	1	0.6737035618460794	0.6374264261419063	sim2	rep1	rd1	nopos
SLR_effects	1	0.7801650211208822	0.6569756317979903	sim2	rep1	rd1	nopos
DIMSUM_effects	5	0.7783238328354847	0.6569952674159665	sim2	rep1	rd1	nopos
ENRICH2_effects	0	0.7851159609856619	0.6758229491273664	sim3	rep1	rd1	nopos
ROSACE_effects	1	0.7723368496325936	0.673883433382036	sim3	rep1	rd1	nopos
ROSACENP_effects	1	0.682558719463686	0.6540172957454096	sim3	rep1	rd1	nopos
SLR_effects	1	0.7851162223328405	0.6758439588282505	sim3	rep1	rd1	nopos
DIMSUM_effects	8	0.7834902808489073	0.675912187502003	sim3	rep1	rd1	nopos
ENRICH2_effects	0	0.7906858757713375	0.6856027966019113	sim4	rep1	rd1	nopos
ROSACE_effects	0	0.780352734958192	0.6844039518004754	sim4	rep1	rd1	nopos
ROSACENP_effects	0	0.6825526343755468	0.6628393190766714	sim4	rep1	rd1	nopos
SLR_effects	0	0.7906858757713375	0.6856027959063071	sim4	rep1	rd1	nopos
DIMSUM_effects	10	0.7896776644703014	0.6857477246002731	sim4	rep1	rd1	nopos
ENRICH2_effects	0	0.7885823771523041	0.6800442286570346	sim5	rep1	rd1	nopos
ROSACE_effects	2	0.7741253803751043	0.6782883957175068	sim5	rep1	rd1	nopos
ROSACENP_effects	2	0.6767770266057205	0.655801414199186	sim5	rep1	rd1	nopos
SLR_effects	2	0.7886130391092065	0.6800865279864496	sim5	rep1	rd1	nopos
DIMSUM_effects	7	0.7862163062241724	0.68013008424149	sim5	rep1	rd1	nopos
ENRICH2_effects	0	0.7896824132821747	0.6758651400268677	sim6	rep1	rd1	nopos
ROSACE_effects	2	0.7755354557735852	0.673887704893082	sim6	rep1	rd1	nopos
ROSACENP_effects	2	0.6599324452969455	0.6459591573761416	sim6	rep1	rd1	nopos
SLR_effects	2	0.7897087756052659	0.6759071806192962	sim6	rep1	rd1	nopos
DIMSUM_effects	5	0.7865722865979838	0.6759098319310941	sim6	rep1	rd1	nopos
ENRICH2_effects	0	0.7896561552191711	0.680364101968792	sim7	rep1	rd1	nopos
ROSACE_effects	0	0.7730273465286631	0.678107649595366	sim7	rep1	rd1	nopos
ROSACENP_effects	0	0.6677648951007986	0.6530779870933505	sim7	rep1	rd1	nopos
SLR_effects	0	0.7896561552191711	0.680364101968792	sim7	rep1	rd1	nopos
DIMSUM_effects	9	0.788147207040049	0.6804970937642495	sim7	rep1	rd1	nopos
ENRICH2_effects	0	0.7841051217000847	0.6629022960128883	sim8	rep1	rd1	nopos
ROSACE_effects	0	0.7641137915061414	0.6606043214922106	sim8	rep1	rd1	nopos
ROSACENP_effects	0	0.6699928197866041	0.6401546446762748	sim8	rep1	rd1	nopos
SLR_effects	0	0.7841051217000847	0.6629022960128883	sim8	rep1	rd1	nopos
DIMSUM_effects	7	0.7822876216050306	0.6629843083151395	sim8	rep1	rd1	nopos
ENRICH2_effects	0	0.7867062055212061	0.6738393436223323	sim9	rep1	rd1	nopos
ROSACE_effects	0	0.7717056001553725	0.6718967582512843	sim9	rep1	rd1	nopos
ROSACENP_effects	0	0.6616461658663156	0.6461183523490595	sim9	rep1	rd1	nopos
SLR_effects	0	0.7867062055212061	0.6738393436223323	sim9	rep1	rd1	nopos
DIMSUM_effects	8	0.7851877333961783	0.6739366411510416	sim9	rep1	rd1	nopos
