test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim	rep	rd	mode
ENRICH2_tests	0.1978804437820831	1.6559032952475575e-4	0.309157145222719	0.4927968206656731	0	0.6097322011757021	0.9991638795986622	0.005	sim1	rep1	rd1	nopos
ROSACE_tests	0.18827620466964728	0.00976982944196059	0.17146878622288458	0.6304851796655075	0	0.4766398158803222	0.9506688963210702	0.005	sim1	rep1	rd1	nopos
ROSACENP_tests	0.08113926146713032	0.11690677264447756	0.1768504719324391	0.625103493955953	0	0.6854942233632864	0.40969899665551845	0.005	sim1	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim1	rep1	rd1	nopos
DIMSUM_tests	0.1978804437820831	1.6559032952475575e-4	0.34591819837721477	0.4552078158635536	8.279516476237788e-4	0.6361144945188794	0.9991638795986622	0.005	sim1	rep1	rd1	nopos
ENRICH2_tests	0.1978804437820831	1.6559032952475575e-4	0.3474085113429376	0.4545454545454546	0	0.6371090191314911	0.9991638795986622	0.01	sim1	rep1	rd1	nopos
ROSACE_tests	0.1912568306010929	0.00678920351051498	0.2006126842192416	0.6013412816691506	0	0.511937460384534	0.9657190635451504	0.01	sim1	rep1	rd1	nopos
ROSACENP_tests	0.0962079814538831	0.1018380526577248	0.20491803278688525	0.5970359331015068	0	0.6805059114654936	0.4857859531772576	0.01	sim1	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim1	rep1	rd1	nopos
DIMSUM_tests	0.1978804437820831	1.6559032952475575e-4	0.3799470110945521	0.42117900314621626	8.279516476237788e-4	0.6575440607536897	0.9991638795986622	0.01	sim1	rep1	rd1	nopos
ENRICH2_tests	0.1978804437820831	1.6559032952475575e-4	0.44187779433681074	0.3600761715515814	0	0.6906949657046719	0.9991638795986622	0.05	sim1	rep1	rd1	nopos
ROSACE_tests	0.19696969696969696	0.00107633714191091	0.30096042391124356	0.5009935419771485	0	0.6044230129697372	0.9945652173913044	0.05	sim1	rep1	rd1	nopos
ROSACENP_tests	0.13164431197218082	0.06640172213942706	0.3053485676436496	0.4966053982447425	0	0.6987495263357332	0.6647157190635452	0.05	sim1	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim1	rep1	rd1	nopos
DIMSUM_tests	0.1978804437820831	1.6559032952475575e-4	0.47184964398079154	0.3292763702599768	8.279516476237788e-4	0.7045370255903078	0.9991638795986622	0.05	sim1	rep1	rd1	nopos
ENRICH2_tests	0.1979632389468455	8.279516476237788e-5	0.49155489319423745	0.3103990726941547	0	0.7128962536023055	0.9995819397993312	0.1	sim1	rep1	rd1	nopos
ROSACE_tests	0.197632058287796	4.139758238118894e-4	0.36545785726113594	0.4364961086272562	0	0.6490222026172622	0.9979096989966556	0.1	sim1	rep1	rd1	nopos
