	count
_wt	24778
var0001	124
var0002	99
var0003	28
var0004	16
var0005	396
var0006	108
var0007	298
var0008	39
var0009	108
var0010	607
var0011	46
var0012	58
var0013	388
var0014	228
var0015	305
var0016	352
var0017	191
var0018	41
var0019	18
var0020	148
var0021	23
var0022	54
var0023	34
var0024	168
var0025	56
var0026	204
var0027	157
var0028	157
var0029	11
var0030	54
var0031	28
var0032	19
var0033	133
var0034	78
var0035	668
var0036	142
var0037	1007
var0038	24
var0039	174
var0040	272
var0041	101
var0042	371
var0043	91
var0044	301
var0045	46
var0046	12
var0047	53
var0048	266
var0049	197
var0050	14
var0051	74
var0052	133
var0053	57
var0054	242
var0055	154
var0056	15
var0057	55
var0058	68
var0059	315
var0060	395
var0061	182
var0062	578
var0063	22
var0064	70
var0065	300
var0066	172
var0067	137
var0068	58
var0069	124
var0070	136
var0071	136
var0072	194
var0073	650
var0074	159
var0075	420
var0076	125
var0077	66
var0078	135
var0079	32
var0080	19
var0081	8
var0082	200
var0083	246
var0084	158
var0085	460
var0086	64
var0087	14
var0088	340
var0089	39
var0090	326
var0091	46
var0092	30
var0093	62
var0094	3
var0095	479
var0096	347
var0097	104
var0098	139
var0099	328
var0100	92
var0101	142
var0102	81
var0103	22
var0104	260
var0105	12
var0106	393
var0107	42
var0108	481
var0109	26
var0110	16
var0111	272
var0112	178
var0113	257
var0114	85
var0115	428
var0116	99
var0117	194
var0118	667
var0119	236
var0120	84
var0121	196
var0122	201
var0123	150
var0124	418
var0125	152
var0126	84
var0127	99
var0128	220
var0129	79
var0130	68
var0131	328
var0132	496
var0133	46
var0134	29
var0135	233
var0136	105
var0137	145
var0138	202
var0139	115
var0140	45
var0141	77
var0142	320
var0143	356
var0144	26
var0145	59
var0146	22
var0147	249
var0148	61
var0149	45
var0150	188
var0151	34
var0152	25
var0153	26
var0154	250
var0155	77
var0156	82
var0157	317
var0158	61
var0159	120
var0160	14
var0161	69
var0162	31
var0163	114
var0164	207
var0165	49
var0166	29
var0167	209
var0168	327
var0169	81
var0170	96
var0171	415
var0172	215
var0173	2550
var0174	33
var0175	160
var0176	56
var0177	32
var0178	229
var0179	81
var0180	67
var0181	75
var0182	159
var0183	7
var0184	41
var0185	41
var0186	33
var0187	98
var0188	48
var0189	168
var0190	44
var0191	261
var0192	156
var0193	2
var0194	113
var0195	3396
var0196	68
var0197	14
var0198	236
var0199	4
var0200	154
var0202	65
var0203	51
var0204	231
var0205	24
var0206	39
var0207	429
var0208	105
var0209	211
var0210	92
var0211	113
var0212	779
var0213	980
var0214	463
var0215	11
var0216	65
var0217	135
var0218	32
var0219	226
var0220	203
var0221	1223
var0222	92
var0223	247
var0224	182
var0225	59
var0226	128
var0227	148
var0228	111
var0229	45
var0230	154
var0231	252
var0232	49
var0233	146
var0234	27
var0235	163
var0236	114
var0237	101
var0238	104
var0239	73
var0240	166
var0241	45
var0242	28
var0243	85
var0244	133
var0245	123
var0246	648
var0247	2533
var0248	163
var0249	131
var0250	177
var0251	126
var0252	47
var0253	184
var0254	265
var0255	41
var0256	7
var0257	182
var0258	145
var0259	487
var0260	161
var0261	174
var0262	308
var0263	83
var0264	284
var0265	513
var0266	155
var0267	174
var0268	145
var0269	802
var0270	136
var0271	363
var0272	249
var0273	86
var0274	270
var0275	44
var0276	299
var0277	11
var0278	494
var0279	46
var0280	617
var0281	143
var0282	105
var0283	439
var0284	57
var0285	72
var0286	407
var0287	8
var0288	68
var0289	151
var0290	29
var0291	68
var0292	242
var0293	124
var0294	21
var0295	29
var0296	83
var0297	87
var0298	110
