	count
_wt	23777
var0001	376
var0002	454
var0003	129
var0004	2998
var0005	87
var0006	202
var0007	275
var0008	111
var0009	34
var0010	110
var0011	58
var0012	58
var0013	120
var0014	160
var0015	84
var0016	50
var0017	122
var0018	174
var0019	71
var0020	354
var0021	291
var0022	124
var0023	24
var0024	362
var0025	20
var0026	41
var0027	45
var0028	126
var0029	41
var0030	34
var0031	152
var0032	117
var0033	65
var0034	83
var0035	98
var0036	20
var0037	44
var0038	289
var0039	311
var0040	153
var0041	95
var0042	37
var0043	164
var0044	635
var0045	203
var0046	1261
var0047	249
var0048	159
var0049	84
var0050	89
var0051	520
var0052	117
var0053	1118
var0054	1039
var0055	690
var0056	31
var0057	71
var0058	29
var0059	111
var0060	84
var0061	199
var0062	194
var0063	303
var0064	180
var0065	183
var0066	58
var0067	231
var0068	172
var0069	590
var0070	64
var0071	23
var0072	105
var0073	489
var0074	166
var0075	141
var0076	60
var0077	8
var0078	327
var0079	26
var0080	529
var0081	122
var0082	12
var0083	79
var0084	18
var0085	46
var0086	23
var0087	436
var0088	82
var0089	144
var0090	172
var0091	259
var0092	259
var0093	52
var0094	53
var0095	237
var0096	193
var0097	275
var0098	108
var0099	422
var0100	156
var0101	134
var0102	47
var0103	37
var0104	36
var0105	37
var0106	93
var0107	167
var0108	220
var0109	40
var0110	47
var0111	30
var0112	15
var0113	29
var0114	63
var0115	43
var0116	212
var0117	102
var0118	46
var0119	364
var0120	169
var0121	443
var0122	104
var0123	222
var0124	200
var0125	242
var0126	203
var0127	210
var0128	91
var0129	672
var0130	1001
var0131	29
var0132	421
var0133	322
var0134	32
var0135	124
var0136	42
var0137	46
var0138	67
var0139	101
var0140	71
var0141	261
var0142	176
var0143	120
var0144	72
var0145	122
var0146	99
var0147	33
var0148	101
var0149	39
var0150	58
var0151	23
var0152	90
var0153	787
var0154	70
var0155	90
var0156	346
var0157	318
var0158	170
var0159	34
var0160	90
var0161	65
var0162	247
var0163	913
var0164	319
var0165	75
var0166	208
var0167	387
var0168	12
var0169	105
var0170	218
var0171	151
var0172	328
var0173	301
var0174	88
var0175	13
var0176	20
var0177	140
var0178	62
var0179	600
var0180	60
var0181	547
var0182	199
var0183	1001
var0184	111
var0185	55
var0186	626
var0187	10
var0188	159
var0189	69
var0190	465
var0191	63
var0192	267
var0193	31
var0194	204
var0195	37
var0196	336
var0197	176
var0198	49
var0199	85
var0200	186
var0201	9874
var0202	84
var0203	344
var0204	167
var0205	136
var0206	137
var0207	167
var0208	244
var0209	148
var0210	181
var0211	107
var0212	110
var0213	312
var0214	1352
var0215	83
var0216	114
var0217	422
var0218	39
var0219	1207
var0220	51
var0221	147
var0222	31
var0223	13
var0224	257
var0225	382
var0226	65
var0227	21
var0228	120
var0229	36
var0230	67
var0231	32
var0232	77
var0233	22
var0234	75
var0235	232
var0236	33
var0237	118
var0238	528
var0239	215
var0240	92
var0241	323
var0242	154
var0243	72
var0244	110
var0245	608
var0246	117
var0247	122
var0248	142
var0249	54
var0250	21
var0251	77
var0252	534
var0253	54
var0254	417
var0255	254
var0256	592
var0257	159
var0258	47
var0259	107
var0260	299
var0261	88
var0262	174
var0263	117
var0264	114
var0265	345
var0266	174
var0267	406
var0268	29
var0269	37
var0270	27
var0271	135
var0272	70
var0273	136
var0274	29
var0275	645
var0276	30
var0277	62
var0278	65
var0279	149
var0280	195
var0281	192
var0282	135
var0283	88
var0284	146
var0285	49
var0286	213
var0287	117
var0288	734
var0289	174
var0290	142
var0291	180
var0292	111
var0293	63
var0294	482
var0295	26
var0296	424
var0297	131
var0298	141
var0299	332
var0300	248
var0301	773
var0302	30
var0303	179
var0304	65
var0305	128
var0306	366
var0307	930
var0308	51
var0309	324
var0310	74
var0311	110
var0312	1429
var0313	56
var0314	117
var0315	272
var0316	64
var0317	38
var0318	23
var0319	100
var0320	34
var0321	106
var0322	234
var0323	70
var0324	191
var0325	85
var0326	38
var0327	126
var0328	211
var0329	23
var0330	20
var0331	28
var0332	196
var0333	155
var0334	49
var0335	105
var0336	230
var0337	344
var0338	335
var0339	225
var0340	54
var0341	201
var0342	18
var0343	132
var0344	289
var0345	191
var0346	246
var0347	169
var0348	133
var0349	101
var0350	32
var0351	260
var0352	72
var0353	818
var0354	189
var0355	9
var0356	33
var0357	64
var0358	23
var0359	223
var0360	174
var0361	138
var0362	70
var0363	65
var0364	738
var0365	37
var0366	80
var0367	30
var0368	195
var0369	43
var0370	166
var0371	6
var0372	1705
var0373	180
var0374	96
var0375	90
var0376	12
var0377	161
var0378	58
var0379	73
var0380	85
var0381	56
var0382	128
var0383	237
var0384	15
var0385	97
var0386	148
var0387	55
var0388	35
var0389	56
var0390	85
var0391	249
var0392	89
var0393	56
var0394	34
var0395	53
var0396	107
var0397	34
var0398	39
var0399	47
var0400	8
var0401	202
var0402	33
var0403	39
var0404	34
var0405	66
var0406	107
var0407	53
var0408	141
var0409	35
var0410	101
var0411	184
var0412	613
var0413	228
var0414	46
var0415	44
var0416	73
var0417	83
var0418	146
var0419	123
var0420	45
var0421	70
var0422	79
var0423	20
var0424	345
var0425	173
var0426	8
var0427	10
var0428	85
var0429	47
var0430	183
var0431	87
var0432	306
var0433	71
var0434	7
var0435	185
var0436	52
var0437	329
var0438	17
var0439	157
var0440	43
var0441	37
var0442	259
var0443	148
var0444	139
var0445	70
var0446	25
var0447	67
var0448	248
var0449	236
var0450	132
var0451	69
var0452	36
var0453	196
var0454	330
var0455	246
var0456	88
var0457	67
var0458	61
var0459	256
var0460	88
var0461	72
var0462	71
var0463	20
var0464	12
var0465	62
var0466	16
var0467	225
var0468	331
var0469	126
var0470	118
var0471	145
var0472	206
var0473	72
var0474	622
var0475	272
var0476	251
var0477	101
var0478	16
var0479	170
var0480	614
var0481	58
var0482	92
var0483	132
var0484	97
var0485	32
var0486	33
var0487	710
var0488	61
var0489	39
var0490	51
var0491	845
var0492	72
var0493	35
var0494	13
var0495	407
var0496	209
var0497	67
var0498	46
var0499	20
var0500	174
var0501	126
var0502	117
var0503	19
var0504	49
var0505	319
var0506	105
var0507	276
var0508	487
var0509	106
var0510	42
var0511	118
var0512	207
var0513	59
var0514	846
var0515	39
var0516	163
var0517	136
var0518	292
var0519	285
var0520	61
var0521	197
var0522	243
var0523	77
var0524	20
var0525	298
var0526	131
var0527	437
var0528	12
var0529	120
var0530	158
var0531	95
var0532	228
var0533	54
var0534	9
var0535	23
var0536	85
var0537	623
var0538	152
var0539	123
var0540	228
var0541	81
var0542	5
var0543	48
var0544	181
var0545	27
var0546	21
var0547	329
var0548	84
var0549	218
var0550	183
var0551	93
var0552	3
var0553	117
var0554	32
var0555	32
var0556	92
var0557	118
var0558	93
var0559	130
var0560	235
var0561	418
var0562	133
var0563	199
var0564	92
var0565	451
var0566	255
var0567	241
var0568	39
var0569	71
var0570	213
var0571	56
var0572	43
var0573	132
var0574	134
var0575	72
var0576	62
var0577	484
var0578	120
var0579	47
var0580	120
var0581	290
var0582	30
var0583	171
var0584	30
var0585	49
var0586	554
var0587	179
var0588	137
var0589	15
var0590	139
var0591	121
var0592	281
var0593	135
var0594	119
var0595	210
var0596	69
var0597	60
var0598	249
var0599	40
var0600	841
var0601	129
var0602	373
var0603	57
var0604	60
var0605	170
var0606	87
var0607	29
var0608	79
var0609	122
var0610	198
var0611	42
var0612	11
var0613	85
var0614	89
var0615	49
var0616	65
var0617	129
var0618	269
var0619	60
var0620	77
var0621	229
var0622	27
var0623	80
var0624	269
var0625	378
var0626	62
var0627	115
var0628	138
var0629	42
var0630	233
var0631	19
var0632	64
var0633	244
var0634	59
var0635	153
var0636	357
var0637	121
var0638	351
var0639	5483
var0640	432
var0641	591
var0642	340
var0643	49
var0644	35
var0645	191
var0646	284
var0647	267
var0648	909
var0649	114
var0650	160
var0651	156
var0652	213
var0653	50
var0654	92
var0655	213
var0656	89
var0657	57
var0658	223
var0659	142
var0660	9
var0661	183
var0662	213
var0663	29
var0664	250
var0665	385
var0666	32
var0667	652
var0668	75
var0669	623
var0670	456
var0671	69
var0672	30
var0673	102
var0674	56
var0675	125
var0676	33
var0677	626
var0678	69
var0679	91
var0680	56
var0681	29
var0682	171
var0683	79
var0684	219
var0685	56
var0686	45
var0687	188
var0688	126
var0689	82
var0690	184
var0691	38
var0692	113
var0693	358
var0694	54
var0695	85
var0696	191
var0697	95
var0698	145
var0699	518
var0700	349
var0701	9
var0702	107
var0703	39
var0704	133
var0705	212
var0706	68
var0707	167
var0708	81
var0709	42
var0710	185
var0711	115
var0712	260
var0713	68
var0714	436
var0715	24
var0716	71
var0717	96
var0718	351
var0719	62
var0720	14
var0721	379
var0722	222
var0723	647
var0724	19
var0725	115
var0726	564
var0727	18
var0728	15
var0729	46
var0730	102
var0731	61
var0732	47
var0733	429
var0734	54
var0735	262
var0736	81
var0737	345
var0738	463
var0739	69
var0740	78
var0741	296
var0742	71
var0743	479
var0744	380
var0745	295
var0746	263
var0747	1220
var0748	83
var0749	133
var0750	266
var0751	66
var0752	346
var0753	35
var0754	292
var0755	535
var0756	108
var0757	20
var0758	81
var0759	71
var0760	149
var0761	10
var0762	168
var0763	20
var0764	40
var0765	21
var0766	8
var0767	209
var0768	69
var0769	23
var0770	88
var0771	677
var0772	248
var0773	72
var0774	174
var0775	77
var0776	295
var0777	806
var0778	102
var0779	31
var0780	135
var0781	136
var0782	12
var0783	95
var0784	385
var0785	47
var0786	51
var0787	192
var0788	69
var0789	39
var0790	145
var0791	10
var0792	295
var0793	6
var0794	93
var0795	102
var0796	66
var0797	253
var0798	15
var0799	88
var0800	109
var0801	65
var0802	462
var0803	231
var0804	56
var0805	91
var0806	58
var0807	792
var0808	529
var0809	46
var0810	237
var0811	8
var0812	48
var0813	507
var0814	146
var0815	89
var0816	12
var0817	11
var0818	26
var0819	199
var0820	957
var0821	190
var0822	103
var0823	558
var0824	225
var0825	201
var0826	44
var0827	52
var0828	135
var0829	348
var0830	253
var0831	118
var0832	715
var0833	71
var0834	73
var0835	56
var0836	49
var0837	32
var0838	672
var0839	21
var0840	168
var0841	68
var0842	22
var0843	119
var0844	123
var0845	324
var0846	51
var0847	41
var0848	235
var0849	975
var0850	33
var0851	419
var0852	199
var0853	1128
var0854	281
var0855	192
var0856	41
var0857	63
var0858	171
var0859	96
var0860	166
var0861	101
var0862	625
var0863	271
var0864	25
var0865	244
var0866	42
var0867	267
var0868	98
var0869	102
var0870	737
var0871	38
var0872	205
var0873	81
var0874	96
var0875	47
var0876	87
var0877	126
var0878	106
var0879	102
var0880	179
var0881	270
var0882	478
var0883	112
var0884	45
var0885	99
var0886	29
var0887	511
var0888	133
var0889	132
var0890	135
var0891	20
var0892	18
var0893	74
var0894	87
var0895	134
var0896	717
var0897	186
var0898	104
var0899	61
var0900	78
var0901	8
var0902	84
var0903	301
var0904	345
var0905	961
var0906	42
var0907	639
var0908	78
var0909	177
var0910	181
var0911	447
var0912	208
var0913	61
var0914	84
var0915	75
var0916	332
var0917	103
var0918	36
var0919	145
var0920	337
var0921	178
var0922	214
var0923	186
var0924	76
var0925	164
var0926	121
var0927	76
var0928	157
var0929	73
var0930	111
var0931	112
var0932	29
var0933	76
var0934	134
var0935	102
var0936	39
var0937	283
var0938	252
var0939	178
var0940	254
var0941	477
var0942	50
var0943	286
var0944	111
var0945	135
var0946	21
var0947	75
var0948	53
var0949	300
var0950	288
var0951	24
var0952	95
var0953	106
var0954	36
var0955	67
