	count
_wt	22967
var0001	182
var0002	105
var0003	135
var0004	159
var0005	101
var0006	182
var0007	528
var0008	108
var0009	208
var0010	183
var0011	80
var0012	67
var0013	311
var0014	184
var0015	309
var0016	338
var0017	147
var0018	187
var0019	83
var0020	64
var0021	72
var0022	171
var0023	185
var0024	131
var0025	199
var0026	164
var0027	184
var0028	137
var0029	143
var0030	143
var0031	225
var0032	131
var0033	343
var0034	163
var0035	330
var0036	143
var0037	557
var0038	50
var0039	115
var0040	177
var0041	192
var0042	277
var0043	131
var0044	144
var0045	106
var0046	106
var0047	177
var0048	158
var0049	138
var0050	155
var0051	102
var0052	129
var0053	249
var0054	156
var0055	231
var0056	85
var0057	89
var0058	219
var0059	114
var0060	248
var0061	269
var0062	183
var0063	166
var0064	356
var0065	102
var0066	158
var0067	202
var0068	73
var0069	377
var0070	285
var0071	161
var0072	366
var0073	177
var0074	311
var0075	261
var0076	227
var0077	212
var0078	475
var0079	126
var0080	149
var0081	197
var0082	192
var0083	259
var0084	193
var0085	102
var0086	218
var0087	130
var0088	551
var0089	126
var0090	152
var0091	70
var0092	208
var0093	326
var0094	87
var0095	308
var0096	218
var0097	139
var0098	144
var0099	230
var0100	302
var0101	282
var0102	277
var0103	196
var0104	203
var0105	125
var0106	167
var0107	158
var0108	462
var0109	73
var0110	109
var0111	142
var0112	186
var0113	178
var0114	220
var0115	736
var0116	341
var0117	211
var0118	220
var0119	96
var0120	182
var0121	309
var0122	659
var0123	433
var0124	419
var0125	101
var0126	169
var0127	132
var0128	220
var0129	204
var0130	191
var0131	338
var0132	178
var0133	90
var0134	237
var0135	181
var0136	136
var0137	125
var0138	207
var0139	207
var0140	240
var0141	246
var0142	230
var0143	259
var0144	207
var0145	119
var0146	180
var0147	130
var0148	128
var0149	62
var0150	292
var0151	168
var0152	108
var0153	235
var0154	459
var0155	99
var0156	170
var0157	447
var0158	143
var0159	121
var0160	76
var0161	201
var0162	213
var0163	506
var0164	209
var0165	165
var0166	126
var0167	217
var0168	219
var0169	147
var0170	257
