	count
_wt	25797
var0001	512
var0002	171
var0003	155
var0004	79
var0005	302
var0006	243
var0007	373
var0008	77
var0009	240
var0010	237
var0011	58
var0012	129
var0013	211
var0014	193
var0015	306
var0016	268
var0017	297
var0018	101
var0019	94
var0020	100
var0021	113
var0022	87
var0023	78
var0024	183
var0025	85
var0026	184
var0027	357
var0028	153
var0029	51
var0030	193
var0031	196
var0032	41
var0033	49
var0034	131
var0035	473
var0036	186
var0037	775
var0038	34
var0039	148
var0040	318
var0041	86
var0042	174
var0043	109
var0044	324
var0045	62
var0046	63
var0047	83
var0048	317
var0049	406
var0050	144
var0051	113
var0052	233
var0053	198
var0054	305
var0055	296
var0056	75
var0057	119
var0058	76
var0059	242
var0060	125
var0061	247
var0062	268
var0063	67
var0064	52
var0065	233
var0066	178
var0067	169
var0068	203
var0069	42
var0070	289
var0071	34
var0072	172
var0073	218
var0074	104
var0075	242
var0076	189
var0077	188
var0078	129
var0079	94
var0080	43
var0081	91
var0082	180
var0083	142
var0084	340
var0085	502
var0086	72
var0087	48
var0088	204
var0089	66
var0090	334
var0091	137
var0092	93
var0093	162
var0094	67
var0095	338
var0096	221
var0097	62
var0098	104
var0099	127
var0100	89
var0101	167
var0102	207
var0103	94
var0104	331
var0105	39
var0106	183
var0107	180
var0108	229
var0109	105
var0110	31
var0111	311
var0112	260
var0113	292
var0114	193
var0115	308
var0116	94
var0117	173
var0118	641
var0119	196
var0120	130
var0121	134
var0122	333
var0123	194
var0124	581
var0125	189
var0126	94
var0127	135
var0128	539
var0129	151
var0130	242
var0131	293
var0132	120
var0133	113
var0134	42
var0135	162
var0136	181
var0137	289
var0138	235
var0139	442
var0140	173
var0141	264
var0142	526
var0143	219
var0144	104
var0145	140
var0146	92
var0147	365
var0148	51
var0149	53
var0150	113
var0151	97
var0152	238
var0153	109
var0154	193
var0155	89
var0156	193
var0157	167
var0158	78
var0159	108
var0160	32
var0161	138
var0162	127
var0163	278
var0164	113
var0165	65
var0166	78
var0167	161
var0168	214
var0169	188
var0170	205
var0171	710
var0172	468
var0173	482
var0174	145
var0175	166
var0176	45
var0177	90
var0178	174
var0179	122
var0180	153
var0181	134
var0182	188
var0183	75
var0184	160
var0185	137
var0186	118
var0187	337
var0188	142
var0189	309
var0190	181
var0191	278
var0192	166
var0193	35
var0194	82
var0195	84
var0196	224
var0197	52
var0198	232
var0199	11
var0200	251
var0201	10
var0202	223
var0203	118
var0204	221
var0205	94
var0206	20
var0207	318
var0208	180
var0209	233
var0210	110
var0211	203
var0212	308
var0213	196
var0214	230
var0215	45
var0216	101
var0217	172
var0218	47
var0219	594
var0220	262
var0221	437
var0222	172
var0223	130
var0224	356
var0225	91
var0226	134
var0227	217
var0228	134
var0229	284
var0230	153
var0231	332
var0232	89
var0233	139
var0234	247
var0235	289
var0236	294
var0237	124
var0238	176
var0239	84
var0240	196
var0241	139
var0242	41
var0243	203
var0244	130
var0245	170
var0246	563
var0247	502
var0248	169
var0249	89
var0250	383
var0251	403
var0252	88
var0253	163
var0254	219
var0255	64
var0256	83
var0257	434
var0258	187
var0259	138
var0260	337
var0261	173
var0262	571
var0263	81
var0264	186
var0265	387
var0266	220
var0267	177
var0268	332
var0269	397
var0270	247
var0271	169
var0272	155
var0273	167
var0274	278
var0275	193
var0276	198
var0277	52
var0278	300
var0279	50
var0280	156
var0281	144
var0282	306
var0283	471
var0284	67
var0285	430
var0286	153
var0287	15
var0288	155
var0289	211
var0290	109
var0291	190
var0292	641
var0293	211
var0294	45
var0295	84
var0296	160
var0297	192
var0298	221
var0299	240
var0300	94
var0301	105
var0302	189
var0303	112
var0304	142
var0305	292
var0306	197
var0307	353
var0308	247
var0309	101
var0310	71
var0311	147
var0312	160
var0313	168
var0314	164
var0315	206
var0316	319
var0317	153
var0318	60
var0319	84
var0320	238
var0321	233
var0322	156
var0323	94
var0324	182
var0325	449
var0326	97
var0327	614
var0328	193
var0329	242
var0330	142
var0331	50
var0332	489
var0333	52
var0334	262
var0335	308
var0336	350
var0337	341
var0338	128
var0339	183
var0340	848
var0341	83
var0342	363
var0343	87
var0344	62
var0345	154
var0346	63
var0347	58
var0348	490
var0349	342
var0350	259
var0351	107
var0352	111
var0353	265
var0354	270
var0355	63
var0356	265
var0357	474
var0358	232
var0359	97
var0360	134
var0361	364
var0362	443
var0363	330
var0364	146
var0365	64
var0366	275
var0367	188
var0368	140
var0369	103
var0370	338
var0371	168
var0372	432
var0373	154
var0374	99
var0375	71
var0376	101
var0377	227
var0378	75
var0379	828
var0380	218
var0381	97
var0382	52
var0383	232
var0384	235
var0385	268
var0386	184
var0387	313
var0388	282
var0389	279
var0390	360
var0391	55
var0392	104
var0393	154
var0394	134
var0395	41
var0396	246
var0397	374
var0398	109
var0399	162
var0400	69
var0401	328
var0402	112
var0403	194
var0404	186
var0405	193
var0406	169
var0407	73
var0408	483
var0409	153
var0410	389
var0411	93
var0412	148
var0413	182
var0414	70
var0415	170
var0416	474
var0417	207
var0418	135
