	c_0	c_1	c_2	c_3	c_4	c_5
_wt	19700.0	22967.0	25573.0	26746.0	27065.0	26473.0
var0001	183.0	182.0	210.0	230.0	211.0	164.0
var0002	123.0	105.0	84.0	84.0	47.0	32.0
var0003	106.0	135.0	104.0	115.0	99.0	105.0
var0004	178.0	159.0	108.0	55.0	31.0	22.0
var0005	104.0	101.0	114.0	121.0	150.0	155.0
var0006	164.0	182.0	162.0	176.0	130.0	122.0
var0007	397.0	528.0	590.0	743.0	856.0	933.0
var0008	131.0	108.0	78.0	58.0	31.0	28.0
var0009	146.0	208.0	185.0	184.0	155.0	176.0
var0010	125.0	183.0	287.0	404.0	502.0	700.0
var0011	83.0	80.0	62.0	41.0	35.0	20.0
var0012	90.0	67.0	62.0	61.0	42.0	41.0
var0013	196.0	311.0	381.0	416.0	424.0	525.0
var0014	186.0	184.0	208.0	140.0	146.0	111.0
var0015	245.0	309.0	345.0	315.0	335.0	284.0
var0016	240.0	338.0	483.0	588.0	783.0	959.0
var0017	117.0	147.0	141.0	150.0	162.0	156.0
var0018	183.0	187.0	154.0	136.0	126.0	95.0
var0019	147.0	83.0	76.0	40.0	33.0	22.0
var0020	77.0	64.0	59.0	76.0	61.0	46.0
var0021	101.0	72.0	64.0	45.0	22.0	15.0
var0022	203.0	171.0	134.0	117.0	103.0	68.0
var0023	233.0	185.0	117.0	75.0	36.0	15.0
var0024	103.0	131.0	117.0	132.0	120.0	105.0
var0025	249.0	199.0	199.0	186.0	137.0	108.0
var0026	157.0	164.0	210.0	213.0	232.0	231.0
var0027	111.0	184.0	166.0	217.0	195.0	194.0
var0028	119.0	137.0	135.0	150.0	135.0	142.0
var0029	233.0	143.0	73.0	22.0	10.0	5.0
var0030	180.0	143.0	134.0	101.0	91.0	67.0
var0031	284.0	225.0	219.0	175.0	150.0	100.0
var0032	335.0	131.0	75.0	34.0	12.0	7.0
var0033	361.0	343.0	307.0	284.0	239.0	190.0
var0034	141.0	163.0	146.0	164.0	127.0	126.0
var0035	246.0	330.0	485.0	546.0	701.0	870.0
var0036	134.0	143.0	140.0	156.0	171.0	117.0
var0037	282.0	557.0	900.0	1389.0	2005.0	3013.0
var0038	87.0	50.0	32.0	12.0	13.0	12.0
var0039	131.0	115.0	155.0	127.0	95.0	91.0
var0040	173.0	177.0	222.0	212.0	216.0	167.0
var0041	199.0	192.0	154.0	131.0	107.0	87.0
var0042	275.0	277.0	327.0	358.0	318.0	322.0
var0043	165.0	131.0	130.0	124.0	97.0	87.0
var0044	90.0	144.0	145.0	162.0	159.0	184.0
var0045	156.0	106.0	86.0	52.0	37.0	21.0
var0046	213.0	106.0	59.0	40.0	22.0	9.0
var0047	214.0	177.0	120.0	74.0	47.0	26.0
var0048	162.0	158.0	193.0	204.0	218.0	201.0
var0049	110.0	138.0	138.0	171.0	177.0	153.0
var0050	217.0	155.0	114.0	74.0	51.0	32.0
var0051	168.0	102.0	67.0	46.0	41.0	20.0
var0052	109.0	129.0	119.0	126.0	80.0	59.0
var0053	271.0	249.0	202.0	192.0	136.0	120.0
var0054	156.0	156.0	215.0	229.0	239.0	213.0
var0055	190.0	231.0	229.0	246.0	251.0	263.0
var0056	170.0	85.0	44.0	28.0	23.0	11.0
var0057	98.0	89.0	54.0	47.0	23.0	14.0
var0058	292.0	219.0	155.0	113.0	70.0	45.0
var0059	79.0	114.0	131.0	156.0	161.0	206.0
var0060	193.0	248.0	347.0	389.0	422.0	449.0
var0061	196.0	269.0	275.0	342.0	375.0	366.0
var0062	129.0	183.0	263.0	263.0	287.0	340.0
var0063	233.0	166.0	107.0	57.0	35.0	14.0
var0064	357.0	356.0	317.0	295.0	259.0	205.0
var0065	140.0	102.0	125.0	120.0	120.0	118.0
var0066	140.0	158.0	164.0	167.0	160.0	159.0
var0067	207.0	202.0	210.0	175.0	149.0	119.0
var0068	79.0	73.0	88.0	63.0	73.0	51.0
var0069	364.0	377.0	315.0	231.0	203.0	174.0
var0070	266.0	285.0	284.0	289.0	313.0	272.0
var0071	223.0	161.0	162.0	81.0	60.0	37.0
var0072	386.0	366.0	445.0	357.0	348.0	343.0
var0073	104.0	177.0	219.0	291.0	252.0	315.0
var0074	315.0	311.0	256.0	259.0	235.0	196.0
var0075	217.0	261.0	293.0	372.0	422.0	433.0
var0076	184.0	227.0	247.0	250.0	267.0	269.0
var0077	211.0	212.0	175.0	175.0	159.0	96.0
var0078	458.0	475.0	464.0	505.0	493.0	414.0
var0079	165.0	126.0	95.0	59.0	40.0	41.0
var0080	192.0	149.0	98.0	54.0	45.0	13.0
var0081	387.0	197.0	91.0	53.0	15.0	4.0
var0082	137.0	192.0	182.0	214.0	261.0	259.0
var0083	203.0	259.0	311.0	350.0	444.0	482.0
var0084	160.0	193.0	209.0	261.0	304.0	311.0
var0085	95.0	102.0	149.0	154.0	165.0	227.0
var0086	246.0	218.0	182.0	103.0	84.0	60.0
var0087	238.0	130.0	85.0	64.0	26.0	9.0
var0088	416.0	551.0	657.0	741.0	864.0	847.0
var0089	161.0	126.0	119.0	107.0	68.0	59.0
var0090	140.0	152.0	151.0	174.0	189.0	171.0
var0091	81.0	70.0	47.0	41.0	13.0	14.0
var0092	293.0	208.0	158.0	97.0	72.0	33.0
