	count
_wt	23416
var0001	377
var0002	65
var0003	90
var0004	89
var0005	212
var0006	188
var0007	258
var0008	187
var0009	367
var0010	306
var0011	39
var0012	137
var0013	413
var0014	247
var0015	98
var0016	222
var0017	209
var0018	143
var0019	104
var0020	208
var0021	40
var0022	95
var0023	95
var0024	144
var0025	108
var0026	389
var0027	98
var0028	198
var0029	69
var0030	131
var0031	221
var0032	57
var0033	172
var0034	251
var0035	381
var0036	176
var0037	507
var0038	126
var0039	400
var0040	172
var0041	69
var0042	94
var0043	202
var0044	321
var0045	76
var0046	40
var0047	55
var0048	248
var0049	146
var0050	2337
var0051	84
var0052	202
var0053	103
var0054	318
var0055	74
var0056	26
var0057	58
var0058	189
var0059	308
var0060	205
var0061	162
var0062	155
var0063	48
var0064	144
var0065	127
var0066	136
var0067	181
var0068	84
var0069	257
var0070	151
var0071	73
var0072	195
var0073	370
var0074	128
var0075	206
var0076	321
var0077	246
var0078	235
var0079	142
var0080	32
var0081	36
var0082	245
var0083	297
var0084	462
var0085	117
var0086	128
var0087	59
var0088	375
var0089	90
var0090	217
var0091	69
var0092	110
var0093	98
var0094	12
var0095	168
var0096	112
var0097	114
var0098	114
var0099	276
var0100	329
var0101	74
var0102	112
var0103	50
var0104	182
var0105	76
var0106	89
var0107	80
var0108	39
var0109	76
var0110	39
var0111	103
var0112	170
var0113	387
var0114	217
var0115	223
var0116	211
var0117	107
var0118	348
var0119	159
var0120	147
var0121	116
var0122	331
var0123	220
var0124	325
var0125	167
var0126	172
var0127	136
var0128	123
var0129	89
var0130	126
var0131	161
var0132	125
var0133	240
var0134	244
var0135	83
var0136	102
var0137	238
var0138	122
var0139	241
var0140	85
var0141	97
var0142	220
var0143	137
var0144	119
var0145	128
var0146	51
var0147	225
var0148	138
var0149	76
var0150	142
var0151	93
var0152	54
var0153	130
var0154	382
var0155	211
var0156	106
var0157	270
var0158	119
var0159	153
var0160	69
var0161	195
var0162	61
var0163	328
var0164	101
var0165	138
var0166	87
var0167	183
var0168	155
var0169	64
var0170	167
var0171	282
var0172	1189
var0173	423
var0174	115
var0175	211
var0176	86
var0177	91
var0178	278
var0179	146
var0180	87
var0181	133
var0182	141
var0183	31
var0184	107
var0185	128
var0186	102
var0187	313
var0188	43
var0189	225
var0190	275
var0191	252
var0192	199
var0193	41
var0194	283
var0195	173
var0196	190
var0197	43
var0198	120
var0199	41
var0200	229
var0201	28
var0202	175
var0203	139
var0204	173
var0205	61
var0206	153
var0207	529
var0208	221
var0209	133
var0210	67
var0211	60
var0212	276
var0213	314
var0214	329
var0215	52
var0216	73
var0217	191
var0218	16
var0219	156
var0220	190
var0221	278
var0222	430
var0223	339
var0224	191
var0225	157
var0226	317
var0227	164
var0228	112
var0229	179
var0230	227
var0231	136
var0232	179
var0233	214
var0234	140
var0235	141
var0236	233
var0237	103
var0238	287
var0239	94
var0240	157
var0241	163
var0242	72
var0243	454
var0244	104
var0245	132
var0246	456
var0247	675
var0248	280
var0249	175
var0250	258
var0251	415
var0252	156
var0253	158
var0254	462
var0255	82
var0256	75
var0257	211
var0258	274
var0259	197
var0260	188
var0261	145
var0262	459
var0263	190
var0264	178
var0265	307
var0266	350
var0267	249
var0268	79
var0269	171
var0270	197
var0271	241
var0272	504
var0273	88
var0274	134
var0275	108
var0276	230
var0277	99
var0278	305
var0279	78
var0280	204
var0281	214
var0282	8665
var0283	205
var0284	73
var0285	190
var0286	173
var0287	44
var0288	93
var0289	141
var0290	161
var0291	138
var0292	182
