	count
_wt	25284
var0001	334
var0002	490
var0003	148
var0004	74
var0005	139
var0006	204
var0007	344
var0008	121
var0009	47
var0010	138
var0011	93
var0012	95
var0013	132
var0014	204
var0015	119
var0016	53
var0017	136
var0018	200
var0019	82
var0020	341
var0021	249
var0022	155
var0023	30
var0024	394
var0025	42
var0026	57
var0027	67
var0028	161
var0029	63
var0030	43
var0031	174
var0032	132
var0033	101
var0034	78
var0035	126
var0036	25
var0037	66
var0038	268
var0039	285
var0040	182
var0041	119
var0042	35
var0043	158
var0044	592
var0045	259
var0046	1001
var0047	285
var0048	162
var0049	100
var0050	93
var0051	392
var0052	155
var0053	978
var0054	778
var0055	574
var0056	65
var0057	116
var0058	59
var0059	138
var0060	120
var0061	181
var0062	193
var0063	306
var0064	161
var0065	194
var0066	103
var0067	272
var0068	192
var0069	560
var0070	77
var0071	29
var0072	107
var0073	488
var0074	144
var0075	159
var0076	101
var0077	12
var0078	360
var0079	38
var0080	478
var0081	158
var0082	21
var0083	104
var0084	16
var0085	68
var0086	34
var0087	439
var0088	118
var0089	160
var0090	214
var0091	316
var0092	245
var0093	69
var0094	63
var0095	224
var0096	189
var0097	343
var0098	135
var0099	358
var0100	161
var0101	144
var0102	72
var0103	74
var0104	67
var0105	49
var0106	124
var0107	176
var0108	257
var0109	71
var0110	67
var0111	53
var0112	48
var0113	45
var0114	50
var0115	68
var0116	230
var0117	130
var0118	72
var0119	419
var0120	190
var0121	490
var0122	162
var0123	285
var0124	228
var0125	257
var0126	258
var0127	246
var0128	108
var0129	511
var0130	789
var0131	49
var0132	421
var0133	284
var0134	49
var0135	132
var0136	73
var0137	65
var0138	69
var0139	105
var0140	95
var0141	257
var0142	208
var0143	146
var0144	102
var0145	124
var0146	103
var0147	59
var0148	127
var0149	56
var0150	102
var0151	43
var0152	115
var0153	672
var0154	80
var0155	103
var0156	368
var0157	323
var0158	203
var0159	49
var0160	103
var0161	86
var0162	254
var0163	733
var0164	366
var0165	126
var0166	223
var0167	418
var0168	18
var0169	101
var0170	254
var0171	156
var0172	350
var0173	348
var0174	127
var0175	33
var0176	27
var0177	187
var0178	82
var0179	541
var0180	72
var0181	544
var0182	205
var0183	795
var0184	133
var0185	100
var0186	485
var0187	32
var0188	150
var0189	91
var0190	355
var0191	109
var0192	232
var0193	58
var0194	199
var0195	80
var0196	308
var0197	197
var0198	98
var0199	117
var0200	231
var0201	212
var0202	96
var0203	335
var0204	200
var0205	141
var0206	147
var0207	156
var0208	262
var0209	148
var0210	202
var0211	133
var0212	115
var0213	277
var0214	51
var0215	99
var0216	134
var0217	426
var0218	47
var0219	963
var0220	60
var0221	162
var0222	46
var0223	28
var0224	266
var0225	405
var0226	86
var0227	51
var0228	149
var0229	53
var0230	71
var0231	37
var0232	120
var0233	36
var0234	88
var0235	290
var0236	57
var0237	132
var0238	469
var0239	223
var0240	101
var0241	308
var0242	154
var0243	92
var0244	114
var0245	571
var0246	108
var0247	133
var0248	125
var0249	68
var0250	34
var0251	100
var0252	416
var0253	81
var0254	389
var0255	271
var0256	482
var0257	195
var0258	70
var0259	152
var0260	277
var0261	101
var0262	182
var0263	160
var0264	146
var0265	308
var0266	190
var0267	341
var0268	34
var0269	56
var0270	39
var0271	221
var0272	89
var0273	118
var0274	37
var0275	586
var0276	42
var0277	88
var0278	74
var0279	164
var0280	211
var0281	219
var0282	158
var0283	108
var0284	195
var0285	50
var0286	235
var0287	151
var0288	618
var0289	236
var0290	125
var0291	219
var0292	149
var0293	90
var0294	440
var0295	37
var0296	426
var0297	146
var0298	154
var0299	338
var0300	288
var0301	629
var0302	43
var0303	184
var0304	90
var0305	130
var0306	338
var0307	774
var0308	69
var0309	294
var0310	96
var0311	131
var0312	1041
var0313	101
var0314	140
var0315	286
var0316	86
var0317	60
var0318	43
var0319	116
var0320	64
var0321	126
var0322	276
var0323	95
var0324	194
var0325	132
var0326	34
var0327	147
var0328	223
var0329	40
var0330	41
var0331	36
var0332	228
var0333	162
var0334	53
var0335	155
var0336	246
var0337	386
var0338	319
var0339	215
var0340	69
var0341	191
var0342	21
var0343	167
var0344	319
var0345	211
var0346	257
var0347	175
var0348	141
var0349	171
var0350	28
var0351	242
var0352	89
var0353	636
var0354	207
var0355	26
var0356	54
var0357	108
var0358	50
var0359	184
var0360	201
var0361	170
var0362	118
var0363	72
var0364	604
var0365	90
var0366	109
var0367	53
var0368	201
var0369	56
var0370	168
var0371	18
var0372	1321
var0373	158
var0374	145
var0375	125
var0376	19
var0377	226
var0378	53
var0379	84
var0380	118
var0381	54
var0382	142
var0383	293
var0384	21
var0385	108
var0386	174
var0387	55
var0388	50
var0389	90
var0390	112
var0391	277
var0392	123
var0393	77
var0394	72
var0395	78
var0396	133
var0397	53
var0398	43
var0399	84
var0400	21
var0401	208
var0402	48
var0403	70
var0404	80
var0405	85
var0406	138
var0407	66
var0408	121
var0409	43
var0410	123
var0411	204
var0412	421
var0413	43
var0414	77
var0415	66
var0416	78
var0417	79
var0418	175
var0419	158
var0420	54
var0421	89
var0422	111
var0423	39
var0424	300
var0425	189
var0426	11
var0427	10
var0428	110
var0429	92
var0430	222
var0431	164
var0432	386
var0433	79
var0434	12
var0435	217
var0436	80
var0437	381
var0438	24
var0439	185
var0440	51
var0441	35
var0442	231
var0443	163
var0444	152
var0445	106
var0446	40
var0447	114
var0448	256
var0449	263
var0450	179
var0451	115
var0452	63
var0453	228
var0454	358
var0455	266
var0456	102
var0457	99
var0458	84
var0459	238
var0460	114
var0461	88
var0462	63
var0463	35
var0464	22
var0465	80
var0466	28
var0467	209
var0468	371
var0469	170
var0470	126
var0471	176
var0472	234
var0473	86
var0474	531
var0475	245
var0476	285
var0477	115
var0478	33
var0479	173
var0480	474
var0481	58
var0482	122
var0483	143
var0484	116
var0485	46
var0486	37
var0487	621
var0488	71
var0489	63
var0490	33
var0491	795
var0492	80
var0493	47
var0494	22
var0495	345
var0496	175
var0497	99
var0498	69
var0499	32
var0500	191
var0501	187
var0502	159
var0503	22
var0504	67
var0505	311
var0506	130
var0507	276
var0508	403
var0509	193
var0510	63
var0511	163
var0512	242
var0513	56
var0514	764
var0515	85
var0516	178
var0517	149
var0518	300
var0519	369
var0520	109
var0521	241
var0522	280
var0523	120
var0524	34
var0525	269
var0526	149
var0527	421
var0528	27
var0529	109
var0530	137
var0531	136
var0532	281
var0533	61
var0534	19
var0535	33
var0536	72
var0537	629
var0538	176
var0539	114
var0540	313
var0541	137
var0542	8
var0543	83
var0544	151
var0545	30
var0546	34
var0547	315
var0548	110
var0549	219
var0550	214
var0551	126
var0552	15
var0553	144
var0554	39
var0555	30
var0556	125
var0557	116
var0558	140
var0559	121
var0560	219
var0561	342
var0562	164
var0563	256
var0564	112
var0565	427
var0566	245
var0567	210
var0568	77
var0569	71
var0570	273
var0571	78
var0572	51
var0573	143
var0574	145
var0575	92
var0576	91
var0577	398
var0578	136
var0579	46
var0580	106
var0581	292
var0582	56
var0583	203
var0584	46
var0585	51
var0586	566
var0587	213
var0588	151
var0589	25
var0590	147
var0591	149
var0592	297
var0593	179
var0594	174
var0595	231
var0596	95
var0597	82
var0598	261
var0599	63
var0600	696
var0601	143
var0602	298
var0603	83
var0604	82
var0605	227
var0606	104
var0607	42
var0608	88
var0609	127
var0610	150
var0611	75
var0612	11
var0613	126
var0614	90
var0615	90
var0616	69
var0617	164
var0618	271
var0619	83
var0620	74
var0621	217
var0622	31
var0623	96
var0624	306
var0625	343
var0626	85
var0627	106
var0628	144
var0629	60
var0630	256
var0631	22
var0632	66
var0633	319
var0634	115
var0635	211
var0636	310
var0637	113
var0638	343
var0639	128
var0640	462
var0641	524
var0642	291
var0643	62
var0644	55
var0645	198
var0646	277
var0647	278
var0648	873
var0649	98
var0650	191
var0651	180
var0652	241
var0653	63
var0654	126
var0655	184
var0656	121
var0657	95
var0658	256
var0659	157
var0660	17
var0661	190
var0662	233
var0663	48
var0664	238
var0665	423
var0666	52
var0667	636
