	c_0	c_1	c_2	c_3	c_4	c_5
_wt	18683.0	21267.0	22650.0	22872.0	25284.0	23777.0
var0001	124.0	190.0	231.0	264.0	334.0	376.0
var0002	214.0	327.0	353.0	379.0	490.0	454.0
var0003	269.0	246.0	199.0	163.0	148.0	129.0
var0004	177.0	130.0	114.0	85.0	74.0	2998.0
var0005	240.0	228.0	168.0	126.0	139.0	87.0
var0006	160.0	199.0	181.0	196.0	204.0	202.0
var0007	344.0	396.0	393.0	328.0	344.0	275.0
var0008	179.0	163.0	177.0	126.0	121.0	111.0
var0009	73.0	64.0	48.0	57.0	47.0	34.0
var0010	142.0	162.0	165.0	153.0	138.0	110.0
var0011	200.0	135.0	131.0	109.0	93.0	58.0
var0012	275.0	221.0	175.0	108.0	95.0	58.0
var0013	292.0	222.0	197.0	135.0	132.0	120.0
var0014	274.0	293.0	245.0	208.0	204.0	160.0
var0015	148.0	143.0	144.0	125.0	119.0	84.0
var0016	110.0	94.0	64.0	72.0	53.0	50.0
var0017	144.0	156.0	138.0	107.0	136.0	122.0
var0018	219.0	193.0	197.0	160.0	200.0	174.0
var0019	205.0	158.0	131.0	111.0	82.0	71.0
var0020	143.0	205.0	231.0	237.0	341.0	354.0
var0021	136.0	158.0	215.0	222.0	249.0	291.0
var0022	114.0	110.0	162.0	140.0	155.0	124.0
var0023	157.0	121.0	86.0	49.0	30.0	24.0
var0024	308.0	365.0	336.0	373.0	394.0	362.0
var0025	97.0	72.0	56.0	41.0	42.0	20.0
var0026	61.0	72.0	77.0	71.0	57.0	41.0
var0027	149.0	105.0	95.0	80.0	67.0	45.0
var0028	207.0	190.0	174.0	168.0	161.0	126.0
var0029	159.0	126.0	99.0	60.0	63.0	41.0
var0030	99.0	82.0	89.0	63.0	43.0	34.0
var0031	195.0	191.0	197.0	176.0	174.0	152.0
var0032	234.0	182.0	167.0	153.0	132.0	117.0
var0033	486.0	357.0	242.0	160.0	101.0	65.0
var0034	123.0	122.0	105.0	92.0	78.0	83.0
var0035	198.0	152.0	170.0	130.0	126.0	98.0
var0036	170.0	134.0	74.0	36.0	25.0	20.0
var0037	138.0	124.0	99.0	63.0	66.0	44.0
var0038	116.0	136.0	183.0	208.0	268.0	289.0
var0039	271.0	268.0	273.0	256.0	285.0	311.0
var0040	166.0	177.0	134.0	170.0	182.0	153.0
var0041	129.0	115.0	111.0	116.0	119.0	95.0
var0042	115.0	94.0	83.0	66.0	35.0	37.0
var0043	208.0	215.0	224.0	204.0	158.0	164.0
var0044	335.0	431.0	423.0	551.0	592.0	635.0
var0045	386.0	374.0	290.0	221.0	259.0	203.0
var0046	203.0	283.0	474.0	642.0	1001.0	1261.0
var0047	285.0	283.0	291.0	238.0	285.0	249.0
var0048	155.0	142.0	169.0	166.0	162.0	159.0
var0049	109.0	113.0	115.0	71.0	100.0	84.0
var0050	176.0	196.0	157.0	119.0	93.0	89.0
var0051	132.0	194.0	272.0	293.0	392.0	520.0
var0052	138.0	159.0	165.0	130.0	155.0	117.0
var0053	266.0	391.0	538.0	699.0	978.0	1118.0
var0054	193.0	281.0	425.0	552.0	778.0	1039.0
var0055	153.0	236.0	303.0	338.0	574.0	690.0
var0056	229.0	181.0	142.0	86.0	65.0	31.0
var0057	156.0	161.0	116.0	100.0	116.0	71.0
var0058	201.0	181.0	105.0	57.0	59.0	29.0
var0059	202.0	170.0	179.0	148.0	138.0	111.0
var0060	69.0	84.0	93.0	100.0	120.0	84.0
var0061	96.0	110.0	129.0	150.0	181.0	199.0
var0062	172.0	178.0	187.0	195.0	193.0	194.0
var0063	148.0	182.0	206.0	224.0	306.0	303.0
var0064	127.0	151.0	164.0	161.0	161.0	180.0
var0065	137.0	146.0	161.0	153.0	194.0	183.0
var0066	183.0	212.0	160.0	128.0	103.0	58.0
