	count
_wt	27281
var0001	451
var0002	150
var0003	174
var0004	72
var0005	303
var0006	207
var0007	444
var0008	78
var0009	257
var0010	290
var0011	50
var0012	120
var0013	228
var0014	126
var0015	268
var0016	369
var0017	326
var0018	41
var0019	84
var0020	84
var0021	64
var0022	94
var0023	42
var0024	173
var0025	75
var0026	207
var0027	349
var0028	158
var0029	32
var0030	137
var0031	191
var0032	37
var0033	72
var0034	164
var0035	693
var0036	226
var0037	1253
var0038	26
var0039	132
var0040	318
var0041	60
var0042	229
var0043	80
var0044	355
var0045	52
var0046	25
var0047	56
var0048	302
var0049	395
var0050	95
var0051	60
var0052	199
var0053	170
var0054	355
var0055	240
var0056	35
var0057	100
var0058	39
var0059	326
var0060	149
var0061	281
var0062	275
var0063	37
var0064	59
var0065	193
var0066	177
var0067	141
var0068	192
var0069	25
var0070	265
var0071	35
var0072	184
var0073	224
var0074	104
var0075	301
var0076	220
var0077	183
var0078	130
var0079	99
var0080	28
var0081	23
var0082	190
var0083	241
var0084	356
var0085	580
var0086	78
var0087	35
var0088	286
var0089	70
var0090	406
var0091	81
var0092	64
var0093	184
var0094	25
var0095	46
var0096	236
var0097	57
var0098	73
var0099	151
var0100	46
var0101	148
var0102	149
var0103	78
var0104	380
var0105	12
var0106	187
var0107	72
var0108	321
var0109	65
var0110	22
var0111	291
var0112	336
var0113	341
var0114	173
var0115	401
var0116	63
var0117	202
var0118	905
var0119	210
var0120	144
var0121	171
var0122	359
var0123	144
var0124	854
var0125	174
var0126	79
var0127	65
var0128	628
var0129	134
var0130	210
var0131	337
var0132	154
var0133	73
var0134	35
var0135	150
var0136	187
var0137	289
var0138	220
var0139	376
var0140	165
var0141	231
var0142	545
var0143	222
var0144	64
var0145	81
var0146	52
var0147	400
var0148	58
var0149	27
var0150	113
var0151	62
var0152	206
var0153	64
var0154	200
var0155	68
var0156	156
var0157	173
var0158	52
var0159	91
var0160	17
var0161	161
var0162	105
var0163	219
var0164	91
var0165	67
var0166	82
var0167	215
var0168	170
var0169	187
var0170	120
var0171	689
var0172	530
var0173	687
var0174	99
var0175	150
var0176	33
var0177	45
var0178	165
var0179	63
var0180	111
var0181	102
var0182	147
var0183	32
var0184	142
var0185	93
var0186	88
var0187	375
var0188	86
var0189	275
var0190	140
var0191	348
var0192	159
var0193	29
var0194	61
var0195	85
var0196	217
var0197	28
var0198	154
var0199	10
var0200	367
var0201	1
var0202	136
var0203	60
var0204	221
var0205	54
var0206	27
var0207	412
var0208	149
var0209	173
var0210	72
var0211	228
var0212	388
var0213	227
var0214	265
var0215	22
var0216	77
var0217	193
var0218	33
var0219	362
var0220	232
var0221	651
var0222	145
var0223	132
var0224	297
var0225	91
var0226	103
var0227	217
var0228	128
var0229	280
var0230	110
var0231	269
var0232	58
var0233	144
var0234	215
var0235	340
var0236	246
var0237	126
var0238	172
var0239	71
var0240	181
var0241	96
var0242	340
var0243	233
var0244	105
var0245	134
var0246	723
var0247	828
var0248	187
var0249	50
var0250	357
var0251	323
var0252	85
var0253	122
var0254	276
var0255	54
var0256	31
var0257	571
var0258	186
var0259	127
var0260	405
var0261	128
var0262	698
var0263	48
var0264	167
var0265	498
var0266	273
var0267	163
var0268	249
var0269	388
var0270	214
var0271	233
var0272	182
var0273	122
var0274	253
var0275	157
var0276	224
var0277	28
var0278	341
var0279	41
var0280	239
var0281	120
var0282	242
var0283	501
var0284	47
var0285	499
var0286	276
var0287	2
var0288	90
var0289	109
var0290	80
var0291	109
var0292	731
var0293	183
var0294	43
var0295	53
var0296	130
var0297	219
var0298	184
var0299	304
var0300	60
var0301	54
var0302	192
var0303	109
var0304	137
var0305	243
var0306	274
var0307	335
var0308	174
var0309	61
var0310	55
var0311	166
var0312	150
var0313	179
var0314	155
var0315	202
var0316	303
var0317	182
var0318	35
var0319	57
var0320	255
var0321	222
var0322	185
var0323	62
var0324	173
var0325	602
var0326	66
var0327	1034
var0328	244
var0329	300
var0330	82
var0331	72
var0332	624
var0333	9
var0334	247
var0335	262
var0336	353
var0337	490
var0338	60
var0339	185
var0340	1188
var0341	52
var0342	369
var0343	48
var0344	47
var0345	110
var0346	43
var0347	59
var0348	626
var0349	640
var0350	236
var0351	169
var0352	61
var0353	306
var0354	328
var0355	65
var0356	260
var0357	621
var0358	240
var0359	91
var0360	134
var0361	430
var0362	335
var0363	445
var0364	135
var0365	45
var0366	404
var0367	166
var0368	126
var0369	81
var0370	338
var0371	129
var0372	410
var0373	215
var0374	86
var0375	41
var0376	83
var0377	209
var0378	69
var0379	1207
var0380	251
var0381	72
var0382	38
var0383	284
var0384	343
var0385	194
var0386	219
var0387	366
var0388	307
var0389	278
var0390	427
var0391	22
var0392	61
var0393	175
var0394	129
var0395	34
var0396	199
var0397	377
var0398	126
var0399	117
var0400	34
var0401	467
var0402	99
var0403	123
var0404	171
var0405	182
var0406	161
var0407	69
var0408	472
var0409	167
var0410	446
var0411	83
var0412	139
var0413	156
var0414	52
var0415	196
var0416	698
var0417	188
var0418	122
var0419	217
var0420	217
var0421	91
var0422	206
var0423	85
var0424	274
var0425	271
var0426	20
var0427	48
var0428	97
var0429	316
var0430	399
var0431	114
var0432	78
var0433	175
var0434	241
var0435	3
var0436	139
var0437	153
var0438	75
var0439	224
var0440	1020
var0441	379
var0442	307
var0443	73
var0444	616
var0445	170
var0446	227
var0447	232
var0448	93
var0449	202
var0450	98
var0451	20
var0452	118
var0453	279
var0454	61
var0455	154
var0456	98
var0457	622
var0458	124
var0459	388
var0460	109
var0461	207
var0462	177
var0463	134
var0464	140
var0465	69
var0466	113
var0467	51
var0468	375
var0469	99
var0470	430
var0471	527
var0472	323
var0473	464
var0474	275
var0475	189
var0476	317
var0477	41
var0478	215
var0479	465
var0480	274
var0481	737
var0482	183
var0483	690
var0484	198
var0485	162
var0486	273
var0487	13
var0488	307
var0489	152
var0490	182
var0491	77
var0492	142
var0493	151
var0494	194
var0495	68
var0496	73
var0497	78
var0498	793
var0499	244
var0500	976
var0501	53
var0502	180
var0503	205
var0504	201
var0505	92
var0506	308
var0507	117
var0508	145
var0509	19
var0510	87
var0511	61
var0512	225
var0513	160
var0514	461
var0515	95
var0516	24
var0517	108
var0518	383
var0519	116
var0520	208
var0521	16
var0522	24
var0523	64
var0524	99
var0525	309
var0526	115
var0527	102
var0528	492
var0529	76
var0530	517
var0531	26
var0532	35
var0533	66
var0534	188
var0535	811
var0536	182
var0537	139
var0538	16
var0539	112
var0540	154
var0541	346
var0542	206
var0543	136
var0544	25
var0545	8
var0546	412
var0547	39
var0548	72
var0549	2
var0550	330
var0551	142
var0552	29
var0553	619
var0554	208
var0555	81
var0556	561
var0557	387
var0558	212
var0559	219
var0560	98
var0561	191
var0562	192
var0563	341
var0564	59
var0565	130
var0566	171
var0567	201
var0568	176
var0569	72
var0570	555
var0571	179
var0572	373
var0573	47
var0574	87
var0575	109
var0576	231
var0577	141
var0578	36
var0579	106
var0580	292
var0581	170
var0582	20
var0583	191
var0584	69
var0585	341
var0586	83
var0587	285
var0588	652
var0589	53
var0590	524
var0591	80
var0592	93
var0593	99
var0594	75
var0595	44
var0596	25
var0597	45
var0598	90
var0599	264
var0600	534
var0601	341
var0602	698
var0603	179
var0604	73
var0605	61
var0606	241
var0607	85
var0608	52
var0609	356
var0610	99
var0611	127
var0612	194
var0613	266
var0614	123
var0615	132
var0616	182
var0617	66
var0618	510
var0619	16
var0620	523
var0621	49
var0622	244
var0623	507
var0624	159
var0625	177
var0626	228
var0627	147
var0628	20
var0629	294
var0630	316
var0631	342
var0632	150
var0633	363
var0634	74
var0635	183
var0636	150
var0637	36
var0638	144
var0639	304
var0640	395
var0641	80
var0642	304
var0643	201
var0644	11
var0645	367
var0646	266
var0647	110
var0648	322
var0649	136
var0650	210
var0651	28
var0652	188
var0653	131
var0654	270
var0655	848
var0656	208
var0657	133
var0658	405
var0659	167
var0660	117
var0661	321
var0662	87
var0663	151
var0664	102
var0665	266
var0666	168
var0667	169
var0668	282
var0669	251
var0670	394
var0671	20
var0672	157
var0673	280
var0674	86
var0675	195
var0676	440
var0677	235
var0678	101
var0679	111
var0680	221
var0681	157
var0682	78
var0683	32
var0684	66
var0685	271
var0686	69
var0687	274
var0688	135
var0689	313
var0690	32
var0691	289
var0692	185
var0693	479
var0694	266
var0695	61
var0696	142
var0697	99
var0698	166
var0699	138
var0700	49
var0701	114
var0702	127
var0703	91
var0704	158
var0705	117
var0706	265
var0707	167
var0708	253
var0709	176
var0710	302
var0711	169
var0712	291
var0713	166
var0714	110
var0715	49
var0716	68
var0717	134
var0718	76
var0719	93
var0720	83
var0721	47
var0722	310
var0723	479
var0724	69
var0725	76
var0726	94
var0727	125
var0728	76
var0729	218
var0730	31
var0731	39
var0732	68
var0733	314
var0734	130
var0735	103
var0736	65
var0737	76
var0738	79
var0739	113
var0740	139
var0741	314
var0742	17
var0743	204
var0744	330
var0745	298
var0746	334
var0747	177
var0748	65
var0749	114
var0750	30
var0751	195
var0752	390
var0753	226
var0754	80
var0755	142
var0756	179
var0757	92
var0758	342
var0759	171
var0760	253
var0761	111
var0762	417
var0763	34
var0764	226
var0765	624
var0766	155
var0767	194
var0768	35
var0769	546
var0770	99
var0771	443
var0772	391
var0773	150
var0774	654
var0775	66
var0776	123
var0777	102
var0778	269
var0779	433
var0780	252
var0781	51
var0782	162
var0783	133
var0784	85
var0785	216
var0786	334
var0787	386
var0788	194
var0789	405
var0790	167
var0791	297
var0792	274
var0793	47
var0794	277
var0795	13
var0796	229
var0797	61
var0798	312
var0799	237
var0800	63
var0801	100
var0802	294
var0803	130
var0804	220
var0805	414
var0806	92
var0807	687
var0808	39
var0809	151
var0810	181
var0811	385
var0812	80
var0813	68
var0814	46
var0815	63
var0816	197
var0817	204
var0818	63
var0819	251
var0820	177
var0821	191
var0822	201
var0823	402
var0824	194
var0825	119
var0826	68
var0827	54
var0828	378
var0829	402
var0830	424
var0831	264
var0832	97
var0833	348
var0834	120
var0835	181
var0836	69
var0837	62
var0838	165
var0839	114
var0840	261
var0841	621
var0842	110
var0843	166
var0844	59
var0845	161
var0846	284
var0847	131
var0848	255
var0849	201
var0850	634
var0851	120
var0852	48
var0853	363
var0854	40
var0855	242
var0856	343
var0857	179
var0858	126
var0859	67
var0860	260
var0861	326
var0862	16
var0863	275
var0864	104
var0865	132
var0866	291
var0867	53
var0868	126
var0869	72
var0870	140
var0871	179
var0872	12
var0873	217
var0874	182
var0875	66
var0876	262
var0877	241
var0878	237
var0879	114
var0880	170
var0881	130
var0882	207
var0883	337
var0884	166
var0885	86
var0886	318
var0887	368
var0888	243
var0889	199
var0890	24
var0891	90
var0892	252
var0893	31
var0894	141
var0895	107
var0896	222
var0897	48
var0898	149
var0899	138
var0900	103
var0901	156
var0902	156
var0903	365
var0904	123
var0905	105
var0906	91
var0907	220
var0908	204
var0909	149
var0910	209
var0911	45
var0912	31
var0913	155
var0914	36
var0915	303
var0916	150
var0917	153
var0918	49
var0919	520
var0920	206
var0921	119
var0922	140
var0923	173
var0924	106
var0925	34
var0926	56
var0927	299
var0928	20
var0929	413
var0930	4
var0931	131
var0932	64
var0933	663
var0934	483
var0935	181
var0936	458
var0937	80
var0938	154
var0939	472
var0940	138
var0941	357
var0942	410
var0943	18
var0944	194
var0945	15
var0946	350
var0947	40
var0948	592
var0949	63
var0950	55
var0951	459
var0952	165
var0953	234
var0954	154
var0955	235
var0956	204
var0957	188
var0958	161
var0959	127
var0960	57
var0961	118
var0962	208
var0963	236
var0964	269
var0965	120
var0966	76
var0967	520
var0968	296
var0969	161
var0970	84
var0971	95
