variants	truth	ROSACENP_effects	ROSACENP_tests	SLR_effects	SLR_tests	ENRICH2_effects	ENRICH2_tests	EDGER_effects	EDGER_tests	LIMMA_effects	LIMMA_tests	DIMSUM_effects	DIMSUM_tests
_wt	0	NA	NA	NA	NA	0	NA	3.5990271237766374e-16	0.99999272247028	-1.5712657204859854e-6	0.99980414162633	NA	NA
var0001	0.7112174767587764	0.6796687341	2.577961803629959e-4	0.7054964061157231	6.097557837276042e-13	0.7049528449128248	5.777997900994074e-26	0.1969021340471147	0.02364976005436219	0.20373209698389905	0.01448668438397336	0.1540047116211504	0.2464374610422926
var0002	0.5423941468035132	0.4737859104644	0.03698633418098683	0.4952148759645225	1.024133747366368e-9	0.4926595624290976	6.279937752180408e-26	0.1386936385001955	0.22181086323723256	0.1427885047054644	0.18745899079187495	0.17822188867884328	0.17313485289610941
var0003	-1.2627455417621491	-1.14585855775	3.176920143613659e-53	-1.151536363085544	1.8440925601420453e-15	-1.1696236871213046	1.083553514824491e-51	-0.33641497852051333	4.6939003659005475e-8	-0.33294500024957063	7.61775631097945e-8	-0.30581041424887173	0.020184219206106538
var0004	-1.2087174019012736	-0.65221785825	1.156360940590357e-9	-0.6456549256749033	0.10460142559061188	-1.0617594225246432	3.2618016563815554e-10	0.23788052845996516	0.09196271561878588	-0.18836646485891137	0.13005064331932514	-0.24481962431597443	0.06717200187833625
var0005	-1.2368261915059142	-1.1062455715	1.1269653093786906e-38	-1.1109238201422063	9.351323286069711e-18	-1.1308324698322647	3.75326048534503e-125	-0.3203540268638183	5.9180167294644775e-12	-0.3207381330994296	1.4905894877926904e-11	-0.29291774634545603	0.024691493353565616
var0006	-0.00773831021316562	0.026094155731962502	0.8398937996478003	0.027922355278356976	0.5190353833111759	0.02132830280398834	0.5172981932019023	0.00858256159198478	0.760472731091524	0.00798267359116405	0.7883875548368592	0.01098858847714193	0.9335824713554519
var0007	-0.6229127481084429	-0.49801958	8.814952741509308e-9	-0.5023545296575135	5.703433822568562e-6	-0.5093789931904291	1.422461759953055e-9	-0.15629567960642685	0.13176561004940684	-0.14498264187459348	0.18830779961875604	-0.08532412737589051	0.5287228137815556
var0008	-0.9786355161130844	-0.8599942355	2.120280451592846e-25	-0.8640027101520671	2.986390648271552e-13	-0.8753795203983837	3.9469809309024304e-80	-0.2500535150198536	1.3390522073242082e-8	-0.2496119339197642	3.786171968384707e-8	-0.20318216292355926	0.12389698199647327
var0009	-1.0108166818542097	-1.01470063325	1.584852337405473e-23	-1.016705370432147	1.906105809987947e-11	-1.0195110109159748	5.147600408428079e-69	-0.29380545913422884	3.9241347116348434e-5	-0.2943806918078959	6.581392718257533e-5	-0.3380215813886498	0.013890309136268479
var0010	-0.6288758072996614	-1.230051287	1.0847072555267e-7	-1.1668364009294108	0.18484446207497426	-0.581637012331175	3.879580675589291e-46	-0.6359882955133624	2.739399726818564e-5	-0.339550483381152	0.00733251242942506	-0.7578469298176085	7.4396722484463874e-9
var0011	-1.2528261633674476	-1.03333155975	7.676797667023531e-29	-1.0427618727540717	5.356589412912549e-12	-1.0130370356195617	2.4674422819994392e-74	-0.30242744586911813	1.3678559744161368e-4	-0.30202835467801087	1.275761670537263e-4	-0.24348104398285336	0.07129538429963544
var0012	-1.7054943072992623	-1.7188229675	3.3957186384172876e-76	-1.7312678930077625	7.877393431126705e-21	-1.7305141605769363	4.2177833887870524e-290	-0.49771246325120416	1.7648475933528786e-6	-0.5005422225443262	1.0621994751911714e-6	-0.3820664863641701	0.004299477109006451
var0013	-1.2077077075405018	-1.21437680325	6.383887407237848e-56	-1.2212903504072246	1.8842214679229894e-15	-1.2258643927484294	1.583249435088647e-83	-0.3496779288602313	8.840099672274998e-8	-0.3529550146503614	1.0942562339318825e-7	-0.22555361091293663	0.08910084677696425
var0014	-0.7079613372336557	-0.6481490795	4.8628393268149806e-17	-0.6546263794542229	1.3542119268567676e-8	-0.6539446119724823	2.1538200182602546e-16	-0.1815808816594363	0.02937302343318808	-0.18883651615389752	0.0236612187425335	-0.014072341627461979	0.9154466411320876
var0015	-0.7422324781853296	-0.85121676	9.664904797578516e-20	-0.8614031858583023	1.5431465676836297e-12	-0.844148419503062	2.4610658106978467e-41	-0.24446483288013984	0.00108693609253823	-0.247877806442262	8.470690908192947e-4	-0.12122536850864513	0.3650362666535084
var0016	-0.8660188942577551	-0.94699193975	9.819584102141428e-31	-0.952434619626894	1.1695469160494266e-10	-0.9403444761401538	1.6629731921421055e-16	-0.2735542087266521	1.26685355169923e-5	-0.27543020905220994	2.3952070326816453e-5	-0.26010971734004473	0.05202884024133323
var0017	-0.17046897737251876	-0.178054134386375	0.14561185000022045	-0.1822848658967255	0.03870805766144174	-0.17696487305181274	0.0677577881872931	-0.03686179285890825	0.6197094603081622	-0.05308222363907113	0.4617416478180835	0.03928338459471739	0.7696523520618724
var0018	-0.23614007433272133	-0.29547929045	4.590350213375107e-5	-0.2953161074631712	2.0070314207303586e-4	-0.3047319028759047	1.640730663248814e-4	-0.08616645505041755	0.00345451255878333	-0.08527619162549603	0.00588716718842334	-0.14830376444664067	0.26284375634986207
var0019	-1.3290665754492914	-1.22497140775	8.344601605544829e-41	-1.2352589308228559	1.9023613520824218e-15	-1.2631063294863984	6.648775780429198e-137	-0.359757705256526	1.2206286544397037e-7	-0.35586654387101424	2.1223215978003387e-7	-0.30084181994156683	0.024389960889334338
var0020	0.6421439557115627	0.602069514	1.6017622934643259e-6	0.6123259067564066	4.774896500381786e-13	0.5856582069358413	3.3680795332094757e-41	0.17581500996614216	0.02482077887957159	0.17663025977427846	0.0282803410860621	0.15228980461474764	0.24823510957313988
var0021	0.5939190890427626	0.49818417545	7.225617701942943e-4	0.5096690857904554	1.1098862219862498e-11	0.5045409380009445	3.293405145493545e-23	0.15075550212234376	0.0036311309169522	0.14685749161652098	0.00310105124130893	0.09190880274726143	0.49256633518709353
var0022	0.24760606990579911	0.147973067531	0.16444524894540408	0.15042435367771212	0.15541595353886922	0.1703606472397214	0.13523258255367904	0.07191697060905422	0.44883094648636823	0.0430828711408697	0.6669732619735483	-0.03041419875148798	0.8220364211003547
var0023	-2.299698318735631	-2.0060958175	5.396231045242729e-72	-2.0166450788107095	4.3016058170726673e-13	-2.1406147301213765	1.7851721392274324e-90	-0.5728362566063039	5.389765382289324e-12	-0.5912014857581244	2.1468282139929448e-11	-0.5555863509013682	3.0164160641085267e-5
var0024	-0.04479802461779814	-0.0271993183725	0.8210366436811807	-0.031018308710345575	0.6639732850731183	-0.0335660025382807	0.5308546203893126	-0.01222018484351631	0.8778879145754179	-0.00879766612224816	0.9113909428275035	0.055743540906336625	0.6712439684955529
var0025	-2.2508291443700545	-2.2150976375	1.3380589729441316e-41	-2.2886526145073014	2.1630315130536552e-12	-2.040229075107046	7.515209182815473e-30	-0.5845267366990499	6.376890722829027e-8	-0.6500251425899125	4.1280938271480264e-8	-0.40043637140112515	0.004931743729258427
var0026	-1.0477791652175106	-1.06939107075	9.256013863937265e-40	-1.076753485697662	4.558361613141967e-9	-1.0823175783101424	2.912821549486764e-35	-0.3197485477033744	0.00502078137280835	-0.31058428643134883	0.00658315741967342	-0.2108602322292685	0.12614491573286252
var0027	-1.4690890987225669	-1.378474375	3.566037590141728e-41	-1.3916039394419228	6.4736227365636425e-19	-1.3971634703086724	2.991876421822124e-127	-0.40139784251090344	1.2458815894179347e-14	-0.4013180335587604	5.771484861717897e-14	-0.38829489184032573	0.004065555602552747
var0028	-0.7450032822449704	-0.663861757	1.8755239593513183e-18	-0.6673494415826874	5.676420090194908e-12	-0.702651017599954	1.8165727438206588e-134	-0.19549629422268755	0.00414649667077831	-0.1927660353288003	0.00592739525479393	-0.12038417482054886	0.36010646549872494
