	count
_wt	26138
var0001	189
var0002	50
var0003	95
var0004	11
var0005	148
var0006	165
var0007	883
var0008	23
var0009	115
var0010	697
var0011	28
var0012	24
var0013	535
var0014	121
var0015	323
var0016	939
var0017	138
var0018	92
var0019	17
var0020	45
var0021	13
var0022	64
var0023	11
var0024	106
var0025	81
var0026	209
var0027	155
var0028	159
var0029	4
var0030	92
var0031	113
var0032	7
var0033	217
var0034	153
var0035	920
var0036	132
var0037	3013
var0038	3
var0039	105
var0040	163
var0041	107
var0042	325
var0043	80
var0044	118
var0045	29
var0046	5
var0047	33
var0048	234
var0049	124
var0050	31
var0051	4
var0052	69
var0053	83
var0054	258
var0055	211
var0056	14
var0057	12
var0058	46
var0059	163
var0060	467
var0061	385
var0062	430
var0063	25
var0064	214
var0065	90
var0066	137
var0067	173
var0068	46
var0069	204
var0070	284
var0071	498
var0072	259
var0073	255
var0074	262
var0075	453
var0076	226
var0077	134
var0078	387
var0079	33
var0080	14
var0081	7
var0082	265
var0083	544
var0084	287
var0085	178
var0086	62
var0087	24
var0088	996
var0089	46
var0090	167
var0091	14
var0092	62
var0093	279
var0094	1
var0095	431
var0096	455
var0097	64
var0098	65
var0099	421
var0100	134
var0101	215
var0102	116
var0103	41
var0104	372
var0105	10
var0106	179
var0107	16
var0108	817
var0109	10
var0110	2
var0111	226
var0112	230
var0113	257
var0114	164
var0115	1997
var0116	165
var0117	164
var0118	818
var0119	117
var0120	116
var0121	124
var0122	521
var0123	284
var0124	1645
var0125	84
var0126	69
var0127	42
var0128	509
var0129	59
var0130	106
var0131	541
var0132	216
var0133	16
var0134	83
var0135	122
var0136	91
var0137	61
var0138	181
var0139	216
var0140	97
var0141	104
var0142	240
var0143	316
var0144	77
var0145	33
var0146	18
var0147	185
var0148	42
var0149	20
var0150	242
var0151	20
var0152	18
var0153	74
var0154	444
var0155	29
var0156	95
var0157	524
var0158	30
var0159	52
var0160	10
var0161	116
var0162	91
var0163	448
var0164	193
var0165	61
var0166	22
var0167	232
var0168	182
var0169	103
var0170	159
var0171	11
var0172	789
var0173	634
var0174	73
var0175	99
var0176	51
var0177	11
var0178	97
var0179	19
var0180	33
var0181	31
var0182	167
var0183	3
var0184	149
var0185	46
var0186	18
var0187	163
var0188	7
var0189	206
var0190	43
var0191	550
var0192	156
var0193	4
var0194	86
var0195	38
var0196	202
var0197	13
var0198	95
var0199	3
var0200	478
var0202	55
var0203	63
var0204	793
var0205	38
var0206	22
var0207	548
var0208	108
var0209	166
var0210	11
var0211	70
var0212	1403
var0213	586
var0214	152
var0215	8
var0216	77
var0217	325
var0218	14
var0219	189
var0220	54
var0221	1249
var0222	468
var0223	415
var0224	198
var0225	53
var0226	88
var0227	40
var0228	180
var0229	97
var0230	37
var0231	74
var0232	8
var0233	118
var0234	94
var0235	201
var0236	106
var0237	94
var0238	141
var0239	34
var0240	71
var0241	47
var0242	8
var0243	315
var0244	191
var0245	160
var0246	979
var0247	1655
var0248	121
var0249	69
var0250	187
var0251	269
var0252	82
var0253	124
var0254	484
var0255	15
var0256	7
var0257	583
var0258	311
var0259	484
var0260	546
var0261	134
var0262	585
var0263	89
var0264	277
var0265	1086
var0266	150
var0267	81
var0268	59
var0269	336
var0270	174
var0271	455
var0272	281
var0273	44
var0274	256
var0275	50
var0276	441
var0277	19
var0278	986
var0279	64
var0280	318
var0281	93
var0282	160
var0283	570
var0284	92
var0285	139
var0286	225
var0287	119
var0288	46
var0289	94
var0290	39
var0291	161
