variants	truth	ROSACENP_effects	ROSACENP_tests	SLR_effects	SLR_tests	ENRICH2_effects	ENRICH2_tests	EDGER_effects	EDGER_tests	LIMMA_effects	LIMMA_tests	DIMSUM_effects	DIMSUM_tests
_wt	0	NA	NA	NA	NA	0	NA	1.60036014942642e-16	1	-1.3405637465304482e-6	0.9997270270203924	NA	NA
var0001	0.7112174767587764	0.6876065125	3.2925865759624257e-31	0.6892959560544112	4.356362468680634e-19	0.6855354815068856	1.1227146597797448e-203	0.19598450010622137	0.01582808370349458	0.1988000026628412	0.01148192107908831	0.15986965511045897	4.2581380031675805e-4
var0002	0.5423941468035132	0.5214484745	2.1565848427923384e-18	0.5208225812937176	2.0111046559600795e-12	0.5257415166217839	3.115255883332369e-44	0.14912233187164947	0.17916510437440272	0.14985722951297506	0.16103425362559193	0.20466416163577716	1.2647950601037734e-6
var0003	-1.2627455417621491	-1.144361509	4.946312758303237e-54	-1.1498542975769241	9.459369755003475e-15	-1.0842673732915873	0	-0.3315703008324657	3.1643283170932336e-8	-0.3329212761477038	2.48251074774746e-8	-0.23632165617259146	1.0038287411533733e-6
var0004	-1.2087174019012736	-1.139626362	3.0041825783222044e-43	-1.1472011995065587	4.6715147589024966e-11	-1.1832977055097968	1.1122385661952743e-96	-0.33682870727879705	2.1680924537257176e-6	-0.32955774419560624	4.002707178364933e-6	-0.18650585150680618	5.890891501737292e-4
var0005	-1.2368261915059142	-1.11929746825	2.098799658871507e-49	-1.1284383360319135	4.774046836950855e-19	-1.1098865949804633	5.032505459947448e-133	-0.32188081079144243	1.1840489528631256e-10	-0.32523304306662565	1.0110409921040811e-10	-0.21579588292979704	2.8138461003834264e-6
var0006	-0.00773831021316562	0.07038040669894526	0.2872506337909402	0.06980741596419933	0.10619930167499965	0.08527664819204235	0.10476120435464813	0.02016750344587912	0.5205736529483947	0.02017162418492595	0.5109693952011171	0.002572395306316317	0.9583431516692819
var0007	-0.6229127481084429	-0.56621383875	1.3758062490723089e-15	-0.5699192909135725	7.080232136488188e-9	-0.552900467583047	4.953460698075899e-12	-0.16106775369510182	0.12563096665377238	-0.16454248741881822	0.14527702977426127	-0.08224348636472185	0.08510502945008974
var0008	-0.9786355161130844	-0.8704625392500001	3.119219415388018e-27	-0.8794858871072817	2.1011960889116525e-12	-0.8595602776973525	1.4734720417852477e-17	-0.2589363770084569	1.074155661362885e-7	-0.2533226456883889	1.8110786496809727e-7	-0.1389812253898724	0.004997192602448167
var0009	-1.0108166818542097	-1.06145140425	6.40699074846394e-36	-1.0654156544108648	7.011081218515624e-14	-1.0823690771509926	1.5698089643790768e-49	-0.3053566848214453	6.2542012514871115e-6	-0.3083674971955645	1.3215855196767007e-5	-0.29876297891849196	2.2767108497699455e-7
