	c_0	c_1	c_2	c_3	c_4	c_5
_wt	20080.0	22514.0	23869.0	25410.0	25909.0	25407.0
var0001	187.0	220.0	299.0	350.0	419.0	494.0
var0002	215.0	246.0	316.0	388.0	474.0	463.0
var0003	171.0	158.0	143.0	95.0	77.0	78.0
var0004	104.0	94.0	62.0	61.0	55.0	44.0
var0005	250.0	215.0	221.0	195.0	134.0	117.0
var0006	212.0	207.0	259.0	273.0	259.0	235.0
var0007	105.0	123.0	123.0	107.0	98.0	66.0
var0008	223.0	205.0	211.0	207.0	158.0	113.0
var0009	154.0	142.0	95.0	80.0	75.0	59.0
var0010	130.0	122.0	124.0	92.0	91.0	66.0
var0011	359.0	284.0	258.0	228.0	161.0	153.0
var0012	472.0	359.0	266.0	195.0	173.0	115.0
var0013	108.0	109.0	107.0	81.0	60.0	42.0
var0014	135.0	128.0	105.0	82.0	66.0	73.0
var0015	139.0	127.0	106.0	92.0	88.0	64.0
var0016	172.0	144.0	132.0	120.0	111.0	99.0
var0017	314.0	325.0	387.0	381.0	407.0	376.0
var0018	205.0	235.0	223.0	227.0	248.0	210.0
var0019	163.0	148.0	117.0	119.0	91.0	55.0
var0020	95.0	113.0	122.0	157.0	153.0	167.0
var0021	149.0	188.0	244.0	247.0	260.0	260.0
var0022	213.0	271.0	340.0	342.0	368.0	351.0
var0023	256.0	168.0	119.0	82.0	54.0	35.0
var0024	135.0	150.0	134.0	172.0	136.0	136.0
var0025	199.0	143.0	105.0	78.0	46.0	26.0
var0026	127.0	128.0	105.0	76.0	76.0	51.0
var0027	198.0	163.0	118.0	111.0	69.0	55.0
var0028	347.0	348.0	312.0	298.0	244.0	227.0
var0029	113.0	96.0	80.0	72.0	58.0	33.0
var0030	193.0	179.0	163.0	160.0	101.0	80.0
var0031	195.0	193.0	191.0	194.0	142.0	160.0
var0032	186.0	207.0	165.0	135.0	119.0	86.0
var0033	191.0	140.0	77.0	57.0	53.0	27.0
var0034	205.0	169.0	154.0	152.0	127.0	96.0
var0035	156.0	170.0	163.0	141.0	140.0	122.0
var0036	117.0	69.0	35.0	24.0	10.0	4.0
var0037	143.0	109.0	60.0	49.0	42.0	35.0
var0038	350.0	450.0	527.0	644.0	761.0	877.0
var0039	202.0	214.0	247.0	247.0	233.0	216.0
var0040	220.0	233.0	237.0	231.0	219.0	202.0
var0041	147.0	125.0	141.0	119.0	128.0	112.0
var0042	225.0	173.0	149.0	111.0	78.0	63.0
var0043	176.0	164.0	148.0	130.0	137.0	127.0
var0044	178.0	182.0	213.0	248.0	289.0	319.0
var0045	88.0	81.0	68.0	63.0	42.0	36.0
var0046	194.0	368.0	447.0	666.0	862.0	1153.0
var0047	176.0	205.0	180.0	206.0	163.0	156.0
var0048	200.0	212.0	221.0	237.0	220.0	192.0
var0049	188.0	222.0	238.0	186.0	192.0	115.0
var0050	221.0	173.0	123.0	113.0	81.0	52.0
var0051	110.0	144.0	156.0	191.0	208.0	266.0
var0052	268.0	264.0	233.0	294.0	212.0	210.0
var0053	128.0	178.0	215.0	295.0	352.0	449.0
