	W_0	W_1	W_2	W_3	W_4	W_5
_wt	10128.75	11324.25	12208.75	12801.75	13047.25	12814.25
var0001	189.70664824685804	264.37745461686154	310.50071769367617	395.3011055566237	428.35110252544285	505.335516753366
var0002	594.5241375179684	720.8057217971187	861.0280027657053	976.7592415192155	1155.9221267946089	1264.8362049779296
var0003	218.12573249340755	197.7580422794118	170.3038452153402	118.94484508027836	89.19407844485181	71.30107976653696
var0004	291.2514596409284	253.6276031434185	225.3999289916819	206.81581241283126	171.36716221875358	130.8287170031056
var0005	290.27996058777734	243.84604717187162	185.0863172654853	163.4498505898789	163.46948665219543	128.84893042938117
var0006	213.23163434767744	227.19777734067662	230.30704868154157	269.63030414283503	273.60089681847484	259.8386022169866
var0007	43.406790305896266	75.24915287801444	48.40385637210824	56.375594310210445	35.45176999617298	55.38007125058402
var0008	249.3914553876158	234.05594275726457	203.78492669455386	179.23641599441513	145.68211005678137	98.12287674427645
var0009	169.0769409633836	179.07285689254897	136.73004479739362	140.72228588075353	97.137055207697	108.04259431946225
var0010	363.8454406631763	388.71210510328063	353.312631175331	325.3134326919369	306.8487881083128	241.2082463667285
var0011	101.98397593320236	93.11559009761675	89.17314440772024	67.32251373144794	55.38220841300191	37.44520961583417
var0012	139.5322458084126	106.9921669010371	76.26107414060587	70.30640920775882	45.42080145371079	34.453619997662
var0013	231.81650156158503	199.72309628008753	172.27588345329593	132.80752418696818	110.03404884564013	75.27823490507313
var0014	178.90589832664645	177.1041858325667	170.3038452153402	144.6778224397064	158.5309952769102	128.84893042938117
var0015	200.495784457478	223.276941068462	177.2045759473085	221.56589034731095	158.5309952769102	137.7555497341561
var0016	232.7936978480457	218.37396694214877	245.99646274223625	176.27792754353982	187.14809002016514	157.52577849303913
var0017	160.2226480238993	172.1809985978442	168.33148615121812	177.26416686060043	189.11935514552027	161.47614477918654
var0018	156.28490080822925	180.05706307490144	161.42570179007322	155.54921389751553	154.57884761904762	131.8184950118396
var0019	124.72728499239562	122.8302191287546	84.2085850134683	78.26005568102173	54.38641057019389	42.42963850259048
var0020	310.66160744665336	403.1922134524481	506.75982554642076	546.577278113294	616.5784909825638	772.491967833491
var0021	130.651883368483	151.48003377044867	237.17367279068827	244.14942940038685	292.19116142478214	252.97796901560812
var0022	89.10631788470045	93.11559009761675	99.09618835909778	117.95407627711687	138.75820500114355	122.90772561354457
var0023	274.72310820023375	210.52474738637858	152.54105449513654	96.13765564202335	63.345850217906566	49.40457784874211
var0024	298.0493069066148	379.0482221932795	413.38105926403097	434.01594355922435	427.3836273512006	414.67995201535507
var0025	112.86761818271071	95.09900413295814	58.360179359372445	33.45622537738425	20.483907715872103	18.48665535930128
var0026	79.18922407434725	78.22885774629296	53.38303502104532	54.384236885182005	51.39856000917923	40.43609996493826
var0027	174.97546980522657	154.43964874583406	133.76318629846855	109.03368918445923	77.27050855876509	43.42629129012154
var0028	199.51543330563567	194.8098161523309	165.37234583468924	164.4370852574799	192.0756904290931	146.6559493327126
var0029	274.72310820023375	224.2572786885246	181.146087398374	138.74405663675563	83.23365994346398	53.38855034654622
var0030	159.2383558624743	175.13516976998903	141.67319828990227	110.02515166835185	87.20757581544572	49.40457784874211
var0031	98.02337148752211	101.04715384615385	111.98405014268243	93.15979491769468	117.96430206386145	107.05096945912341
var0032	217.14710406797872	191.86081560283688	159.4518980388966	119.93553685274452	108.050728924169	95.14545754937024
var0033	142.4906254595363	95.09900413295814	58.360179359372445	49.40448485557244	20.483907715872103	12.493906243906244
var0034	193.63131325477923	210.52474738637858	180.16082970852472	159.50014555193295	145.68211005678137	102.09168901325249
var0035	81.17342298048085	103.02917325949367	73.27941897023398	87.20198707718656	86.21421068713953	41.43290806388781
