	c_0	c_1	c_2	c_3	c_4	c_5
_wt	18116.0	20857.0	23096.0	24024.0	23184.0	22531.0
var0001	177.0	217.0	277.0	348.0	385.0	415.0
var0002	172.0	247.0	297.0	360.0	397.0	408.0
var0003	134.0	140.0	123.0	95.0	66.0	58.0
var0004	99.0	74.0	68.0	72.0	60.0	46.0
var0005	253.0	215.0	174.0	180.0	139.0	118.0
var0006	177.0	227.0	254.0	265.0	246.0	247.0
var0007	85.0	109.0	109.0	98.0	95.0	85.0
var0008	191.0	208.0	193.0	157.0	122.0	121.0
var0009	116.0	102.0	97.0	68.0	66.0	47.0
var0010	5734.0	112.0	106.0	103.0	64.0	82.0
var0011	290.0	283.0	257.0	229.0	162.0	139.0
var0012	411.0	355.0	254.0	233.0	135.0	91.0
var0013	110.0	108.0	96.0	73.0	40.0	47.0
var0014	103.0	127.0	93.0	69.0	69.0	66.0
var0015	105.0	105.0	92.0	94.0	57.0	53.0
var0016	133.0	140.0	140.0	128.0	113.0	89.0
var0017	267.0	296.0	361.0	352.0	366.0	342.0
var0018	172.0	181.0	216.0	229.0	205.0	182.0
var0019	141.0	154.0	109.0	126.0	66.0	64.0
var0020	74.0	99.0	131.0	155.0	152.0	163.0
var0021	147.0	169.0	225.0	245.0	260.0	247.0
var0022	212.0	290.0	295.0	383.0	332.0	306.0
var0023	226.0	172.0	35.0	84.0	60.0	48.0
var0024	126.0	155.0	135.0	150.0	160.0	113.0
var0025	170.0	137.0	104.0	62.0	49.0	27.0
var0026	118.0	105.0	98.0	94.0	46.0	52.0
var0027	158.0	167.0	108.0	99.0	60.0	55.0
var0028	329.0	320.0	293.0	278.0	262.0	198.0
var0029	118.0	85.0	73.0	68.0	36.0	21.0
var0030	192.0	155.0	160.0	113.0	102.0	88.0
var0031	173.0	176.0	162.0	152.0	151.0	130.0
var0032	172.0	180.0	183.0	136.0	122.0	60.0
var0033	168.0	121.0	87.0	73.0	41.0	34.0
var0034	199.0	183.0	145.0	149.0	124.0	79.0
var0035	166.0	165.0	148.0	138.0	132.0	103.0
var0036	106.0	61.0	39.0	33.0	9.0	8.0
var0037	143.0	112.0	75.0	60.0	36.0	27.0
var0038	259.0	377.0	495.0	614.0	668.0	722.0
var0039	194.0	202.0	195.0	219.0	205.0	205.0
var0040	215.0	249.0	207.0	203.0	201.0	178.0
var0041	128.0	118.0	135.0	139.0	110.0	121.0
var0042	197.0	186.0	143.0	102.0	50.0	61.0
var0043	174.0	158.0	152.0	143.0	145.0	106.0
var0044	143.0	159.0	193.0	270.0	256.0	251.0
var0045	66.0	70.0	68.0	62.0	44.0	33.0
var0046	181.0	270.0	409.0	604.0	760.0	1021.0
var0047	153.0	8938.0	182.0	195.0	169.0	145.0
var0048	173.0	232.0	233.0	244.0	189.0	198.0
var0049	187.0	185.0	189.0	163.0	147.0	135.0
var0050	176.0	171.0	133.0	105.0	69.0	42.0
var0051	116.0	133.0	149.0	191.0	225.0	257.0
var0052	10702.0	233.0	267.0	231.0	197.0	175.0
var0053	104.0	150.0	189.0	257.0	336.0	390.0
var0054	96.0	137.0	219.0	280.0	357.0	475.0
var0055	161.0	244.0	69.0	439.0	502.0	707.0
var0056	250.0	178.0	97.0	77.0	54.0	23.0
var0057	129.0	119.0	122.0	129.0	97.0	81.0
var0058	191.0	167.0	120.0	81.0	48.0	40.0
var0059	194.0	213.0	211.0	175.0	145.0	134.0
var0060	314.0	366.0	379.0	406.0	374.0	360.0
var0061	174.0	205.0	233.0	318.0	301.0	289.0
var0062	143.0	155.0	135.0	134.0	111.0	120.0
var0063	192.0	244.0	332.0	433.0	468.0	585.0
var0064	189.0	247.0	252.0	263.0	239.0	223.0
var0065	177.0	192.0	263.0	290.0	256.0	242.0
var0066	175.0	149.0	134.0	105.0	65.0	56.0
var0067	433.0	467.0	484.0	427.0	376.0	340.0
var0068	282.0	289.0	272.0	292.0	238.0	210.0
var0069	348.0	485.0	568.0	657.0	687.0	788.0
var0070	270.0	218.0	112.0	79.0	38.0	29.0
var0071	193.0	175.0	108.0	81.0	62.0	32.0
var0072	135.0	157.0	173.0	167.0	166.0	149.0
var0073	121.0	129.0	160.0	164.0	181.0	150.0
var0074	161.0	167.0	183.0	197.0	186.0	148.0
var0075	156.0	157.0	141.0	152.0	94.0	94.0
var0076	132.0	90.0	81.0	69.0	45.0	37.0
var0077	227.0	163.0	99.0	3834.0	54.0	26.0
var0078	287.0	321.0	389.0	392.0	361.0	352.0
var0079	126.0	78.0	67.0	26.0	24.0	8.0
var0080	243.0	312.0	436.0	506.0	553.0	635.0
var0081	156.0	127.0	108.0	78.0	81.0	65.0
var0082	117.0	93.0	64.0	42.0	16.0	23.0
var0083	120.0	131.0	147.0	108.0	109.0	107.0
var0084	204.0	144.0	99.0	79.0	43.0	34.0
var0085	182.0	153.0	109.0	155.0	115.0	81.0
var0086	110.0	76.0	49.0	44.0	23.0	11.0
var0087	162.0	167.0	234.0	227.0	258.0	311.0
var0088	83.0	96.0	90.0	83.0	83.0	55.0
var0089	253.0	245.0	257.0	204.0	157.0	131.0
var0090	89.0	129.0	134.0	164.0	168.0	164.0
var0091	231.0	248.0	249.0	247.0	229.0	185.0
var0092	158.0	165.0	163.0	179.0	182.0	156.0
var0093	160.0	164.0	158.0	140.0	119.0	87.0
var0094	205.0	197.0	161.0	124.0	105.0	77.0
var0095	155.0	172.0	182.0	167.0	196.0	181.0
var0096	304.0	265.0	268.0	261.0	309.0	283.0
var0097	160.0	188.0	202.0	211.0	189.0	192.0
var0098	230.0	266.0	211.0	239.0	172.0	143.0
var0099	176.0	216.0	273.0	348.0	330.0	338.0
var0100	103.0	133.0	173.0	205.0	185.0	170.0
var0101	149.0	161.0	168.0	104.0	106.0	86.0
var0102	316.0	253.0	173.0	172.0	99.0	73.0
var0103	216.0	160.0	163.0	117.0	82.0	62.0
var0104	155.0	158.0	119.0	108.0	92.0	69.0
var0105	168.0	158.0	135.0	119.0	89.0	91.0
var0106	187.0	208.0	174.0	178.0	138.0	144.0
var0107	332.0	384.0	416.0	357.0	328.0	322.0
var0108	195.0	209.0	200.0	182.0	170.0	139.0
var0109	102.0	121.0	78.0	52.0	52.0	48.0
var0110	197.0	159.0	133.0	96.0	108.0	62.0
var0111	270.0	176.0	94.0	81.0	61.0	21.0
var0112	153.0	128.0	107.0	83.0	50.0	44.0
var0113	102.0	109.0	110.0	73.0	72.0	40.0
var0114	272.0	317.0	320.0	326.0	354.0	360.0
var0115	140.0	123.0	100.0	69.0	35.0	29.0
var0116	155.0	150.0	183.0	154.0	137.0	145.0
var0117	192.0	170.0	190.0	144.0	120.0	114.0
var0118	73.0	53.0	44.0	50.0	31.0	18.0
var0119	192.0	225.0	224.0	224.0	193.0	208.0
var0120	254.0	259.0	325.0	284.0	243.0	230.0
var0121	187.0	189.0	214.0	238.0	222.0	224.0
var0122	84.0	106.0	94.0	84.0	83.0	61.0
var0123	113.0	102.0	129.0	104.0	91.0	99.0
var0124	226.0	302.0	339.0	427.0	355.0	314.0
var0125	208.0	258.0	285.0	281.0	339.0	296.0
var0126	294.0	308.0	292.0	292.0	287.0	288.0
var0127	174.0	181.0	169.0	151.0	130.0	97.0
var0128	226.0	217.0	214.0	179.0	152.0	134.0
var0129	244.0	414.0	580.0	725.0	1034.0	1276.0
var0130	164.0	230.0	343.0	457.0	553.0	651.0
var0131	131.0	129.0	121.0	103.0	91.0	38.0
var0132	272.0	347.0	405.0	477.0	519.0	530.0
var0133	118.0	199.0	202.0	258.0	273.0	264.0
var0134	452.0	386.0	335.0	255.0	224.0	151.0
var0135	160.0	171.0	169.0	147.0	130.0	118.0
var0136	98.0	78.0	57.0	42.0	26.0	20.0
var0137	131.0	93.0	89.0	69.0	59.0	39.0
var0138	272.0	217.0	201.0	196.0	147.0	123.0
var0139	203.0	204.0	209.0	166.0	143.0	125.0
var0140	188.0	169.0	115.0	107.0	75.0	60.0
var0141	148.0	203.0	232.0	258.0	321.0	314.0
var0142	131.0	129.0	137.0	105.0	103.0	82.0
var0143	159.0	165.0	166.0	129.0	112.0	74.0
var0144	165.0	132.0	106.0	69.0	64.0	36.0
var0145	296.0	291.0	218.0	222.0	177.0	134.0
var0146	245.0	312.0	324.0	345.0	286.0	254.0
var0147	138.0	105.0	87.0	52.0	31.0	22.0
var0148	265.0	259.0	200.0	182.0	148.0	103.0
var0149	219.0	242.0	274.0	241.0	235.0	221.0
var0150	277.0	198.0	162.0	146.0	87.0	73.0
var0151	105.0	72.0	54.0	43.0	18.0	5.0
var0152	97.0	101.0	85.0	86.0	50.0	77.0
var0153	183.0	272.0	327.0	479.0	558.0	719.0
var0154	386.0	309.0	265.0	220.0	145.0	122.0
var0155	153.0	149.0	172.0	111.0	94.0	77.0
var0156	82.0	88.0	91.0	95.0	109.0	103.0
var0157	315.0	360.0	344.0	383.0	328.0	276.0
var0158	104.0	120.0	111.0	142.0	120.0	130.0
var0159	158.0	137.0	112.0	77.0	81.0	60.0
var0160	107.0	126.0	132.0	157.0	116.0	84.0
var0161	156.0	148.0	135.0	104.0	74.0	46.0
var0162	202.0	264.0	294.0	280.0	251.0	251.0
var0163	145.0	196.0	252.0	338.0	456.0	588.0
