	c_0	c_1	c_2	c_3	c_4	c_5
_wt	18342.0	21862.0	23534.0	25131.0	26678.0	25574.0
var0001	347.0	369.0	467.0	423.0	458.0	388.0
var0002	264.0	198.0	158.0	127.0	83.0	57.0
var0003	162.0	116.0	141.0	142.0	136.0	135.0
var0004	134.0	89.0	78.0	56.0	29.0	21.0
var0005	174.0	252.0	266.0	274.0	338.0	363.0
var0006	226.0	245.0	221.0	215.0	232.0	169.0
var0007	184.0	282.0	299.0	388.0	453.0	462.0
var0008	157.0	112.0	86.0	55.0	60.0	31.0
var0009	222.0	242.0	207.0	200.0	197.0	179.0
var0010	101.0	177.0	235.0	366.0	472.0	537.0
var0011	57.0	57.0	52.0	35.0	37.0	26.0
var0012	150.0	143.0	119.0	74.0	61.0	46.0
var0013	103.0	155.0	176.0	233.0	262.0	297.0
var0014	163.0	173.0	141.0	148.0	180.0	154.0
var0015	218.0	264.0	271.0	263.0	302.0	310.0
var0016	110.0	170.0	239.0	311.0	404.0	535.0
var0017	213.0	274.0	262.0	250.0	310.0	256.0
var0018	66.0	80.0	70.0	52.0	51.0	28.0
var0019	162.0	130.0	80.0	47.0	41.0	32.0
var0020	84.0	94.0	85.0	78.0	53.0	35.0
var0021	212.0	132.0	94.0	66.0	29.0	22.0
var0022	134.0	96.0	90.0	63.0	57.0	48.0
var0023	207.0	100.0	76.0	50.0	25.0	12.0
var0024	142.0	179.0	146.0	163.0	142.0	146.0
var0025	100.0	98.0	81.0	74.0	48.0	41.0
var0026	156.0	160.0	169.0	196.0	213.0	200.0
var0027	247.0	251.0	322.0	351.0	363.0	380.0
var0028	131.0	153.0	153.0	178.0	155.0	160.0
var0029	184.0	90.0	20.0	14.0	9.0	5.0
var0030	199.0	176.0	134.0	147.0	117.0	86.0
var0031	234.0	221.0	189.0	139.0	127.0	100.0
var0032	181.0	93.0	51.0	23.0	11.0	9.0
var0033	92.0	79.0	63.0	62.0	56.0	39.0
var0034	155.0	157.0	145.0	141.0	124.0	138.0
var0035	213.0	359.0	21200.0	543.0	721.0	836.0
var0036	177.0	173.0	182.0	185.0	177.0	181.0
var0037	219.0	395.0	664.0	1119.0	1691.0	2443.0
var0038	86.0	68.0	40.0	15.0	6.0	3.0
var0039	131.0	170.0	138.0	139.0	123.0	111.0
var0040	262.0	277.0	264.0	280.0	329.0	328.0
var0041	67.0	73.0	88.0	55.0	44.0	24.0
var0042	125.0	153.0	171.0	172.0	173.0	181.0
var0043	128.0	141.0	105.0	113.0	114.0	83.0
var0044	243.0	327.0	310.0	313.0	355.0	349.0
var0045	132.0	112.0	51.0	47.0	28.0	10.0
var0046	187.0	96.0	54.0	25.0	27.0	9.0
var0047	154.0	123.0	90.0	51.0	42.0	25.0
var0048	224.0	259.0	274.0	348.0	304.0	351.0
var0049	264.0	343.0	326.0	359.0	401.0	395.0
var0050	211.0	174.0	147.0	87.0	37.0	31.0
var0051	210.0	153.0	107.0	75.0	41.0	36.0
