	count
_wt	26207
var0001	356
var0002	464
var0003	125
var0004	74
var0005	149
var0006	202
var0007	373
var0008	121
var0009	49
var0010	132
var0011	88
var0012	99
var0013	140
var0014	205
var0015	110
var0016	65
var0017	122
var0018	186
var0019	83
var0020	324
var0021	298
var0022	164
var0023	38
var0024	423
var0025	36
var0026	73
var0027	67
var0028	168
var0029	58
var0030	58
var0031	193
var0032	131
var0033	118
var0034	88
var0035	140
var0036	30
var0037	49
var0038	278
var0039	326
var0040	191
var0041	112
var0042	52
var0043	186
var0044	597
var0045	280
var0046	1018
var0047	279
var0048	190
var0049	86
var0050	119
var0051	412
var0052	157
var0053	1048
var0054	850
var0055	522
var0056	62
var0057	95
var0058	53
var0059	164
var0060	120
var0061	182
var0062	224
var0063	252
var0064	171
var0065	188
var0066	106
var0067	283
var0068	198
var0069	612
var0070	111
var0071	59
var0072	127
var0073	531
var0074	158
var0075	169
var0076	78
var0077	18
var0078	378
var0079	44
var0080	513
var0081	153
var0082	18
var0083	91
var0084	31
var0085	81
var0086	44
var0087	477
var0088	107
var0089	171
var0090	202
var0091	366
var0092	250
var0093	62
var0094	92
var0095	263
var0096	204
var0097	333
var0098	128
var0099	442
var0100	148
var0101	161
var0102	57
var0103	72
var0104	54
var0105	50
var0106	126
var0107	195
var0108	258
var0109	56
var0110	77
var0111	57
var0112	51
var0113	48
var0114	70
var0115	68
var0116	235
var0117	143
var0118	70
var0119	433
var0120	187
var0121	490
var0122	142
var0123	269
var0124	248
var0125	265
var0126	227
var0127	246
var0128	102
var0129	593
var0130	881
var0131	52
var0132	503
var0133	326
var0134	30
var0135	147
var0136	68
var0137	86
var0138	88
var0139	137
var0140	107
var0141	281
var0142	197
var0143	158
var0144	105
var0145	146
var0146	104
var0147	41
var0148	112
var0149	52
var0150	99
var0151	45
var0152	107
var0153	694
var0154	69
var0155	116
var0156	424
var0157	314
var0158	224
var0159	56
var0160	99
var0161	99
var0162	250
var0163	739
var0164	377
var0165	133
var0166	240
var0167	466
var0168	26
var0169	98
var0170	267
var0171	157
var0172	329
var0173	309
var0174	111
var0175	32
var0176	31
var0177	163
var0178	91
var0179	573
var0180	86
var0181	547
var0182	223
var0183	821
var0184	135
var0185	82
var0186	477
var0187	29
var0188	157
var0189	87
var0190	377
var0191	95
var0192	247
var0193	46
var0194	246
var0195	86
var0196	323
var0197	188
var0198	78
var0199	137
var0200	214
var0201	219
var0202	92
var0203	312
var0204	183
var0205	122
var0206	157
var0207	145
var0208	240
var0209	160
var0210	198
var0211	168
var0212	117
var0213	338
var0214	39
var0215	106
var0216	124
var0217	432
var0218	51
var0219	1026
var0220	68
var0221	189
var0222	51
var0223	32
var0224	297
var0225	369
var0226	91
var0227	51
var0228	185
var0229	51
var0230	78
var0231	55
var0232	105
var0233	50
var0234	99
var0235	252
var0236	69
var0237	161
var0238	563
var0239	245
var0240	99
var0241	313
var0242	183
var0243	91
var0244	109
var0245	610
var0246	142
var0247	164
var0248	182
var0249	91
var0250	50
var0251	103
var0252	461
var0253	117
var0254	434
var0255	308
var0256	533
var0257	222
var0258	71
var0259	159
var0260	325
var0261	92
var0262	210
var0263	153
var0264	127
var0265	312
var0266	178
var0267	336
var0268	33
var0269	60
var0270	37
var0271	206
var0272	105
var0273	134
var0274	45
var0275	605
var0276	34
var0277	68
var0278	82
var0279	182
var0280	246
var0281	218
var0282	159
var0283	150
var0284	194
var0285	56
var0286	255
var0287	184
var0288	656
var0289	209
var0290	138
var0291	205
var0292	156
var0293	85
var0294	496
var0295	60
var0296	414
var0297	137
var0298	162
var0299	361
var0300	304
var0301	598
var0302	46
var0303	190
var0304	84
var0305	171
var0306	298
var0307	781
var0308	61
var0309	294
var0310	78
var0311	130
var0312	1082
var0313	113
var0314	135
var0315	289
var0316	115
var0317	70
var0318	45
var0319	119
var0320	75
var0321	153
var0322	281
var0323	99
var0324	215
var0325	120
var0326	38
var0327	162
var0328	246
var0329	35
var0330	36
var0331	38
var0332	233
var0333	167
var0334	57
var0335	153
var0336	258
var0337	381
var0338	299
var0339	268
var0340	81
var0341	200
var0342	18
var0343	182
var0344	328
var0345	218
var0346	282
var0347	189
var0348	158
var0349	172
var0350	40
var0351	266
var0352	97
var0353	615
var0354	194
var0355	18
var0356	59
var0357	97
var0358	61
var0359	193
var0360	197
var0361	158
var0362	121
var0363	96
var0364	702
var0365	82
var0366	124
var0367	45
var0368	184
var0369	59
var0370	191
var0371	17
var0372	1384
var0373	182
var0374	140
var0375	95
var0376	14
var0377	229
var0378	63
var0379	125
var0380	115
var0381	65
var0382	158
var0383	291
var0384	18
var0385	124
var0386	173
var0387	76
var0388	51
var0389	102
var0390	102
var0391	280
var0392	137
var0393	64
var0394	84
var0395	93
var0396	135
var0397	53
var0398	63
var0399	81
var0400	16
var0401	202
var0402	46
var0403	55
var0404	74
var0405	91
var0406	140
var0407	73
var0408	147
var0409	44
var0410	136
var0411	214
var0412	452
var0413	262
var0414	76
var0415	86
var0416	68
var0417	64
var0418	148
var0419	158
var0420	61
var0421	74
var0422	109
var0423	35
var0424	325
var0425	181
var0426	11
var0427	18
var0428	94
var0429	75
var0430	223
var0431	146
var0432	446
var0433	78
var0434	14
var0435	223
var0436	86
var0437	386
var0438	20
var0439	181
var0440	55
var0441	34
var0442	247
var0443	187
var0444	155
var0445	110
var0446	44
var0447	125
var0448	252
var0449	271
var0450	215
var0451	102
var0452	74
var0453	237
var0454	365
var0455	289
var0456	123
var0457	125
var0458	85
var0459	256
var0460	100
var0461	77
var0462	76
var0463	21
var0464	19
var0465	70
var0466	32
var0467	209
var0468	347
var0469	178
var0470	155
var0471	200
var0472	245
var0473	75
var0474	542
var0475	229
var0476	307
var0477	98
var0478	49
var0479	196
var0480	508
var0481	89
var0482	136
var0483	189
var0484	130
var0485	53
var0486	42
var0487	705
var0488	107
var0489	57
var0490	45
var0491	828
var0492	95
var0493	53
var0494	25
var0495	371
var0496	208
var0497	114
var0498	81
var0499	42
var0500	193
var0501	183
var0502	164
var0503	35
var0504	57
var0505	346
var0506	131
var0507	302
var0508	445
var0509	194
var0510	62
var0511	145
var0512	208
var0513	71
var0514	729
var0515	71
var0516	208
var0517	163
var0518	329
var0519	363
var0520	113
var0521	275
var0522	267
var0523	138
var0524	56
var0525	267
var0526	189
var0527	483
var0528	32
var0529	148
var0530	160
var0531	138
var0532	261
var0533	85
var0534	22
var0535	47
var0536	90
var0537	586
var0538	218
var0539	131
var0540	343
var0541	143
var0542	18
var0543	73
var0544	164
var0545	30
var0546	23
var0547	310
var0548	113
var0549	269
var0550	217
var0551	136
var0552	10
var0553	155
var0554	52
var0555	42
var0556	120
var0557	122
var0558	145
var0559	134
var0560	203
var0561	401
var0562	142
var0563	262
var0564	116
var0565	429
var0566	264
var0567	269
var0568	65
var0569	69
var0570	259
var0571	64
var0572	61
var0573	161
var0574	147
var0575	96
var0576	122
var0577	440
var0578	149
var0579	63
var0580	125
var0581	283
var0582	56
var0583	205
var0584	42
var0585	51
var0586	581
var0587	224
var0588	147
var0589	30
var0590	153
var0591	133
var0592	321
var0593	189
var0594	161
var0595	232
var0596	90
var0597	73
var0598	255
var0599	74
var0600	801
var0601	168
var0602	315
var0603	85
var0604	96
var0605	262
var0606	115
var0607	35
var0608	83
var0609	142
var0610	178
var0611	81
var0612	9
var0613	106
var0614	108
var0615	87
var0616	95
var0617	156
var0618	326
var0619	102
var0620	76
var0621	240
var0622	35
var0623	111
var0624	297
var0625	321
var0626	76
var0627	121
var0628	151
var0629	63
var0630	262
var0631	30
var0632	72
var0633	298
var0634	103
var0635	196
var0636	390
var0637	101
var0638	373
var0639	151
var0640	456
var0641	501
var0642	290
var0643	67
var0644	59
var0645	207
var0646	246
var0647	276
var0648	836
var0649	104
var0650	176
var0651	162
var0652	239
var0653	76
var0654	121
var0655	211
var0656	121
var0657	99
var0658	285
var0659	171
var0660	17
var0661	192
var0662	238
var0663	51
var0664	257
var0665	450
var0666	58
var0667	639
var0668	96
var0669	591
var0670	502
var0671	79
var0672	52
var0673	151
var0674	90
var0675	147
var0676	57
var0677	551
var0678	84
var0679	97
var0680	76
var0681	28
var0682	175
var0683	88
var0684	276
var0685	85
var0686	90
var0687	214
var0688	151
var0689	71
var0690	221
var0691	38
var0692	115
var0693	359
var0694	89
var0695	142
var0696	243
var0697	162
var0698	140
var0699	576
var0700	307
var0701	14
var0702	130
var0703	62
var0704	162
var0705	227
var0706	85
var0707	190
var0708	91
var0709	59
var0710	217
var0711	143
var0712	302
var0713	110
var0714	426
var0715	64
var0716	75
var0717	127
var0718	330
var0719	89
var0720	33
var0721	394
var0722	278
var0723	662
var0724	31
var0725	163
var0726	597
var0727	37
var0728	40
var0729	94
var0730	143
var0731	80
var0732	74
var0733	420
var0734	72
var0735	333
var0736	107
var0737	342
var0738	490
var0739	80
var0740	85
var0741	304
var0742	82
var0743	394
var0744	341
var0745	327
var0746	302
var0747	957
var0748	120
var0749	170
var0750	292
var0751	89
var0752	352
var0753	50
var0754	332
var0755	432
var0756	136
var0757	48
var0758	124
var0759	82
var0760	163
var0761	14
var0762	195
var0763	29
var0764	65
var0765	39
var0766	23
var0767	263
var0768	95
var0769	30
var0770	77
var0771	549
var0772	299
var0773	102
var0774	240
var0775	86
var0776	282
var0777	778
var0778	135
var0779	70
var0780	146
var0781	185
var0782	30
var0783	136
var0784	338
var0785	69
var0786	70
var0787	238
var0788	104
var0789	56
var0790	141
var0791	19
var0792	278
var0793	11
var0794	131
var0795	113
var0796	99
var0797	245
var0798	29
var0799	95
var0800	128
var0801	87
var0802	449
var0803	314
var0804	75
var0805	110
var0806	73
var0807	689
var0808	474
var0809	51
var0810	264
var0811	14
var0812	95
var0813	524
var0814	211
var0815	124
var0816	19
var0817	18
var0818	39
var0819	180
var0820	863
var0821	204
var0822	121
var0823	588
var0824	199
var0825	246
var0826	62
var0827	90
var0828	182
var0829	385
var0830	290
var0831	172
var0832	678
var0833	101
var0834	80
var0835	82
var0836	62
var0837	58
var0838	596
var0839	36
var0840	212
var0841	86
var0842	38
var0843	119
var0844	141
var0845	365
var0846	63
var0847	54
var0848	327
var0849	808
var0850	47
var0851	417
var0852	199
var0853	985
var0854	238
var0855	226
var0856	56
var0857	72
var0858	218
var0859	116
var0860	184
var0861	157
var0862	546
var0863	377
var0864	40
var0865	252
var0866	58
var0867	276
var0868	116
var0869	113
var0870	571
var0871	59
var0872	263
var0873	103
var0874	135
var0875	56
var0876	97
var0877	189
var0878	122
var0879	106
var0880	218
var0881	271
var0882	457
var0883	138
var0884	72
var0885	115
var0886	54
var0887	451
var0888	138
var0889	159
var0890	147
var0891	37
var0892	23
var0893	119
var0894	143
var0895	122
var0896	764
var0897	241
var0898	123
var0899	105
var0900	84
var0901	19
var0902	129
var0903	326
var0904	288
var0905	830
var0906	53
var0907	662
var0908	126
var0909	192
var0910	216
var0911	471
var0912	231
var0913	83
var0914	90
var0915	114
var0916	272
var0917	141
var0918	89
var0919	179
var0920	369
var0921	234
var0922	249
var0923	186
var0924	101
var0925	204
var0926	178
var0927	111
var0928	210
var0929	90
var0930	159
var0931	143
var0932	58
var0933	105
var0934	157
var0935	124
var0936	67
var0937	320
var0938	298
var0939	238
var0940	325
var0941	478
var0942	40
var0943	326
var0944	131
var0945	146
var0946	53
var0947	102
var0948	99
var0949	258
var0950	397
var0951	48
var0952	114
var0953	136
var0954	60
var0955	80
var0956	405
var0957	29
var0958	132
var0959	72
var0960	759
var0961	83
var0962	125
var0963	291
var0964	195
var0965	37
var0966	166
var0967	80
var0968	126
var0969	79
var0970	232
var0971	115
var0972	113
var0973	172
var0974	44
var0975	38
var0976	386
var0977	17
var0978	155
var0979	69
var0980	170
var0981	194
var0982	278
var0983	101
var0984	101
var0985	144
var0986	45
var0987	163
var0988	234
var0989	32
var0990	155
var0991	28
var0992	123
var0993	24
var0994	184
var0995	262
var0996	158
var0997	522
var0998	77
var0999	547
var1000	165
var1001	252
var1002	230
var1003	385
var1004	28
var1005	161
var1006	26
var1007	112
var1008	77
var1009	348
var1010	359
var1011	29
var1012	51
var1013	43
var1014	215
var1015	67
var1016	358
var1017	97
var1018	33
var1019	198
var1020	178
var1021	271
var1022	214
var1023	1081
var1024	143
var1025	141
var1026	123
var1027	28
var1028	256
var1029	115
var1030	107
var1031	185
var1032	22
var1033	39
var1034	51
var1035	53
var1036	247
var1037	80
var1038	317
var1039	131
var1040	214
var1041	168
var1042	117
var1043	129
var1044	159
var1045	145
var1046	250
var1047	78
var1048	161
var1049	72
var1050	123
var1051	81
var1052	154
var1053	680
var1054	111
var1055	404
var1056	53
var1057	97
var1058	59
var1059	119
var1060	463
var1061	43
var1062	49
var1063	253
var1064	198
var1065	20
var1066	219
var1067	207
var1068	385
var1069	46
var1070	675
var1071	108
var1072	179
var1073	431
var1074	258
var1075	169
var1076	316
var1077	126
var1078	229
var1079	215
var1080	58
var1081	121
var1082	28
var1083	248
var1084	295
var1085	742
var1086	1187
var1087	600
var1088	185
var1089	81
var1090	68
var1091	162
var1092	40
var1093	183
var1094	143
var1095	167
var1096	469
var1097	51
var1098	89
var1099	52
var1100	301
var1101	183
var1102	120
var1103	82
var1104	32
var1105	81
var1106	70
var1107	38
var1108	29
var1109	168
var1110	187
var1111	141
var1112	105
var1113	101
var1114	184
var1115	238
var1116	262
var1117	250
var1118	373
var1119	77
var1120	148
var1121	99
var1122	198
var1123	910
var1124	226
var1125	220
var1126	177
var1127	151
var1128	65
var1129	93
var1130	2264
var1131	147
var1132	133
var1133	409
var1134	167
var1135	135
var1136	101
var1137	73
var1138	85
var1139	139
